Open, Close, High, Low, Volume
223.45,222.39,224.23,221.24,390753
223.1,224.3,224.57,221.47,320009
224.35,222.69,225.689,222.375,323057
224.75,229.89,230.71,224.595,698882
230.29,229.93,231.685,227.94,510348
230.12,228.64,230.68,227.46,324314
230.46,230.94,232.03,229.41,368295
231.36,235.04,235.69,230.895,413762
234.92,234.89,235.855,232.39,377411
234,235.98,238,234,393244
236.01,236.86,237.11,235.04,236808
237.43,237.97,238.2,235.27,269297
237.96,236.25,240.485,236.05,315547
237.7,235.63,238.79,233,402201
235.36,234.26,236.775,232.4,674234
235.04,236.18,236.95,233.16,669080
236.35,238.09,238.62,235.32,541559
237.29,238.29,238.99,234.72,565672
238.51,237.29,239.78,236.415,446651
230.5,231.81,233.315,227.64,624674
232.5,237.76,238,231.7,489820
238.51,235.7,239.7,235.34,534486
237.17,231.81,237.53,231.16,518767
227.62,225.25,228.35,223.62,1398249
226.13,227.52,230.4195,225.94,945955
228.48,230.05,231.89,227.12,418223
229.12,229.85,230.5,223.25,701678
227.56,229.45,231.09,226.01,879945
258.39,271.96,274.25,257.28,3212345
273.14,286.36,298.145,273.14,3588682
287.98,285.28,290.255,282.32,987394
285.53,274.5,287.98,273.65,1073257
273.48,275.4,276.755,269.1,740081
275.98,269.7,277.41,267.51,659981
267.03,266.32,272.32,264.24,603486
265.12,259.63,265.19,259.47,551999
257.85,254.3,262.01,250.34,813578
247.17,259.13,263.0999,247.17,766737
259.01,260.14,262.51,256.66,478482
259.59,258.69,265.03,257.3201,615653
259.43,267.48,269.34,256.51,1087137
269.43,269.5,272,267.845,895419
267.18,271.4,272.58,265.945,612347
268.61,264.76,269.51,261.5285,809246
266.71,269.65,271.87,263.67,533446
269.45,266.66,271.2099,266.61,323100
264.49,263.61,268.07,262.41,313556
264.33,261.9,266.94,261.78,368963
263.62,263.68,266.16,262.5,498254
264.87,266.24,266.68,263.15,337217
267.24,270.92,271.37,266.23,353702
271.7,264.8,274,264.78,362657
266.6,261.57,267.24,261.55,507400
260.97,255.46,262.51,254.01,761063
253.4,255.29,255.73,248.75,663015
254.85,259.92,261.505,254.28,427738
262.89,267.75,273.25,260.83,978293
264.67,271.28,271.75,262.93,527319
273.06,274.67,274.9,269.945,466845
275.91,280.42,283.34,275.17,596007
279.97,279.77,282.78,279.07,429697
282.14,276.64,282.14,275.01,433303
278.69,280.21,283.44,275.27,477912
280.36,281.3,282.385,279.63,525259
282.56,288.68,289.42,281.55,664829
289.28,286.38,291.74,283.325,636669
287.98,285.69,292.47,285.19,358014
285.71,285.45,287.81,283.62,309327
283.59,280.17,287.72,279.89,389429
281.75,270.08,283.3156,270.02,629994
272.56,276.56,277.76,271.98,584153
276.63,273.01,277.31,271.41,389929
273,277.6,278.83,272.04,548557
279.07,282.22,285,279.07,540053
281.03,276.58,283.8747,273.22,568255
278.38,283.88,284.495,276.65,472268
282.28,288.445,290.5,280.15,618343
290.49,293.84,296.97,289.3,497151
291.26,286.65,294.71,281.63,600532
290.06,286.61,290.6852,284.32,659970
289.36,291.95,293.81,289.2,595944
284.87,279.17,289.38,275.55,997570
280.83,283.78,285.06,280,387811
286.29,278.97,286.29,278.66,715998
282.15,284.07,284.34,279.82,524201
285.89,283.52,285.89,280.67,510997
285.4,284.59,289.12,283.7,737913
304,299.87,309.8,291.51,2508281
302.49,288.45,302.88,285.62,938656
290.5,286.1,290.8,285.06,418813
288.94,279.56,289.64,274.65,784424
278.5,277.27,280.23,274.82,934880
277.77,276.9,278.76,270.2272,701569
276.84,283.93,285.05,275.925,594803
283.23,281.34,286.05,281.01,304982
279.93,281.94,282.21,276.635,406122
281.08,280.89,286.89,279.9,390087
280.9,279.84,281.54,272.33,446841
278.86,286.82,288.19,276.88,441362
287.75,289.39,291.46,285.11,306039
290.92,290.04,293.11,288.03,299415
290.82,295.8,297.96,289.975,380959
298.01,300.02,300.39,295.05,346111
299.11,296.02,302.81,295.68,379318
297.84,295.76,299.18,292.32,233542
294.92,300.79,301.08,292.64,483240
300.54,306.37,307.66,300.08,400363
304.4,306.81,309.05,303.67,325153
307.06,307.61,308.4,305.26,441399
309.08,313.9,317.505,308.79,522475
312.85,305.89,316.03,305.3,497094
303.41,305.22,307.39,301.89,450494
305.78,310.85,311.69,304.685,431245
310.93,309.82,311.99,308.52,442163
308.71,302.92,309.88,299.04,474416
304.1,307.46,309.13,301.72,307633
306.68,308.93,310,303.04,413309
309.81,309.75,316.49,306.91,348716
312,311.99,314.24,308.695,295501
312.11,314.64,315.73,309.97,291967
312,310.71,312,306.26,375729
311.21,312.26,314.44,310.43,288190
312.28,314.58,314.96,311.09,272108
314.06,316.24,317.1,313.42,188881
317.5,318.8,322.34,316.67,438940
319.94,315.54,321.36,314.9,323306
315.9,317.4,318.53,313.34,475814
316.99,319.57,319.67,314.41,469761
319.62,316.12,319.62,312.831,265449
313.44,312.11,316.04,311.26,323625
312.26,316.9,317.38,311.3,301870
315.26,313.21,315.76,309.79,332249
316.51,312.11,316.68,311.67,263226
312.46,305.62,312.46,303.59,398040
306.72,306.58,308.05,304.56,279263
306.19,305.39,311.16,304.9025,277776
305.54,307.57,308.84,303.41,313823
307.6,308.54,312.45,307.5,302812
307.13,306.26,308.79,301.66,658597
311.05,297.58,311.05,296.42,457753
298.95,297.89,300.05,292.92,488234
298.46,298.89,302.92,297.41,271430
299.45,305.59,306.19,299.01,274779
307.09,305.27,310.47,301.58,296792
307.02,310.43,313.89,301.11,591078
311.4,309.21,313.33,307.75,345535
309.94,310.46,313.305,308.86,397185
309.38,302.76,311,300.97,625289
302.3,304.81,306.81,302,722331
329.23,338.99,341.8,322.5532,2629353
341.63,341.49,347.2,337.555,1271746
341.45,340.21,341.45,336.18,683284
340,342.61,347.69,340,713944
342.61,337.19,346.8,334.81,453441
336.28,343.16,344.33,335.21,532653
343.89,340.55,346.54,340,365780
341.13,339.35,342.85,337.95,395310
339.22,336.48,340.38,335.54,425149
338.47,346.57,348.14,336.61,552914
346.06,342,349.65,339.22,519166
338.78,341.01,343.81,337.31,321774
342.9,338.96,343.35,338.265,267450
340.1,344.8,345.02,339.84,352138
344.6,349.27,350,343.46,315643
348.09,352.5,353.82,347.22,259496
351.99,351.65,358.63,349.92,355896
349.49,351.28,352.5,347.2011,293590
351.2,353.18,354.61,350.129,256828
355.57,361.41,365,355.51,599541
357.78,357.84,359.175,354.64,402000
359.31,359.95,361.59,358.5625,329856
360.46,357.71,361.2,357.16,285744
359.03,366.54,367.6,358.41,414543
366.54,369.09,372.06,365.55,321008
368.64,367.62,369.97,366.4901,227402
368.47,367.52,370.14,366.44,177320
368.68,365.12,369.041,362.7137,194168
365.54,363.92,367.515,363.13,157308
364.46,360.76,367.58,359.01,289082
360.72,362.29,364.08,357.93,309233
362.05,354.41,362.83,352.33,352205
353.49,354.09,356.85,352.08,210370
355.2,355.82,357.12,350.36,381826
355.55,355.63,359.19,354.17,353006
356.23,353.13,361.96,347.56,515856
351.91,349.3,355.05,346.38,364474
350.35,352.19,353.34,349.27,272221
352.28,359.34,360.08,350.31,363402
358.43,354.11,358.56,353.4,261263
356.07,353.89,356.35,352.81,244887
355.16,355.57,361.54,353.61,400641
355.77,351.57,356.4311,349.29,295898
350.61,353.71,354.84,345.44,408952
353.13,351.29,357.17,350.15,355941
352.39,355.25,356.57,350.05,330989
356.48,356.01,359.7,354.94,411941
355.17,352.57,355.17,349.19,261468
353.4,354.98,356.45,352.45,268436
356.46,356.36,359.14,353.84,337034
356.5,355.27,360.2,354.92,280748
355.34,357.42,359.77,354.9,341874
357.25,355.97,361.17,353.28,330583
353.24,354.55,358.62,353.2,299697
356.5,357.96,360.71,355.12,257656
357.55,351.93,360.045,347.83,439501
352.1,351.05,354.9495,347.05,295620
348.35,345.89,349.69,341.27,460901
344.41,335.38,344.99,334.73,529244
331.43,316.48,331.43,316.09,980160
314.36,309,321.91,308.64,700313
315.64,311.53,315.64,307.1006,470054
311.4,318.01,320.77,311.4,1061112
290,280,291.46,268.06,3351274
281.06,279.2,284.62,277.31,1007394
276.2287,274.82,279.42,272.57,1068227
275.49,276.26,279.13,273.14,747217
278.64,275.19,278.64,272.1,582683
270.25,273.98,275.31,265,688037
274.61,271.98,278.0573,271.62,855051
274.96,271.19,275.45,270.3005,675326
268.92,274.67,277.375,267.66,532708
278.53,275.63,282.09,272.33,620007
275.55,283.15,283.34,274.21,603462
286.1,283.93,290.24,283.75,563037
284.82,286.53,287.665,277.81,429280
290.69,289.33,292.55,284.61,323147
289.25,286.9,290.93,284.49,447800
284.35,287.59,289.805,282.86,475266
290.46,296.02,296.79,287.9,405490
294.36,293.15,296.27,292.07,207576
290.76,293.85,294.825,289.09,287904
293.99,291.66,295.35,288.96,310320
292.21,296.03,299.03,291.62,372251
296.91,300.39,302.47,296.6464,554253
299.52,306.11,307.245,296.5,511768
304.66,310.52,311.45,302.73,515591
309.52,305.08,314.7,304.59,599798
299.5,297.0209,303.05,295.0131,512928
298.08,302.61,305.62,295.81,293718
301.21,297.8,301.75,297.8,113338
300.85,307.95,309.04,300.64,403918
307.81,304.42,308.134,302.79,406123
305.15,311.71,311.88,300.78,464908
309.87,311.19,313.81,308.97,404655
311.21,313.7,315.565,309.1,392106
317.9,317.01,321.07,312.69,400039
316.17,300.59,317.84,300.32,561184
294.59,299.58,300.23,289.58,598493
300.35,289.59,303.16,288.56,422896
288.11,285.39,289.42,280.35,517513
286.87,286.73,293.856,284.08,440506
291.04,287.8,294.13,286.975,366146
288.79,285.61,292.24,284.06,492787
282.75,284.42,288.76,282.74,358335
283.93,284.4,290.83,281.36,401193
284.95,282.88,288.67,280,603188
282.86,278.48,287.41,277.48,578705
276.88,275.09,280.65,271.32,672115
275.1,272.27,282.3,271.74,510321
271.59,266.47,273.33,266.075,221484
268.06,278.65,278.84,266.37,314446
276.97,281.83,281.83,272.4,325452
283.02,281.5,285.86,280.41,276003
281.7,280.87,284.85,279.34,339890
278.89,276.1,279.91,274.59,652148
275.41,268.52,276.9,266.33,783604
272.81,279.07,281.47,272.02,425543
279.07,277.0625,282.91,273.7,540639
277.48,279.1,280.77,270.41,743090
276.01,280.03,283,273.525,532975
279.11,284.19,284.57,276.41,343988
284.12,284.335,285.24,281.4,240057
282.6,281.58,285.0359,281.14,348761
286.99,293.405,295.3099,282.69,607829
293.43,288.764,295.3,288.74,480083
289.03,299.22,301.02,289.03,682801
302.28,304.435,308.92,301.45,623355
303.62,299.8,305.97,298.52,461087
302.03,296.83,305.26,295.81,952704
288.2,287.33,295,280.7117,1500108
287.9,291.6505,291.96,285.1,732228
289.21,288.48,291.08,286.84,382804
290.31,295.96,296.14,288.26,364134
299.01,295.64,299.01,290.85,608765
295.57,295.1,297.81,291.83,458449
295.54,292.4,298.95,291.43,357052
292.7,298,298.99,291.39,231028
298.56,299.73,300.19,295.645,288831
299.48,303.74,305.635,298.72,315794
301.51,303.17,306.5,300.72,353135
301.1,299.92,302.35,298.58,304289
302.02,307.1,307.2,301.6604,300390
308.8,312.48,314.87,307.94,414236
313.42,313.575,314.57,307.13,358217
311.48,312.1,314.715,308.96,252031
315,316.73,316.73,312.44,247690
311.91,309.67,313.175,308.29,317092
310.07,312.31,312.58,309.48,181156
313.8,311.39,315.03,311.05,280050
312.09,308.55,312.5,308.46,219531
307.09,311.08,311.22,307.09,305401
310.65,304.81,311.77,304.51,255863
308.74,302.53,310.045,299.47,563397
303.42,302.63,307,300.7,337722
303.65,301.35,303.76,300.69,296148
301.98,302.48,305.33,300,257193
300.73,297.74,301.84,295.82,274105
295.57,293.41,296.31,291.19,291669
291.58,294.99,295.62,290.35,174480
295.71,295.45,296.15,293.1,260216
296.84,299.5,300.65,296.31,348858
299.67,297.57,299.67,295.46,321567
297.18,297.18,299.99,296.27,189965
297.44,302.08,302.34,297.44,162590
300.69,299.54,303.04,298.93,275588
299.52,298.08,304.02,295.5625,187825
297.99,305.05,305.61,297.76,251613
303.91,292.51,303.91,292.35,374385
291.87,289.63,293.24,288.14,257305
291.92,289.42,291.92,286.58,369334
290.13,290,292.16,287.53,320616
291.33,293.88,295.7,290.04,342952
295.97,300.94,301.59,294.78,349404
301.5,311.26,311.43,301.5,255873
310.92,311.29,313.32,308.58,363089
312.76,311.58,314.7,310.42,335076
311,313.65,315.5,311,265054
313.99,316.5,318.9,313.595,323593
315.44,314.96,316.5095,314.21,277711
314.33,305.33,314.33,305.08,291176
299.99,303.18,304.22,297,433902
306,309.03,313.26,306,351814
306.5,304.86,308.265,302.56,633932
304.87,304.89,306.17,303.41,246057
305.96,305.92,307.005,302.715,266024
308.47,308.31,310.285,305.3,272385
308.87,308.26,311.81,306.5,437984
302.74,291.21,308,289.61,827849
288.27,293.25,293.77,285.57,533153
293.2,294.38,296.26,292.1,515800
293.27,295,295.38,288.83,408436
294.95,291.91,296.12,291,242955
292.21,284.87,293.35,284.61,523836
284.27,281.98,285.6,280.77,826815
283.37,274.82,284.25,274.46,552052
274.21,278.99,280.71,274,427746
281.27,283.53,284.4135,280.59,499439
276.74,279.33,279.88,274.14,431720
276.33,276.47,277.38,271.57,555723
276.25,276.84,278.79,273.86,327269
273.14,273.31,274.69,267.65,439801
270.59,267.74,272.99,266.23,411188
263.05,259.99,264.0927,258.71,594702
260.83,262.07,262.94,259.27,317612
259.69,261.8,262.955,258.42,311956
262.95,263.93,266.39,261.3,246674
263.08,267.13,272.28,262.92,604187
265.21,270.72,271.41,265.01,422101
272,272.39,275.01,272,324839
270.42,259.14,271.69,258.84,652726
256.56,260.93,263.47,255.385,483052
261.98,258.64,263.26,255.09,292470
258.6,259.37,261.25,258.42,359881
259.42,261.75,264.19,258.355,442538
261.65,264.63,266.72,260.426,521801
261.66,261.88,263.03,259.14,355264
265.49,269.45,270.03,264.8,376568
270.99,269.26,273.14,265.71,278276
269.29,265.88,270.33,264.025,338847
267.67,271.11,272.91,267,370485
271.73,275.12,275.68,270.36,406380
274.9,274.35,276.45,269.63,754872
275.4,275.05,277.6741,273.72,390501
274.82,279.74,279.9,274.82,241834
278.51,272.27,278.51,267.73,367546
272.12,272.39,274.93,269.65,350487
274.26,271.86,278.64,271.12,342983
270.77,274.18,274.99,268.2,383741
278.34,276.8,279.21,272.27,322450
275.42,274.05,277.18,271.73,426255
274.15,271.03,278,270.92,263479
271.27,267.57,272.13,267.43,339053
269.04,266.38,270.22,264.83,276190
267.19,266.13,268,265.26,347236
267.82,268.23,269.29,264.61,397845
269.53,267.24,272.96,265.91,472026
266.76,265.19,267.83,263.5,329701
265.08,268.79,268.79,265.08,184898
267.69,269.54,270.12,264.5,201916
267.51,265.94,269.84,265.5,216722
265.04,266.73,267.98,262.13,312348
266.24,258.64,267.04,257.8,690943
258.02,262.79,263.33,256.08,473262
264.03,269.1,270.83,264.03,405184
269.88,271.28,272.96,268.97,255150
272.24,273.01,276.76,271.105,371803
271.99,269.18,272.65,268.46,351689
269.44,268.64,270.84,266.74,221108
269.83,267.23,273.235,267.09,355465
268.84,269.51,272.17,268,416681
271.13,278.67,279.19,270.6,598819
284.36,304.08,304.84,284.36,1462639
304.74,300.13,305.29,295.99,759850
300.12,299.745,304.58,299.35,432295
299.4,291.54,299.4,291.13,407994
290.25,296.72,297.07,290,345314
296.58,291.08,299.08,288.38,419490
291.55,277.54,293.49,276.77,590972
276.6,276.39,278.82,272.39,369547
272.14,268.83,273.26,266.81,473038
271.52,269.98,274.1,267.61,471457
266.05,274.31,275.2,264.85,595837
275.07,276.68,277.2,273.895,292691
274,268.36,274.66,267.74,305108
266.72,263.31,267.07,262.19,265819
261.29,268.31,271.73,260.485,492192
264,264.47,265.48,262.61,386004
265.34,264.93,266.76,263.54,455620
267.44,269.31,270.52,265.55,317521
272.67,275.39,276.22,272.67,253962
275.23,272.2,276.99,271.73,285019
275.36,274.82,278.66,274.5,239760
275.68,272.91,275.72,271.54,263362
271.37,266.1,271.47,264.65,284478
269.54,267.55,270.37,265.77,179234
269.87,265.29,269.87,262.88,185953
265.06,268.32,269.74,263,204242
271.42,273.35,274.26,270.05,175700
275.53,273.43,277.855,272.86,161858
271.52,266.17,271.52,263.835,313457
268.32,268.17,271.47,267.62,160415
270.9,276.78,280.01,270.9,269514
279.27,278.2,281.3,276.15,246602
279.69,285.89,286.39,279.59,326696
282.36,290.88,291.51,280.56,375955
292.17,295,297.52,290.28,289676
294.93,293.54,296,291.11,271766
294.41,295.54,298.48,294.41,276723
294.73,295.79,297.5,292.4625,193922
293.97,291.82,294.47,288.93,257612
290.65,292.52,293.21,288.61,226864
291.77,292.16,294.73,290.52,238157
293.41,292.13,294.655,289.6,343902
289.96,291.07,293.515,289.67,313072
291.85,286.66,292.01,283.92,202887
287.57,291.2,292.66,286.2,203061
290.52,293.64,294.86,288.706,210326
295,294.99,295.995,291.92,203161
294.06,297.12,297.72,292.73,241380
300.12,286,303.77,281.89,519968
282.97,287.37,288.76,278.78,436727
286.2,288.75,288.86,281.49,287737
290,291.22,292.01,288.6043,180968
290.02,289.15,292.37,288.37,197063
285.87,282.24,288.2599,279.43,291066
285.52,284,286.58,282.52,167027
283.82,288.72,290.2,283.82,256715
304,305.13,311.41,302,790926
301.93,306.07,308.66,301.625,388505
306.07,307.34,310.76,304.325,276915
306.85,307.94,310.28,306.85,156671
308.64,310.9,312.17,308.36,177977
310.46,310.08,313.925,309.75,451528
313.46,316.78,317.5,312.18,487158
314.15,319,320.505,312.81,526123
307.4,312.5,315,298.25,800615
313.89,315.16,316.4999,310.49,393484
317,317.3,319.95,314.8,295689
319,316.36,319.95,315.36,379764
316.05,312.94,316.38,311.72,381036
312.62,310.37,312.97,307.135,239397
306.74,308.81,310.125,306.145,198449
312.14,317.73,317.825,309.885,327214
319.32,319.35,322.31,317.11,266344
320.92,322.48,324.92,318.79,252035
322.73,321.24,323.77,318,225154
321.94,320.5,323,318.535,228703
320.71,324.92,325.1,318.25,272899
322.47,327.12,327.715,322.13,187697
326.96,325.44,327.755,323.22,218080
323.91,322.62,325.63,321.37,138929
322.42,322.41,324.97,320.66,221804
324.87,323.45,325.11,321.43,226057
322.12,317.43,322.7,316,315973
318.49,315.9,320.4,315.48,244415
314.29,312.35,314.925,310.995,282578
