Open, Close, High, Low, Volume
44.46,44.27,44.71,44.18,5723764
44.5,45.13,45.5,44.38,6016662
45.27,45.52,46.29,45.2,6888321
45.9,47.06,47.25,45.74,7527854
47.22,47.8,48.33,46.84,9061403
47.95,47.64,48,47.33,5318245
47.75,48.4,48.56,47.54,3938281
48.56,48.45,48.92,48.15,3702181
48.49,48.2,48.597,48.04,2882838
48.27,48.5,48.69,47.76,3153518
48.54,49.23,49.45,48.34,5716103
49.42,50.11,50.69,49.14,8296795
50.46,51.24,51.37,49.84,8654445
51.07,51.42,51.5,50.56,7376140
51.27,51.89,51.96,51.01,5625829
52.04,51.71,52.27,51.22,7066827
51.71,52.07,52.2,51.28,7014442
52.17,52.92,53.27,51.81,8038482
52.78,52.73,53.12,52.29,7780398
52.64,51.73,52.81,51.51,8372444
52.07,52.45,52.91,51.69,6734304
52.21,51.96,52.64,51.79,5233718
51.6,52.61,52.75,51.01,8055006
53.59,55.97,55.99,53.17,15452145
56.21,56.4,57.43,56.05,11874678
56.31,54.92,56.42,54.91,10541896
55.25,54.78,55.83,54.73,7635074
55.08,55.19,55.53,54.74,5939518
54.89,54.38,55.17,54.18,5467666
53.83,53.73,53.84,52.68,8837762
53.77,53.29,54.01,52.41,7057212
53.22,54.09,54.28,53.02,5771314
53.61,51.79,53.7,51.31,10532469
51.11,49.66,52.03,49.3,10371190
48.39,50.24,50.88,48.2,9589269
50.39,49.31,51.03,49.31,7542361
49.56,47.05,49.62,47.01,11254584
47.35,46.34,47.66,44.73,13883983
47.06,47.55,48.14,46.94,10719238
47.17,47.03,47.34,46.49,6011814
46.52,47.5,47.81,46.35,7466222
47.13,46.53,47.28,45.97,13299955
46.4,47.14,47.62,46.17,10704195
47.23,46.8,47.6,46.39,6431713
46.58,46.19,47.27,46.17,8672063
46.55,46.77,47.56,46.48,6473160
47.09,48.08,48.25,46.82,7383630
47.86,47.86,48.08,47.25,6968475
47.96,47.26,48.58,47.26,5093001
47.65,46.07,47.74,46.02,6828087
45.63,45.68,46.53,45.09,8421437
45.35,45.68,45.84,44.81,5104702
45.25,45.91,46.13,44.7,7260062
46.41,45.75,46.42,45.45,4631569
45.23,45.66,45.77,44.79,5556694
45.68,45.84,46.1,45.39,4812336
46.33,46.81,47.17,46.26,5730250
46.72,46.74,47.27,46.55,4169879
46.89,45.93,47.03,45.65,5203479
46.2,46.07,46.77,45.97,4803029
46.22,45.12,46.34,44.85,5679844
45.21,45.74,46.06,45,5559158
45.7,44.51,45.7,44.06,6962452
44.72,45.32,45.54,44.68,4376984
45.67,46.93,47.33,45.41,7623742
46.45,46.21,46.78,46,9561126
46.42,46.27,47.68,46.09,9580294
46.86,47.03,47.2,46.02,7221678
47.27,46.7,47.91,46.36,8289842
46.58,45.88,46.91,45.58,8042274
46.07,46.76,47.07,46.05,8416371
46.53,45.92,46.54,45.05,7896280
46.17,46.62,46.78,45.52,6333881
45.86,46.6,46.75,45.52,6656426
46.86,47.5,48.24,46.82,6448264
47.22,46.82,47.4,46.05,7303819
47.09,46.39,47.22,46.33,5739722
47.23,48.64,49.23,47.23,8456496
48.45,49.4,49.83,48.32,8177214
49.88,50.02,50.52,49.18,6435266
50.09,50.59,50.89,50.03,6144180
50.64,50.57,50.82,49.89,4894086
50.5,50.7,50.89,50.13,4814927
51.23,51.89,52.385,51.16,11071333
51.96,51.81,52.46,51.37,10093581
51.35,51.76,52.26,50.87,11033585
51.8,51.85,52.46,50.58,6276132
51.96,51.18,52.68,50.82,6589042
50.8,51.56,51.75,50.53,5172193
51.8,52.4,52.61,51.6,5423034
52.05,52.63,52.865,51.7,5129460
52.39,52.79,53.545,52.19,5140236
52.47,52.24,52.65,51.56,4369942
52.14,52.44,53.22,52.05,3940188
52.37,52.11,52.57,51.46,3769289
51.93,51.99,52.35,51.34,5440380
52.24,51.83,53.43,51.78,4591936
51.87,51.68,52.0519,50.58,7209326
52.44,52.5,53.48,52.39,7150524
53.16,52.51,53.21,52.23,5964937
52.61,52.08,52.705,51.92,6689245
52.25,52.3,52.74,52.19,4588187
52.4,52.52,52.7152,51.79,3715511
52.51,52.77,53.05,52.14,4621274
53.12,54.17,54.9,53.11,8542852
54.14,54.12,54.67,53.87,5530283
54.6,54.2,54.6,53.44,4653044
53.96,53.04,54.593,52.78,5119392
52.44,52.72,52.76,51.82,5747283
52.24,52.07,52.445,51.87,5330524
50.96,50,50.96,49.08,10887548
49.25,49.57,49.79,48.87,5692287
50,50.22,50.68,49.82,4413792
49.88,49.55,50.26,49.33,5220079
49.83,48.9,49.95,48.51,8035760
49,47.77,49.08,47.63,10048162
47.65,47.87,48.065,47.38,7250957
48.07,48.3,48.51,47.73,6269508
48.65,48.93,49.475,48.54,5633223
48.88,48.1,48.9,47.54,7724621
48.08,47.86,48.29,47.625,5814711
47.89,47.85,48.08,47.34,8016919
47.82,47.67,48.285,47.53,6942661
47.75,47.73,48.12,47.5,4713930
47.45,46.6,47.59,46,11070225
46.31,46.63,47.03,46.3,4564920
46.03,46.0999,46.38,45.63,6411498
46.47,45.705,46.47,45.5,6610114
45.5,44.91,45.5,44.555,6911705
46.94,46.22,47.35,45.98,10485706
45.89,45.23,46.04,44.71,8151267
45.07,45.34,45.46,44.41,6510324
45.99,45.84,46.94,45.71,7417805
45.85,45.62,46,45.27,6244842
45.57,45.06,45.8,44.985,6972570
44.88,44.45,44.88,44.01,6171975
45.01,44.53,45.19,44.105,3974775
44.73,44.45,44.79,44.32,4572279
44.15,44.93,45,43.94,4075873
45.14,45.83,45.97,45.14,5600561
46.29,46.26,47.03,46.025,6190141
45.58,45.11,45.93,44.77,5189268
45.32,44.92,45.42,44.6101,4998227
45,45.36,45.6,44.81,3710857
44.78,44.95,44.99,44.34,4541979
44.75,45.06,45.5,44.51,5806406
44.76,44.81,45.09,44.07,5667190
44.54,44.965,45.36,44.39,5391308
45.16,45.23,45.29,44.8,8002114
42.6,41.53,43.05,41.25,27660356
41.91,40.34,41.94,40.21,21933664
40.41,39.9,40.4167,38.66,21010537
40.1,41.32,41.57,39.91,16125859
41.24,41.8,42.08,41.2,9931896
42.31,42.3,42.89,42.19,8471885
42.35,42.41,42.49,41.4838,8492785
41.99,42.05,42.39,41.4,7506570
41.39,41.91,42.145,41.39,6145587
42,42.05,42.48,41.86,6240860
42.16,41.96,42.24,41.84,4037862
42.41,42.03,42.465,41.965,4143100
41.75,42.04,42.31,41.73,4683340
42.06,41.51,42.13,41.415,5708418
41.54,41.94,41.99,41.24,3370450
