Open, Close, High, Low, Volume
20.89,21.25,21.5,20.89,5218714
21.26,21.27,21.5,20.98,4873793
21.37,21.45,21.75,21.37,4131175
21.61,21.11,21.64,20.74,7345826
20.8,20.87,21.47,20.65,4495995
20.87,20.295,20.98,20.265,6419497
20.32,20.19,20.59,20.15,6285042
20.09,20.41,20.68,20,6591544
20.44,20.92,21.02,20.38,4774368
20.9,21.09,21.26,20.79,4128578
21.15,21.03,21.17,20.84,2970569
20.96,20.92,21.26,20.9,2523645
21,21.31,21.64,20.93,4025896
21.34,21.035,21.46,20.91,2696786
21.12,21.255,21.29,20.85,3381456
21.29,21.22,21.35,21.02,3930771
21.3,21.6,21.84,21.3,4681713
21.57,21.735,21.82,21.51,6436549
21.59,21.65,21.68,21.27,4485731
21.73,22.33,22.39,21.495,3802253
22.31,22.41,22.57,22.23,3281315
22.47,22.09,22.61,22.015,4637977
22.14,21.93,22.39,21.89,5182052
21.99,22,22.18,21.86,5548302
22.21,23.21,23.23,22.115,8123318
23.03,22.99,23.17,22.7,7379097
23,22.99,23.135,22.78,3536229
23.05,23.24,23.33,22.875,4829795
23.3,22.8,23.32,22.67,4383134
22.95,22.66,23.05,22.56,4094885
22.63,22.58,22.88,22.46,4185267
22.18,21.76,22.3,21.62,5151980
21.85,21.72,22.03,21.5,4247040
21.5,21.46,21.61,21.18,6106127
21.28,20.98,21.4,20.93,8587572
20.92,20.87,21.5268,20.85,7867513
20.48,21.63,21.69,20.35,8429592
21.74,21.96,22.645,21.53,11696209
20.22,19.57,20.6,19.48,32393581
19.73,19.255,20.02,18.57,15966511
19.52,19.7,19.9,19.27,10814516
19.69,19.93,19.965,19.68,7206413
19.78,21.14,21.215,19.78,15162481
21.14,20.72,21.18,20.4,4849827
20.38,20.48,20.58,20.27,4226921
20.35,19.92,20.39,19.695,5277612
19.97,19.96,20.31,19.88,3111235
20.04,20.15,20.24,19.98,3504408
20.25,19.94,20.31,19.8,3629550
20.14,20.27,20.32,19.78,5298996
20.36,19.95,20.485,19.79,4178655
20.02,19.41,20.06,19.405,4804380
19.51,19.5,19.78,19.15,2941670
19.33,19.995,20.06,19.23,4035544
19.82,20.28,20.57,19.7,7397535
20.32,20.32,20.56,20.17,4383092
20.09,20.4,20.46,20.02,4105421
20.42,19.55,20.48,19.405,4267448
19.73,20.01,20.02,19.37,4957232
20,20.16,20.27,19.97,3484229
20.23,19.77,20.25,19.74,3166782
19.83,19.38,19.87,19.25,2863379
19.5,19.43,19.66,19.315,3619232
19.44,19.69,19.85,19.44,3014879
19.66,19.38,19.72,19.27,2426051
19.4,19.14,19.59,18.91,8130242
19.16,19.005,19.34,18.98,4212771
18.84,18.59,19,18.54,3819121
18.7,18.43,18.9,18.275,3752875
18.72,18.79,18.81,18.43,3917178
18.75,18.79,19.17,18.61,3384273
18.9,18.38,19.05,18.3,5559498
18.6,18.42,18.9,18.39,4840102
18.26,18.18,18.38,17.9438,4955801
18.19,18.365,18.44,17.99,3088831
18.16,18.99,19.0299,18.13,3815010
19.04,19.21,19.33,18.99,5561794
19.01,18.9,19.25,18.74,4417562
18.9,18.6,18.96,18.425,6515149
18.84,18.82,19.02,18.7,7582790
18.64,18.77,18.95,18.6,3025212
18.89,18.56,18.94,18.47,3586537
18.68,18.13,18.75,18.01,5579210
18.24,18.06,18.27,17.95,11557388
18.19,18.37,18.48,18.02,6474234
18.37,17.92,18.4,17.82,7265874
17.9,17.6,17.97,17.42,9173187
17.65,17.215,17.75,17.16,5630695
17.7,18.22,18.47,17.64,9814248
18.26,18.15,18.5,18.06,6704829
18.12,18.01,18.12,17.815,3519975
18,18.27,18.29,17.7,6741896
18.3,18.68,18.78,18.3,4452508
18.76,18.47,18.91,18.31,7239168
19.1,17.73,19.1,17.2089,14319795
17.24,17.27,17.61,17.01,9727610
17.2,16.515,17.2,16.43,9840573
16.55,16.81,16.92,16.38,7644155
16.78,16.83,16.93,16.51,6172841
16.81,16.74,16.84,16.62,4296442
16.73,16.56,16.82,16.49,3808318
16.56,16.58,16.6601,16.43,2726192
16.59,16.73,16.839,16.455,3729368
16.64,16.75,17.04,16.64,6002450
16.71,17.27,17.35,16.71,7211535
17.42,17.7,17.79,17.3,7873513
17.51,18.135,18.25,17.38,10711595
18.42,18.38,18.74,18.14,9308592
18.4,18.12,18.56,18.095,9484087
18.2,18.23,18.46,18.16,6227041
18.14,18.135,18.345,18.1,2984239
18.13,18.215,18.32,18.0201,2913037
18.18,18.19,18.36,18.13,2685558
18.1,18.32,18.35,18.05,2954632
18.34,18.61,18.65,18.28,4687020
18.57,18.23,18.6,18.1,3647828
18.35,18.3,18.397,18.16,2597057
18.34,18.67,18.695,18.2845,3593556
18.7,18.855,18.87,18.53,6114323
18.88,19.36,19.395,18.82,8910642
19.41,19.81,19.98,19.37,10616325
19.68,20.09,20.1,19.65,5187729
20.1,20.4,20.44,19.96,4895517
20.5,20.93,20.94,20.43,7411732
20.9,21.075,21.18,20.87,5694534
21.13,20.17,21.13,20.07,8395689
20.09,20.3,20.51,20.07,5440761
20.22,20.85,20.89,20.09,4400065
20.64,21,21.05,20.59,4605883
21.01,21.42,21.475,20.91,5228422
21.39,22.035,22.115,21.385,11479403
22,21.96,22.57,21.92,8391368
21.9,22.095,22.21,21.685,5759571
22.23,22.31,22.36,22.0701,4717959
22.26,21.79,22.3899,21.68,4903218
21.79,22.07,22.14,21.762,3258161
22.3,22.02,22.41,22,3697413
21.91,22.04,22.05,21.63,3011759
22.04,22.14,22.3,21.92,1724250
22.21,22.27,22.34,21.84,4529223
22.3,22.33,22.38,22.17,4386584
22.43,22.48,22.52,22.27,3477822
22.46,22.22,22.51,22.02,4551741
22.07,21.89,22.18,21.72,3609821
22,21.66,22,21.57,4865248
21.68,21.67,21.96,21.59,3115230
21.69,21.86,21.885,21.33,4184221
21.84,22.07,22.21,21.83,4165764
22.02,21.93,22.31,21.75,3163938
21.87,22.21,22.34,21.76,2862190
22.15,22.18,22.41,22.12,2218172
22.27,22.32,22.52,22.12,4843459
22.11,21.69,22.22,21.63,6142798
21.61,21.78,21.83,21.49,3172420
21.81,22.01,22.05,21.59,4446964
21.91,21.79,22.09,21.49,4744840
21.75,21.96,22.06,21.62,4508119
22.09,22.27,22.34,21.635,9958319
18.61,17.955,20.87,17.9201,25663096
18.04,18.28,18.58,17.44,15226278
18.3,17.955,18.48,17.93,6236227
17.86,18.12,18.205,17.76,5494671
18.22,18.21,18.33,18.11,3878906
18.25,18.58,18.67,18.245,3808713
18.62,18.78,18.89,18.61,3678893
18.67,18.63,18.87,18.62,4535122
18.5,18.185,18.5,18.16,5544126
18.36,18.19,18.42,18.155,4556982
18.11,18.25,18.26,17.84,8868357
18.3,18.26,18.375,18.13,5988612
18.33,18.41,18.5,18.25,4975589
18.54,18.93,18.95,18.41,5376971
18.97,19.125,19.23,18.95,3615239
19.05,18.4,19.12,18.375,6059921
18.35,17.79,18.42,17.74,7551320
17.71,17.64,17.82,17.44,6270257
17.62,17.5,17.65,17.43,3805317
17.5,17.51,17.575,17.33,5477979
17.52,18.005,18.1,17.35,5800947
17.96,17.52,17.96,17.4424,4086703
17.49,17.54,17.63,17.4,3344651
17.49,17.61,17.78,17.44,6143462
17.61,17.86,18,17.54,6915550
17.85,17.66,18.05,17.65,3303203
17.66,17.6,17.81,17.55,2769446
17.68,17.79,18,17.68,2791590
17.8,17.81,17.92,17.54,4361746
17.79,17.92,17.94,17.72,2465048
17.95,17.57,17.97,17.505,3394087
17.58,17.7,17.73,17.43,3068593
17.75,17.9,17.9999,17.71,3526766
17.97,18.1,18.2099,17.81,2932160
18.08,18.23,18.34,18.03,2849301
18.32,18.64,18.67,18.32,3172431
18.64,18.69,18.83,18.53,2771160
18.65,18.11,18.72,18.06,2737699
18.11,17.91,18.17,17.86,3100077
17.9,18.11,18.28,17.78,3103613
18.12,18.13,18.31,18.01,2319052
18.08,18.43,18.52,18.08,4790339
18.5,17.965,18.73,17.94,5426169
17.97,17.81,18.14,17.595,4087086
17.95,17.835,18.12,17.815,2946851
17.771,17.23,17.81,17.21,4723600
17.33,17.19,17.63,17,3965035
17.1431,17.42,17.5532,17.09,3462660
17.41,17.39,17.515,17.235,2548233
