Open, Close, High, Low, Volume
43.79,42.66,43.85,42.35,5365962
44.01,43.39,44.66,43.35,5978293
43.52,43.59,44.31,43.34,2780936
43.79,43.34,43.98,43.03,2993894
43.61,44,44.04,43.15,2580768
44.17,46.34,46.44,44.01,4959671
46.51,47.02,47.16,46.2,2232328
47.25,48.45,48.57,47.08,2823271
48.4,48.14,48.5599,47.705,1691763
48.29,48.38,48.75,48.165,2287106
48.54,47.47,48.54,47.07,2279324
47.97,47.84,48.04,47.024,2315600
48,49.4,49.9,47.84,3175985
49.43,50.59,50.64,49.07,2932210
51.34,52.15,52.55,50.85,5936667
52.26,52.46,52.55,51.596,2776895
52.62,52.47,52.9,51.97,2697199
52.74,53.01,53.36,52.42,2619874
53.41,54.71,55.48,53.18,4469774
54.6,54.56,55.05,53.61,2773111
54.67,53.59,54.82,53.34,2551204
53.89,54,54.65,53.37,2577415
53.69,53.83,54.56,53.38,2090364
53.08,52.6,53.08,51.65,4486139
52.6,53.48,53.52,51.62,4042310
53.92,53.63,54.33,53.12,3131323
53.55,53.89,54.25,53.141,2241773
54.3,53.58,54.52,53.24,2341164
53.54,53.69,53.85,53.2,1487648
53.15,52.33,53.56,52.2,2466958
51.66,50.51,51.84,50.33,3429973
50.63,50.51,50.81,49.58,3576526
50.57,50.59,51.32,50.205,2850916
49.94,47.78,49.94,47.56,4601255
45.68,44.47,47.9,44.44,7902791
43.55,45.96,46.37,43.48,4184651
45.99,44.11,46.83,43.99,3463393
44.32,42.99,44.85,42.99,4703200
43.54,42.12,43.55,40.37,5480199
42.95,44.14,44.73,42.51,4409334
43.57,42.79,43.85,42.58,3600321
42.34,45.38,45.59,42.01,5297342
45.28,45.53,45.56,43.5,3266058
45.12,45.66,46.13,44.86,3387572
45.75,45.84,46.53,45.641,2820409
45.52,45.27,46.4,44.95,4039510
45.49,47.07,47.269,45.35,4354059
47.15,47.88,47.955,46.94,3541934
48.37,47.79,48.47,47.41,2497113
47.51,46.47,48.66,46.455,3365201
47.2,45.4,47.575,45.39,3129681
45.36,45.66,46.56,45.27,4564004
45.13,46.68,46.75,44.21,3232899
46.48,48.45,48.715,46.33,3825205
48.71,48.48,49.22,48.1145,3603804
47.78,46.49,48.32,45.89,3213083
47.21,46.69,47.33,46.01,4159137
47.35,48.45,48.54,47.14,3587278
48.25,48.65,49.4,48.17,2536174
49.18,48.4,49.6,48.25,3472741
48.57,48.57,49.21,48.28,2073653
49,48.86,49.52,48.15,2995468
48.39,48.97,49.56,47.79,3297127
48.73,46.96,48.95,46.6357,2719556
47.35,48.4,48.77,47.3,1838704
48.88,50.69,51.195,48.83,2976809
49.93,50.11,51.01,49.68,2130860
50.73,49.45,50.99,49.385,3554758
50.4,50.49,50.51,49.18,2083664
50.54,49.89,50.95,49.43,2406541
50.15,48.77,50.53,48.335,3214224
49.09,50.62,51.005,49.07,2626507
50.24,48.53,50.32,47.52,2838248
48.79,50.44,50.6748,48.33,2692392
49.38,51.01,51.13,49.06,2577020
51.49,52.54,53.22,51.42,4166972
52.01,51.09,52.74,49.86,3049140
51.87,51.61,52.7,51.23,3036905
52.55,53.69,54.2275,52.38,4069315
53.6,54.94,55.54,53.5,3656650
54.98,54.99,55.98,54.47,3848162
55.55,56.31,56.94,55.3819,3227112
56.5,56.24,56.72,55.58,3098541
56.29,56.33,56.655,55.8,2940482
57,57.93,58.63,56.9,4135255
58.25,58.19,58.98,57.72,2954755
57.99,57.8,58.15,57.3701,3359520
57.55,58.54,58.68,56.97,2525822
58.81,57.67,59.56,57.21,4112794
58.54,59.33,59.36,56.82,4412945
59.23,58.46,59.25,57.95,3023016
57.89,56.63,58.32,55.86,4996576
56.61,57,57.8,56.61,3495641
56.6,57.64,57.7,56.18,2491034
57.47,57.61,58.53,57.38,2709988
57.04,57.8,58.01,56.56,2723812
57.73,58.72,59.16,57.59,2327714
59.36,59.22,61.3552,58.96,3992920
59.06,60.92,60.95,58.13,3447008
61.99,62.35,63.67,61.89,5538381
62.83,63.31,63.43,62.2,2729951
63.4,62.73,63.47,62.4678,2253428
63.03,63.06,63.78,62.82,1935829
63.06,63.44,63.82,62.66,1806415
63.11,63.6,63.84,62.54,1622196
63.94,65.17,65.74,63.59,3094105
65.12,64.69,65.49,64.43,2147361
65.46,65.27,65.89,65.11,2020462
65.24,63.83,65.72,63.47,2105776
63.2,63.14,64.32,62.61,3977229
62.14,62.42,62.98,61.6741,2202234
61.05,59.16,61.05,58.35,5003093
58.43,59.42,59.79,58.24,2538820
60.1,60.95,61.72,59.82,2308290
60.35,60.4,61.48,60.1,1904990
60.67,61.8,62.2,60.13,3024226
62.13,60.83,62.84,60.51,2293314
60.36,61.08,61.57,60.05,1531908
61.11,61.59,61.9,60.69,1704822
62.1,62.32,62.66,61.83,2352116
62.35,61.84,62.365,61.42,1608705
61.87,61.8,62.19,61.28,2025484
61.72,60.47,62.11,60.41,2333126
60.48,60.48,60.92,59.78,1948166
61.09,60.97,61.34,60.26,2338879
60.14,60.03,60.44,59.06,3909916
60.04,61.61,61.88,59.391,2932143
60.04,61.42,61.8073,60.04,1799595
62.3,62.65,63.16,61.72,4755433
62.21,61.73,62.305,61.36,2811437
63.6,64.55,65.22,63.29,4658802
64.17,62.3,64.58,62.14,3301785
