Open, Close, High, Low, Volume
234.3,233.59,235.59,233.055,148327
234.38,235.14,237.88,233.58,199282
234.99,234.02,237.045,233,131320
234.82,238.83,239.97,234.14,237818
239.55,238.6,241.34,236.501,175881
238.36,237.87,240.19,237.04,151586
240.22,237.92,240.22,233.46,181034
238.36,235.32,238.36,233.63,122285
236.2,237.34,238,234.001,74004
237.06,236.66,238.89,236.141,45715
237.22,237.48,238.39,236.8,54518
238.87,239.42,239.75,236.46,74877
239.5,235.68,240.57,235.39,692068
235.46,228.55,235.46,225.77,914406
229.02,229.49,230.22,226.42,673669
230.5,232.62,233.48,229.41,410580
233.3,233.72,235.4699,232.635,324942
233.6,236,236.64,232.37,245995
236.68,239.29,240.16,236.34,267455
238.06,237.33,238.59,236.01,202160
237.52,239.27,239.87,236.26,234327
240.98,247.43,248,240.97,298410
247.6,235.14,248.3699,235,462105
237.03,237.23,237.52,235.52,300710
237.91,236.65,238.21,236.31,198175
237.97,242.06,243.2193,236.82,322323
241.49,238.92,241.8,237.09,139952
239.32,235.01,239.79,234.4,219563
234.99,238.11,239.56,234.99,214786
238.48,241.26,242.6699,238.2926,194467
241.77,247.76,248.15,239,266471
247.17,247.7,249.38,246.16,262145
246.94,244.83,246.94,241.98,182177
246.2,237.64,246.69,237.4,320679
237.63,241.4,243.82,237.63,156614
243.7,243.65,245.38,241.18,321082
241.67,228.29,242.055,226.03,375577
223.09,227.73,229.62,221.77,352073
227.67,234.88,238.48,227.41,240502
234.65,225.4,236.24,225.32,210345
227.62,230.2,232.3,222.56,249875
231.33,234.95,237.44,228.113,254796
233.37,237.57,238.2825,232.45,288840
236.67,241.98,242.47,236.3557,340689
244.06,255.38,255.48,244.06,617698
258.53,265.79,267.23,258.53,622651
265.33,266.3,269.88,261.73,303969
266.55,270.91,276.69,265.74,626208
271.31,262.86,272.05,261.79,350563
263.66,265.13,265.22,259.7,311531
266.01,266.25,267.89,264.09,246579
266.66,262.56,270.555,262.46,244673
263.88,261.93,266.53,261.91,262437
262.96,260.36,266.8,258.5496,402767
258.8,260.85,262.44,255.19,314057
260.13,260.16,261.27,253.371,231153
260.35,258.67,261.54,257.34,229429
255.93,259.55,260.1299,253.91,271915
261.17,260.9,262.16,258.1164,144863
262,264.08,264.39,260.5089,158968
264.02,258.13,264.255,257.48,226400
259.01,258.69,260.7,257.535,183696
259.34,255.57,259.99,254.6813,202412
256.22,253.97,256.46,252.56,224118
253.16,254.23,255.83,252.03,316043
254,253.99,255.2768,252.0401,202257
254.1,256.54,258.04,254.1,321358
257.2,255.58,259.84,255.53,211235
253.38,249.15,255.03,248.74,225837
249.65,254.05,258.96,249.11,337693
259.01,262.23,262.8,256.81,290950
263.79,254.79,264.53,253.11,271005
255.89,253.18,256.6335,251.29,229531
255.65,257.76,259.4699,253.96,191635
257.88,253.41,258.29,250.15,348891
253.79,259.07,259.27,253.79,324471
254.8,259.91,260.12,253.3001,286079
261.18,261.01,263.1029,259,172079
258.36,256.23,260.63,254.4,301929
257.64,257.04,260.39,256.57,162658
260,254.8,260.77,254.46,233320
253.85,254.45,257.935,253.43,167992
255.73,257.21,259.67,254.87,226556
258.58,256.69,258.58,254.541,165269
258.32,258.58,259.64,257.1301,125842
259.85,261.01,263.645,259.85,166787
262.7,263.8,264.509,261.9,141514
263.87,265.66,266.3799,262.29,166767
265.91,263.56,266.06,261.8,143911
263.91,264.905,265.58,262.84,117708
266.55,255.78,267.73,252.78,182414
255.78,252.49,256.895,248.42,241248
252.85,251.5,253.35,249.37,148751
251.62,245.8,252.255,244.75,173853
245.41,243.21,247.21,243.1311,181904
242.67,234.68,243.42,229.5887,496749
235.1563,231.76,237.81,230.37,428280
221.8,207.3,228.39,206.27,1102624
206.91,210.65,210.96,201.91,1017092
