Open, Close, High, Low, Volume
71.75,70.27,72.9872,69.86,2680742
70.79,70.49,71.44,70.08,2121540
70.76,69.65,72.11,68.94,2320233
68.58,67.47,69.08,66.52,4450164
67.89,66.5,68.53,65.75,3052487
66.06,66.5,67.8,65.6364,1833296
66.79,69.53,69.58,66.28,2211099
68.62,70.35,70.35,67.775,1747691
70.92,70.93,71.815,70.3775,1364443
71.41,71.47,72.04,70.77,1592067
70.69,70.835,71.44,70.15,2010309
70.45,67.26,70.62,67.19,3931240
68.41,69.91,70.05,68.25,2490245
69.7,70.73,71.36,69.12,2764476
71.76,71.98,72.13,70.83,3543301
71.91,70.99,72.34,70.92,1532966
70.5,72.05,72.51,70.23,2044252
71.49,71.815,72.21,71.25,1465620
71.4,70.93,71.76,70.59,1953047
71.19,72.41,72.42,70.96,2134881
72.72,72.06,73.2,72.01,2176285
71.61,72.03,72.44,71.41,2236801
72.51,73.01,73.31,72.19,2354811
72.72,70.79,73.11,70.74,2444210
71.35,70.68,71.86,70.1582,2279190
70.85,71.04,71.24,70.31,2122842
71.81,71.845,72.06,70.89,2644851
71.2,72.25,72.99,71.2,1557909
72.3,73.17,73.27,71.79,1400556
73.64,74.125,74.66,73.34,3560117
74.14,74.54,75.19,73.81,1825267
74.41,74.385,75.04,73.95,2004792
74.5,74.65,74.94,74.14,1350646
74.8,74.555,75.155,74.42,1528502
74.63,75.53,75.75,74.63,1650453
74.79,74.585,75.01,73.5,1698391
74.07,73.82,74.725,73.48,2249030
74.11,74.3,75.08,74.08,2495574
74.66,74.38,75.23,73.93,2658553
77.6,79.47,79.71,77.24,5302586
79.68,80.245,80.27,78.59,3318124
81,81.75,82.14,80.75,3029172
81.13,81.39,82.18,80.93,3364255
81.86,83.33,83.48,81.09,3063945
83.23,83.25,83.78,82.39,2020626
83.52,85.03,85.37,83.22,2345210
85.65,83.55,85.87,83.42,1891760
83.56,83.5,84.84,83.3401,2103457
83.15,83.49,83.83,83.03,1831744
82.93,83.1,83.55,82.76,1272428
83.93,83.79,84.35,83.21,1688895
84.28,83.37,84.4,82.49,1335965
83.61,84,84.14,83.14,1383943
84.13,83.95,84.49,83.68,1509866
83.63,82.91,83.77,82.3,1408385
82.27,82.43,82.59,81.66,1515728
82.77,82.82,82.98,82.11,1378968
83.13,83.4,83.6,82.35,1511290
83.82,83.7,84.73,83.43,1862177
84.51,85.05,85.07,83.7615,2067826
85.6,85.78,86.08,85.4,1979368
86.13,86.21,87.09,85.89,1681673
86.16,85.7,86.9,85.57,1030716
85.77,84.92,85.77,84.34,1359046
84.49,85.79,85.82,84.37,1894197
85.37,84.57,85.58,84.23,1668716
84.65,84.02,84.72,83.64,1289611
84.16,83.49,84.16,82.89,2258659
83.5,82.4,83.81,81.72,3396181
82.6,83.19,83.38,82.54,1774791
82.92,83.11,83.85,82.88,2243250
83.94,84.16,84.87,83.53,1047151
84.1,85.04,85.22,83.86,1651647
85.62,86.78,87.03,85.3271,2619068
87.16,87.32,87.64,86.8212,1867170
87.45,87.44,88.09,87.2,1916504
87.73,88.18,88.25,87.09,1410043
87.86,87.12,88.13,86.93,1330668
87.19,88,88.085,87.05,777962
88.28,88.46,88.69,87.96,1727500
88.9,88.72,89.34,88.24,989621
88.93,88.15,89.01,87.74,1097359
88.39,88.15,88.62,88.09,1161848
88.51,87.73,88.75,87.7,1107777
87.68,87.22,87.72,86.01,1510359
86.75,87.89,88.04,86.34,1751663
87.87,87.91,88.53,87.54,2537680
87.12,87.5,88,86.85,1823948
87.33,87.65,88.05,87.215,982440
87.94,88.01,88.51,87.44,1150052
88.46,87.22,88.46,87.12,1905355
87.51,86.94,87.92,86.6,2987255
90.86,92.6,93.72,90.23,5645913
92.45,91.23,92.73,90.48,2389013
91.62,93.33,93.46,91.43,2275679
91.29,92.34,92.68,91.02,2043272
91.34,90.5,92.03,89.94,1520934
90.18,90.71,91.07,89.94,1988550
90.04,91.13,91.435,89.76,1547625
90.38,91.56,91.88,89.72,1597007
89.99,89.35,90.23,88.9,1724308
89.94,91.75,92.37,89.94,2106294
91.5,93.65,94,91.09,2080055
93.82,94.055,94.64,93.66,1441158
