Open, Close, High, Low, Volume
13.71,13.62,13.93,13.54,10577599
13.59,13.16,13.84,13.07,11664597
13.08,12.65,13.16,12.595,16366216
12.66,12.6,13,12.485,15513914
12.46,12.27,12.595,12.225,4903683
12.34,12.82,12.86,12.0868,7591250
12.69,13.095,13.12,12.54,6764661
13.21,13.02,13.315,12.97,7666287
13.17,13.13,13.255,13.03,5128333
12.95,13.45,13.64,12.95,9327815
13.28,13.22,13.37,12.93,10788422
13.51,13.815,13.92,13.45,7209040
13.82,14.08,14.17,13.75,5781205
14.19,13.815,14.31,13.685,10156303
13.88,14.065,14.195,13.88,5915350
13.99,14.115,14.13,13.88,6532655
14.04,14.24,14.26,13.89,5906882
14.11,14.16,14.3067,14.01,5437368
14.21,14.425,14.49,14.17,5639559
13.77,14.345,14.37,13.73,10696272
14.26,14.28,14.4,14.1,4899231
14.38,14.64,14.75,14.38,6272393
14.66,14.395,14.66,14.35,6137287
14.52,14.455,14.69,14.32,5128717
14.48,14.765,14.88,14.44,5969507
14.94,15.36,15.38,14.905,14679758
15.11,15.635,15.67,15.07,27877665
15.75,15.39,15.86,15.365,19076892
15.48,15.515,15.67,15.275,6551679
15.47,15.59,15.65,15.35,8659176
15.69,15.71,15.81,15.565,5586494
15.73,15.805,15.85,15.58,7449534
15.79,15.91,16.099,15.78,5471767
15.94,16.09,16.19,15.9,6061563
15.91,15.84,16.095,15.75,4883442
15.66,15.885,15.925,15.62,5813036
15.91,15.87,16.045,15.85,4481837
16.01,16,16.15,15.97,11411241
16.1,16.045,16.24,16.045,9608363
15.91,15.99,16.13,15.86,7122956
16.11,16.06,16.24,15.99,9543896
16.03,16.06,16.13,15.98,7335609
16.1,16.06,16.22,16.03,6746730
16.11,16.22,16.39,16.03,13884688
16.5,16.31,16.5,16.01,20576001
16.35,16.77,16.92,16.345,11286374
16.73,16.81,16.97,16.71,7638633
16.75,16.7,16.815,16.695,6462151
16.6,16.38,16.65,16.34,11029266
16.54,16.37,16.54,16.255,19476720
16.45,16.16,16.52,15.94,12005097
16.09,16.15,16.24,15.92,14123115
16.11,15.96,16.14,15.94,5484479
15.86,15.67,15.94,15.6,12691411
15.52,15.61,15.665,15.415,6841032
15.64,15.89,15.93,15.635,9781538
15.35,15.32,15.49,15.13,15127080
15.38,15.53,15.59,15.32,9104950
15.59,15.67,15.715,15.49,8236271
15.66,16.07,16.105,15.66,10190565
16,15.86,16.11,15.74,8885498
15.96,15.89,16.025,15.831,11422268
15.87,15.88,16.04,15.77,9615568
15.89,16.02,16.12,15.89,16416648
15.8,15.3,15.94,15.27,11168541
15.3,15.14,15.38,15.05,10078839
15.19,15.31,15.455,15.18,8179537
15.36,15.26,15.435,15.17,6764881
15.35,15.265,15.535,15.23,8011699
15.42,15.42,15.46,15.325,8248407
15.55,15.9,15.91,15.54,5370061
15.93,15.84,16.01,15.815,5732251
16.02,15.85,16.08,15.74,9427288
15.9,16.06,16.11,15.85,8146897
16.01,16.15,16.17,16,5255577
16.14,16.18,16.26,16.0621,5579053
16.12,15.96,16.14,15.9,3970268
15.97,16.27,16.27,15.94,4861922
16.18,16.28,16.325,16.1,6064257
16.39,16.4,16.48,16.29,4301972
16.36,16.49,16.5,16.36,4449098
16.5,16.6,16.695,16.48,13568559
16.63,16.57,16.69,16.43,7975714
16.59,16.66,16.71,16.515,7774697
16.66,16.59,16.68,16.58,4430219
16.61,16.53,16.69,16.5,9458683
16.51,16.27,16.61,16.26,8035854
16.26,16,16.31,15.935,8416757
15.87,15.76,15.94,15.595,10317996
15.73,15.71,15.965,15.67,6557929
15.68,15.8,15.81,15.53,8650256
15.95,15.79,16.07,15.78,5965486
15.81,15.74,15.97,15.64,4711436
15.78,15.92,15.96,15.77,4764129
15.59,15.66,15.73,15.45,4971290
15.47,15.43,15.62,15.33,6825031
15.42,15.35,15.54,15.33,4718765
15.17,15.22,15.23,14.865,6789666
15.08,14.79,15.185,14.77,13701980
14.45,14.15,14.53,14.09,11523229
14.19,14.24,14.395,14.19,8095263
14.06,14.43,14.445,14.05,14070132
14.44,14.53,14.68,14.43,12834902
14.62,14.63,14.92,14.47,15422334
14.4,14.74,14.87,14.37,10440538
14.88,15.255,15.31,14.86,9170323
15.17,14.71,15.21,14.67,7749257
14.52,14.34,14.54,14.27,10468738
14.28,14.375,15.17,14.28,22375059
14.44,14.17,14.63,14.145,10750960
14.06,14.13,14.285,13.99,7170176
14.25,14.21,14.36,14.135,8083683
13.95,13.72,13.98,13.59,12012139
13.74,13.685,13.875,13.55,9374782
13.85,14.15,14.175,13.82,5636632
14.33,14.085,14.36,13.92,6831953
13.99,13.99,14.055,13.69,8983739
13.98,14.09,14.16,13.89,7842991
14.18,14.25,14.39,14.18,7496481
14.27,14.26,14.4085,14.11,5862598
14.25,14.14,14.31,14.11,4493395
14.21,14.35,14.36,14.17,3987116
14.25,14.15,14.25,14.05,4881995
14.18,14.3,14.43,14.11,6739663
14.41,14.585,14.74,14.375,6453381
14.67,14.7,14.84,14.61,8327399
14.98,15,15.04,14.74,7884672
15.03,14.93,15.06,14.84,6183367
15.02,15.01,15.11,14.95,5459250
14.96,14.76,15.015,14.75,5252055
14.87,14.955,15.12,14.86,6024694
14.99,14.96,15.22,14.94,4564427
15.15,14.97,15.15,14.94,6459087
15.24,15.14,15.485,15.04,8663056
15.13,15.08,15.22,14.965,6416934
15.07,15.29,15.315,15.045,4493650
15.16,15.18,15.29,15.025,4728534
15.08,15.04,15.08,14.855,6162874
14.92,14.865,14.94,14.655,6292117
15.01,14.77,15.13,14.76,5687880
14.79,14.6,14.875,14.48,11371203
14.64,14.91,14.975,14.64,6946134
14.89,14.97,15.05,14.87,3970088
14.98,14.81,15.03,14.785,4811170
14.8,14.69,14.85,14.67,6021753
14.61,14.75,14.82,14.6,6486779
14.79,14.85,14.96,14.78,4781370
14.8,14.3,14.846,14.26,10213415
14.4,14.61,14.655,14.37,7546715
14.64,14.75,14.845,14.59,6629803
14.72,14.51,14.72,14.435,7865515
14.54,14.64,14.73,14.46,5716859
14.63,14.67,14.745,14.56,4901834
14.56,14.62,14.76,14.51,4285237
14.63,14.37,14.665,14.23,6719624
14.37,14.14,14.709,14.105,6571324
13.74,13.26,13.835,13.02,17406711
13.02,12.895,13.11,12.6105,12964774
13.17,13.08,13.2,12.92,7917108
12.88,13.07,13.14,12.77,6395434
13.14,13.56,13.58,13.11,8733453
13.46,13.395,13.55,13.29,9496230
13.24,13.07,13.29,13,6068265
13.09,13.395,13.68,13.03,10355347
13.11,12.86,13.16,12.84,8095303
12.88,12.69,12.97,12.52,9594731
12.8,12.81,12.885,12.73,7597386
12.99,13.11,13.2201,12.99,6167332
12.94,12.94,13.06,12.87,4192129
13.13,13.07,13.235,13.015,5351303
13.16,13.24,13.32,13.03,7011327
13.03,12.76,13.28,12.69,10058895
12.92,12.94,13.06,12.79,7083553
13.05,12.92,13.17,12.87,10077980
13.5,13.3601,13.829,13.09,13599668
13.69,13.68,13.82,13.63,9788010
13.85,13.82,13.92,13.68,6846786
13.67,13.49,13.75,13.375,6574605
13.61,13.74,13.78,13.53,5402965
13.95,14.4,14.5,13.91,7942018
14.47,14.57,14.61,14.39,7036509
14.66,14.97,15.04,14.63,10637541
14.86,15.09,15.17,14.86,9063729
15.15,15.37,15.4,14.92,6233234
15.34,15.365,15.455,15.1,7191251
15.35,15.32,15.4,15.21,7724237
15.19,15.12,15.37,15.09,10224812
15.01,14.98,15.01,14.75,5505195
14.9,14.73,14.99,14.62,7045743
14.79,14.86,14.97,14.69,9373576
14.87,14.4,14.93,14.35,11904595
14.33,14.39,14.485,14.21,6546940
14.43,14.25,14.57,14.14,10458139
14.25,14.6,14.67,14.19,6515699
14.53,14.64,14.7,14.35,5911899
14.74,15,15.1,14.69,8412606
15,15.18,15.32,14.99,8383965
15.31,14.66,15.395,14.64,6300302
14.53,14.44,14.555,14.31,5470023
14.39,14.5,14.5,14.05,4743386
14.51,14.395,14.51,14.245,8109411
14.47,14.34,14.665,14.33,6327615
14.19,13.84,14.215,13.82,9447194
13.97,14.07,14.225,13.95,5121263
14.01,14.1,14.25,13.98,3362458
14.36,14.34,14.535,14.28,4931980
14.62,14.94,14.95,14.59,7113380
14.94,15.14,15.27,14.69,6461348
15.17,15.09,15.215,15.04,3836197
15.08,15.21,15.29,15.025,3789073
15.23,15.35,15.39,15.2,8688020
15.85,15.97,16.41,15.79,17687124
16.02,15.95,16.09,15.87,9752879
15.9,16.01,16.2,15.7,9278174
16.17,15.89,16.235,15.675,6559799
15.91,16.15,16.2,15.9,5064597
16.28,16.44,16.4775,16.27,4159629
16.32,16.47,16.545,16.22,5715202
16.48,16.32,16.48,16.19,4722144
16.185,16.41,16.43,16.185,3584666
16.1,16.52,16.53,15.81,5510836
16.59,16.66,16.8,16.59,9019666
16.78,16.84,16.94,16.765,11547963
16.96,16.935,17.03,16.82,11156828
17.08,17.195,17.35,17.02,7971784
17.18,17.425,17.44,17.05,4999460
17.44,17.46,17.59,17.33,4500673
17.51,17.335,17.54,17.26,7394483
17.27,17.22,17.32,17.14,7348772
17.16,17.03,17.2,16.98,9481606
17.15,17.225,17.27,17.04,7904921
17.22,17.27,17.28,17.06,6349623
17.34,17.44,17.58,17.27,6719657
17.36,17.12,17.4,17.05,5140587
17.07,17.08,17.23,16.99,4504370
17.12,17.11,17.285,17.04,5822967
17.16,17.44,17.46,17.01,7638196
16.49,15.96,16.52,15.75,21077439
15.93,15.94,15.98,15.78,7245277
15.9,15.83,16.04,15.805,3992052
15.88,15.765,15.99,15.75,7280546
15.5,15.61,15.62,15.365,5375898
15.68,15.73,15.88,15.68,4490281
15.84,15.94,15.97,15.8,5531242
16.04,15.905,16.11,15.88,4055999
15.84,15.9,16.01,15.755,4681744
15.75,15.83,15.95,15.71,5458005
15.88,15.885,16.09,15.84,5801149
15.87,16.4,16.44,15.865,7823398
16.37,16.03,16.45,15.99,6220144
16.11,16.08,16.35,16.07,4298520
16.08,15.83,16.1,15.81,6673158
15.8,15.91,16.17,15.78,6480157
15.88,15.745,15.995,15.68,8275193
15.82,15.59,15.85,15.58,10558823
15.61,15.83,15.905,15.54,5544554
15.82,15.92,15.98,15.805,1770675
15.94,15.945,15.99,15.9,2759293
16.02,15.9,16.11,15.87,4769008
15.92,15.77,15.99,15.69,8881852
15.69,15.86,15.9,15.62,5718210
16,16.18,16.18,15.97,5341899
15.9,15.76,15.96,15.71,6509506
15.61,15.72,15.78,15.59,4757005
15.69,15.635,15.765,15.57,6139061
15.64,15.77,15.805,15.49,5441706
15.8,15.67,15.8,15.45,7890211
15.68,15.47,15.74,15.46,6051795
15.47,15.55,15.66,15.45,8146058
15.57,15.54,15.67,15.5,5906218
15.5,15.49,15.65,15.43,4916333
15.6,15.78,15.8,15.515,5001519
15.79,15.1,15.79,14.98,16714313
15.01,14.9,15.04,14.74,19471799
14.96,15.03,15.07,14.9,18619021
15.04,15.15,15.1776,14.79,9704575
15.15,14.755,15.22,14.695,15795737
14.46,14.52,14.63,14.3,7725072
14.58,14.63,14.74,14.52,4722318
14.75,14.42,14.75,14.41,5352684
14.26,14.425,14.51,14.15,5588670
14.31,13.94,14.34,13.81,7980940
14.14,14.14,14.44,14.06,7109402
14.47,14.42,14.715,14.38,6098121
14.6,14.89,14.91,14.6,6358017
14.99,14.92,15.08,14.8,4416079
14.74,14.74,14.79,14.64,4092158
14.65,14.77,14.78,14.55,5062172
14.86,14.87,14.985,14.8,4040687
14.99,15.03,15.18,14.95,6023286
14.8,14.7,14.82,14.55,7158568
14.73,14.43,14.82,14.35,5490128
14.25,14.38,14.4,14.2101,4452131
14.38,14.46,14.55,14.37,5986030
14.44,14.47,14.66,14.37,7610520
14.34,14.18,14.42,14.09,6341572
13.74,13.71,14.02,13.61,8497529
13.78,13.33,13.79,13.19,8071514
13.44,13.04,13.57,13.01,7882644
12.75,12.57,13.08,12.52,10273858
12.28,12.79,12.8,12.06,17297769
12.79,12.89,12.89,12.34,11850810
12.62,12.58,13.33,12.425,12499740
11.9,12.26,12.28,11.43,21993569
11.8,11.785,11.97,11.63,15352286
11.45,11.995,12.075,11.4,13285241
11.19,11.14,11.51,10.75,12475322
11.39,11.5,11.595,10.94,12102740
11.2,10.57,11.22,10.5,13696685
9.78,9.135,9.94,8.98,13444071
9.69,9.87,9.89,8.94,11719691
8.56,8.35,8.85,7.59,17275969
8.49,8.27,8.66,7.68,13461269
7.81,8.59,8.67,7.43,13436819
8.29,9.1,9.31,7.88,15553936
9.36,8.63,9.46,8.61,16534462
8.54,7.835,8.73,7.6536,10744704
8.27,8.94,8.97,8.21,10013587
9,9.4,10.08,8.815,13017735
9.56,10.5256,10.61,9.46,10847273
10.02,9.82,10.255,9.58,10117241
9.8,10.05,10.22,9.46,8020439
10.09,9.715,10.16,9.675,6851947
9.16,9.58,9.74,9.09,9769414
9.5,9.39,9.89,9.1,7237923
9.36,9.3,9.61,9.21,5450353
9.95,9.825,10.16,9.61,7480441
10.23,9.66,10.39,9.65,8455388
9.83,10.23,10.32,9.767,4246423
10.44,10.53,10.8,10.42,7346195
10.48,10.35,10.6,10.175,6150029
10.62,10.36,10.76,10.32,7642208
10.01,9.52,10.035,9.355,13805596
9.58,9.31,9.58,9.2,9332935
9.49,9.72,9.8,9.47,7853570
9.45,9.345,9.75,9.27,7305414
9.17,9.052,9.23,8.98,6680351
9.33,9.035,9.36,8.95,6716631
9.06,9.26,9.48,9.06,6309891
9.28,9.54,9.58,9.26,5739455
9.41,9.65,9.73,9.38,5782382
9.83,9.79,10.03,9.75,7357561
10.09,10.3,10.43,10.08,8360523
10.22,10.07,10.24,9.99,5167479
9.81,9.48,9.82,9.35,5582953
9.35,9.38,9.46,9.12,5680404
9.53,9.4,9.72,9.39,4912333
9.47,9.35,9.56,9.2,6063730
9.46,9.58,9.74,9.45,6844003
9.76,10.245,10.28,9.71,6184965
10.08,9.73,10.122,9.66,6800216
9.79,9.48,9.93,9.48,7132831
9.45,9.07,9.45,9.01,8289843
8.96,9.18,9.18,8.62,7083352
9.04,9.11,9.15,8.89,5705465
9.43,9.98,10.03,9.4,8072935
9.93,10.03,10.19,9.66,6764184
10.1,10.275,10.3,10.045,6766148
