Open, Close, High, Low, Volume
21.9,21.43,22.275,21.285,10157409
21.602,21.42,21.92,21.37,10503540
21.46,20.55,21.63,20.34,15023731
20.51,20.06,20.635,19.82,13333144
19.98,19.65,20.38,19.63,16632031
19.4,19.39,19.89,19.32,5654104
19.53,20.34,20.35,19.215,8789215
20.02,20.38,20.38,19.65,10121128
20.56,20.33,20.795,20.28,8571419
20.49,20.355,20.65,20.24,7023185
20.03,20.615,20.775,20,8213969
20.35,19.945,20.4,19.705,11213291
20.38,20.725,20.89,20.27,6752277
20.75,20.98,21.155,20.735,6401956
21.22,21.22,21.4154,20.84,5411645
21.34,21.215,21.46,21.005,6683798
21.12,21.49,21.525,21.06,5768193
21.24,21.1699,21.29,20.8,9332852
20.94,20.775,21.09,20.68,8014817
20.8,21.015,21.07,20.645,7780997
20.95,21.07,21.18,20.71,7190293
20.95,21.25,21.45,20.92,9540352
21.36,21.705,21.75,21.29,7515246
21.62,21.245,21.65,21.18,6241163
21.41,21.44,21.575,21.1901,5154685
21.55,21.785,21.95,21.51,4175064
21.94,22.105,22.12,21.835,6385540
21.83,21.975,22,21.68,4887466
22.12,21.88,22.2267,21.85,6010018
22.09,22.2,22.24,21.91,6312016
22.2,22.07,22.26,22.01,7081198
22.16,22.245,22.29,21.93,6870049
22.27,22.55,22.595,22.16,4912293
22.57,22.8,22.815,22.565,4587552
22.8,23.06,23.09,22.8,4422849
22.92,22.795,23.015,22.69,5653224
22.65,22.88,22.915,22.6,5007798
23,22.86,23.2,22.79,5730436
23.01,23.355,23.4,23,5503433
23.44,23.315,23.54,23.22,8626737
23.23,23.25,23.46,23.19,6174444
23.33,23.295,23.4,23.14,9483863
23.24,23.255,23.39,23.175,5903652
23.28,23.38,23.53,23.25,5573852
23.21,23.39,23.62,23.21,7044317
23.55,23.73,23.82,23.52,6012645
23.83,23.91,24.09,23.805,9736271
23.78,23.9,23.99,23.76,6596671
23.75,23.83,23.89,23.61,9432492
20.05,19.72,20.34,19.34,49883422
19.92,19.6,19.95,19.49,27659756
19.61,19.53,19.91,19.35,17662246
