Open, Close, High, Low, Volume
67.97,68.72,69.04,67.65,1252216
68.96,68.7,69.15,68.42,940087
68.88,70.14,70.765,68.58,1481259
70.43,70.16,71.005,70.1,783975
70.46,71.49,72.28,70.46,1257772
71.38,71.1,71.9062,70.96,990764
71.26,71.17,71.59,70.79,956252
71.2,71.015,71.5,70.57,700479
71.02,70.62,71.46,70.49,1084775
70.61,70.46,70.83,70.17,748774
70.6,70.55,70.7173,70.01,549017
70.49,69.895,70.955,69.57,686967
70.36,71.47,71.57,70.145,887679
71.25,72.15,72.335,70.11,1093657
72.5,72.19,72.79,71.61,835788
72.88,73.33,73.56,72.36,968068
73.11,74.35,74.43,72.87,774348
73.74,73.45,74.4,73.2001,1102714
73.38,72.79,73.4,71.15,1011109
72.62,73.3,73.37,72.06,999468
73.7,74.82,75,73.06,784390
75,76.05,76.37,74.73,1446323
76.6,76.35,77.25,75.6,3541856
75.93,74.62,76.44,74.45,1324895
74.65,75.96,75.98,74.38,770410
76.13,76.41,76.45,75.66,725962
76.27,76.31,76.93,75.465,970967
76.62,77.42,77.69,76.338,1211736
77.74,78.15,78.5,76.96,1116255
78.1,78.93,79,77.55,1201145
78.91,79.41,79.54,78.6201,909846
78.85,78.07,79.44,78.04,1917387
78.11,75.68,78.11,75.05,1440202
75.22,75.28,75.51,73.8,909106
74.99,74.35,75.71,74.17,1001463
74.26,71.81,75,71.79,1469958
71.06,73.53,73.97,70.38,2052104
73.08,72.98,74.5,72.91,1403104
72.89,70.85,73.06,70.82,1434764
71.34,71.77,72.33,70.26,1480474
72.28,72.18,73.19,71.385,1730886
65.49,67.38,67.96,63.01,11332462
66.93,68.42,68.7,66.91,2078880
68.65,68.38,68.69,67.21,1765209
68.25,69.53,71.17,68,2442822
73.54,67.97,73.71,67.56,3898263
68.13,68.69,70.44,67.46,2617186
69.25,67.98,69.78,67.83,1594457
68.16,68.06,68.47,66.2,1580551
67.95,67.69,68.6,66.86,1075426
67.8,67.21,68.3428,67.19,1189425
67.54,66.18,67.73,66.17,935214
64.99,63.44,66.19,62.84,3687740
63,65.18,65.38,62.56,1947837
64.99,66.06,66.45,64.5499,1061496
66.18,66.03,66.29,65.2,770803
65.71,67.14,67.16,65.62,1343738
67.22,67.11,67.72,66.41,913304
67.35,68.43,68.74,67.03,906548
68.38,67.84,68.76,66.83,1309696
68.45,68.06,68.58,67.61,670520
68.56,68.3,68.61,67.735,974775
68.15,68,68.36,67.63,1180709
68.24,68.03,68.65,67.75,991384
67.96,67.84,68.43,66.64,3132217
68,65.73,68.6,65.07,1950064
65.62,65.67,66.36,65.19,669073
65.4,65.94,66.58,65.2403,1926943
66.01,64.59,66.83,64.5594,1288707
65.59,65.54,66.03,64.3,1228966
65.93,65.08,66.16,64.73,1050210
65.29,66.28,66.9,65.075,1402101
66.66,67.19,67.7,66.47,978134
66.93,65.85,67.68,65.29,1335752
66.09,66.87,66.91,65.14,654416
66.85,68.52,69.31,66.81,1584309
68.75,67.8,68.75,67.42,1035109
67.37,66.79,67.87,66.26,843992
67.01,66.87,67.94,66.38,703274
67.5,69.35,70.81,67.5,2110884
68.55,69.06,69.47,68.46,635080
69.36,69.73,69.95,68.435,1402800
69.98,68.99,70.19,68.45,729273
69.27,69.93,70.86,68.81,1019469
70.4,71.02,71.2,69.81,607513
71.05,70.94,71.35,70.39,731946
70.67,69.75,70.9,69.2,807713
69.88,69.07,69.88,68.64,857706
72.02,73.79,74.18,71.23,2979636
72.72,73.83,74.88,72.52,2966799
73.65,74.5,74.54,72.5,1405791
74.42,76.25,76.38,74.05,1214327
76.53,76.8,76.92,76.035,1150899
77.03,76,77.105,75.8,1161106
75.79,76.87,77.03,75.17,1131454
76.4,76.61,77.11,75.51,1816230
76.06,75.02,76.06,73.77,1645409
74.67,75.55,75.825,73.96,1107730
75.86,76.27,76.98,75.73,1744198
75.13,71.08,75.82,70.95,3454245
70.88,71.58,72.39,69.52,1534056
72.03,72.63,73,71.93,1031267
72.74,72.95,73.43,71.96,892548
72.72,73.335,73.34,72.18,900196
72.98,72.46,73.07,72.02,871973
72.5,72.4,72.89,72.14,662538
72.27,72.28,72.39,71.42,893045
72.31,71.95,72.715,71.775,958356
72.41,71.44,72.76,71.15,703128
71.55,71.31,71.69,71.05,608503
70.99,70.62,71.08,69.96,1110633
70.73,70.51,70.88,69.74,661005
70.51,70.43,71.93,70.21,588309
69.97,70.01,70.315,69.17,994149
70.35,71.61,71.8,70.015,1479088
71.35,69.21,71.47,68.74,1619778
69.73,69.48,70.53,69.22,742895
69.51,70.24,70.76,69.36,639477
70.28,70.32,70.98,70.12,825775
70.42,71.16,71.6,70.38,822231
71.08,71.19,71.93,70.85,786571
71.27,72.14,72.19,71.23,759433
72.1,72.81,73.68,72.1,819121
72.81,72.97,73.22,72.245,596706
73.61,72.33,73.61,72.28,665324
72.38,72.88,73.01,72,590755
72.35,73.29,73.41,72.08,1002046
72.93,72.91,73.08,72.7,618305
72.45,72.4,72.725,72.02,599517
72.44,71.92,72.78,71.8,776761
72.27,72.05,72.68,71.78,1260101
72.45,74.69,74.97,71.35,1822025
74.68,74.55,75.31,73.97,1420297
74.41,74.87,75.76,74.17,1322551
74.8,73.79,75.35,73.66,1209274
73.67,72.65,73.74,70.68,1368733
72.69,72.65,73.24,72.09,808686
72.51,73.35,73.41,72.09,946818
73.7,74.04,74.54,73.5,429751
74.39,74.99,75.05,73.99,761411
75.14,75.8,76.36,75.1,694226
76.08,76.34,77.95,75.71,1903090
76.41,75.86,76.97,75.1874,732977
73.79,74.59,75.75,73.79,923347
74.82,74.79,75.43,74.165,652719
74.97,74.85,75.43,74.77,489912
75.03,74.08,75.03,73.85,483388
73.9,74.66,74.75,73.64,456013
74.6,73.73,74.95,73.39,755476
74,74.78,75.46,73.22,1042683
74.75,75.32,75.35,74.1,518442
75.42,76.62,77.15,75.26,793719
76.64,76.82,77.63,76.34,631839
76.81,77.14,77.33,76.13,483600
77.33,77.13,77.9,76.66,415560
76.82,77.58,78.13,76.47,640517
77.51,79.11,79.34,77.27,1093943
79.17,79.41,79.85,78.445,1146102
79.12,78.62,79.75,78.415,809297
78.61,78.8,78.99,77.03,498090
78.79,80.26,80.67,78.59,1649267
81.97,82.17,85.508,80.88,2911663
80.64,79.8,80.64,78.02,1465404
79.75,78.8,80.195,78.41,837151
79.18,78.52,79.4,78.06,846261
78.21,77.38,78.25,77.12,736293
77.43,77.83,78.19,77.12,799271
77.97,78.24,78.58,77.52,1087316
77.95,78.45,78.61,77.12,1095842
78.45,79.18,79.75,77.975,655500
79.02,80.34,80.75,79.02,1021958
80.21,81.67,81.89,80.21,680029
81.96,81.96,82.27,81.22,509489
81.66,81.93,82.73,81.0762,948106
81.78,81.34,81.88,81.14,380854
81.3,81.15,81.3,80.5,701642
81.5,81.15,81.94,81.09,724622
81.31,80.71,81.39,80.4,916525
80.87,81.1,81.46,80.6,878217
78,77,78.45,76.77,1940549
77,77.68,78,76.67,818290
77.27,77.89,78.44,76.08,906527
76.52,80.65,80.69,76.52,1607274
80.69,80.54,81.73,80.06,1069915
80.52,80.17,81.05,80.01,810947
80.45,80.05,80.64,79.87,252929
79.91,80.97,81.08,79.231,526451
81.03,82.88,83.07,80.79,753830
83.2,83.19,83.365,82.62,620844
83.3,83.39,83.64,82.81,597398
83.52,84.39,85.28,83.16,573245
84.15,84.31,84.6,83.51,695258
84.42,84.47,84.9,83.78,462718
84.52,85.87,86.01,84.52,556496
86.17,85.67,86.6,85.21,908716
84.92,83.66,85.1,82.79,843807
83.86,84.33,84.45,83.59,559836
86.03,84.92,87.41,83.95,2108327
85,85.21,86.07,85,624978
85.08,85.03,85.41,83.89,813903
85.48,86.91,87.74,84.94,1618680
86.77,86.26,87.09,86.025,880991
86.29,86.73,87.3,85.72,622321
86.45,87.25,87.37,85.99,952445
87.53,88.44,90.52,87.53,2595777
88.54,86.97,88.68,86.27,2735504
87.21,87.81,88.35,86.62,819936
87.89,86.36,88.02,86.3,1381552
86.7,83.55,86.7,83.23,1380888
84.21,83.95,84.735,82.78,1250324
84.09,84.75,85.65,83.64,1023090
84.88,85.07,85.8,84.62,1915648
84.95,86.47,87.2,84.6,1011278
86.26,83.3,86.5476,82.6,1861078
83.37,82.51,84.09,82.36,988990
82.5,82.04,83.14,81.66,761970
81.79,81.73,82.16,80.26,967150
81.92,80.03,82.58,79.92,712793
79.43,81.31,82.01,79.33,1129702
80.06,79.93,81.135,79.09,1387302
81.52,81.27,82.23,80.04,901060
81.47,83.35,83.48,81.06,1436892
83.55,83,83.65,82.13,1143512
83.04,84.65,84.73,82.35,828511
84.9,83.5,85.97,82.96,1308140
83.62,84.75,85.04,83.42,1098752
81,83.51,85.84,79.7,2401778
84.25,87.33,87.375,84.25,1358090
87.33,86.97,89.12,85.16,972297
86.51,85.44,86.92,84.155,949648
85.21,84.82,86.01,84.72,437960
84.94,84.91,85.9,84.68,568108
86.02,85.45,86.925,84.42,965030
85.07,86.04,86.1,83.41,822871
85.54,86.07,86.752,85.41,1157424
86.39,86.25,86.99,85.17,989771
85.98,84.63,86.625,84.27,1010942
84.78,84.56,85.6,84.37,697553
83.84,83.9,84.91,83.55,416896
84.94,84.46,85.54,83.88,1337132
84.24,87.29,87.4,83.98,1793077
87.17,88.2,88.2,85.6,993474
88.05,89.14,89.99,87.93,1067778
89.32,89.17,90.48,88.465,1530206
90.2,90.4,90.695,88.15,1143036
90.03,89.9,91.35,89.62,1736977
89.1,87.49,89.6,84.74,2479387
86.9,85.15,87.59,84.65,1262357
85.28,85.57,85.96,83.9314,1139315
86.34,84.66,86.8,83.85,1370702
85.68,85.12,86.78,85.01,1726569
85.44,83.79,86.055,83.31,1324734
83.35,80.51,83.63,80.48,1403303
80.02,79.77,81.125,79.32,1581724
80.49,79.11,80.6895,78.87,1535592
79.38,78.43,80.86,78.05,1394541
78.29,77.16,78.98,76.64,1335507
77.08,75.95,78.12,75.43,2004006
75.76,74.36,76.115,73.63,697757
74.62,77.38,77.48,74.16,983618
76.54,77.79,77.82,75.185,1194866
78,77.86,79.06,77.27,1095637
78.26,78.21,79.21,77.64,705046
77.16,76.28,77.2,74.6,1839425
74.5,73.88,75.47,73.55,1261381
74.7,74.385,75.98,74.03,1356021
74.16,74.165,75.31,73.7211,1075855
74.44,75.325,75.54,74.23,1190513
75.07,76.36,77.1,74.7601,1759335
76.7,79.4,79.4501,76.35,2334933
79,79.77,80.01,78.93,1315909
79.54,80.03,80.65,79.02,1169411
79.99,81.135,81.53,79.74,1720485
81.03,79.99,81.68,79.76,1292771
79.09,78.27,79.74,77.6,1809936
78.87,79.22,79.4133,78.02,1197755
78.69,77.19,78.8977,76.79,1586262
77.2,76.83,78,76.07,1263557
77.11,76.66,77.67,76.095,1029929
77.23,77.32,77.95,76.966,751564
76.81,76.5699,77.24,76.02,853145
76.88,76.69,78.12,76.13,1111015
77.36,77.855,78.15,76.76,844067
77.61,77.78,78.8803,77.6015,1451379
77.835,77.18,78.2,76.71,1047286
76.84,78.465,78.88,76.84,1502781
78.64,79.67,79.96,78.54,1998911
79.39,80.765,81.38,79.2,1328366
80.39,79.575,80.9,79.185,1510527
61.82,59.1284,62.4475,57.78,5247986
60.05,60.375,60.7926,59.415,2829148
60.75,60.96,61.61,60.39,2986590
61,62.05,62.45,60.48,3018266
61.96,62.39,62.53,61.14,1489054
63.19,62.21,63.19,62.12,2089588
62.46,63.11,63.77,61.96,1961717
59.01,60.17,60.22,57.76,4580218
60.03,59.98,61.86,59.5062,3633981
60.11,59.93,61.37,59.87,2166817
60.37,59.82,60.7,59.81,1254576
59.82,58.47,59.95,58.46,1851777
58.44,58.4,58.59,57.9,2439666
58.45,59.31,59.4,58.14,2667914
59.73,60.07,61.09,59.55,1562866
60.1,59.75,60.13,58.98,1419273
59.87,58.86,60.01,58.83,1634929
58.75,57.69,58.88,57.52,913966
57.65,57.4,57.99,56.58,2356797
57.16,58.59,58.65,56.9,1802690
58.79,59.91,60.005,58.79,1640760
60.25,59.71,60.49,59.6,867099
59.94,60.14,60.59,59.78,777745
60.12,59.1,60.15,59.01,1371980
59.37,59.3,59.65,59.03,862480
59.55,59.79,60,59.51,988560
60,60.51,60.87,59.96,823698
60.38,60.13,60.68,59.674,653818
59.85,61.23,61.43,59.66,810116
61,59.8,61.05,59.75,975461
59.86,58.87,60,58.64,897926
59.1,59.32,59.62,58.31,898011
58.9,58.79,59.76,58.6,948665
58.81,58.88,59.54,58.69,814265
59.3,60.11,60.12,59.21,1009379
60.62,61.01,61.02,59.94,693267
60.96,60.68,61.21,60.51,1012879
60.95,60.55,61.07,60.08,1192969
60.61,61.36,61.56,60.31,1536476
61.61,62.73,63.02,61.39,1625495
62.65,61.63,63,60.8666,1453632
61.54,62.01,62.02,61.42,799744
62.01,61.84,62.155,61.51,827908
61.93,60.92,62.01,60.56,1120222
61.37,61.78,62.11,60.51,1072590
61.97,61.92,62.34,61.37,734290
62.14,61.36,62.28,61.2,1321587
61.44,60.74,61.44,59.79,1770643
61.03,61.48,62.1,60.105,1733851
61.33,61.4,62.69,61.2484,1017771
61.32,63.25,63.45,61.05,1324054
63.2,64.18,64.56,63.03,913205
63.78,63.88,64.12,62.94,963107
64.07,64.49,64.75,64.055,664179
64.34,63.49,64.76,63.29,1248801
63.69,64.06,64.11,63,987789
64.06,62.44,64.2,62.18,1501843
62.51,62.76,62.88,61.45,2123213
63,63.23,63.65,62.59,1641345
62.6,63.35,63.55,61.11,2173995
65.81,66.71,69.9,64.98,4302357
67.04,68.71,68.87,65.55,2893185
67.93,69.26,69.67,67.35,2181353
68.92,68.9,69.27,68.04,2099174
