Open, Close, High, Low, Volume
19.86,19.84,19.86,19.64,5245606
19.87,19.86,19.94,19.77,5328877
19.81,19.79,19.88,19.65,4157823
19.84,20.14,20.17,19.81,6728210
20.3,20.59,20.63,20.21,6083813
20.65,20.3,20.65,20.185,5324159
20.41,20.05,20.43,20.03,6234279
20.17,20.05,20.27,20,4110804
20.09,20.14,20.16,20.03,2750109
20.15,20.18,20.29,20.13,1743888
20.23,20.16,20.26,20.115,2099191
19.97,20.11,20.13,19.84,2574413
20.13,19.86,20.13,19.85,2226279
19.97,19.95,20.03,19.77,3251872
19.94,19.87,20.08,19.82,3557444
19.85,19.825,20,19.785,3921457
19.87,19.85,19.9,19.72,2958995
20,20.4,20.41,19.89,6415475
20.4,20.44,20.47,20.255,7447188
20.35,20.645,20.819,20.26,9476414
20.76,20.58,20.782,20.44,5669105
20.63,20.35,20.66,20.31,3869409
20.4,20.32,20.72,20.295,5342855
20.43,20.93,20.96,20.37,4701561
20.89,20.505,20.89,20.445,4801436
20.5,20.73,20.745,20.5,3022834
20.76,20.8,20.82,20.655,2984983
20.84,21.29,21.335,20.78,4120182
21.32,21.3,21.53,21.21,4889804
21.31,21.16,21.43,21.04,3870462
21.27,21.23,21.3,21.08,2307263
21.14,20.96,21.21,20.9,2816383
20.83,20.83,20.93,20.73,3535789
20.87,20.755,21.11,20.64,5787552
20.76,20.55,20.89,20.47,4293995
20.44,20.1,20.54,20.04,4670714
20.05,19.345,20.2,19.235,7156633
19.04,19.43,19.53,18.76,10262423
19.36,19.44,19.78,19.3,5240629
19.45,18.74,19.47,18.74,5997183
18.97,19.53,19.685,18.82,9057099
19.58,19.41,19.63,18.955,7010467
19.3,19.53,19.61,19.05,5122889
19.33,19.63,19.64,19.13,11469769
19.7,19.56,19.76,19.27,9039655
19.59,19.87,19.94,19.52,6075804
19.8,19.51,19.96,19.5,4120004
19.3,19.22,19.57,19.18,6677324
18.8,19.09,19.5499,18.5,11384811
19.2,19.2,19.285,19.06,5664384
19.25,19.01,19.38,18.98,4699052
19.06,18.48,19.08,18.47,7058543
18.54,18.55,18.91,18.5,8018941
18.51,18.4,18.74,18.23,7705780
18.3,18.43,18.5,17.98,8410836
18.25,18.11,18.35,18.02,12339607
18.19,18.2,18.3,18.045,9357382
18.1,18.53,18.64,18.08,7004799
18.58,18.62,18.63,18.38,4536590
18.74,18.91,18.91,18.61,3854527
18.86,18.725,18.9,18.68,4513748
18.8,18.7,18.92,18.65,5212488
18.78,18.92,19.05,18.76,6586832
18.96,19.04,19.07,18.81,4743286
19.08,19.17,19.225,18.93,3801705
19.13,18.93,19.145,18.76,3061351
18.99,18.94,19.125,18.85,2995162
18.9,18.76,18.96,18.66,3789329
18.65,18.41,18.8,18.4,3392599
18.45,17.98,18.46,17.935,3520644
18.16,18.395,18.46,18.09,3432664
18.39,18.34,18.58,18.2,3902365
18.4,18.56,18.84,18.4,6803535
18.6,18.63,18.81,18.52,4779122
18.66,18.29,18.7,18.14,4599409
18.38,18.66,18.72,18.33,4062262
18.48,18.81,18.83,18.4,3576502
18.85,18.65,18.92,18.545,5039444
18.56,18.44,18.73,18.355,3511711
18.5,18.245,18.54,18.23,4057163
18.41,18.25,18.5,18.22,5754357
18.21,18.47,18.615,18.16,5740010
18.58,19.22,19.335,18.43,11266353
19.33,19.14,19.4,19.04,6096514
19.29,19.44,19.57,19.25,4448821
19.46,19.66,19.71,19.385,6600547
19.72,19.795,19.87,19.59,4453170
19.73,19.46,19.78,19.365,4388072
19.46,19.43,19.56,19.37,3481398
19.44,19.47,19.53,19.325,2861895
19.59,19.3,19.59,19.185,3675194
19.27,19.615,19.62,19.22,5643185
19.62,19.61,19.74,19.5,4282807
19.58,19.75,19.86,19.52,4514854
19.78,19.55,19.815,19.48,5049864
19.58,19.53,19.635,19.34,2255085
19.43,19.43,19.525,19.32,4138245
19.49,19.435,19.85,19.36,7909459
19.46,19.83,19.99,19.4,5852697
19.91,20.11,20.13,19.78,4178134
20.14,20.04,20.16,19.97,4045724
20.11,20.595,20.63,20.055,5571793
20.67,20.93,20.96,20.61,6130855
20.94,20.73,21.025,20.72,4228187
20.8,20.89,20.96,20.65,5086777
20.75,20.34,20.81,20.29,6933463
20.35,20.22,20.45,20.07,7845723
20.28,20.31,20.44,20.245,4352733
20.34,20.51,20.535,20.235,5056286
20.66,21.11,21.12,20.62,6536658
21.1,21.24,21.29,20.965,5073858
21.19,21.415,21.57,21.17,4791547
21.45,21.66,21.7,21.4,8799102
21.65,21.57,21.73,21.465,3503362
21.43,21.53,21.66,21.36,5291322
21.53,21.82,21.965,21.53,4247096
21.78,21.63,21.88,21.62,5651915
21.78,21.9,22.47,21.61,4073506
21.99,22.15,22.175,21.9,3423618
22.07,21.97,22.09,21.855,4092080
22.15,22.25,22.25,21.95,5234074
22.27,22.1,22.27,21.99,3626702
22.01,22.09,22.14,21.87,5501526
21.85,21.58,21.93,21.52,6068522
21.58,21.47,21.67,21.42,5853620
21.47,21.09,21.595,21.07,4476261
21.19,21.34,21.48,21.19,5118673
21.36,21.29,21.41,21.235,5288480
21.17,21.19,21.34,21.08,3839083
21.01,21.12,21.27,20.974,3817235
21.23,21.5,21.52,21.18,4357343
21.41,21.64,21.67,21.3,6742183
21.67,21.41,21.775,21.35,4725003
21.4,21.04,21.435,21.02,6740552
21.07,20.955,21.16,20.9,5657746
20.99,21.06,21.39,20.7801,13734707
20.94,20.85,20.95,20.74,6297813
20.86,21.06,21.24,20.765,6191001
21.05,20.83,21.08,20.71,4857361
20.84,21.03,21.19,20.81,3821674
21.06,21.11,21.13,20.86,3455522
21.14,21.33,21.34,21.08,3244322
21.34,21.34,21.44,21.18,4663911
21.45,21.38,21.62,21.31,4323198
21.34,21.13,21.34,21.075,3791672
21.17,21.17,21.25,20.96,2482034
21.21,21.17,21.28,21.1,2694200
21.15,21.025,21.19,20.9,2578376
21.06,21.05,21.12,20.94,3764406
21.07,21.12,21.2,20.99,4314212
21.06,21.475,21.535,21.02,4817236
21.4,21.29,21.449,21.24,4268419
21.32,21.585,21.59,21.28,5192384
21.63,21.13,21.74,21.08,5974687
21.12,21.04,21.16,20.73,7968572
21.1,21.08,21.24,21,3376673
21.17,20.8,21.17,20.78,2733735
20.81,20.685,20.84,20.63,3898186
20.76,20.93,21.01,20.645,6287230
20.92,21.51,21.54,20.87,7178465
21.39,21.94,21.98,21.33,10174746
21.94,21.63,22.06,21.57,11452193
21.56,21.63,21.71,21.42,4970727
21.58,21.39,21.58,21.3,6833870
21.46,20.54,21.75,20.47,12023469
20.53,20.5,20.65,20.45,10444440
20.41,20.27,20.48,20.14,7329273
20.27,20.11,20.39,19.98,5471302
20.1,20.3,20.43,20.1,4739614
20.26,20.79,20.86,20.2,7990288
20.79,20.9,21.1,20.73,4330669
20.86,20.92,20.97,20.65,5425928
21.03,20.9,21.11,20.87,8140647
20.95,21.07,21.175,20.89,7183361
21.09,21.31,21.4,21.01,5948955
21.33,20.9,21.355,20.825,4751670
20.86,20.95,21.05,20.81,2907626
20.96,20.92,20.975,20.81,4582773
20.99,21.4,21.4,20.96,6994010
21.44,21.65,21.87,21.44,6539834
21.66,21.75,21.89,21.55,4577230
21.7,21.55,21.94,21.51,6770011
21.57,21.22,21.63,21.17,4359181
21.16,21.25,21.38,21.13,5033837
21.33,21.27,21.41,21.17,4533101
21.25,21.42,21.45,21.155,6166294
21.53,21.28,21.57,21.28,3710677
21.15,21.3,21.43,21.1299,4981984
21.29,21.35,21.48,21.22,3879812
21.46,21.48,21.57,21.4,4667707
21.46,21.57,21.575,21.195,5326949
21.59,21.39,21.62,21.34,4094847
21.38,21.49,21.6,21.315,6656302
21.51,21.13,21.53,21.06,8132960
21.17,21.21,21.27,20.94,9386826
21.19,21.12,21.37,21.11,7840919
21.12,20.88,21.15,20.755,5356606
21.05,21.16,21.419,20.95,6631934
21.14,21.03,21.29,21.02,5080150
20.98,21.2,21.25,20.89,4446531
21.17,21.09,21.265,20.97,5104445
21.1,20.97,21.13,20.91,3266384
20.92,20.72,20.98,20.71,4232477
20.73,20.78,20.92,20.59,4294233
20.78,20.26,20.78,20.155,5751704
20.18,20.11,20.26,20.04,4037846
20.17,20.45,20.49,20.08,3164272
20.43,20.15,20.45,20.11,3377332
20.12,19.79,20.22,19.77,6951392
19.81,19.24,19.81,19.12,7715569
19.39,19.18,19.54,19.04,5265120
19.13,19.18,19.375,19.115,5789390
19.26,19.44,19.51,19.16,4092071
19.44,19.32,19.485,19.16,2884841
19.3,19.07,19.33,19,3010193
19.08,19.1,19.24,18.995,6931373
19.15,18.87,19.15,18.7901,3883455
18.62,18.7,18.75,18.3,5548037
18.74,18.35,18.77,18.32,8261489
18.43,18.73,18.89,18.37,6310456
18.55,18.43,18.66,18.11,6939818
18.61,18.685,18.93,18.52,4419788
18.75,18.975,19.07,18.63,5332191
19.05,19.13,19.42,18.765,7839163
19.12,19.33,19.415,18.89,7644673
19.72,18.67,19.89,18.6,6495952
