Open, Close, High, Low, Volume
254.63,256.26,258.07,253.24,614947
258.28,250.63,258.8,250.41,897172
252.56,253.61,257.24,250,1289678
253.36,246.54,253.37,246.35,898260
245.72,245.28,248.09,242,927747
245,245.13,247.25,244.41,709705
244.93,243.59,246.55,243.29,553039
244.27,245.03,245.37,242.805,417738
245.09,246.25,249.93,245.09,518167
246.01,248.16,249.75,245.48,478702
248.5,249.02,250.49,247.705,341845
250.03,248.16,250.98,247.97,304656
249.36,251.65,252.86,248.01,555032
252.03,251.17,256.6,250.25,903009
252.86,258.54,259.97,252.86,921103
258.42,264.44,264.9,258.39,879711
263.88,258.44,263.88,257.05,742475
257.86,263.3,264.08,257.55,776736
262.27,263.1,263.84,261.01,653637
263.88,265.2,267.12,262.56,590450
268.93,268.08,271.9899,265.18,1259257
268.97,270.11,271.97,267.58,861573
271.99,275.75,276.07,270.6,649307
276.29,279.58,280,275.15,768625
280.77,279.31,280.93,277.16,698007
279.08,282.02,282.16,277.5,505244
280.74,283.19,283.93,278.18,621347
283.89,286.31,287.15,282.19,714929
286.14,285.93,287.24,283.155,562882
287.87,288.29,289.02,285.75,455572
288.77,291.22,293.35,288.28,634804
277.47,282.33,285.93,277,1205345
287.95,281.86,290.92,280.9,750464
281.79,279.58,283.14,276.47,711730
279.53,275.6,279.8,273.87,627310
275,267.21,276.465,266.34,668160
262,269.54,271.68,261.03,912371
263,265.06,268.39,260,1263348
266.52,262.35,273.36,262.03,1445769
264.6,265.42,268.04,261.13,1051876
266.44,267.09,269.76,264.935,692631
263.93,268.07,269.28,261.25,608614
268.24,267.63,268.95,266.18,697027
268.95,267.45,269.96,263.12,618093
266.88,268.97,270.68,266.23,426675
267.72,267.32,268.74,266.111,517522
267.97,266.45,270.36,266.31,439883
268.27,267.76,270.705,267.31,582662
268.74,271.39,271.48,267.14,548289
271.78,275.04,275.27,269.08,500545
274.61,276.61,280.61,272.25,651694
277,272.01,278,271.9,608320
271.63,269.69,275.34,266.94,604768
268.64,269.66,271.66,267.2601,511741
268.24,270.67,271.02,265.821,416613
270.58,273.11,273.47,267.6,495882
271.29,273.25,273.81,269.95,474099
269.05,269.52,273,265.03,1194068
270.38,272.38,275.66,267.01,711758
271.09,268.33,272.49,266.92,671786
270.25,269.95,270.88,268.04,583621
270.18,270.51,271.91,269.06,459992
271.22,271.08,273.05,269.66,529611
271.66,272.76,273.94,270.93,706801
272.42,270.14,274.09,268.435,560818
270.64,273.6,275.92,268.98,614495
273.84,270.81,275.29,270.49,607416
270,265.74,270,265.55,505441
265.5,261.62,267.9,261.35,408415
