Open, Close, High, Low, Volume
135.81,135.61,137.58,134.96,200153
135.72,134.93,136.37,134.29,141632
133.52,132.59,135.17,132.38,341097
132.63,129.31,132.98,128.73,310610
130.61,128.98,131.91,128.25,344867
128.59,125.68,129.96,124.87,462516
124.73,125.02,126.92,124.2,382428
125.43,123.7,127.88,123.29,362136
123.06,118.45,123.06,118.45,153513
119.21,123.59,123.74,117.7164,232533
121.55,125.49,125.49,120.43,260097
126.07,123.92,126.07,123.39,376608
124.8,125.8,126.4,124.38,198764
124.56,124.7,125.23,122.88,210299
124.71,121.44,124.81,120.855,229774
123.9,129.26,129.46,123.34,328345
129.45,132.345,132.64,128.76,480503
133.21,134.78,134.99,132.99,358760
135.6,135.36,136.395,134.38,280357
134.98,136.52,136.605,133.95,241826
135.93,136.475,136.89,134.47,207867
135.36,134.88,136.08,134.65,131842
134.99,134.49,136.055,133.43,166909
135.04,135.74,136.76,134.83,263952
135.29,137.92,138.83,135.29,169982
139.25,140.87,141.32,138.335,236901
139.17,137.15,139.59,136.47,192139
138.3,135.81,139.255,135.77,229694
136.19,136.59,137.85,135.765,204058
138.42,137.36,139.295,137.3,209483
134.84,135.65,136.61,134.47,339564
136.46,138.99,139.14,136.46,307517
131.25,136.955,138.23,130,479438
137.03,137.68,138.74,136.24,292287
137.75,137.89,139.23,137.18,170661
138.12,138.17,138.28,137.4588,152732
138,138.47,138.86,137.345,201663
137.86,138.23,139.17,137.86,155510
137.19,137.71,137.99,136.24,277507
137.34,139.8,140.02,137.34,315225
140.22,140.25,140.62,139.43,221329
141.27,142.75,144.54,140.65,242489
143.46,141.98,144.1,141.94,223245
141.28,141.15,142.92,140.96,334013
141.84,144.08,144.215,141.58,168242
142.34,142.465,142.82,141.47,245210
143,144.5,144.65,142.43,205346
145.29,144.83,145.99,144.5,206972
144.33,143.5,145.19,143.44,186815
143.22,144.97,145.22,142.87,207245
144.76,144.09,144.81,143.24,160419
145.28,144.82,145.51,143.83,147158
145.76,145.54,146.67,144.3,184514
145.55,144.8,146.49,144.5,308862
