Open, Close, High, Low, Volume
152.58,154.17,154.4,152.1,253951
154.76,154.36,155.43,153.99,124124
154.12,154.39,154.76,153.35,119297
154.75,153.07,154.89,152.99,119692
153.23,151.83,153.48,151.45,102830
152.25,152.49,152.57,151.55,101222
152.89,152.2,152.98,151.97,56108
152.57,152.85,153.42,151.76,78756
152.68,153.76,153.91,152.09,156216
154.17,152.62,154.8,152.59,91444
153.04,154.45,154.45,152.54,158169
154.93,155.74,156.59,154.4255,152827
156.25,153.75,157.22,153.59,190021
154.46,156.88,156.93,154.21,152827
156.84,155.78,156.84,155.45,121241
155.93,154.24,156.49,154.14,112502
154.3,153.78,154.75,152.29,186473
154.5,153.55,154.5,152.83,284300
154.17,153.64,154.2,152.22,258547
154.7,152.53,155.44,152.11,109399
155.44,156.53,157.4,154.93,611431
156.24,155.13,156.88,153.17,211796
155.83,155.18,155.83,154.48,288809
154.82,153.06,154.98,152.7,284746
153,153.01,153.37,151.31,201569
153.02,152.87,153.8699,151.89,187617
153.61,154.81,155.13,153.0827,344538
155.27,153.45,155.27,153.23,320911
153.4,150.9,153.89,150.88,225867
150.23,149.93,150.89,148.58,275241
150.34,150.3,151.35,148.995,275312
149.48,148.06,150.48,146.92,344224
146.94,146.12,147.81,146.07,247609
145.35,140.95,146.86,140.94,227053
139.29,142.4,142.53,137.85,358140
141.97,142.66,144.86,141.42,199671
142.13,138,142.66,137.93,248821
139.36,140.42,141.27,136.855,240191
141.04,142.37,143.25,140.55,164715
141.63,143.06,143.39,140.22,277582
141.94,144.85,145.12,141.08,456544
138.93,144.02,145.09,135.08,465812
143.58,141.78,144.59,141.43,309557
141.36,142.38,144.03,141.1,291095
142.57,141.47,143.41,141.43,302033
142.23,142.66,143.97,141.75,248729
143.67,145.87,145.89,142.42,190893
145.76,145.46,146.13,143.42,138334
145.75,142.59,145.9,142.58,184561
142.68,141.19,143.62,141.19,168599
141.41,138.39,141.77,138.03,204353
137.86,137.84,138.53,136.86,458651
137.34,138.52,139.27,137.05,633856
139.48,139.57,140.27,138.85,764375
138.57,139.3,140.1303,137.985,374719
139.85,139.03,140.03,137.93,539564
139.97,141,141.24,139.4,468316
141.34,142.12,142.81,141.03,209231
143.01,141.25,143.51,140.8,158355
141.67,139.32,141.69,139.09,204833
139.17,139.03,140.06,138.83,243125
137.63,138.71,139.09,136.41,487523
138.01,137.84,139.2,137.06,222363
138.01,135.62,138.01,135.25,333587
135.86,136.05,137.5,135.37,279371
135.46,133.31,135.86,133.22,272236
133,132.56,135.12,132.49,371659
133.61,135.84,136.14,133.61,269439
135.89,135.41,137.99,135.05,266163
135.71,135.05,136.74,134.82,191020
135.73,136.91,137.89,135.23,179187
136.83,134.06,136.95,133.15,278422
134.33,135.33,135.875,133.67,233642
134.2,137,137.15,133.62,126619
137.74,138.33,138.92,137.17,160159
137.35,135.31,138.3,134.53,172118
135.91,135.86,137.39,134.92,172243
136.86,137.03,138.17,135.44,206334
136.11,136.43,137,135.58,191742
137.01,137.32,137.7,136.56,266830
137.86,137.63,138.21,136.84,256855
138.56,140.43,140.53,137.74,208394
141.12,142.04,142.3,140.83,256151
142.28,142.96,143.48,141.8,257292
142.45,141.58,142.96,140.235,299822
141.99,141.67,142.46,140.125,794892
141.51,141.03,141.92,140.3,142066
141.31,138.28,141.42,137.8,271558
137.88,140.29,140.71,136.96,335630
140.63,142.06,142.55,139.45,216666
141.92,142.69,143.14,141.37,244882
142.96,141.23,143.51,141.12,170476
140.51,142.04,142.04,139.45,215782
141.7,140.07,142.509,139.6,197633
139.81,140.06,140.93,139.32,222245
139.51,142.15,143.08,139.45,284744
136.94,126.79,137,126.08,2801838
126.91,126.48,129.69,125.34,2053207
127.11,130.33,131.15,126.05,1152520
131.04,127.4,131.04,126.8,890790
127.97,127.59,128.62,127.33,671300
125.39,126.24,127.31,124.6838,1109060
125.9,123.94,126.18,123.3636,871944
123.62,124.05,125,123.19,842847
124.44,125.1,125.76,123.92,699545
125.33,126.32,128.38,125.28,1029343
127.25,125.01,127.25,124.75,508793
125.62,124.97,125.99,124.68,647042
125.1,125.15,125.66,124.1,675537
125.2,124.97,125.35,123.7,450605
124.38,125.41,126.25,124.36,824030
124.9,124.12,125.49,123.8,540239
124.48,124.79,125.18,124.11,400398
125.28,122.13,125.28,122.11,647673
123.02,124.03,125.28,122.88,727452
124.53,124.55,124.98,123.29,579391
124.92,124.45,125.76,124.31,616680
124.77,125.6,125.61,123.38,525277
125.44,126.2,127.07,125.11,500784
125,126.41,126.87,124.75,379402
125.96,125.56,126.35,124.74,411308
125.56,124.43,125.84,124.11,785498
124.67,123.53,124.67,123.19,601928
124.23,124.52,125.12,123.16,867388
124.69,126.21,126.337,124.15,697221
125.06,125.58,125.94,125.0201,481517
124.75,125.3,125.65,124.4069,475847
125,125.52,125.93,124.56,322595
125.23,124.65,125.71,124.41,416211
124.34,124.61,125.05,124,224750
124.59,123.66,124.8,123.14,300503
123.81,123.2,124.1,123.1,293869
123.78,123.1,125.05,123.08,305021
123.15,123.71,124,122.12,346954
124.21,123.94,124.55,123.53,282648
123.72,123.57,124.09,122.935,284345
124.09,122.92,124.53,122.72,206861
122.93,124.5,124.52,122.8501,390375
123.61,125.21,125.49,123.61,258122
125.24,125.75,125.87,124.92,281288
125.81,128.92,129.19,125.37,591276
128.09,127.77,128.79,127.5,581756
128.7,128.17,128.7,127.83,228354
128.11,128.23,128.73,127.83,195900
128.56,127.39,128.56,126.98,323979
127.39,128.98,129.205,127.17,238442
129.21,128.26,129.9499,128.16,355879
127.89,129.89,130.01,126.71,427853
129.92,128.93,130.05,128.22,355789
128.5,127.21,128.54,127.02,499585
128,128.47,129.1999,127.07,408703
128.43,129.13,129.53,126.79,354733
129.39,131.27,131.53,129.3787,232881
131.28,131.22,132.485,130.5,214791
131.27,130.36,131.91,130.17,250524
130.62,132.76,133.07,130.62,333456
132.5,132.31,133.18,131.85,497027
131.88,132.18,132.785,131.52,501376
132.8,134.19,134.46,132.696,490459
133.49,134.09,135.48,132.42,567069
134.48,134.22,135.22,133.3417,544739
133.74,134.27,135.69,132.07,598845
134.89,134.45,135.37,134.18,420191
133.75,132.4,134.48,132.36,546750
132.41,131.26,133.2,130.74,349740
131.26,131.31,132.63,131.24,258149
130.83,131.16,131.28,129.76,253378
131.79,131.63,132.23,131.41,294492
131.87,132.2,132.84,131.66,591142
132.76,133.69,133.86,132.41,225759
133.86,133.09,134.51,132.71,357168
133.2,131.6,133.2,131.16,216168
131.13,130.85,131.34,130.45,339904
131.18,131.71,131.755,130.08,138253
131.88,131.23,131.98,130.95,312864
131.25,130.41,131.56,130.06,213016
130.39,130.27,130.44,129.36,243094
130.12,129.88,130.65,129.12,321699
129.55,130.28,130.53,129.24,270787
129.87,129.6,130.065,128.08,559784
129.31,127.72,129.85,127.58,685675
127.8,129.88,130.95,127.8,1154726
129.22,127.06,129.58,126.73,478360
127.5,128.64,128.78,127.19,485243
126.45,127.3,128.82,124.63,779698
127.4,131.16,132.16,126.95,1402601
135.25,137.28,138.66,133.85,4431467
137.95,136.5,138.29,135.575,1189706
136.2,136.48,137.44,135.25,1205341
136.68,138.26,138.65,136.245,862110
138.44,137.51,139.2,136.665,882995
138.63,139.91,140.42,137.83,1191193
139.87,140.48,141.68,139.5,1337384
139.9,138.65,141.04,138.495,863882
138.75,137.03,139.61,136.78,768326
