Open, Close, High, Low, Volume
313.86,313.58,317.61,309.35,851283
314.4,303.46,320.68,301.76,1086335
302.82,292.4,304.31,288.06,1550655
292.46,278.96,295.87,278.8,2027709
276.07,272.34,280.48,269.08,735430
273.87,293.42,293.7,273.87,1126030
287.78,299.52,299.64,285.22,1200135
303.26,297.54,305,295.36,638741
300.9,297.47,304.89,295.58,428916
294.71,294.3,297.9,289.9162,648076
298.69,284.92,298.69,283.7874,1077558
290.31,303.02,303.45,290.0297,1061095
301.84,308.32,314.115,301.06,844064
292.03,293.44,298.84,284.4,2285201
296.2,305,306.125,295.5012,1082670
304.42,309.7,309.79,299.35,542192
307.45,306.77,309.17,303.11,560555
303.74,299.28,305.24,299.01,585660
300,305.09,307.39,300,698168
305.99,305.67,312.525,305.05,604929
306.26,310,313.38,306.1,423148
313.85,312.06,314.745,306.26,923778
311.64,302.875,312.365,301.64,635027
303.53,301.83,308.13,297.0701,646351
303.39,301.41,304.43,298.49,533033
300.96,293.643,303.99,293.3,1142354
293.48,287.25,293.48,287.21,1143793
289.04,285.21,289.62,280.52,1197043
276.13,272,281.75,268.62,2507278
273.03,280.2,284.13,273.03,1250434
280.11,282.525,286.31,279.53,866477
283.41,280.93,284.99,278.35,614140
280.93,282.21,284.2,279.31,914194
280.24,284.28,285.36,280.24,615959
282,276.51,283.17,274.35,752872
275.51,283.83,284.97,275.1,884101
285.39,284.3309,289.595,283.91,574496
287.79,292.07,292.83,287.02,589556
293.66,293.72,296.62,290.7112,719437
292.34,292.96,295.2561,291.86,500842
296.56,299.34,299.79,294.02,613210
299.62,302.11,304.52,299.14,685844
303.17,302.24,303.55,298.01,650129
302.22,296.755,302.99,295.55,560428
297.56,301.04,301.995,297.56,428953
302.82,304.74,306.31,301.92,502434
304.63,301.21,305.05,300.31,807403
300,309.16,309.37,299.501,632985
309.27,312.87,314.68,308.37,1161647
313.93,321.19,322.32,313.57,974960
321.24,307.79,321.655,304,1132187
308.52,303.79,308.91,303.21,524876
304.6,298.65,305.7,298.05,645085
298.41,291.91,298.66,289.28,1039000
287.76,294.51,294.93,285.4965,781226
295.39,300.07,300.49,294.865,584851
302,305.43,306.1,299.75,775979
306.5,308.28,310.85,306.38,559584
308.06,309.27,309.5,306.25,418554
308.77,309.88,310.23,306.65,413706
309.78,305.75,310.3,303.4188,617317
307.36,310.66,311.7,306.131,674345
310.92,315.29,316.73,309.76,762569
313.73,319.1,319.85,313.31,653389
319.08,308.78,319.267,308.4,905192
308,303.7,308.68,301.62,663822
305.97,307.5,308.98,304.15,485825
306.93,302.07,308.34,299.66,619914
303,305.14,305.9,301.12,448090
308.27,310.72,311.13,305.55,674895
314.45,316.85,317.42,314.075,367687
315,316.1,318.31,311.27,589613
318.86,319.28,321.73,317.04,554064
318.03,314.85,318.55,311.84,486007
317.36,323.5,323.62,316.16,733651
322.13,323.6,324,314.09,989134
320.92,316.41,322.565,315.37,837331
317.01,324.93,325.49,314.4,924155
325,328.52,328.58,322.81,831477
331.86,338.38,340.4,331.18,1349009
338.62,335.13,340.056,333.68,964620
336.1,329.5,339.79,327.18,704002
330.93,318.74,331.68,315.3501,1045096
321.77,319.01,323.46,312.5,989500
318.58,318.96,321.42,315.75,470883
315.42,321.97,325.12,314.01,1000013
321.96,314.25,323.42,314,747644
314.12,318.91,320.8491,312.5,1057009
315,313.91,315.8,305.185,2023052
313.74,311.89,316.75,306.85,1423501
312.49,311.9,315,309.305,926872
311.77,310.27,312.895,308.405,714456
309.22,312.65,314.9,308.63,693507
315.74,325.52,325.955,314.64,1062096
318.07,324.93,326.3,316,739629
321.45,320.56,323.26,317.52,791364
318.59,319.28,322.83,316.1,597602
318.32,317.42,318.755,310.64,924845
315.32,315.82,319.08,306.355,918643
307.95,300.86,309.9875,300.42,936163
303.25,304.55,307.38,301.55,946765
301.95,306.58,308.23,301,782912
307.41,309.92,310.55,307.41,692183
307.1,307.6,313.19,307.1,574183
304.62,300.59,306.9,300.35,680072
304.17,306.6,313.3,304.17,789574
304.44,312.7,314.21,303.95,557477
310,309,313.2,305.5,566786
311.64,312.51,315.5,311.64,531450
312.82,312.77,319.75,312.77,704721
310.42,308.28,313.91,307.2954,577606
309.26,311.23,313.73,309,574110
308.03,306.91,310.97,306.22,693226
306.88,303.69,312.55,302.72,903469
307.2,313.83,314.23,304.08,721555
315.56,317.98,319.57,314.57,566107
318.18,318.67,320,317.09,371667
321.04,335.49,340.11,320.475,1164854
335.03,337.12,341.24,334.57,959426
340.25,335.89,344.59,333.55,567931
334.53,339.27,340,333.89,449437
338.45,341.36,342.71,338.45,903405
341.3,344.01,344.36,340.43,1313130
344.92,351.11,352.605,344.69,735996
353.72,347.89,354.0999,347.4,864662
346.48,352.15,352.82,346.33,771291
355.32,358.63,359.79,352.25,865874
356.9,361.52,363.575,355.84,927355
361.6,357.75,363.28,357.6123,509132
358.21,357.99,362.16,354.8826,615441
358.15,356.4,358.995,354.48,565513
358.94,356.24,359.165,352.53,609947
357.77,368.37,369,354.64,718862
371.29,370.81,371.605,367.99,888908
372,371.38,372.48,365.31,416560
372.15,377.9,378.17,371.6193,436751
378.83,378.37,379.54,373.645,515655
377.59,375.18,378,372.1,612283
372.65,377.41,377.66,368.79,780111
376.5,372.7,380.76,371.38,1124329
371.31,363.62,371.31,359.03,1268455
310.25,305.04,312.47,303.92,7756525
305.17,302.25,306.9,300.52,3321679
303.1,302.26,306,301.46,1522153
302.3,302.88,305.11,302.09,1111069
303,298.66,304.9311,295.95,1449466
297.79,293.23,298.2,291,1548343
294.56,298.24,299.355,293.87,1042620
300,304.77,305.77,297.07,1323248
304,304.02,306.93,301.97,782506
304.73,298.72,304.73,297.92,720808
300,301.26,302.98,296.08,782076
301.34,304.44,305.2995,298.88,960941
298.86,300,304,294.83,2217651
300.76,299.17,303.935,296.4,1548546
300,301.84,306.07,298.63,1112061
301,297.38,301,292.58,788691
292.75,289.06,294.66,286.76,1116742
291.34,291.94,292.45,285.37,813039
290.07,292.87,293.77,285.59,681961
293.09,298.51,298.72,291.4,662763
297.43,294.1,299.4,292.36,682378
292.09,290.37,294.1,288.73,541504
289.53,293.99,297.88,288.01,666083
288.36,285.15,289.45,284.1445,840018
286.81,284.77,287.42,282.41,601730
288.17,286.12,291.355,285.49,789709
290,288.65,290,286.59,578535
288.65,284.58,290,284.51,535254
285.54,290.51,290.63,284.71,436761
290.27,288.66,291.355,285.71,369325
288.94,279.55,289.44,278.12,973888
281.93,282.27,282.778,279.2,684854
284.56,285.09,289,283.2509,501451
283.41,281.62,284.48,281.075,529214
285.69,284.93,286.71,283.38,536031
285.42,281.37,286.29,280.085,437900
279.88,272.17,280.36,269.86,1249474
274,271.73,274.69,268,1140318
274.62,271.68,274.62,271.16,1599040
271.26,270.04,272.96,269.63,1250345
271.5,266.84,272.25,265.41,1406828
264.56,276.04,277.46,263.3,1170262
278.39,289.69,289.87,277.825,1674722
292.2,297.51,300.29,291.95,1741822
299.74,300.91,303.675,297.81,1092421
299.19,300.89,303.18,296.8,704852
301.17,298.43,303.75,297.24,833822
298.69,303.01,303.13,297.78,815641
301.2,305.05,306.735,301.2,704993
303.47,309.57,310.43,302.82,1245468
307.73,305.69,309.48,304.8,568372
307.05,295.28,307.37,293.84,1170166
295.72,300.13,301.51,293.43,624218
299.88,298.72,302.305,297.42,519126
301.62,301.29,304.13,298.38,552160
303.32,304.32,306.06,300.01,496117
304.22,295.97,308.33,295.48,659521
294.9,288.34,295.32,285.67,1169976
288,296.89,296.99,286.05,689176
296.58,302.22,302.5501,296.51,1200448
300.68,301.48,305.5,299.03,792972
297.66,288.35,300.755,286,1881690
291.42,297.01,299.1,291.4,1509939
296.8,298.18,299.685,294.36,905655
302.34,302.38,307.5,302.1,1121430
302.62,310.31,310.42,302.49,1213768
309.97,312.17,313.2387,308.84,1028417
311.98,309.57,312.86,307.64,1093498
311.84,310.69,312.7,309.2,972719
311.26,309.6,312.48,307.175,1012965
310.23,313.82,314.97,310.23,403562
314.38,309.11,317.71,308.36,651513
309.77,312.56,315.63,308.54,541827
313.37,315.24,315.8,309.01,797828
298.85,290.58,299.4601,279.76,4693649
292.93,304.06,311.135,291.48,2244889
303,301.74,307.84,300,942675
301.58,296.5,302.215,292.9,982563
296.34,295.61,300.342,291.95,747468
297.28,300.45,303.79,296.8387,790776
302.97,303.5,305.46,300.14,628222
305.06,300.92,307.32,300.64,649446
300.9,297.28,301.325,293.06,706228
299.35,295.25,299.818,293.33,854949
293,293.23,294.95,290.26,803284
293.02,295.055,295.62,290.82,686283
295.87,295.73,299,294.25,491124
295.29,298.22,298.65,294.235,313994
299.56,298.44,300.24,294.8971,486901
301.05,305.98,306.49,299.235,653716
305.9,306.75,306.85,301.93,800684
307.31,311.02,313.84,307,768895
308.61,314.78,315.79,308.3875,735459
313.94,313,314.669,309.3594,445072
313.86,315.61,316,312.06,519888
315.52,317.22,318,314.21,616151
317,319.01,321.23,315.2747,686173
319.82,320.97,321.1,318.84,584357
320.21,320.76,322.784,319.62,361189
320.33,319.7,321.82,316.77,670240
317.52,322.98,323.37,315.515,619027
321.69,319.63,322.415,319.36,646018
320,319.86,321.34,318.99,361767
321,326.48,328.39,319.644,837311
326.19,326.59,328.05,323.6,694227
326.01,327.02,329.3,324.11,700780
326,320.36,326,317.435,697746
320.89,321.9,324.93,319,690019
322.62,324.79,326.03,319.57,557802
327.35,327.835,328.85,325.17,710104
328,323.63,328,320.51,578826
