Open, Close, High, Low, Volume
95.6,98.11,99.5185,95.6,949737
98.82,96,99.5,95.86,855928
97.41,96.43,97.41,94.45,1368568
96.92,93.56,96.93,93.3199,962908
93.81,95.02,95.25,93.25,1038713
95.39,94.03,95.95,93.521,959784
94.49,96.36,97.19,93.81,776721
96.03,95.82,96.215,94.72,609575
95.56,95.41,96.12,95.16,355676
95.62,96.49,96.95,95.35,644903
96.44,95.37,96.95,94.4,788436
95.54,94.72,96.15,94.7,906845
97.36,100.9,101.649,94.71,1368202
101.75,100.98,102.63,100.71,1108838
101.86,98.44,101.97,97.6,1111679
99.02,99.82,100.65,98.5,1114604
99.4,100.78,101.02,98.29,1121601
101.39,96.29,101.9,96.16,2064753
96.12,96.63,97.24,94.37,974219
96.45,93.04,96.61,92.52,2596496
93.68,94.06,94.49,92.91,1244210
94.07,91.65,95.22,91.23,1574351
92,90.32,92,88.81,2009936
90.1,91.92,93.5102,89.98,1441834
92.23,93.18,93.58,91.55,1079523
93.38,94.08,95.33,92.65,1631499
94.1,94.61,95.164,93.88,907173
94.75,95.34,96.44,94.33,1038034
95.41,94.271,95.78,93.66,833631
94.84,95.49,95.685,94.06,889790
95.9,93.54,95.94,93.27,947858
92.93,92.51,93.37,91.66,982229
92.61,90.29,92.7552,89.77,968629
90.52,89.64,91.2681,89.27,751650
89.11,85.93,89.45,85.75,1851941
86.09,85.35,87.9,85.31,1492393
85.06,88.12,88.33,84.21,1656496
87.25,86.34,88.05,86.09,826187
86.4,83.92,87.23,83.88,1330395
84.45,84.5,85.385,80.85,1804549
84.99,87.54,88.36,84.99,1167828
87.25,88.02,88.835,85.891,1106818
87.31,88.16,89.12,86.21,1777550
87.9,85.59,92,83.75,1944605
85.55,85.99,88.2284,84.51,1883372
85.6,85.51,87.561,84.58,932921
85.36,84.71,86.985,84.66,967207
85.16,85.2,87.54,85.02,856620
85.43,87.8,88.015,84.88,1061374
88.56,87.53,91.2835,87.12,726699
87.68,86.57,88.74,86.39,659286
86.55,85.17,87.1102,85.14,819707
84.88,83.07,85,81.25,1782496
82.3,86.59,86.89,82.05,901921
86.16,90.97,91.23,85.35,1370828
91.21,91.11,92.7,89.86,1192150
90.53,91.7,92.19,90.5283,824416
91.81,92.42,92.74,90.8473,892922
93.02,94.23,94.79,92.86,1102392
94.55,94.45,95.1599,93.7,821577
94.57,94.66,95.64,93.47,1164653
95.4,92.28,96.33,92.0039,2190181
92.29,88.69,93.25,87.95,1296400
89.2,90.02,90.56,87.36,1066385
89.5,86.28,89.71,85.13,1009462
86.5,87.02,87.3441,85.8701,1004952
87.45,88.79,89.75,87.06,843299
87.64,85.24,88.5,85.18,1024208
85,83.08,85.6899,82.765,794363
84.5,86.37,86.47,82.78,777544
86.93,85.04,88.66,84.57,1042049
86.26,84.96,87.89,84.33,1126416
85.06,83.33,85.68,83.31,1060919
82.81,80.59,83.38,79.39,1216563
81,81.885,82.46,79.27,669117
80.84,83.97,84.4,80.3142,780028
84.8,83.06,84.8,82.54,899253
65.99,64.01,69.49,63.43,22117777
64.52,65.37,67.23,61.3,6887636
66.21,68.12,68.66,65.4,2248661
67.51,66.3,69.11,65.75,1479476
67.47,69.83,70.58,67.05,3016858
70.32,70.12,70.62,68.89,1798127
70.49,70.37,71.245,68.76,1559474
70.68,70.53,71.08,70.06,1264772
70.47,70.08,71.18,69.93,1193464
67.72,69.06,70.38,67.0101,3055826
69.29,68.43,69.41,67.7501,2572940
68.83,68.14,69.91,67.7,1823000
65.66,62.345,66.255,62.07,6534419
62.61,62.99,63.9299,62.3501,3159604
63.47,62.62,63.47,61.61,2557197
62.83,62.96,63.62,62.45,2353693
62.99,61.92,63.14,61.5,2201910
62.06,60.85,62.959,60.625,2355970
60.94,61.06,62.21,60.9,2947591
60.89,62.39,62.43,60.225,1939287
62.3,62.13,63.87,61.75,2115330
62.38,62.85,63.85,61.94,2257842
62.54,62.87,63.5,62.2733,1312912
62.78,64.37,64.48,62.6552,1820645
64.55,65.28,65.76,64.53,2655621
65.39,66.45,66.91,64.61,2125017
66.43,67.22,67.85,65.81,1648771
66.72,67.24,67.839,66.25,1464691
67.12,67.02,67.6,65.73,1484112
65.26,66.64,67.52,65.1,1207699
66.77,67.83,68.1256,66.5,1253066
68.2,66.8,68.24,66.56,903835
67.02,66.56,67.52,66.38,764202
66.06,66.57,66.98,66,599607
66.71,66.67,66.86,65.55,933773
66.89,68.43,69.18,66.825,1084305
67.85,67.06,68.12,66.35,820942
67.38,67.85,68.18,66.77,740942
67.98,68.28,68.83,67.36,895662
68.53,67.91,69.61,66.5,1593003
67.89,68.03,68.45,66.95,801783
68.07,68.41,68.6,67.25,832140
68.6,68.55,69.05,67.91,933356
68.91,69.03,70.2,68.27,1486434
69.1,70.02,71.41,68.835,1220299
71.27,69.35,71.85,69.34,1182291
69.24,70.58,71.41,69.24,774742
70.91,70.55,71.95,70.13,899356
70.87,73.64,74.335,70.77,2256205
74.04,73.97,74.64,71.85,1955459
73.03,72.03,73.54,71.13,2382921
71.65,72.99,73.35,71.28,2254617
73.38,73.45,74.3,72.78,1589361
74.18,72.48,75.15,72.32,1898627
72.72,74,74.4,72.33,1288639
73.15,71.73,73.56,71.16,1236110
71.12,66.72,71.47,66.1,3500322
66.48,65.45,67.06,65.42,1220192
65.19,65.78,66.27,63.51,1801361
65.68,67.02,68.28,65.54,1060835
66.82,68.62,69.05,66.28,1144183
68.62,68.28,69.095,67.82,658926
68.8,69.29,69.64,68.02,499266
69.83,70.85,71.38,69.76,1113140
71.34,71.62,72.37,70.185,1746872
71.94,70.18,71.94,70.09,1011678
69.85,70.28,70.54,69.15,897983
70.53,71.13,71.555,70.1,1033741
69.38,70.18,70.99,68.54,932340
69.93,70.13,70.95,69.73,748394
70.03,70.21,71.17,69.7,1852152
