Open, Close, High, Low, Volume
48.91,48.54,49.33,48.2,3131267
49.23,49.5,50.02,49.19,3568944
49.53,48.42,50.13,48,2242556
48.37,47.69,49.13,47.55,3131238
47.57,46.37,48.57,46.155,4466834
46.09,44.89,46.36,44.88,1153047
45.25,47.22,47.24,44.93,1818002
46.5,47.72,47.72,44.52,1691132
47.79,47.31,48.24,46.85,1045275
47.62,47.715,48.11,47.46,1091488
47.19,47.36,47.595,46.965,1759862
47.12,46.7,47.53,46.34,1519935
47.22,48.8,48.825,46.68,1847335
48.76,49.36,49.76,48.435,1732753
49.63,49.77,49.98,48.92,929850
49.76,49.555,50.13,49.34,1557996
49.43,49.89,49.91,49.26,1214327
49.51,49.775,49.82,49.08,1024513
49.34,49.74,49.99,49.11,1478905
50.19,50.73,51.04,49.7876,2576272
50.59,51.105,51.2,50.44,2156894
50.82,51.375,51.63,50.54,1528263
51.55,51.54,51.88,51.305,2184328
51.42,51.42,51.74,51.12,1742757
51.56,51.19,51.72,50.955,913977
51.14,50.99,51.35,50.78,958207
51.27,51.5,51.66,51.19,3223939
51,50.85,51.235,50.59,1693112
50.85,50.6,50.97,50.47,1492512
50.76,51.35,51.75,50.67,2111759
51.35,51.92,51.99,51.25,1631815
51.83,51.845,52.57,51.22,1378985
51.84,52.17,52.38,51.771,1462053
52.13,52.14,52.2,51.85,1375730
52.01,52.29,52.37,51.895,915576
51.92,52.165,52.26,51.6,1245933
51.86,52.345,52.4,51.7361,1122849
52.51,52.565,52.92,52.45,1077863
52.88,53.145,53.3,51.1101,1392809
53.34,53.385,53.79,53.191,1561210
53.09,52.99,53.23,52.32,871740
53.47,53.4,53.74,53.22,1443196
53.2,53.13,53.4,52.845,1222308
53.22,53.05,53.35,52.94,1062780
53.09,53.08,53.375,52.51,1315841
53.2,53.11,53.21,52.29,1518708
53.5,52.99,53.55,52.94,1737482
53.04,53.01,53.17,52.61,1186968
52.84,53.04,53.21,52.76,1264403
52.97,53.14,53.69,52.93,1929089
53.47,53.98,54.19,53.21,2175419
54.2,53.54,54.35,53.0611,1408324
54.14,53.43,54.14,53.42,771170
53.46,53.06,53.72,53,1022848
53.03,52.89,53.41,52.44,1236757
52.54,52.54,52.63,52.06,1065562
52.58,53.61,53.675,52.58,1539303
53.78,54.1,54.29,53.76,1431290
54.43,54.39,54.905,54.22,1602014
54.4,54.13,54.71,54.07,1163473
54.38,54.55,54.65,54.31,1293568
54.52,55.32,55.35,54.52,1802151
55.36,55.25,55.625,55.14,1169995
55.17,54.84,55.36,54.77,1213228
54.72,55.46,55.57,54.23,1271141
55.29,54.5,55.46,54.44,1272724
54.4,54.36,54.59,54.03,1824785
53.8,53.27,53.8,52.75,3457488
53.24,52.63,53.4125,52.43,2436761
52.72,53.8,53.89,52.55,2741236
54.2,54.41,54.46,53.82,1658844
54.73,54.66,55.08,54.49,775424
54.82,54.73,55,54.58,1570994
54.92,54.95,55.25,54.75,1104813
54.93,54.97,55.02,54.71,1371650
55,54.78,55.28,54.03,1029528
54.72,54.89,54.97,54.34,1174538
54.74,54.87,55.01,54.62,910776
54.98,54.98,55.17,54.79,706850
55,55.02,55.095,54.77,688604
55.16,55.08,55.31,54.89,1060577
55.09,55.13,55.21,54.9,688973
55.3,55.18,55.465,55.09,831978
55.39,54.6,55.39,54.4765,1081727
54.89,55,55.05,54.285,1052468
54.74,55.685,55.7,54.44,1446843
55.7,56.27,56.59,55.063,1539404
56.27,56.07,57.69,56.05,1006147
55.82,56.3,56.5,55.06,896501
56.51,56.58,56.8,56.12,1041391
56.75,56.9,57.2,56.61,1039386
57,57.26,57.41,56.785,1489331
57.17,56.49,57.44,56.45,1008166
56.33,56.55,56.6016,55.83,1071318
56.81,57,57.235,56.785,665599
56.06,56.99,57.14,56.06,662768
56.42,56.08,56.76,55.81,1234186
56.11,56.16,56.43,55.805,744106
55.65,55.73,55.89,55.3,1190025
55.54,56.22,56.28,54.99,963144
55.09,54.63,55.28,54.33,960310
54.73,56.15,56.515,54.59,1102495
55.82,56.62,56.895,55.76,1159093
56.87,57.69,58.17,56.82,1629778
57.17,57.41,57.89,57.17,1465178
57.06,57.5,57.91,56.94,1146833
57.92,58.43,58.5,57.69,1206504
58.4,58.72,59.14,57.99,1282079
58.19,57.78,58.19,57.37,1826129
58.07,58.37,58.71,57.85,1400112
58.38,57.81,58.89,57.67,1534529
57.72,57.53,57.84,57.25,1266483
57.75,57.82,58.21,57.43,652903
57.31,57.38,57.68,57.01,1074053
57.57,57.65,58.085,57.18,1575003
58,58.22,58.25,57.69,1144727
58.55,59.03,59.5,58.38,1406806
59.29,59.21,59.5,58.92,659197
59.52,59.58,59.85,59.43,1180868
59.85,60.75,60.86,59.76,1080143
61,59.63,61.05,59.55,1535703
59.63,59.45,59.93,59.29,825908
59.48,59.265,59.6,59.1,1757453
59.44,59.325,59.95,59.115,1351976
59.46,59.37,59.82,59.31,771398
59.86,59.06,59.99,58.98,988094
59.1,59.54,59.6,58.96,1292768
59.89,59.88,60.14,59.42,979671
59.8,59.88,59.93,59.51,1430234
59.98,59.56,60.5,59.47,1081905
59.44,59.23,59.62,59.12,1648416
59.54,62.45,62.46,59.46,2918664
62.86,63.11,63.61,62.24,2440734
63.06,63.72,63.83,62.22,3242734
62.93,64.59,64.85,62.89,2811623
65.61,64.66,65.61,63.44,1520054
64.64,65.15,65.24,64.16,1263936
64.76,64.62,65.1,63.96,1190533
64.25,64.6,64.85,64.25,717492
64.47,64.81,64.97,64.21,928262
64.87,64.86,65.24,64.76,1069024
64.95,65.39,65.41,64.72,1153342
65.53,65.56,65.68,65.115,1408723
65.61,65.59,65.76,65.09,1171405
65.73,65.54,65.82,65.4,1146351
65.47,65.38,65.67,65.09,1385277
65.11,65.54,65.68,65.11,909381
65.9,65.05,66.07,64.975,997251
65.38,65.21,65.64,65.05,836233
65.65,65.24,65.65,64.97,747895
64.98,64.8,65.025,64.26,1344903
64.87,64.7,65.02,64.29,963645
64.73,65.47,65.55,64.73,805950
65.36,65.21,65.55,65.1899,942485
65.09,65.23,65.505,64.885,961371
65.01,64.42,65.28,63.58,1640221
64.24,64.05,65.19,63.12,2438879
64.07,63.82,64.16,63.24,1436342
63.03,62.24,63.06,61.6832,1904564
62.36,63.12,63.25,62.31,1258667
62.67,63.04,63.45,62.04,1666287
63.57,64.39,64.47,63.28,1376341
64.33,64.42,64.71,63.92,1067624
64.16,63.54,64.2207,63.37,915602
63.6,64.84,64.85,63.32,1516187
64.05,63.2,64.15,62.85,1286465
63.39,63.66,64.02,63.13,1062406
64,64.83,64.93,63.83,1055705
65.21,65.39,65.56,64.89,1297640
65.33,65.14,65.67,64.82,843680
65.49,65.13,65.675,64.94,1092675
65.3,64.12,65.34,64.1,1296570
63.94,62.77,64.49,62.48,1114382
63.22,63.5,63.67,62.74,769253
63.89,64.37,64.47,63.77,1056860
64.08,64.84,64.9,63.78,1035382
65.66,65.63,65.9,65.07,1088758
66,65.59,66,65.38,922179
65.05,65.73,66.4,65.05,1318619
66.04,66.45,66.66,66.04,1237793
67.08,67.17,67.62,66.95,1049823
67.34,67.93,68.31,67.08,1831405
68.23,67.3,68.88,67.06,2397589
67.13,66.39,67.29,66.01,2332465
65.91,65.59,66.55,65.57,2670723
66.26,67.56,67.9,66.09,2580571
67.5,67.85,67.99,67.27,1532272
67.61,68.14,68.315,67.57,1645429
