Open, Close, High, Low, Volume
20.15,20.18,20.33,19.94,3349394
20.27,20.46,20.57,20.24,3322001
20.62,20.34,20.634,20.2,3009316
20.28,20.4,20.495,20.26,2054504
20.39,20.14,20.4893,20.1,3448165
20.23,20.23,20.435,20.2,2942234
20.29,20.39,20.545,20.14,2517111
20.45,20.24,20.66,20.17,1379624
20.22,20.26,20.29,20.09,1603774
20.28,20.36,20.39,20.11,1794218
20.42,20.16,20.47,20.15,1862591
19.32,20.25,20.26,19.15,5032056
20.19,19.76,20.23,19.61,5016856
19.78,20.19,20.225,19.6,3609469
20.18,20.19,20.28,20.05,3302119
20.16,20.34,20.37,19.955,3463842
20.41,20.32,20.53,20.13,3478404
20.23,20.905,20.98,20.13,6105679
20.94,21.45,21.46,20.9,6340252
21.54,21.74,21.87,21.52,5768235
21.85,21.22,22.04,21.185,5332617
21.3,21.58,21.73,21.12,2479935
21.05,21.58,21.61,21,3584378
21.59,21.35,21.63,21.24,2997939
21.42,21.96,21.97,21.3401,2668249
21.91,21.73,21.91,21.37,3246986
21.86,21.84,22.05,21.735,2863640
21.91,21.36,21.92,21.31,3320980
21.46,21.91,21.94,21.39,3049836
21.84,21.75,22.14,21.7,3798192
21.8,21.7,21.985,21.67,4001413
21.71,21.88,21.93,21.66,3876827
21.75,21.77,21.97,21.72,2360753
21.73,21.3,21.74,21.23,3962552
21.16,20.78,21.5799,20.77,6766727
20.28,20.99,21.265,20.251,6672715
20.96,21.31,21.67,20.94,4031549
21.65,21.35,22.23,21.34,7013537
21.5,21.74,21.89,20.77,9088535
21.99,21.92,22.3,21.785,6964855
21.83,22.28,22.36,21.795,5980285
23.65,24.48,25.1146,23.48,15836578
24.44,25.08,25.17,23.9,10129130
25.22,25.34,26.01,25.08,10478887
24.95,24.7,25.32,24.48,7105478
24.66,24.42,24.97,24.41,4752410
24.5,23.95,24.62,23.885,5855416
24.16,24.24,24.3,23.83,4975908
24.47,24.49,24.55,24.15,3552470
24.5,23.78,24.56,23.78,5070178
23.71,23.405,23.88,23.4,9027807
23,23.01,23.24,22.71,8739830
22.92,23.57,23.66,22.83,5859106
23.45,23.59,23.8,23.4,4847922
23.69,23.68,23.85,23.235,4764645
23.47,23.46,23.61,23.17,2894478
23.54,23.65,23.72,23,4453599
23.69,23.93,23.94,23.395,3632993
23.95,23.72,24.01,23.59,3613753
23.79,23.44,23.83,23.38,4325049
23.62,23.45,23.65,23.37,3410024
23.5,23.55,23.59,23.305,3347516
23.63,23.59,23.875,23.53,4694068
23.5,23.41,23.71,23.22,3754349
23.48,22.88,23.71,22.83,4380187
22.9,22.91,23.08,22.69,3113555
22.68,22.23,22.84,22.195,4640551
22.23,22.03,22.44,22.015,4112179
22.38,22.74,22.79,22.16,3196464
22.88,22.75,23.1,22.65,3442556
22.88,22.86,23.32,22.82,4306999
22.85,23.02,23.19,22.825,2813232
23.04,22.67,23.21,22.42,3837374
22.71,22.7,22.81,22.485,2979597
22.44,23.13,23.145,22.43,3290726
23.25,23.29,23.4,22.96,2412962
23.08,23.16,23.47,22.88,2249666
23.37,23.25,23.58,23.215,2474875
23.6,23.69,23.895,23.48,4318955
23.55,23.23,23.64,23.23,2263419
23.35,23.29,23.555,23.165,2531587
23.4,23.32,23.48,23.225,3334087
23.51,23.87,24.055,23.22,6364656
24.2,24.35,24.79,24.13,5877985
24.36,24.11,24.47,24.09,3343841
24.33,24.65,25.045,24.33,6309995
24.61,24,24.66,23.82,5814049
24.04,24.1,24.26,23.9,3335631
24.32,24.15,24.41,24.02,4661507
24.09,24.34,24.46,23.95,2418471
24.37,24.49,24.68,24.135,5040181
25.36,23.89,25.77,23.89,6825590
24.06,23.59,24.24,23.59,4716850
23.43,23.42,23.505,22.99,3863357
23.39,22.93,23.42,22.89,3911102
22.93,23.17,23.22,22.72,2098416
23.1,23.64,23.78,23,3169079
23.7,23.55,23.74,23.355,2176255
23.46,23.49,23.785,23.4,2875432
23.55,23.72,23.815,23.39,3203953
23.78,24.21,24.24,23.695,4056608
24.24,24.25,24.47,24.095,2743427
24.25,24.24,24.31,24.05,1757667
24.12,24.21,24.24,23.96,2017301
24.26,24.045,24.42,23.98,2579644
24.07,23.92,24.195,23.845,2522879
23.94,23.78,24.12,23.7,3712683
23.91,23.81,23.99,23.79,2515435
23.89,23.78,24,23.76,1804353
23.5,23.185,23.52,22.96,3529250
23.15,23.14,23.36,23.065,1758119
23.06,23.01,23.185,22.95,1633453
22.84,22.63,22.985,22.475,2324881
22.66,22.6,22.67,22.45,2627276
22.65,22.59,22.65,22.34,2179408
22.49,22.56,22.595,22.275,2301299
22.65,22.77,22.82,22.539,2190036
22.69,22.82,22.88,22.645,1790103
22.84,22.97,22.97,22.71,1331577
23,22.98,23.17,22.86,1136242
22.95,23.12,23.14,22.95,1181955
23.11,23.6,23.725,23.11,2013691
23.5,23.465,23.59,23.29,3533265
23.68,23.32,23.71,23.305,2398426
23.39,23.575,23.83,23.39,3254235
23.53,23.58,23.6,23.375,2180561
23.41,23.63,23.64,23.255,1835376
23.42,23.35,23.57,23.24,1708750
23.4,23.43,23.54,23.305,1217096
23.42,23.54,23.71,23.33,1819754
23.67,23.93,24.01,23.6,2965101
23.87,23.58,24.205,23.46,3177258
23.48,23.61,23.725,23.455,1384722
23.62,23.335,23.71,23.31,1923109
23.36,23.705,23.73,23.165,2303282
23.83,23.445,23.83,23.43,1609492
23.25,23.03,23.29,22.695,2991751
23.17,22.34,23.17,22.3,3108366
22.4,22.41,22.52,22.11,2994181
22.43,22.86,22.9,22.335,1869601
22.88,23.09,23.13,22.795,2364564
23.1,23.52,23.555,23.075,2979193
23.47,23.23,23.68,23.19,4097034
23.24,23.26,23.295,22.89,3180926
23.13,23.29,23.38,23.13,1814246
23.24,23.71,23.77,23.105,3637187
22.95,22.26,22.985,22.24,7266370
22.27,22.56,22.57,22.27,5099089
21.85,21.86,22.26,21.45,9083311
21.82,21.49,21.85,21.41,3881063
21.48,21.99,22.04,21.48,5344191
23.32,21.8,23.32,21.72,8552318
22.04,22.4,22.53,21.86,6459416
22.39,22.38,22.8058,22.34,3137764
22.48,22.42,22.62,22.295,2041513
22.4,22.23,22.41,22.16,1554948
22.36,22.54,22.66,22.08,3107218
22.38,21.98,22.45,21.92,2636145
21.93,22.08,22.27,21.73,2780371
22.2,22.01,22.255,21.965,1517186
22.02,22.24,22.36,21.93,1375102
22.38,22.35,22.52,22.305,1800827
22.36,22.13,22.425,22.08,1550695
22.19,22.28,22.355,22.16,1617728
22.16,22.09,22.23,22.01,1394591
22.08,21.84,22.13,21.79,1690954
21.95,22.13,22.26,21.88,2321736
21.98,22.14,22.24,21.87,2340251
22.35,22.57,22.61,22.23,2779747
22.55,22.37,22.56,22.315,1645842
22.5,22.45,22.59,22.32,1880917
22.53,22.78,22.81,22.35,3450556
