Open, Close, High, Low, Volume
35.02,33.37,35.18,33.24,2296693
33.68,33.9,34.35,33.445,2367138
33.9,33.28,34.16,33.2001,1738239
33.33,32.41,33.35,31.98,2426262
32.51,32.13,33.49,32.08,2761493
32.06,30.66,32.32,30.61,1353485
30.76,32.08,32.12,30.56,1899826
31.9,32.15,32.16,31.01,1562662
32.39,32.43,32.85,32.05,1557535
32.39,32.34,32.52,31.87,1100820
32,32.05,32.2,31.576,1607247
31.99,32.575,32.96,31.98,1546176
32.79,33.2,33.42,32.75,1399802
33.27,33.58,33.955,33.21,944995
33.7,34.29,34.43,33.65,1049580
34.5,34.4,34.65,33.93,1362190
34.23,34.705,34.82,34.03,995966
34.75,34.77,35,34.37,1085109
34.75,34.82,35,34.59,981882
34.85,34.84,35.14,34.74,1408191
34.9,35.05,35.265,34.68,960857
34.94,35.39,35.49,34.88,1207228
35.43,35.6,35.7166,35.36,1408239
35.68,35.47,35.83,35.28,2073606
35.57,35.64,35.6992,35.26,1227429
35.72,35.9,36.01,35.36,1216366
36.07,36.025,36.22,35.85,1353726
35.89,36.225,36.33,35.6201,1202098
36.31,36.38,36.5275,36.15,1612031
36.39,36.85,37,36.38,2071098
36.81,37.21,37.2204,36.55,1613054
37.25,36.57,37.32,36.04,1835382
36.6,36.91,36.92,36.42,1668164
36.92,36.875,36.93,36.6998,1357616
36.88,36.71,36.91,36.55,1336639
36.64,36.525,36.7205,36.38,1445507
36.45,36.48,36.72,36.35,1237112
36.58,36.36,36.82,36.235,2278897
36.28,35.84,36.63,35.69,2079664
35.76,35.855,35.935,35.52,1911180
35.9,35.27,36,34.93,4550713
35.38,35.12,35.72,34.95,2698784
35.18,35.35,35.77,35.17,3238774
35.39,35.74,35.82,35.22,2785159
35.72,35.84,36.01,35.6,2152107
35.9,35.58,36.15,35.47,2060943
35.53,35.04,35.75,34.62,2559154
35.17,35.04,35.28,34.91,1504518
34.88,35.02,35.11,34.71,1462022
35,35.41,35.8,34.98,2360566
35.5,35.78,35.85,34.995,2004230
36,35.67,36,35.15,1978369
35.64,35.3,35.77,35.24,2264306
35.57,35.02,35.58,35.005,1993485
35.1,34.87,35.17,34.71,2387800
34.78,34.79,35.02,34.53,1450041
34.93,34.99,35.05,34.71,2272880
35.18,35.1,35.25,34.86,2020561
35.13,35.28,35.46,35.1,1902923
34.79,34.77,34.979,34.61,1465117
34.81,34.93,34.947,34.775,1141450
34.9,34.81,34.99,34.59,1234426
34.842,34.51,34.85,34.41,1298080
34.5,34.4,34.695,34.09,1637897
34.4,35.23,35.24,34.31,2192563
35.17,35.12,35.72,35.0801,2724262
35.12,35.17,35.305,35.06,1858677
35.26,35.53,35.58,35.2307,2326318
35.52,35.45,35.6716,35.2,1175681
35.56,35.63,35.94,35.46,1673159
35.74,35.45,35.83,35.34,1661471
35.47,35.75,35.805,35.21,851708
35.68,35.78,35.78,35.3,1531110
35.78,35.89,35.89,35.56,1128140
35.9,35.94,35.96,35.7399,862810
35.97,36.37,36.39,35.97,1376876
36.35,36.29,36.4,36.13,999206
36.3,35.98,36.35,35.89,1118891
36.11,36.21,36.3,35.9,648378
36.29,36.285,36.5,36.16,895452
36.26,36.53,36.54,35.95,979656
36.55,36.57,36.65,36.3,820222
36.55,36.05,36.6,35.9,1309163
36.19,36.01,36.19,35.6,1204659
36.07,35.93,36.19,35.885,1537709
35.81,35.4,35.88,35.14,2362361
35.6,35.85,36.075,35.42,1852012
35.96,35.84,36.52,35.75,2589492
34.6,32.65,34.6,32.5,9002851
32.71,32.435,32.71,31.96,5977833
32.38,32.07,32.69,32.01,3319503
32.01,32.49,32.52,31.97,2692099
32.45,31.96,32.5199,31.95,2265054
32.01,31.54,32.0606,31.51,3221066
31.65,31.6,31.7668,31.48,2621692
31.42,31.11,31.53,31.05,2741382
31.1,30.85,31.31,30.61,2732512
30.92,31,31.3,30.85,2537318
30.87,30.98,31.1252,30.67,2094374
30.94,31.35,31.37,30.81,1718908
31.09,31.4,31.54,30.96,1898823
31.53,31.79,32,31.47,1955027
31.8,31.96,32.145,31.63,1454465
32,32.36,32.46,31.95,1734970
32.23,32.09,32.36,32.075,1298725
32.05,31.64,32.14,31.45,2041619
31.85,31.85,32.16,31.76,1516964
31.8,31.62,31.85,31.395,1670397
31.44,31.73,31.795,31.37,1367975
31.91,31.32,31.99,31.265,2128220
31.47,31.04,31.72,30.955,1809454
31.07,30.73,31.2,30.615,2277549
30.73,30.8,30.99,30.73,1183827
30.73,30.65,30.925,30.58,2371438
30.75,31.08,31.24,30.61,2319661
31.08,30.73,31.33,30.45,3514248
30.9,31.46,31.49,30.57,3470731
31.56,31.04,31.765,30.72,3001150
31.15,31.21,31.3359,31.07,2094516
31.35,31.45,31.58,31.08,1849437
31.67,31.66,31.76,31.41,1859562
31.56,31.65,31.86,31.48,2230709
31.73,32.09,32.09,31.68,4549601
31.53,31.73,31.78,31.26,2328803
31.77,32.39,32.43,31.75,2146453
32.52,32.29,32.6732,32.06,2254867
32.18,32.56,32.61,31.975,1521265
32.75,32.54,32.98,32.51,1655831
32.5,32.06,32.5,31.7,2151648
32.1,31.5001,32.18,31.235,2278472
31.53,30.88,31.5765,30.85,2343532
30.88,30.47,30.93,30.08,3751496
30.61,30.88,30.98,30.5,2805518
31.24,31.28,31.3,30.85,2536436
31.59,30.72,31.59,30.55,3829225
30.8,31.62,31.68,30.695,2234538
31.73,31.97,31.99,31.62,969270
31.8,31.58,31.9,31.2432,1388100
31.48,31.48,31.86,31.44,1498046
31.47,31.6,31.61,31.05,1711338
31.93,32.07,32.075,31.56,2858433
31.03,29.67,31.1,29.44,10377827
29.73,30.16,30.21,29.6087,3537225
30.34,30.41,30.745,30.19,2141184
30.3,30.58,30.93,30.2,2131874
30.71,30.14,30.72,30.04,1825471
30.04,30.535,30.57,29.91,1789188
30.5,30.06,30.55,30.05,1716024
30.15,30.03,30.29,29.72,2048492
30.04,30.45,30.55,29.92,1301755
30.46,30.26,30.59,30.22,1865740
30.25,30.09,30.32,29.99,1642060
30.06,29.9,30.1176,29.785,2291504
29.97,29.9,30.0633,29.87,2209149
29.87,29.87,30.07,29.68,2576000
29.81,29.39,29.87,29.28,3008130
30.09,30.835,31.28,29.965,6337302
31,31.45,32.1,30.89,5501205
31.27,31.09,31.39,30.74,2807883
31.08,30.81,31.2,30.71,1872186
30.81,30.85,31.05,30.54,1983632
30.79,31.21,31.22,30.66,1981580
31.26,30.5795,31.31,30.56,1712233
30.6,31.1,31.12,30.58,1112777
30.99,30.98,31.27,30.79,1350547
30.86,30.61,30.93,30.52,1628674
30.69,30.99,31.125,30.63,1256508
31.1,31.49,31.6884,30.99,1661588
31.5,31.9,32,31.45,1056885
32,31.39,32.03,31.36,939972
31.44,31.73,31.87,31.23,877947
31.78,31.66,31.89,31.56,1104456
31.63,31.15,31.93,31.03,1397294
31.32,31.53,31.53,31.2011,791767
31.72,31.21,31.78,31.21,1145069
31.25,31.57,31.65,31.22,879857
31.74,31.82,31.86,31.665,851965
31.88,31.85,32.144,31.795,1042131
31.79,32.37,32.4,31.63,1907222
32.5,32.91,32.96,32.42,1904733
32.94,33.1,33.19,32.5892,2716524
33.08,33.05,33.26,32.9,1423588
33,33.42,33.6,32.84,2380213
33.29,33.53,33.65,33.21,2019338
33.75,33.885,34.33,33.57,2873290
34.22,34.12,34.24,33.91,1842584
33.44,32.54,33.51,32.46,2674970
32.55,32.25,32.6,32.12,2397252
32.34,32.24,32.4,32.135,2375976
32.22,32.15,32.29,31.83,2006938
32.3,32.15,32.55,32.13,2372647
32.23,31.98,32.34,31.94,2336942
31.92,31.321,32.24,31.25,3415969
31.3,31.2,31.37,31.055,2235519
31.23,31.22,31.52,31.09,1798641
31.35,31.91,31.96,31.17,2158733
31.92,32.18,32.26,31.92,1408928
32.25,32.39,32.76,32.03,1954377
32.23,32.28,32.42,31.82,2221617
32.27,32.03,32.27,31.86,1672779
32,32.58,32.7563,32,1614322
32.52,32.21,32.72,32.07,1878383
32.07,32.26,32.4,32,821644
32.2,31.98,32.4,31.65,2028707
32.08,31.76,32.16,31.71,931269
31.69,32.29,32.345,31.63,2018913
32.38,32.24,32.665,32.23,1473999
32.35,32.5,32.62,32.16,839327
32.46,32.79,32.81,32.41,1096446
32.83,32.71,32.85,32.535,1264322
32.71,32.78,32.964,32.68,1050220
32.7,33.51,33.53,32.56,4201323
33.46,33.94,34.05,33.4517,2101666
34,33.98,34.01,33.59,1283955
33.94,34.3,34.31,33.93,1438003
34.37,34.18,34.44,33.935,1348355
34.07,34.08,34.25,33.865,886767
34.06,33.645,34.07,33.555,1272868
33.73,33.82,33.93,33.41,1843051
33.79,33.42,33.835,32.803,2696715
32.65,32.81,33.0199,32.42,2535117
32.8,33.52,33.54,32.72,2064832
33.7,34.37,34.38,33.565,3920149
34.11,33.39,34.15,33.0802,2808427
33.38,33.63,33.685,33.12,1533027
33.61,33.48,33.61,33.04,1709861
33.37,32.535,33.47,32.53,2487166
32.54,32.86,33.01,32.52,1478042
32.95,32.67,33.17,32.61,1680466
32.62,32.64,32.85,32.45,2720426
32.67,33.27,33.27,32.67,1553505
33.35,33.58,33.59,33.21,1191734
33.62,33.81,33.95,33.52,1110196
33.94,33.95,34.06,33.57,1000536
33.97,34.08,34.16,33.84,1078289
33.96,33.55,34,33.54,902420
33.62,33.79,33.847,33.36,1624897
33.93,34.05,34.1,33.7799,1381571
33.78,32.6,33.8,32.12,4394600
32.58,31.97,32.58,31.7,4358322
31.98,32.13,32.37,31.98,977067
32.1,31.95,32.2,31.72,2024220
31.9,32.3,32.33,31.86,2033569
32.15,32.55,32.66,32.15,1591371
32.5,32.4,32.69,32.33,1354009
32.48,32.75,32.86,32.4,1916060
32.8,32.99,33.23,32.7,1300464
33.19,32.9,33.2,32.89,1748196
32.78,32.66,33.0082,32.575,1663905
32.65,32.74,33.09,32.62,2347189
32.16,31.58,32.24,31.34,2698867
31.59,31.78,31.82,31.48,1912836
31.78,31.39,32.0353,31.25,2232379
31.35,31.795,31.855,31.35,1985065
31.79,31.91,32.03,31.6758,2024740
31.9,31.955,32.115,31.77,2452324
32.04,31.74,32.17,31.66,1270130
31.74,31.79,31.97,31.695,431622
31.75,31.82,31.88,31.595,1060399
31.91,31.81,31.99,31.51,1315826
31.85,31.68,31.89,31.45,1271189
31.65,31.86,31.89,31.59,1799613
31.9,30.42,32.0268,30.2,7227664
30.41,30.6,30.87,30.21,4054738
30.6797,31.17,31.4653,30.56,2630646
31.09,30.98,31.13,30.705,2006681
30.87,30.95,31.17,30.82,1886532
30.91,30.91,31.01,30.66,1801803
30.95,30.66,31.19,30.65,2277520
30.68,30.83,30.98,30.5,6394455
30.85,30.59,30.9114,30.37,1880700
30.6,30.79,30.84,30.6,1578591
30.83,31.125,31.15,30.76,1581654
31.2,31.38,31.54,31.13,1634721
31.39,31.67,31.81,31.3208,4410537
31.85,31.76,31.925,31.65,3543361
31.72,31.87,31.96,31.56,2157815
31.9,31.55,31.94,31.47,4807538
31.3,31.63,31.945,31.26,2247943
31.72,31.97,32.11,31.68,1578805
31.98,31.7,32.05,31.55,1253978
31.69,31.9,31.92,31.5666,1556878
31.87,31.58,31.96,31.545,1907922
31.69,31.85,31.98,31.56,1746334
31.89,32.25,32.255,31.816,1411178
32.31,31.96,32.31,31.82,2147731
32.09,31.94,32.34,31.77,1532742
31.97,31.83,32.1081,31.83,1176028
31.94,31.97,32.1,31.7286,1325129
32.04,31.78,32.2,31.71,1852007
31.79,31.83,31.85,31.42,2749704
32,33.34,33.53,31.9001,6547860
33.28,33.15,33.3,32.64,2643915
33.21,34.07,34.1,33.095,3485945
34.1,33.805,34.14,33.8,2456953
33.86,34.32,34.34,33.8,2045406
34.25,34.45,34.49,34.1,2144910
34.1,33.56,34.26,33.55,2925353
33.67,32.96,33.77,32.93,2661938
33.09,33.06,33.46,32.94,2799746
32.75,31.2,32.75,31.2,4720045
30.75,30.43,30.82,29.08,6276312
30.63,31.71,31.92,30.1173,5545715
31.76,31.41,32.25,31.08,4223778
31.91,32.6909,32.76,31.79,3710645
32.1,32.11,32.4,31.63,2833443
31.22,31.78,31.96,30.74,8156170
30,29.54,30.81,29.54,10696174
30.63,30.65,30.79,28.73,8171130
29.89,29.97,30.15,29.06,8581110
28.04,26.55,28.05,26.24,10616952
27.38,28.99,29.27,26.8746,10147358
26.03,24.63,27.7,24.52,8668952
25.12,26.88,28.7836,25.02,10114342
25.3,25.99,26.71,24.52,7996850
25.92,25.14,26.5,24.65,7990886
25.38,22.71,25.64,22.43,10151578
22.35,22.39,23.33,21.0175,7392022
23.46,23.98,24.66,23.23,7690902
24.75,25.01,26.91,23.87,8906418
25.13,25.46,26.66,24.32,7724072
24.64,24.36,25.3,23.87,7449244
24.5,24.86,25.06,23.41,5157778
24.65,23.81,24.83,23.34,6078566
22.97,22.22,23.49,21.93,6194966
21.9,21.52,22.3,21,7094464
21.3,22.07,22.0963,21.25,5025028
23.5,23.31,24.17,22.59,5605788
24.23,24.66,25.46,24.145,9986490
25.1,25.97,26.32,24.805,7199562
26.5,27.1,28.41,26.25,13784832
27.11,26.26,27.2,25.65,4334280
26.9,26.67,27.48,26.35,4525898
25.84,24.6,26,24.125,7080270
24.77,24.25,24.99,24.13,4434632
25,24.97,25.42,24.51,4284460
24.48,24.67,25.23,24.23,3872584
24.26,24.69,24.87,24.14,3225348
25.04,24.49,25.23,24.46,3376434
24.4,24.39,24.9,24.33,2717794
24.52,23.52,24.59,23.33,6915324
23.72,24.43,24.77,23.64,4734850
25.12,24.79,25.82,24.7,4926180
25.31,25.02,25.64,24.76,5262902
24.73,24.13,24.81,23.69,6343614
23.67,23.61,23.75,23.105,4089198
23.45,22.92,23.52,22.68,6838862
23.15,22.54,23.21,22.455,6744522
22.78,21.96,22.82,21.57,12027472
24,24.54,25.6615,23.85,13754100
24.74,24.52,25.13,24.37,6382834
24.34,24.03,24.42,23.92,4043692
24.16,23.1,24.205,23.0309,5146372
22.96,22.805,23.09,22.565,4890554
22.03,22.64,22.67,21.54,6399220
22.42,22.42,22.65,22.185,3512136
23.19,23.66,23.885,23.13,6107664
23.6,23.46,23.98,23.1775,3846144
24.18,23.88,24.335,23.605,4049988
23.72,23.94,24.13,23.5601,3381720
23.91,24.17,24.21,23.72,2717470
25.1,24.84,25.3,24.69,6780828
25.41,25.45,25.48,24.95,5312291
25.87,25.7,25.99,25.44,5487876
25.47,25.75,26,25.36,6091850
25.77,26.4,26.57,25.7,6156116
26.64,26.7,26.92,26.31,5026826
27.17,28.395,28.46,27.11,8114616
28.35,29.05,29.06,28.02,6765414
30.03,29.745,30.61,29.6,9095160
30.25,30.56,30.68,29.84,5496902
29.77,30.19,30.225,29.31,4519806
30.03,29.36,30.09,28.9,4935146
28.04,27.64,28.04,26.96,12983510
28,27.29,28,27.26,1580692
26.93,28.02,28.26,26.83,4555692
28.99,28.19,29.09,27.74,4748938
28.29,27.85,28.4,27.67,2701424
27.51,26.975,27.51,26.81,8999096
27.47,26.365,27.49,26.14,12890047
26.1,25.75,26.16,25.2135,4956456
25.96,26.1,26.37,25.84,3896730
25.75,25.03,25.82,24.89,7380749
24.86,24.63,24.95,24.41,4355677
24.62,24.65,24.9799,24.365,5447502
24.92,25.69,25.75,24.78,5940992
25.75,26.09,26.36,25.61,4647179
26.28,26.25,26.61,26.07,2977804
26.58,26.16,26.66,25.955,2578950
26.66,26.41,26.765,26.22,2657177
26.02,26.04,26.38,25.8,2669474
26.03,26.16,26.18,25.75,2191509
26.16,26.18,26.22,25.58,2604528
26.21,26.75,26.78,26.19,2614404
26.88,26.87,27.06,26.55,2529802
26.86,27.31,27.3809,26.71,1872086
27.71,27.59,27.75,27.3475,2307627
27.4,27.42,27.72,27.29,1279272
27.5,27.27,27.58,27.1,2145582
27.06,26.86,27.2,26.7,1226971
27.09,27.28,27.31,26.95,1985144
27.17,27.5,27.8599,27.09,3061153
27.37,27.52,27.75,27.2,1409294
27.51,27.241,27.68,27.2,1071160
27.25,27.74,27.75,27.1,1528731
27.7,27.88,28.08,27.67,5405526
28.12,28.26,28.32,27.79,3931281
27.85,28.27,28.27,27.79,3918235
28.34,28.19,28.44,27.935,3812553
28.05,28.05,28.15,27.84,3187315
27.97,28.89,28.94,27.97,4653732
29,28.98,29.15,28.62,5103260
29.76,29.1,29.8,28.8,10748628
29.1,29.46,29.69,29,5258922
29.515,29.765,29.87,29.48,3775876
30,29.56,30.08,29.5,5001854
29.71,29.82,29.92,29.45,2898879
29.74,29.37,30.15,29.26,2561906
