Open, Close, High, Low, Volume
119.72,120.67,121.005,119.075,214640
120.56,121.35,121.82,120.38,202219
121.14,120.07,121.76,120.01,176116
120.54,122.5,123.09,120.265,331525
123.11,124.4,124.915,123.11,292587
124.51,123.46,124.675,123.39,197866
123.85,123.671,124.44,122.63,238134
123.91,123.06,124.21,122.7718,210194
123.38,123.58,123.69,122.71,159027
123.23,123.1,123.71,122.77,357819
123.61,123.98,124.09,122.66,132035
124.15,123.89,124.43,122.9,236579
124.22,123.18,124.4299,122.9,212567
123.24,124.88,125,123.08,347366
124.73,125.17,126.08,124.73,342957
125.28,127.3,128.83,125.28,577872
127.42,129.31,129.36,127.42,311219
129.63,130.29,130.39,128.98,273850
130.51,128.98,130.7399,128.86,210771
128.43,128.13,128.97,127.68,176186
128.62,129.6,129.67,128.05,134149
129.57,130.11,130.5,128.88,146787
130.65,130.08,131.91,129.7,234727
130.73,132.16,133.06,130.03,329202
132.23,134.01,134.02,131.79,531400
134.8,137.35,138.26,134.1,537092
137.4,138.49,138.5,136.88,287078
138.56,139.19,139.5,137.95,257184
139.73,140.19,141.73,139.17,410743
140.87,140.1,140.915,139.8,171787
140.38,142.13,142.16,139.72,246647
141.57,139.69,141.82,139.65,313375
139.32,139.05,140,138.74,176893
139.82,138.75,140.89,138.33,294010
138.71,138.79,138.945,137.08,355429
138.21,135.23,139.06,135.2,315593
134.65,131.171,135.7099,131.17,576520
119.73,124.13,124.92,116.88,2114373
123.13,119.45,123.98,119.41,1252619
120,114.27,120,114.22,787730
115.22,115.49,117,112.0508,1132422
116.32,118.22,118.89,115.93,662093
117.45,118.85,118.9,116.97,516650
118.19,120.51,121.265,117.97,673283
121.37,117.94,121.37,117.7,1044537
117.62,118.02,118.61,116.83,512281
117.69,115.96,118.12,115.65,475640
116.16,114.12,116.81,114.03,647534
114.61,115.56,116.99,114.21,525799
116,117.01,117.05,114.98,412764
117.81,117.98,118.27,115.04,590485
117.9,115.93,118.15,115.78,352060
116.56,113.42,116.78,113.4,501496
113.51,113.77,114.171,111.57,777364
113.07,116.65,117.07,112.56,889091
115.87,119.42,119.7,115.5,653931
119.6,120.94,121.17,118.6955,707670
119.8,122.96,123.41,119.725,709299
123.45,120.57,123.61,120.185,404689
121.14,122.81,122.88,120.72,327144
123.24,124.08,124.41,122.68,349440
124.52,124.32,124.7,123.63,490211
124.55,123.23,124.65,122.25,572127
123.28,123.14,123.75,122,344644
123.71,124.03,124.71,123.03,384178
123.36,123.37,123.58,122.42,424986
123.7,124.17,125.21,122.96,583221
124.12,122.84,124.42,122.77,378856
121.74,119.37,122.32,119.26,449858
119.38,117.68,120.9,117.51,752792
118.91,119.57,119.7,117.25,452134
119.57,117.59,120.19,116.87,360431
117.71,116.81,117.83,115.4,533720
117.16,117.63,118.74,116.12,460743
117.65,116.05,118.08,115.04,396332
116.43,116.78,117.49,115.91,480538
115.46,117.97,118.29,115.2101,399007
118.4,118.77,119.35,117.51,287761
118.09,116.3,118.91,115.28,411906
116.74,116.29,118.31,116.18,430282
117.47,117.29,118.13,116.83,299478
116.29,116.33,117.61,116.07,260113
116.74,116.64,117.38,116.05,453060
116.87,115.04,117.665,114.4,378108
115.87,116.65,117.2399,115.38,265431
117.19,117.82,118.1,116.72,255894
117.87,118.16,119.09,117.46,249303
117.9,118.89,119.105,117.84,348005
118.83,117.74,119.25,117.25,311772
118.23,117.86,118.45,117.05,374232
118.45,118.02,119.24,117.41,465158
117.68,117.37,117.97,116.28,253167
117.94,119.33,119.6,117.39,281405
119.59,121.19,121.52,119.34,495144
121.35,121.29,122.0799,120.68,543145
120.75,122.01,122.44,120.2201,766964
121.73,120.64,122.13,119.9,414821
120.86,121.16,121.32,119.48,516949
120.52,123,123.53,120.32,480027
123,123.67,124.83,122.56,1015067
125,130.53,132.19,125,977913
130.84,133.56,135.12,130.22,662857
133.99,134.37,134.38,131.73,733558
134.63,135.06,136.2384,134.2401,725000
135.23,134.83,135.4,133.535,667945
134.04,135.22,135.8,133.48,942920
135.15,135.73,136.04,133.99,338498
135.31,133.23,136.24,132.96,720831
