Open, Close, High, Low, Volume
129.72,128.11,130.63,127.35,1512134
127.39,127.23,129.1653,126.26,1898971
127.48,125.58,130.09,124.589,1520610
124.99,125.14,126.72,122.99,2324588
125.2,124.06,128.19,123.33,2002834
123.33,119.09,123.74,118.91,839428
119.74,123.58,123.63,117.75,1070060
121.96,125.88,125.93,120.9122,1030784
125.79,124.75,126.88,124.2,845878
125.26,126.06,126.78,124.71,879742
124.84,126.255,126.63,124,1471015
125.83,123.56,126.32,122.5825,1817570
125.33,126.97,127.55,124.716,960015
127.11,127.26,128.67,125.82,1206385
128.96,129.91,129.92,127.67,1021063
130.54,129.84,131.06,129.57,943613
128,131.23,131.35,127.32,1939964
130.49,130.21,130.79,129.06,864407
129.31,130.1,130.94,128.71,778664
130.76,130,130.76,129.01,853149
130.11,129.96,130.87,129.64,1150688
129.44,132.58,132.61,129.44,1078100
133.71,136.4799,137.5,133.51,1365822
134.98,131.67,135.67,131.25,1342391
132.69,131.12,133.25,130.06,955655
131.31,130.89,131.88,130.09,950762
132.5,133.14,133.91,131.4,997077
131.66,130.97,131.66,129.72,1393449
131.56,134.84,135.6408,131.44,1444825
135.83,135.66,136.24,133.72,1234063
135.25,137.52,137.73,133.84,1843801
132.62,134.38,137.1102,130,3156660
135.33,138.22,138.24,134.97,1836296
136.05,137.71,137.92,136.05,2005900
137.94,137.53,138.22,136.68,1260861
136.46,134.88,137.5,134.45,1227411
134.38,135.41,135.56,133.16,1495127
136.44,136.25,136.6,135.65,752168
137.15,138.58,139.035,137.125,1059065
139.09,139.9399,140.21,138.665,838219
139.19,138.82,139.81,138.01,1019621
140,143.87,143.94,139.75,1677993
143.39,143.25,144.06,142.2,1322132
143.47,143.6,143.902,142.86,772803
143.21,143.22,144.2125,142.63,919625
143.2,144.81,144.97,143.2,704139
145.41,145.01,146.32,144.59,857949
144.37,144.34,145.68,144.1,831545
144.01,145.29,145.45,143.16,696714
145.15,144.07,145.4,143.91,1153090
145.04,144.41,145.41,142.75,1061241
145.47,144.37,145.96,143.12,1020757
144.2,143.69,144.71,143.27,779376
143.93,142.55,144.03,142.52,887784
142.26,140.75,142.29,139.89,1680954
139.69,140.65,140.905,139.11,1354030
140.51,143.63,143.66,140.41,867008
143.81,144.04,144.45,143.306,1186676
144.74,145.21,145.9475,144.12,1158362
144.83,144.9,145.73,143.685,1238925
145.26,143.15,146.26,143,1792659
143.57,145.41,145.45,143.3,960737
146.35,145.99,146.96,145.27,1242635
145.7,145.63,146.31,143.43,1572719
145.04,146.48,146.88,145.04,1175666
145.98,141.67,146,141.5,1408700
141.6,142.04,142.76,141.22,850253
143.25,143.22,143.79,142.565,691201
143.24,142.64,143.96,141.96,905989
142.22,142.85,143.84,142.0709,566704
143.72,143.54,144.385,142.89,1001368
144.51,148.31,148.69,144.51,666532
148.73,148.74,149.12,147.17,951071
149.64,150.13,151.03,149.01,991538
150.49,151.76,151.85,150.1,679926
152,152.19,152.94,151.8422,747680
151.63,153.86,154.01,151.2582,998925
152.77,151.03,152.77,150.67,792547
151.53,151.71,152.14,150.22,659863
152.19,154.33,154.39,151.58,843241
155.44,156.39,156.53,154.68,656113
156.66,155.62,156.905,154.84,708115
156.05,157.73,157.8,156.03,722317
158.07,156.15,158.69,156.11,894776
156.59,158.33,158.69,155.91,1004109
158.06,157.17,158.18,156.42,886286
157.26,157.93,157.94,156.27,868305
158.09,156.79,158.24,156.67,1453210
152.06,151.26,153.05,147.45,2407882
152.69,153.56,153.64,151.4,1429839
154.28,155.01,155.73,153.8,1005458
155.27,155.52,155.91,154.07,999517
156.18,154.34,156.53,152.21,1217120
153.92,154.6,154.83,152.52,903674
155.62,157.34,157.61,155.39,585562
154.14,155.33,155.8899,153.65,730566
155.68,151.69,157.32,150.635,1516372
151.55,151.16,152.57,150.83,883862
148.97,151.57,151.75,148.17,1277492
151.15,152.79,153.43,148.56,937090
148.96,147.71,150.03,147.29,1743489
148.6,148.97,150.114,148.09,1012213
147.59,151.04,151.88,146.62,1425369
152.1,152.46,153.66,151.18,889518
150.73,150.59,152.7,149.75,1039105
149.67,149.38,150.28,148.765,903803
150.63,151.2,151.4973,149.615,775726
150.84,149.96,151.75,149.95,786263
147.98,146.29,148.12,145.46,1827966
146.94,145.75,147.76,145.47,925103
146.7,142.36,146.7,142.31,1592442
141.53,141.35,142.71,140.31,1393048
141.61,140.85,142.67,140.1,1349850
139.75,139.64,140.8,136.92,1779590
139.97,140.19,141.71,139.4,1474265
141.79,145.16,145.75,141.553,1522581
146.27,147.16,147.21,144.84,841595
147.23,148.05,148.605,145.91,772239
148.77,151.18,151.59,148.68,1043830
152.45,152.22,154.26,152.14,981016
153.71,152.4,154.98,151.76,1026520
152.25,150.5,152.67,149.915,1076480
151.36,152,152.015,150.58,671630
151.18,149.07,151.24,147.26,854191
149.61,147.39,149.61,147.21,646880
148.18,149.2,151.25,147.42,816292
149.62,149.54,150.31,148.32,704402
152.4,152.18,152.89,149.9,782934
152.38,151.93,152.81,151.46,856741
152.23,152.07,153.4,151.82,832550
151.99,150.85,152.4,150.64,765905
149.51,150.12,151.12,149.13,1005425
149.27,148.99,150.19,148.1,658216
150,150.76,151.13,149.15,807270
152.77,151.54,152.77,149.97,898713
151.3,149.77,151.47,149.045,794839
150.47,150.06,150.55,149.12,432447
148.6,147.97,148.7,145.42,887487
147.39,146.25,147.8,145.76,878672
145.03,146.41,146.56,143.81,1258626
147.06,146.16,147.645,146.07,1075091
146.19,146.87,146.89,145.25,947155
147.68,151.45,151.7,147.6,1016021
151.58,151.27,151.86,150.7,722059
150.41,153.42,154.14,149.27,1328751
153.06,150.3,153.875,150.17,1030813
150.19,149.98,150.54,148.77,712437
151.07,151.28,152.51,150.62,1080302
151.67,151.92,152.99,151.49,791792
153,156.91,156.97,152.52,1694671
155.5,158.7,158.85,155.5,1217962
158.5,158.68,160.78,157.53,1766907
155,155.6,157.01,153.11,2647494
155.81,155.73,156.71,154.02,1492564
154.59,155.86,156.2,152.61,1409103
155.82,154.22,156.81,152.2,878793
