Open, Close, High, Low, Volume
85.88,87.13,87.22,85.07,728989
87.5,88.12,88.33,87.26,1218003
88.26,90.03,90.14,88.07,1336013
90.02,90.06,90.75,89.26,1418006
90.17,89.27,90.375,88.83,1289505
90.17,89.41,90.185,89.3,614319
89.17,88.38,89.37,87.8512,618136
88.09,88.52,88.54,87.64,505042
89.28,90.02,90.31,88.73,910562
90.12,90.4,90.86,89.79,499704
90.42,89.6,90.6,89.52,184335
89.73,90.075,90.1,89.52,269187
90.23,89.53,90.45,89.39,292574
89.33,89.64,90,89.17,383291
89.7,89.83,90.42,89.04,392530
89.9,90.27,90.44,88.66,1011925
89.13,90.89,90.96,89.09,425353
90.68,90.72,91.09,90.28,405967
90.22,91.04,91.24,89.43,444004
90.91,89.52,91.65,89.48,693982
89.52,90.91,90.93,89.52,538586
90.9,90.64,91.55,90.29,650065
90.95,91.13,91.4,90.36,424762
91.1,92.58,93.09,90.85,482442
92.31,92.81,93.32,92.235,499290
93.92,93.46,94.4,92.94,453692
94,94,94.6,93.55,640529
94,94.8,94.99,93.36,1271608
94.72,94.85,94.88,93.0886,1163280
94.44,96.06,96.33,93.8398,1649831
96.07,97,97.93,96.07,2211734
95.51,95.28,96.48,94.57,635576
95.28,94.86,95.965,94.725,767954
95.22,94.77,95.375,94.56,711231
93.64,94.49,94.67,93.4,643465
93.92,92.53,94.33,92.31,707342
92.71,93.03,94.315,92.41,1012349
94.32,95.42,95.54,91.3,1754131
96.5,96.78,96.82,95.37,882293
96.76,96.02,96.91,95.61,716393
95.78,95.79,96.47,95.06,537382
95.41,97.05,97.3,95.41,583837
97.37,97.7,98.16,97.17,726160
98.13,99.26,99.46,97.89,735860
99.04,99.25,99.65,97.835,902093
99.5,100.61,100.67,99.04,733997
100,100.56,101.66,99.76,649235
101.05,101.46,101.7,100.72,559151
102,102.08,102.55,101.13,719147
101.6,103.89,103.995,101.41,1070350
101.44,101.95,103.28,101,951924
101.85,98.69,102.25,98.67,1119881
99.39,99.85,101.41,98.65,1170200
98.57,93.34,98.6,93.32,1354907
90.89,92.38,92.52,88.65,1688984
92.57,96.89,97.06,90.22,1149410
96.9,97.74,101.91,95.9,1406622
98.24,101.26,101.4,98.24,1015266
99.23,97.27,100.36,96.32,1493984
94.5,94.05,94.88,91.41,2325810
87.69,88.935,90.66,82.847,3313652
91.05,92.275,92.44,88.47,2604700
90.08,88.02,90.3,85.88,3378148
77.45,79.13,85.61,77.45,2865126
82.46,86.77,86.77,80.7,3393932
79.05,78.79,81.71,75.65,3304202
79.69,80.58,81.43,76.34,4013486
76.04,79.43,80.95,65.13,2995944
76.1,74.74,77.99,72.76,3078144
74.7,65.64,75.42,65.49,3695442
64.81,63,64.94,59.29,3523246
65.85,69.495,70.99,65.6,1940596
69.41,73.11,76.75,68.44,2025360
74.19,79.65,80.44,73.53,1201036
77.96,74.88,78.54,74.02,1350520
75.1,77.99,79.71,72.76,1617776
77.85,79.2,82.32,75.6863,2222416
75.6,79.28,79.52,75.04,2204700
78.12,81.3,82.45,77.9,1720214
80.28,78.91,81.2,76.7,1639512
81.59,83.42,84.87,81.49,1770196
85.88,81.88,86.86,81.79,1308114
83.08,80.89,84,80.265,2059554
81.87,81.2,83.86,79.65,3003704
80.59,79.88,80.91,79.0832,1272798
81.35,81.81,82.685,80.46,1266974
79.72,80.01,80.56,78.58,919496
79.5,79.04,80.39,77.89,1552230
81.22,84.19,84.94,81.06,1876132
83.7,80.7,83.94,80.12,1460290
79.73,78.21,80.03,78,1154598
79.7,79.62,80.465,79.1,637776
80.56,79.73,81.56,79.68,773776
79.51,80,80.42,78.65,1000926
81,79.71,81.59,79.58,2012774
81.86,83.51,84.49,81.01,1543956
85.11,82.78,85.9299,82.6,1765450
82.35,82.69,83.55,81.138,1285238
81.53,80.78,81.83,79.495,1466278
79.72,81.08,81.16,78.07,1582340
81.45,81.51,82.8,81.3,1212818
81.73,78.27,83.59,77.53,2006456
78.98,78.56,80.15,76.76,2324697
79.14,79.97,80.59,79.01,1362772
79.03,78.53,79.67,78.05,1853354
78.84,74.68,79.27,74.64,1622832
74.35,72.05,74.6418,71.11,1821239
70.82,71.6,71.91,69.17,1748258
70.64,72.19,72.37,70.16,1401200
74.95,77.36,77.81,74.6,2300742
77.04,74.27,77.3,74.25,1356952
75.27,76.4,76.74,74.76,1454420
76.49,76.97,77.38,76,1044902
76.32,77.11,77.38,76.25,1320474
79.07,80.61,81.2,78.66,1472012
82.23,84.19,84.37,81.87,2008298
85.12,84.29,85.15,83.5,1355590
83.15,84.06,84.42,82.51,1809482
83.99,85.09,85.8,83.22,1287908
85.64,85.37,85.88,84.62,1291152
86.54,87.81,88.01,86.23,1137556
87.09,87.54,87.59,86.6001,944176
90,89.06,91.48,88.75,1351606
89.15,89.51,90.33,88.77,1500542
88.04,88.59,89.26,87.81,909098
88.77,84.88,88.77,84.835,1515102
82.34,80.19,82.835,79.59,2457174
82.83,79.04,82.9,79,310046
79.9,82.43,82.62,78.47,1718008
85.87,85.24,88.08,84.51,2149128
85.52,85.42,86.36,84.94,2047046
84.76,85.11,85.63,84.41,1261936
86.68,85.68,87.48,85.01,2483738
85.09,85.66,86.18,83.6,599863
86.74,85.3,87.07,85.3,594840
84.27,82.85,84.685,82.46,781918
82.09,83.66,83.76,81.52,617142
83.17,82.45,83.46,81.75,684098
83.69,84.86,84.975,82.51,539242
84.55,84.76,85.21,84.37,732168
85.44,83.92,85.98,83.655,1002919
85.65,85.63,86.49,84.65,780794
86.44,84.91,87.205,84.25,524417
85.1,83.56,85.1,83.35,529122
83,81.61,84.32,80.88,1251934
81.42,78.86,82.06,78.81,734285
78.79,78.6,79.5872,78.235,711538
79.92,78.74,80.3,78.59,554014
77.88,79.05,80,77.51,1316076
80.31,81.24,81.71,79.62,1305849
81.54,82.71,83.405,81.125,605214
83.35,83.54,83.84,82.855,500527
82.64,83.02,83.32,82.42,382540
83.4,83.97,84.49,83.4,369521
83.35,84.4,84.755,83.35,280158
84.16,84.66,85.53,83.85,228808
84.83,84,84.89,83.72,493850
83.63,84.21,84.45,82.92,448113
84.17,83.72,84.5,83.42,886649
84.31,86.72,86.73,83.92,1272504
85.62,85.35,86.11,84.639,971336
85.26,85.39,85.73,83.54,1479508
85.7,90.52,91.22,85.35,1777262
90.86,92.34,92.5,90.13,1728644
92.55,92.155,93.14,91.775,1183724
91.57,90.42,92.22,90.02,1259018
90.09,91.32,91.425,89.745,960693
91.15,91.11,91.56,90.47,1079648
92.2,91,92.43,90.43,1703050
92.38,90.39,92.45,90.13,1471416
89.88,89.96,90.71,89.24,551012
89.19,90,90.29,89.19,379753
89.95,89.99,90.195,89.42,956596
90.17,89.85,90.48,89.335,737358
89.69,89.855,90.14,89.3,1435185
88.87,89.07,89.31,88.79,894632
88.88,88.82,89.3,88.21,1119532
89.12,89.37,89.92,88.74,810327
90,88.48,90,88.31,1114442
87.94,88.45,88.86,87.32,898635
88.97,89.08,89.81,88.11,729272
89.39,89.47,89.51,88.45,560595
88.84,90.26,90.65,88.64,1073340
89.98,91.46,91.83,89.615,1097474
91.72,93.1,93.11,90.91,977536
93.35,90.97,93.43,90.43,2062802
91.64,91.96,92.37,90.9,1588803
91.06,90.73,91.34,90.02,1987066
91.56,92.8,93.435,91.14,1604230
92.18,91.13,92.18,90.39,1449044
91.61,92.81,93.18,91.17,1133540
93.74,94,94.84,93.05,1227274
94.07,94.86,95.1,93.5852,576173
95.3,94.67,95.61,94.36,531294
