Open, Close, High, Low, Volume
37.45,37.25,37.48,36.79,5199419
37.56,37.53,37.75,37.19,4292037
37.55,37.45,37.65,37.2,2997861
37.64,37.65,37.86,37.43,3960664
37.76,38.01,38.08,37.64,5244547
37.97,38.13,38.21,37.875,3710325
38.11,37.91,38.29,37.88,3128753
37.9,37.92,38.02,37.63,3243127
37.89,38.18,38.19,37.71,3082971
38.2,38.12,38.35,38.04,3002007
38.32,38.22,38.46,37.75,4455954
38.17,38.98,39.07,38.09,3486346
39.3,39.85,40.135,39.16,7671176
39.32,38.41,39.92,38.05,8071662
38.21,38.94,39.16,38.14,4375686
38.99,38.75,39.165,38.67,6221360
38.87,39.05,39.19,38.46,3371595
39.05,39.57,39.61,39.05,3025267
39.66,39.805,39.97,39.44,5029083
39.93,40.16,40.32,39.86,5697009
40.17,39.54,40.27,39.38,7038902
38.72,39.3,39.68,38.55,8419462
39.34,38.9,39.36,38.68,9176927
38.9,39.21,39.21,38.6,5430785
39.55,40.47,40.57,39.35,6001792
40.47,40.6,40.69,40.01,4499836
40.75,40.81,40.89,40.28,3250099
40.95,41.42,41.53,40.79,6954215
41.26,40.44,41.44,40.4,5060953
40.23,39.84,40.415,39.3,6034795
40.18,39.15,40.41,38.36,6714685
38.79,39.78,40.2046,38.78,6666089
39.42,39.52,39.925,39.41,4370826
39.33,37.51,39.54,37.51,6218810
36.91,37.62,38,36.46,6136891
37.51,37.6,38.235,37.45,4028182
37.61,36.55,37.72,36.53,4463359
36.97,36.29,37.13,35.43,6929569
36.58,37.4,37.63,36.5201,7843081
37.26,37.38,37.82,37.13,3381819
37.1,37.51,37.68,37.1,5854739
37.75,38.2,38.26,37.45,5606076
38.17,38.435,38.84,38.09,3938777
38.19,37.87,38.47,37.75,2689737
37.86,37.86,38.55,37.82,1987138
38.1,37.98,38.675,37.83,2336948
38.13,38.84,38.85,38.05,2730573
38.87,38.75,39,38.4,2492206
38.73,38.03,38.99,38.03,2456382
38.03,36.87,38.1792,36.865,3342316
36.87,35.91,36.87,35.06,8070068
35.51,36.27,36.35,34.99,5501928
36.08,36.92,37.02,36.04,4543727
37.05,37.39,37.54,36.87,2916103
36.92,37.07,37.15,36.33,3394382
37.18,37.65,37.65,37.03,3290970
37.81,38.53,38.54,37.67,2411531
39.25,38.72,39.51,38.43,4888927
39.01,38.88,39.69,38.81,3879422
39.05,37.21,39.05,37.15,5782332
37.29,37.04,37.34,36.77,4419521
36.73,36.69,36.91,36.56,4491599
36.69,36.41,36.86,36.13,2639585
36.43,35.84,36.51,35.61,5097613
35.98,36.33,36.76,35.85,3448782
36.02,35.51,36.415,35.43,5128896
35.5,34.33,35.69,34.21,4494787
34.72,34.95,35,33.89,4550671
34.86,34.32,35.12,34.09,3689155
34.43,34.28,34.56,33.92,5389205
34.42,35.23,35.475,34.42,2963542
35.06,33.93,35.14,33.55,3657246
33.98,34.43,34.46,33.57,3675374
33.91,35.02,35.09,33.77,2793661
34.16,34.59,35.14,33.92,4803444
34.42,33.63,34.52,33.43,3934533
33.81,33.26,33.97,33.23,4036769
33.66,33.72,34.06,33.44,8642318
33.48,34.32,34.47,33.29,4234920
34.38,34.21,34.45,34.075,4216738
34.56,34.07,34.67,33.91,3373551
34.23,34.7,34.8,34.17,4731793
34.79,34.29,34.84,34.25,3221566
34.46,34.43,34.61,34.25,3083862
34.2,34.01,34.32,33.78,3332422
34.23,34.28,34.63,34.0893,5127949
34.29,34.14,34.55,34,4337834
