Open, Close, High, Low, Volume
129.24,128.41,130.64,127.57,360214
128.72,127.15,131.045,125.95,346639
127,126.13,127.76,124.29,459567
126.2,123.52,128.46,123.14,569568
123.09,121.08,123.74,121,287299
122.01,125.36,125.42,120.2,302529
123.79,126.21,126.3,122.18,323224
126.97,125.22,127.217,124,332401
126.44,125.98,126.68,124.89,268498
124.55,123.99,126.3,123.45,417005
123.27,121.38,124,121.24,310425
122.68,124.13,124.76,122.095,287378
124.27,123.89,125.0527,123.01,263233
124.54,125.89,126.0587,122.92,360570
126.51,126.45,126.81,125.27,420174
125.5,126.02,126.58,125.09,344653
125.51,126.7,126.85,125.41,231102
125.82,126.575,126.98,125.34,302728
127.02,128.77,129.09,126.6425,306513
128.76,130.065,130.25,127.7174,423749
129.75,129.465,130.925,129.28,349284
130.19,130.65,131.01,128.88,533661
130.75,129.21,130.875,128.78,350903
130.07,130.22,131.1939,129.64,305806
130.3,131.15,131.28,130.21,177802
132.2,132.39,132.71,131.21,149621
131.53,132.38,132.45,130.95,223701
132.6,131.18,132.92,129.835,446849
131.58,132.99,133.33,130.62,280733
132.83,133.34,133.83,131.64,418694
133.54,135.08,135.12,132.61,306783
135.33,135.46,135.84,133.275,391007
136.27,135.92,136.73,135.32,574726
129.09,131.94,133.97,126,1014032
131.44,131.79,132.74,130.985,476941
131.18,132.41,132.65,130.93,345811
133.22,131.46,133.74,131.3,490827
132.05,132.75,133.62,131.66,551809
133.46,133.6875,134.32,133.24,318359
133.49,132.43,134.695,132.3,423122
133.21,133.72,134.09,132.78,600914
133.68,132.88,134,132.88,457341
133.51,132.82,133.51,131.96,351398
132.62,131.64,132.67,131.27,415053
132.24,132.6,132.64,131.55,418127
133.51,132.33,133.51,131.94,321467
132.44,132.83,133.5625,131.65,335473
132.32,132.79,133.02,132.03,256559
132.56,132.63,133.58,132.3,316000
133.72,133.76,133.87,132.75,307184
134.2,133.04,134.3515,131.79,307493
133.34,133.01,133.68,132.71,279586
133.04,131.82,133.37,131.8,234361
131.44,130.99,131.8,130.29,279482
130.07,131.3,131.4,129.7,276826
131.4,133.46,133.49,131.365,280126
133.83,134.31,134.54,133.38,262739
135,135.71,136.42,134.33,477324
135.78,135.89,136.91,134.81,347146
136,137.31,137.56,135.81,491598
137.98,138.13,139.05,137.05,613819
138.83,136.99,138.83,136.75,359033
136.61,135.06,136.81,134.47,258133
134.61,137.88,138.1,134.2468,355689
137.63,135.83,137.83,135.69,279295
135.27,135.22,135.706,134.81,297515
136.11,137.12,137.4,135.88,220734
137.26,137.58,138,136.33,186257
138.11,138.17,138.6168,137.6,233554
