Open, Close, High, Low, Volume
28.94,28.4,28.98,28.35,5035295
28.54,28.61,29.07,28.495,4011668
28.49,28.45,28.73,28.24,3416058
28.25,28.5,28.61,28.18,1895674
28.58,28.68,28.93,28.5,1936051
28.7,28.87,28.91,28.63,1526563
28.78,28.85,29.09,28.78,1635097
28.8,28.88,28.99,28.68,1009616
29.08,28.86,29.28,28.735,1369517
28.8,28.51,28.92,28.485,1149259
28.73,28.71,28.93,28.61,1533572
28.79,28.8,28.9,28.63,1700341
28.94,28.785,29.15,28.66,2537598
28.9,28.51,28.9299,28.38,3667474
28.5,28.79,28.845,28.055,3028639
28.92,28.63,28.93,28.59,2196728
28.41,28.4,28.66,28.245,1691942
28.38,28.75,28.77,28.32,2269696
28.86,28.89,28.935,28.57,1897893
28.98,28.61,29.2,28.51,2351748
27.84,28.67,28.74,27.78,2753053
28.46,27.66,28.47,27.54,4905243
27.73,27.85,28.04,27.7,3251108
28.59,28.37,28.6,27.82,5052069
28.45,28.12,28.46,27.97,3508863
28.3,27.95,28.45,27.94,3165927
28.12,27.67,28.16,27.57,2465264
27.98,28.19,28.21,27.59,2537395
28.05,28.48,28.67,28.05,3593685
28.3,28.33,28.55,28.17,3513113
25.83,26.145,26.31,25.05,14568820
25.96,26.56,26.576,25.8,4226210
26.41,26.26,26.745,26.24,4749718
26.01,25.19,26.27,25.19,3070125
25.01,25.52,25.64,24.56,3844862
25.51,25.38,25.73,25.26,2610291
25.42,24.66,25.535,24.65,3601557
24.92,25.44,25.67,24.56,5533790
25.61,25.82,25.89,25.21,3473874
25.65,26.205,26.25,25.65,3154670
25.97,26.17,26.355,25.96,6204258
26.44,26.91,27.13,26.31,6090686
26.9,26.36,27.3,26.35,4855100
26.06,26.22,26.69,26.05,3922387
26.29,25.9,26.4,25.81,3499822
25.88,26.03,26.32,25.85,3216521
26.21,26.12,26.29,25.69,3119608
26.19,26.2,26.47,26.085,3496233
26.19,26.1,26.7,26.0207,3080250
25.98,25.66,26.09,25.52,4317988
25.65,25.17,25.88,25.09,3586615
25.12,25.59,25.63,25.04,3043247
25.51,25.835,26.16,25.44,4915402
26.01,25.93,26.05,25.68,2632903
25.81,25.88,26.01,25.69,2654683
25.91,26.04,26.06,25.76,2153050
26.15,26.43,26.44,26.03,1713966
26.5,26.34,26.62,26.21,2501061
26.42,26.41,26.645,26.3,2559967
26.61,26.21,26.61,26.075,2829837
26.2,26.24,26.41,26.1,2621387
26.17,26.28,26.5,26.17,3338059
25.54,25.26,25.91,25.075,6371987
25.35,25.43,25.57,25.33,2622687
25.19,25.3,25.6,25.11,3390111
25.02,24.79,25.385,24.78,3755151
24.85,24.12,24.91,24.12,3414888
24.41,24.62,24.64,24.1,3049644
24.63,24.24,24.815,24.105,3281068
24.22,24.05,24.29,23.845,3873799
24.15,24.33,24.37,23.98,2907115
24.31,24.07,24.31,23.885,3242805
24.2,24.09,24.24,23.82,3476701
23.68,24.16,24.22,23.68,4281615
24.39,24.34,24.58,24.23,2560777
24.24,24.09,24.42,23.87,3276426
24.25,24.1,24.395,24.09,1901975
24.44,24.66,24.76,24.4,2743919
24.56,24.7,24.82,24.535,1719056
24.87,24.86,24.97,24.73,2312819
24.94,24.86,25.13,24.66,2716919
24.98,24.99,25.155,24.85,3937704
