Open, Close, High, Low, Volume
105.79,106.07,106.52,105.2,16439258
107.19,107.02,107.63,106.48,9815805
107.35,106.52,107.49,106.44,9492528
107.6,106.15,107.7305,106.09,9278308
106.59,107.84,108.07,106.56,9422008
108.2,107.48,108.46,106.805,7374794
107.2,107.01,107.99,106.4,6079393
106.67,107.21,107.29,106.67,5450923
107.4,107.77,107.84,107.1601,6257981
108.09,107.21,108.28,107.01,5830268
107.63,108,108.02,106.8056,9313131
107.86,108.04,108.49,107.48,9727479
108.36,109.05,110.03,108.2,10609554
109.26,108.26,109.55,107.775,10266645
108.15,108.48,108.68,107.7,9660581
108.72,109.23,109.63,108.49,9812342
109.47,110.21,110.7,109.39,10996324
110.67,110.83,110.929,110.051,11178830
111.65,112.67,112.85,110.84,15590471
111.51,112.23,113.43,111.07,17457123
111.87,113.04,113.2958,111.31,11997646
112.77,113.28,113.7226,112.27,11947387
113.94,113.01,114.34,112.804,13940530
112.66,114.36,114.39,112.5,8875523
113.67,114.22,114.64,113.35,8764508
114.84,115.71,116,114.66,10914427
116.04,115.7,116.17,115.075,10360385
115.7,116.13,116.18,114.96,7533529
116.02,116.17,117.3529,116.02,8613083
115.53,115.12,116.6,114.98,10554710
115.65,115.69,116.66,115.16,9639493
115.77,116.87,116.985,115.48,10889989
116.49,114.225,116.92,114.09,12709150
113,108.63,114.59,103.98,23586424
106.85,112.11,112.48,106.61,26467494
111.55,112.87,114.45,111.146,17767506
112.92,107.9128,113.11,107.84,23332517
109.1,110.18,111.05,106.2299,24447296
111.17,111.73,112.725,110.07,14273244
111.32,112.47,113.05,110.8,12562364
112.63,115.07,115.27,112.53,12543141
115.74,115.53,115.985,114.22,8939806
114.55,114.71,116.07,114.5,10788632
114.65,114.64,115.39,113.97,9142567
115,115.2,117.45,114.67,11713690
115.5,114.99,116.425,114.76,13245674
115.31,117.35,117.39,115.31,9336790
118.14,118.83,118.9,117.32,12411860
118.91,117.3795,119.33,117.35,13699981
117.82,115.37,118.49,115.35,11248341
115.16,113.31,116.6427,112.65,15134154
112.39,113.26,113.56,111.12,15447858
112.05,115.08,115.925,111.89,10423317
115.64,115.17,115.82,114.32,8696197
113.75,114.765,115.1,113.11,9785416
115.11,114.74,115.23,113.21,9046870
116.55,118,118.08,115.67,11161569
118,117.67,118.75,117.25,9142865
118.2,116.21,118.47,115.83,9537072
116.56,115.01,116.59,114.6,9737844
115.87,115.24,116,114.83,6677183
115.34,115.38,116.6015,115.34,10310032
115.1,114.57,115.45,113.3,8305851
