Open, Close, High, Low, Volume
19.97,19.695,20.15,19.69,7604236
19.81,19.52,19.93,19.44,7057028
19.63,19.76,19.97,19.585,9068066
20,20.17,20.195,19.965,8009040
20.23,20.11,20.2967,20.1,7383848
20.28,20.09,20.33,19.9234,5914690
20.23,20.44,20.52,20.18,5518394
20.56,20.45,20.58,20.325,4136715
20.44,20.33,20.565,20.22,3329466
20.3,20.23,20.35,20.18,3529496
20.31,20.34,20.36,20.19,3572357
20.33,20.17,20.41,20.17,4054891
20.32,20.17,20.34,20.04,4966453
20.23,20.24,20.295,20.1,7057833
20.44,20.32,20.59,20.28,9243558
20.47,20.31,20.47,20.215,4665269
20.28,20.27,20.35,20.16,6417408
20.37,20.75,20.89,20.3,8975516
20.82,21.01,21.28,20.76,7767637
21.13,21.19,21.24,21.025,5959759
21.36,21.42,21.465,21.19,8763664
21.54,21.31,21.71,21.17,8680383
21.33,21.26,21.4,21.06,10597596
20.82,20.81,21,20.62,15653713
20.77,21.17,21.37,20.77,12142835
21.13,21.38,21.42,21.09,7172077
21.3,21.61,21.77,21.26,8811515
21.71,21.73,21.87,21.575,7737888
21.88,21.67,21.88,21.57,9356566
21.7,21.84,21.86,21.44,7373916
21.78,21.79,21.99,21.7,8247481
21.65,21.44,21.84,21.43,10886488
21.46,21.4,21.63,21.315,6299675
21.37,21.92,21.92,21.32,7530559
21.84,21.76,22.22,21.69,13795332
21.4,20.6,21.86,20.48,11071426
20.13,21.01,21.085,19.9,14890706
20.92,21.13,21.45,20.85,10840509
21.21,20.07,21.21,20.07,11145706
20.38,20.39,20.56,19.64,15071629
20.51,20.6,20.845,20.29,8639830
20.44,20.55,20.59,20.28,8519754
20.5,21.18,21.19,20.43,8716224
21.28,20.95,21.32,20.89,7366398
20.85,21.025,21.16,20.82,6130283
20.97,20.95,21.31,20.82,4930210
20.92,21.055,21.38,20.88,6098561
21.16,20.53,21.185,20.52,6939237
20.67,20.97,20.97,20.61,5063984
21.04,21.2,21.22,20.85,6675046
21.24,21.16,21.73,21.16,11719232
21.24,21.14,21.61,21.1,12755395
21.18,20.99,21.38,20.78,11575308
20.88,21.34,21.42,20.56,11391875
21.04,21.46,21.575,20.895,7170965
21.56,21.7,21.73,21.18,6540538
21.51,21.96,22.06,21.47,7971929
22.02,21.81,22.105,21.46,8517152
22.03,22.13,22.14,21.84,6310193
22.17,21.8,22.4,21.775,8906989
21.88,21.36,21.92,21.28,11386926
21.46,20.925,21.51,20.87,11134903
21.03,20.9,21.09,20.82,5235595
20.98,20.965,21.125,20.8432,7879425
20.99,20.92,21.06,20.68,6252787
20.96,20.93,21.09,20.855,4495038
20.94,20.97,21.23,20.76,6019088
20.66,20.03,20.785,19.97,7550173
20.01,19.04,20.19,19,13516632
19.52,19.92,19.98,19.35,8938401
20.01,19.27,20.05,19.065,9481814
19.33,19.27,19.44,19,9263983
19.39,19.55,19.6299,19.19,9159093
19.56,19.03,19.69,18.78,10036374
19.09,19.43,19.495,19.05,7882476
19.07,19.67,19.7131,19.03,5264000
19.79,19.73,19.85,19.56,6063873
19.56,19.08,19.59,18.82,8734276
19.2,19.19,19.65,19.165,6234579
19.46,19.62,19.71,19.37,7891974
19.4,19.45,19.7,19.37,6356279
19.61,19.85,19.99,19.58,6538854
20.02,19.25,20.04,19.11,12076924
19.41,19.33,19.47,19.13,6079394
19.46,18.965,19.46,18.78,9842192
19.02,18.86,19.235,18.78,9758995
18.76,19.55,19.75,18.72,12994108
19.66,19.86,19.995,19.62,10007837
19.88,19.87,19.99,19.75,8479893
20.23,20.08,20.49,19.875,9071972
19.99,20.23,20.41,19.855,7573729
20.19,20.29,20.41,20.09,7557310
20.24,20.42,20.515,20.21,7973517
20.43,19.92,20.595,19.92,7568071
19.89,19.9,19.96,19.63,7441873
19.83,19.765,20.08,19.72,6661921
19.67,19.37,19.69,19.11,10848420
19.2,19.7,19.795,19.065,6112901
