Open, Close, High, Low, Volume
60.77,60.62,61.17,59.71,1393961
60.13,61.51,61.54,60.04,2331292
61.33,59.9,61.33,59.57,1647866
60.38,60.71,61.35,60.27,1955208
60.94,60.07,61.92,59.41,1761518
59.98,58.56,60.51,57.73,1598827
58.92,57.15,59.99,57.04,1597812
56.84,56.06,57.06,55.9144,679712
56.36,58.7,58.71,56.11,831692
57.98,59.42,59.42,57.15,865733
59.83,60.065,60.845,59.24,871346
60.73,61.76,61.82,60.71,1225328
61.17,61.34,61.91,60.63,794120
60.68,58.39,61.48,58.29,1051800
59.36,61.91,61.93,59.02,1382941
61.99,64.48,64.66,61.87,2006420
65.04,65.56,65.88,64.13,1262805
65.99,67.04,67.28,65.51,871598
66.85,67.26,67.28,66.3,902111
66.89,67.17,67.59,66.62,940197
67.18,67.36,67.71,66.55,835844
67.41,68.425,68.5,67.29,1001512
68.51,69.06,69.4,67.88,1294591
69.05,69.165,69.2882,67.82,1872064
69.52,69.62,70.2,68.87,1686009
69.32,67.64,69.39,67.42,1361759
68.23,67.63,68.505,66.96,1515499
67.94,70.62,71.18,67.935,3123427
71.54,71.01,71.83,70.7,2197704
71.13,72.23,72.25,70.71,1813657
72.56,71.61,72.79,71.6,1265625
72.1,73.27,73.56,71.27,1466101
73.41,73.98,74.1059,73.2,1997415
74.35,75.18,75.58,74.14,1924352
75.26,75.355,75.6167,74.62,1341673
75.85,75.585,75.94,74.88,1523609
75.64,77.02,77.085,74.72,1624743
76.51,76.22,76.7699,75.26,959855
75.8,76.795,77.07,75.54,1683434
77.13,78,78.29,77,1379295
78.45,78.33,78.91,78.11,1608055
78.98,78.88,79.83,78.73,1234979
78.86,79.04,79.47,78.47,1885454
79.89,80.37,80.49,79.4,1240804
81.33,80.61,81.48,80.5088,1567829
81,81.07,81.65,80.78,1695583
81.46,81.73,82,80.04,2710209
84.14,82.46,86.01,81.6,3857699
83.32,83.07,84.71,83,2256740
83.2,84.64,84.85,83.11,1893434
84.5,84.82,85.47,84.17,1227126
84.6,84.41,84.95,83.98,1337832
85,85.89,85.99,84.71,1380724
86.15,85.25,86.59,84.29,1526137
85.5,85.24,85.5,84.53,1210469
85.35,85.26,85.49,84.51,1662050
85,84.58,85.25,84.0016,1378966
83.67,83.99,84.2,83.1501,860129
84.3,84.99,85.11,84.18,1066450
85.04,84.92,85.3689,84.26,1015018
85.21,84.22,85.71,84.165,1926912
84.41,85.33,85.5,84,1194538
86.11,85.99,86.5121,85.79,1049920
85.98,85.78,86.55,85.27,1304466
86.295,86.31,86.75,86,864287
86.4,86.34,87.1999,85.6,897464
86.25,87.54,88,86,853318
