Open, Close, High, Low, Volume
103.04,104.32,105.75,101.9,1130707
108.21,109.84,111.39,107.66,1134808
109.63,110.24,111.7555,109.05,924490
111.71,111.06,114.0042,110.01,1078181
111.12,107.28,112.5671,107.17,887298
107.42,107.97,109.5807,106.39,395669
107.25,106.32,108.8,105.77,293646
106.6,105.95,107.33,105.28,484495
106.8,106.52,108.91,105.86,614306
106.49,103.77,107.3962,103.63,767825
104.48,104.82,106.14,103.65,1210188
104.57,106.04,107.12,103.7,1811589
106.62,106.23,108.589,105.04,1483901
107.08,108.5,110.3802,106.6,921494
107.21,108.8,110.845,107.21,535358
108.96,107.85,109.7,107.29,571076
107.09,104.96,107.09,103.43,952040
105.32,104.93,105.88,103.66,705226
105.34,105.96,107.74,104.98,729557
107.19,106.33,108.93,105.8,742232
107.9,112.09,112.99,107.33,1520812
111.44,113.23,114.4249,110.64,926160
113.3,113.6,114.79,112.15,664827
113.59,113.17,114.52,112.36,726146
113.4,114.57,115.38,113.06,897346
114.28,113.51,116.2238,112.53,840570
117.29,113.14,121.65,112.59,1398193
109.63,112.04,114.26,108.97,1724793
111.93,110.74,112.28,109.89,1047129
109.99,108.06,110.77,107.57,1093744
108.67,108.44,109.9627,107.7,743834
107.92,109.77,112.439,107.72,987110
108.68,105.2,109.55,105.15,961820
104.76,99.95,106.66,99.92,1211674
97.9,103.93,104.01,97.52,1384344
103.11,101.39,104.72,100.84,1126220
101.72,97.32,103.09,96.36,1806635
98.48,99.65,100.55,94.93,1256486
100.49,102.62,103.8598,99.95,1149865
102.02,102.92,103.98,101.47,1493460
102.4,106.74,107.71,102.2,1537896
107.98,108.13,108.51,102.97,1970058
107.91,106.79,110.5599,106.71,1400788
106.53,109.8,111.86,106.25,1650617
110.18,108.93,110.73,108.5,1217718
110.96,108.17,111.19,107.6,1157810
109.2,109.72,109.99,108,826428
110.44,113.9,114.36,110.44,783004
113.69,112.69,115.32,112.27,619582
113.41,112.54,114.98,112.21,632797
112.17,110.46,114.0948,109.52,813831
109.35,112.25,112.52,108.65,550196
111.85,113.06,114.935,111.04,483901
114,115.29,116.345,113.43,718738
114.52,116.66,117.3398,114.36,982233
117.25,116.21,117.575,115.58,450353
116.87,120.33,120.76,116.21,864723
121.16,121.56,122.8575,120.18,700548
122.54,119.67,123.41,119.2,684923
121.02,119.63,121.07,118.91,563313
119.76,119.99,122.27,119.04,594432
120.69,119.81,121.36,119.34,620523
117.51,115.2,118.15,110.3,2969552
114.93,116.4,117.98,114.08,2030992
116.87,117.26,119.59,116.67,1035315
115.3,112.16,116.6862,112.02,1073978
112.66,107.45,113.08,107.43,1558590
109.97,112.59,112.75,109.48,1454886
113.35,107.08,113.57,106.26,796977
106.9,105.85,108.09,104.34,1021318
106.77,108.27,109.79,105.46,592508
107.6,104.62,108.2508,103.34,831668
105.68,106.84,107.03,104.53,740999
104.21,108.51,108.93,102.93,700710
110.04,107.98,110.85,107.51,1173391
106.01,103.37,107.8238,102.85,1100355
105.14,103.79,107.88,103.62,1060898
106.04,108.53,109.47,105.691,893415
106.51,105.92,108.55,105.69,747487
106.57,108.38,109.19,106.33,730553
109.48,106.86,109.5,106.24,587505
107.93,108.11,109.1178,106.48,656993
