Open, Close, High, Low, Volume
16.26,16.1742,16.45,16.13,9582412
16.14,15.85,16.365,15.725,14353938
15.85,15.53,15.96,15.45,15662015
15.58,15.58,16.015,15.39,18438054
15.57,15.55,15.79,15.36,24425176
15.43,15.57,15.94,15.42,22748901
15.34,14.73,15.49,14.71,13185296
14.81,15.64,15.64,14.6201,15090616
15.37,15.51,15.545,14.97,18599165
15.51,15.27,15.58,15.14,15863084
15.31,15.3005,15.455,15.15,14690212
15.2,15.775,15.94,15.1,14474015
15.87,15.73,16.05,15.53,16560452
15.97,16.24,16.31,15.95,10505801
16.3,16.6,16.63,16.21,10990827
16.75,17.15,17.17,16.66,15563834
17.3,17.205,17.37,17.05,17633728
17.18,17.36,17.36,16.27,15048467
17.21,17.155,17.4,16.95,17910893
16.91,17.235,17.305,16.91,14167958
17.22,17.28,17.41,17.17,14974366
17.34,17.455,17.61,17.29,15990396
17.11,17.7,17.99,16.93,21647945
17.88,17.985,18.04,17.685,14745195
17.89,17.62,17.92,17.56,19376753
17.72,17.25,17.76,17.05,18964548
17.21,17.47,17.55,17.195,13096668
17.6,17.75,17.895,17.57,12165532
17.6,17.87,17.915,17.54,11290366
17.97,18.06,18.11,17.8,14415287
17.95,18.0901,18.19,17.94,11907609
18.14,18.1,18.16,17.94,11111769
18.1,18.335,18.35,18.03,9795177
18.23,18.34,18.37,18.21,10360784
18.32,18.45,18.465,18.27,9316665
18.32,18.065,18.37,18.01,11409161
18.02,17.96,18.07,17.71,10006365
17.91,17.985,18.015,17.77,7146058
17.95,18.275,18.295,17.88,10946006
18.44,18.47,18.56,18.35,12897613
18.53,18.75,18.79,18.52,17376613
18.7,18.87,18.92,18.65,11931112
18.96,18.765,18.98,18.76,15835022
18.75,19.1285,19.22,18.73,16662667
19.14,19.17,19.315,19.12,11800122
19.15,19.18,19.26,19.06,13969298
19.32,19.32,19.47,19.11,12777437
19.29,19.29,19.435,19.19,13590988
19.3,19.22,19.44,19.19,14282691
19.31,19.275,19.35,18.97,8256600
19.3,19.15,19.32,19.13,8324441
19.2,19.73,19.74,19.19,17126389
19.82,19.86,19.86,19.52,14934128
19.9,19.96,19.995,19.69,11461194
19.95,20,20.01,19.82,12680344
19.98,19.84,20,19.78,14991873
19.74,19.72,19.769,19.47,15746836
19.88,19.9,20.02,19.82,11446278
19.88,19.87,20,19.76,16932352
19.95,19.97,20.055,19.885,13728445
20,19.98,20.085,19.89,11581520
19.9,19.865,20,19.8,13345210
19.86,19.98,20.01,19.84,14417822
19.98,20.04,20.18,19.91,15549952
20.06,20.1,20.3,19.97,13734102
20.05,20.41,20.44,19.21,15608163
20.22,19.89,20.22,19.88,17590727
19.89,20.135,20.17,19.7345,13079259
20.29,20.09,20.4,20.01,9893315
19.99,19.98,20.1204,19.79,10338130
19.9,19.95,19.96,19.69,13645095
20.05,20,20.19,19.895,9507088
20.07,20.04,20.21,19.96,10067529
20.02,20.05,20.075,19.895,10387190
20.07,19.9,20.09,19.81,9610827
19.9,19.92,19.94,19.755,11834670
19.9,20.04,20.0664,19.84,8275476
20.05,19.93,20.11,19.865,7977537
19.81,19.9,19.92,19.67,8534092
19.96,19.84,19.96,19.76,8577127
19.82,19.92,19.95,19.75,6161847
19.99,19.82,20.03,19.78,10874395
19.81,19.79,19.84,19.69,8242725
19.8,19.81,19.915,19.72,8810026
19.87,19.68,19.87,19.68,10413719
19.61,19.4,19.83,19.15,22301037
19.58,20.02,20.0955,19.52,16959071
20.05,20.08,20.095,19.84,12789698
20.02,20.07,20.12,19.95,10938448
20.04,19.975,20.235,19.97,11540357
19.96,20.23,20.24,19.9,14410100
19.93,19.87,20,19.67,10891084
