Open, Close, High, Low, Volume
63.05,63.18,64.28,62.12,1692742
63.89,63.34,64.29,63.17,945847
63.34,62.35,63.62,62.01,1148126
61.99,61.2,62.53,60.93,1068569
60.79,60.25,61.93,59.79,1544666
60.64,59.75,61.09,59.33,2257336
59.49,57.79,60.15,57.5,2347839
57.5,56.7,57.67,55.24,2940197
58.33,58.97,60.57,55.58,6813101
59.3,59.08,60.48,57.99,1577732
59.41,62.6,62.64,59.2,1934698
61.95,63.18,63.18,60.92,1751407
63.66,62.5,64.1,62.16,1474540
62.83,62.43,62.96,61.89,1346699
61.9,62.95,63.25,61.59,1112684
62.58,61.98,62.89,61.77,1132841
62.74,63.63,64.36,62.525,1073993
64.39,66.455,66.6,64.25,1797905
66,64.86,66,63.285,2624991
65.13,65.63,66.64,65.13,1203133
64.82,64.575,64.84,63.88,1076770
64.54,64.93,65.5,64.5,1024990
64.4,64.92,65.27,64.13,823968
64.53,64.4,64.935,63.93,1110120
63.53,63.96,64.39,62.33,1741451
63.54,64.5,64.77,63.52,1191294
64.15,62,64.2,61.18,3589421
61.22,59.38,61.93,59.04,3494350
59.5,58.99,59.56,57.95,2428666
59.17,59.49,60.07,58.95,1407507
60.13,60.29,60.86,59.61,1392416
59.96,60.04,60.13,58.18,1908316
59.64,58.41,59.805,58.04,1735631
58.53,58.93,59.49,57.98,1432004
59.03,58.76,59.41,58.505,1445004
58.75,59.11,59.36,58.04,2774915
59.34,61.35,61.38,59.14,2534687
61.62,61.965,62.25,60.74,2220673
61.64,60.97,62.1,60.88,1038460
60.82,60.09,60.914,59.74,1475182
59.85,60.29,60.53,59.54,1063921
60.39,60.65,61.36,60.05,1059841
60.85,60.87,61.43,60.205,2114623
61.08,61.355,61.53,60.29,1482526
60.85,61.23,61.86,60.06,1289858
61.78,62.06,62.47,61.4895,929996
62.23,62.42,62.88,62.17,960036
62.41,61.51,62.925,61.21,919589
61.38,60.55,61.76,60.46,1462727
60.98,59.8,61.3793,59.75,1316282
59.94,60.96,61.095,59.68,1892716
61.02,60.3,61.85,60.14,1483297
60.27,62.1,62.18,60,1636530
62.2,61.66,63.155,61.0797,1810875
61.44,59.84,61.62,59.22,2148714
60.03,60.75,60.91,59.58,1562725
61.06,61.01,61.69,60.84,1100187
60.75,59.72,60.78,59.44,919767
59.76,58.37,59.79,58.19,1567358
