Open, Close, High, Low, Volume
45.04,45.08,45.61,44.98,1106859
44.98,45.01,45.86,44.82,1266402
45.24,45.04,45.8,44.71,1075648
45,44.89,46.29,44.68,1183049
44.53,44.64,45.24,44.34,1049392
44.56,43.85,45.74,43.85,1581798
43.61,42.6,43.87,42.58,553744
42.7,44.47,44.47,42.06,927098
43.74,44.97,44.97,43.35,821243
45.27,44.89,45.6,44.64,759472
45.1,45.28,45.48,44.93,577118
44.73,45.04,45.435,44.68,821074
44.93,44.62,45.205,44.525,836645
45.2,45.69,45.92,45.12,704617
45.52,45.97,46.57,45.41,914967
46.2,45.76,46.34,45.34,836694
45.94,46.01,46.29,45.77,882330
45.96,46.38,46.45,45.83,1305710
46.18,46.53,46.63,46.15,721655
46.3,46.68,46.95,46.09,540325
46.62,46.6,46.89,46.29,738740
46.69,46.66,47.05,46.46,1005038
46.5,46.75,46.9,46.4,880874
46.85,47.49,47.5,46.79,1244963
47.32,46.83,47.58,46.68,826072
47.08,47.21,47.36,46.71,670155
47.22,47.455,47.6,47.1,420552
47.79,47.75,48.11,47.65,505157
47.47,47.6,47.75,47.2,465454
47.59,47.71,47.79,47.43,567368
47.79,48.08,48.25,47.44,600065
47.73,47.94,47.99,47.495,821498
48.08,48.02,48.1,47.7,543500
47.94,48.03,48.04,47.5797,379388
48.03,48.05,48.07,47.7,449203
47.9,48.01,48.12,47.8,447177
47.74,47.8,48,47.39,616948
47.59,47.4,47.84,46.97,757820
46.19,44.58,46.19,44.17,3266642
44.76,45.92,46.295,44.73,2127446
46.04,46.775,47.22,45.96,1207923
46.57,45.9,46.59,45.9,2054347
46.38,46.625,46.735,46.29,1309613
47,47.44,47.62,46.74,999818
47.43,47.52,47.95,47.32,1089257
47.65,47.8,47.83,47.42,891141
47.99,47.99,48.44,47.97,852673
47.78,47.58,48.1,47.57,905819
47.43,47.57,47.76,47.38,915693
47.64,47.62,47.78,47.48,1202232
47.89,47.92,48.21,47.685,968709
48.07,48.12,48.59,47.81,1203175
48.11,47.93,48.11,47.51,616151
47.92,47.44,48.19,47.42,768274
47.26,46.81,47.29,46.66,996060
46.46,46.88,46.95,46.39,864061
47.15,47.2,47.2568,46.97,850098
47.36,47.61,47.81,47.2137,993352
47.83,47.71,48.08,47.68,950469
47.72,47.89,48,47.59,512470
47.92,47.78,48.2,47.75,894050
47.93,48.42,48.62,47.88,602971
48.64,48.05,48.715,47.945,787284
47.94,47.5,48.31,47.49,1204121
47.35,47.93,48.15,47.12,659391
47.52,47.33,47.76,47.22,615239
47.25,47.11,47.61,47.02,883373
47.27,47.57,47.645,47.155,556435
47.68,47.73,47.985,47.57,625027
47.76,47.87,48.01,47.41,562752
48.17,47.93,48.22,47.8551,774596
48.2,48.68,48.7,48.1,361954
48.62,48.19,48.73,48.12,540456
48.46,48.19,48.475,47.945,649141
48.24,48.49,48.74,48.17,467122
48.47,48.6,48.8,48.4,430185
48.63,48.57,48.84,48.46,615024
48.47,48.35,48.5,48.08,419045
48.36,48.68,48.76,48.17,394006
48.83,49.1,49.23,48.71,905582
49.44,49.3,49.84,49.11,992464
49.2,49.17,49.43,49.13,455748
49.31,49.66,49.83,49.23,654436
49.78,49.23,49.85,49.19,672902
49.2,48.83,49.535,48.755,1526117
48.78,49.22,49.24,48.6,545498
49.25,49.4,49.63,49.17,647159
49.4,49.48,49.775,49.31,433752
49.28,49.68,49.86,49.12,495096
49.69,50.16,50.17,49.63,809644
51,50.93,51.36,50.15,1957830
51.04,51.27,51.33,50.45,1672445
51.17,50.29,51.45,50.28,925866
50.34,50.25,50.56,49.85,885249
50.29,50.84,51.02,50.23,1010152
50.23,50.79,50.9,50.02,996204
