Open, Close, High, Low, Volume
64.2,64.15,64.55,63.78,298478
64.11,64.07,64.54,63.78,541458
64.16,63.88,64.55,63.54,407042
63.92,64.62,64.85,63.73,630475
65,65.19,65.2605,64.42,547103
65.02,64.74,65.27,64.39,644814
65.35,65.02,65.37,64.73,748327
65.43,65.12,65.7,65.04,415060
65.04,65.22,65.33,64.75,380355
65.21,64.76,65.46,64.69,434111
64.73,64.64,64.95,64.51,370555
64.73,64.8,64.8799,64.22,369368
64.94,64.57,65.09,64.54,305889
64.69,64.03,64.87,63.865,403929
64,63.92,64.28,63.57,650139
64.15,64.8,64.895,64.011,465272
64.93,64.73,65.23,64.53,442572
65.02,66.37,66.44,64.65,603675
66.58,66.24,66.66,66.17,406028
66.05,66.59,66.61,65.92,304735
66.67,67.44,67.46,66.39,329576
67.45,67.03,67.51,66.9,426164
67.66,66.42,67.68,66.32,504119
66.85,66.93,67.15,66.35,322896
66.92,66.31,67,66.24,390978
66.4,67.12,67.16,66.2,442534
67.03,67.14,67.43,66.64,323210
67.1,66.95,67.21,66.55,495298
67.06,65.85,67.22,65.81,601657
65.95,65.94,66.18,65.56,535071
66.1,66.3,66.54,65.41,1170593
66.32,67.69,67.79,66.25,711034
67.18,66.72,67.52,66.66,488844
66.99,66.62,67.79,66.47,544039
66.41,67.93,68.25,66.3,573560
67.39,66.23,67.67,66.22,308637
65.62,63.12,65.82,62.96,798700
62.31,61.99,62.97,60.91,944528
61.96,64.3,64.55,61.7,791194
64.4,62.54,64.82,62.5,727642
63.08,62.63,63.4245,60.9,658269
63.18,64.32,64.72,63.17,434973
64.08,64.64,64.67,63.561,244058
64.38,65.74,65.84,64.36,456310
66.15,66.1,66.2,65.44,650378
66,66.42,66.85,65.76,451937
66.14,66.24,66.95,65.87,520178
66.16,65.22,66.21,65.21,1446587
65.87,65.75,66.29,63.13,1173385
66.32,65.83,66.89,65.73,705651
66.22,66.4,67.02,65.64,806676
66.37,65.23,66.56,65.22,1059585
65.51,63.33,65.5922,63.33,820426
64.55,63.75,65.2805,63.05,937365
63.22,65,65.115,62.97,493713
64.79,65.9,66.21,64.63,788023
66.24,66.19,66.71,65.44,479708
65.78,66.63,66.72,65.57,618392
66.98,67.93,68.11,66.87,790840
68.34,69.42,69.51,68.31,761908
69.78,69.33,69.96,68.69,942273
69.78,69.32,70.11,69.0564,793379
69.35,68.54,69.445,68.37,657108
68.51,68.02,68.82,67.73,476570
68.06,67.7,68.27,67.3,827879
67.59,67.13,67.7,66.31,578651
67.28,67.57,67.85,67.08,515296
67.6,67.57,68.12,67.3,567937
66.9,65.97,67.2,65.95,425552
65.73,65.02,66.37,64.96,599182
65.87,65.63,66.16,64.46,673960
66.02,64.5,66.32,64.12,642298
64.51,64.28,65.03,63.92,634310
64.7,65.39,65.83,64.19,533918
65.19,64.87,65.53,64.2,609969
65.15,65.36,65.52,64.72,660742
64.38,65.79,65.92,64.23,350537
66.12,66.48,66.85,66.1,344070
65.85,64.83,66.18,64.59,463830
65.15,64.77,65.65,64.69,460062
65.59,65.82,66.03,65.14,466387
65.51,65.05,65.93,64.9,414309
65.49,65.69,66.0144,65.21,274107
65.79,65.21,65.79,64.92,310861
65.56,65.91,66.06,65.36,383547
66.46,66.82,66.95,65.9,556680
66.92,67.18,67.46,66.4401,587145
67.19,66.75,67.19,66.4368,451827
66.66,66.09,66.98,65.92,393706
66.53,66.23,66.86,66.02,469286
67.12,65.62,67.27,64.96,470053
65.54,65.52,65.58,64.2,540390
65.74,65.63,65.93,65.35,644339
65.94,65.78,66.04,65.24,422243
65.92,64.23,66.03,64.23,703375
64.06,63.47,64.36,62.92,1508132
63.15,62.04,63.9,61.9,1119850
59.85,60.27,60.47,57.5,2304149
59.81,60.13,60.45,58.54,1137849
59.69,60.85,61.1,59.69,1199720
60.41,61.54,62.03,60.41,1422804
61.8,62.51,62.71,61.43,1348808
62.56,63.08,63.23,62.56,742733
63.13,63.27,63.78,63.05,574374
63.53,62.31,63.87,62.27,635747
62.03,61.53,62.25,61.26,527826
61.8,61.48,62.07,61.3,378834
61.36,60.76,61.59,60.58,426128
60.88,61.32,61.4,60.8453,540948
61.71,61.39,61.86,61.01,511279
61.32,59.82,61.34,59.77,703513
59.72,60.61,60.65,59.65,504999
60.71,60.35,60.81,60.28,368661
60.32,60.26,60.39,60.05,387043
59.96,59.79,60.39,59.35,329458
60.03,60.61,60.87,60.03,455074
60.63,60.07,60.74,60.01,404431
60.41,60.8325,60.93,60.3001,409802
61.12,61.58,61.58,60.91,535257
61.53,61.9,62.1,61.48,573527
61.92,61.94,62.31,61.39,440545
62.01,61.04,62.08,60.83,255855
61.02,61.32,61.33,60.8,462492
61.4,61.59,61.77,61.19,681987
61.8,61.88,62.23,61.27,1101831
61.9,61.75,62.14,61.67,574593
61.38,60.75,61.66,60.73,903261
60.61,60.17,60.63,59.71,897892
58.69,59.51,59.89,57.62,1446056
59.1,59.5,59.63,58.925,776710
59.49,58.37,59.66,58.19,716932
58.22,57.92,58.43,57.62,851769
57.99,58.495,58.72,57.81,654553
58.53,58.84,59.16,58.07,889010
