Open, Close, High, Low, Volume
36.23,36.16,37,35.98,987342
35.99,36.33,37.35,35.94,1754075
36.56,36.49,37.34,36.18,1407376
36.57,35.84,37.39,35.78,1618465
35.74,36.18,36.52,35.64,1572846
36.39,34.98,37.07,34.97,1884254
34.7,33.98,35.02,33.94,569004
34.26,35.37,35.39,33.48,925461
34.9,36.03,36.04,34.546,1227155
36.12,35.78,36.38,35.48,946059
35.91,35.7,36.15,35.34,785463
35.37,35.915,36.28,35.11,1001571
35.76,35.5,35.96,34.95,661408
35.88,36.51,36.76,35.88,794768
36.68,37.18,37.62,36.33,718257
37.6,37.695,37.875,37.125,800964
37.78,37.87,38.22,37.505,1061579
37.91,38.3,38.41,37.64,767550
38.28,38.31,38.34,37.82,757382
38.19,38.35,38.57,38.03,490360
38.35,38.39,38.5,37.84,628361
38.54,38.405,38.95,38.345,684382
38.27,38.87,39.05,38.25,493217
39.23,39.55,39.96,39.09,844878
39.44,39,39.47,38.8,811226
39.18,38.82,39.4,38.35,730218
38.93,39.65,39.67,38.82,767424
39.96,39.995,40.31,39.7,876069
39.75,39.995,40.095,39.46,695436
39.87,40.29,40.365,39.46,697548
40.5,40.585,40.665,39.89,766672
40.51,40.98,40.98,40.19,1099013
40.95,40.96,41.11,40.48,817892
41.01,40.8999,41.07,40.7,1108841
42.77,44.89,45.83,41.69,3574827
44.25,44.09,44.64,43.81,1901816
43.83,43.7485,44,43.25,841087
43.71,43.41,44.16,43.06,758909
43.47,43.57,43.7263,43.07,833449
43.86,44.47,44.48,43.705,945279
44.53,44.2643,44.66,43.88,636702
44.01,44.47,44.68,43.77,855231
44.67,44.95,45.01,44.2,587780
45.28,45.62,45.73,45.105,717713
45.8,45.88,45.99,45.5,522514
46,46.08,46.5,45.99,914681
46.02,45.73,46.26,45.68,559864
45.71,45.69,45.91,45.37,731088
45.59,45.42,45.67,45.22,658684
45.83,45.98,46.03,45.29,759419
46.05,45.99,46.17,45.42,643813
45.7,45.61,46.01,45.57,801940
45.52,45.04,45.72,44.97,821546
45.06,44.32,45.06,44.165,812441
44.08,44.33,44.5991,43.8558,946467
44.31,44.02,44.4361,43.8,1049235
44.03,44,44.19,43.33,844134
44.01,43.64,44.04,43.42,965849
43.27,43.06,43.3,42.8,1024509
43.26,42.98,43.46,42.83,717202
43.01,43.15,43.16,42.83,640154
43.17,42.7,43.3306,42.53,553391
42.71,41.92,42.75,41.78,726740
41.78,42.36,42.5,41.78,853940
42.1,40.75,42.19,40.73,967222
40.71,41.14,41.42,40.67,687049
41.48,41.65,41.805,41.3,590805
41.95,42.11,42.21,41.67,774634
42.27,42.29,42.43,41.89,1062068
42.48,42.21,42.72,42.01,591539
42.46,42.61,42.67,42.21,267493
42.67,42.47,42.77,42.34,367430
42.78,42.6,42.86,42.47,540661
42.54,42.9,43.02,42.5,719756
43.17,43.57,43.73,43.06,990463
43.27,42.96,43.33,42.25,1363990
42.75,42.33,42.76,42.2,764075
42.63,42.98,42.99,42.54,736981
42.98,43.21,43.29,42.97,515260
43.51,43.25,43.69,42.99,612243
43.18,43.2,43.469,43.07,722014
43.45,43.73,43.76,43.0503,536785
43.87,43.3,43.89,43.22,463185
43.16,43.27,43.6,43.06,627447
43.13,42.85,43.35,42.6948,552690
43.15,42.99,43.495,42.76,915281
42.95,42.9,43.29,42.61,672771
42.84,41.69,42.84,41.52,749769
42.16,42,42.16,41.38,957896
41.97,41.63,42.03,41.51,1365725
40.21,39.3364,40.5,38.55,2928999
39.64,39.54,40.19,38.9,2076520
39.69,39.77,40.21,39.59,1118518
39.97,40.31,40.4238,39.82,779645
39.71,40.09,40.16,39.55,1241376
39.71,39.27,39.83,39,961452
39.29,38.87,39.43,38.83,770505
38.53,38.14,38.54,37.72,887945
38.13,38.45,38.5,37.385,834193
37.78,37.07,37.78,36.79,951137
37.21,37.6,37.86,37.1239,801449
37.41,37.73,37.955,37.15,754938
37.99,37.98,38.44,37.68,767627
37.7,37.5,38.1062,37.47,566328
37.3,37.3,37.535,37.17,955455
37.39,37.92,37.985,37.33,725829
37.61,37.55,37.7,37.33,716682
37.26,36.88,37.37,36.74,563269
37.05,37.19,37.46,37.05,525975
37.2,36.63,37.34,36.625,676596
36.56,36.83,37.12,36.36,1270887
37.06,36.48,37.1,36.19,792217
