Open, Close, High, Low, Volume
61.78,61.44,62.29,61.41,2182902
61.71,61.13,61.82,61.04,1930716
61.15,61.15,61.66,61.01,2122144
61.39,61.4,61.625,61.08,2076822
61.88,62.38,62.62,61.88,2030020
62.55,61.89,62.58,61.835,1634960
62.25,62.57,62.9,62.04,1814277
62.75,63.75,64.005,62.75,1803406
64,64,64.24,63.51,2189651
64,63.89,64.42,63.74,1441171
64.05,63.91,64.4,63.82,1045802
64.01,63.81,64.17,63.69,1313426
64.04,63.25,64.37,63.1,1550653
63.93,64.82,64.85,63.7901,2993232
64.99,67.27,67.4,64.99,4215184
67.23,66.93,67.45,66.5,3579040
67.4,67.57,67.63,66.77,2574049
67.77,67.22,67.8,67.08,1983488
67.38,66.65,67.44,66.31,4050497
66.24,68.26,68.51,64,8420552
68.91,69.58,70.4,68.62,4966009
69.13,69.28,69.93,69.04,3053435
69.86,68.8,69.87,68.62,2254041
69.26,70.71,70.83,68.9,2717619
71.77,70.54,72.07,70.43,3228290
70.6,71.82,71.87,70.59,2756263
71.97,71.74,72.17,71.36,2737742
71.69,70.94,71.945,70.6,1942813
70.98,70.86,71.89,70.43,2090750
70.81,68.47,70.94,68.01,3484070
68.79,67.81,68.97,67.24,3400870
67.4,65.01,67.7,64.93,4057043
64.49,63.88,64.84,63.47,3773587
64.71,62.66,65.4485,62.4465,4966332
62.2,62.82,63.52,61.73,5110020
62.27,60.01,62.4,60,4011052
59.52,57.7,60.32,57.0981,4731699
56.56,60.42,60.67,56.03,6315660
60.67,60.91,63.4,60.42,7014188
60.79,59.11,61.1,59.01,5595233
60,58.7,60,57.39,6457964
59.32,59.41,60.56,57.77,5301001
59.4,60.04,60.14,58.84,5636725
59.51,61.23,61.755,59.47,6017328
61.88,60.4,61.88,60.02,3715596
60.29,60.85,61.13,60.11,4042293
60.65,59.15,60.78,58.97,3362454
59.38,58.65,60.39,58.64,2741663
58.98,58.42,59.32,58.13,4050955
59.56,59.04,59.56,58.2,2458141
59.37,59.42,59.62,58.45,2424447
59.57,57.66,60.81,57.655,3931198
57.9,56.57,58.13,55.94,7549033
56.84,57.32,57.55,56.17,4272060
56.78,57.47,57.58,55.92,3123314
57.04,58.31,58.65,56.9601,3092811
58.64,59.19,59.33,57.88,2833666
58.69,59.28,59.66,58.535,1839535
59.29,58.66,59.57,58,2253066
59.01,59.79,59.88,58.24,2603919
59.86,60.45,60.73,59.8,2145687
60.86,60.56,61.515,60.435,2462105
60.87,59.9,60.9,59.73,2417593
60.07,58.91,60.3,58.49,2430231
58.97,59.2,59.555,58.47,2225851
59,59.05,59.1,58.24,1802029
59.25,58.85,59.745,58.62,1693820
59.03,59.9,60.57,58.7,2652075
59.3,58.67,60.41,58.63,2561753
59.17,58.05,60.26,58.01,2818602
59.04,59.23,59.4,58.33,1919745
59.39,58.66,59.4,58.25,2459542
58.91,58.77,59.45,58.61,2563078
58.82,58.94,59.2,58.69,3576040
58.71,56.81,58.71,55.87,4518640
57.08,57.33,57.82,55.48,4391623
58.53,62.85,64.08,58.01,14034536
63.46,64.01,64.9,62.68,5177781
63.14,61.56,63.78,60.36,5812081
61.67,60.78,62.16,60.75,2910541
61.61,60.08,61.63,59.75,5062643
59.53,58.19,60.44,58.04,4045908
58.49,56.75,58.61,56.4997,5315339
56.87,56.95,57.65,55.9,5511941
57.23,57.14,57.92,56.49,2842305
57.52,57.52,58.035,57.27,2647264
57.61,57.65,58.49,57.45,2313000
57.52,55.61,57.57,54.195,6304549
55.82,54.61,56.35,54.41,3686679
54.62,54.46,55.15,54.03,2398299
55.03,53.47,55.49,53.33,4046485
53.55,53.91,53.97,52.85,3639343
54.58,54.3,54.6,53.02,3542639
54.25,54.86,55.4,54.18,2698477
54.75,52.89,55.05,52.86,3201979
52.81,53.91,54.52,52.44,4800355
53.81,53.25,54.29,53.13,2370538
53.26,53.62,53.75,52.63,2011540
53.63,54.44,54.9,52.84,2955708
54.6,54.3,54.79,54.02,1612858
54.29,54.46,54.69,53.94,1940378
54.52,53.6,54.77,53.03,2331314
53.91,54.18,54.54,53.72,2049326
54.23,54.29,55.13,54.18,1537334
54.36,54.275,54.72,54.04,1281048
53.68,51.2,53.97,50.87,4603652
51.11,50.96,51.57,50,5298684
50.98,51.29,51.64,50.95,2171798
51.3,52.03,52.38,51.05,2129594
52.29,52.27,53.02,51.99,1923511
51.41,50.88,51.81,50.74,2644848
50.36,51.73,51.84,50.21,3022702
51.72,51.45,52.14,50.94,2104381
51.74,53.39,53.75,51.7,3649946
53.06,53.29,54.18,52.97,2358467
53.47,52.51,53.6,52.39,1687050
52.55,51.75,52.67,51.66,2197595
52,51.63,52.06,50.69,3259569
51.91,52.07,52.3,51.62,2300244
51.66,51.955,52.87,51.66,2834274
51.86,52.3,52.33,50.8,2426054
52.4,52.45,53.1,52.0675,2010626
52.43,53.99,54.15,52.34,2878859
54,53.69,54.47,53.45,2175505
53.84,54.6899,54.82,53.66,1969161
54.45,52.49,54.45,51.75,4546447
52.44,53.07,53.17,52.1,4257654
53,52.81,53.66,52.107,3132353
52.39,51.93,53.2,51.63,3165762
51.6,52.05,52.69,51.58,2655084
51.91,52.24,52.53,51.12,2108411
52.26,51.68,52.45,51.57,1702162
51.6,51.205,51.72,50.7199,4290599
50.95,49.22,51.06,48.71,5204262
52.85,51.61,53.87,51.05,13238165
52.2,51.28,52.24,50.971,4313753
50.83,52.04,52.16,50.77,2866957
53.07,52.5,53.33,52.445,3219854
52,52.17,52.95,51.61,2269671
52.46,52.42,52.8,52.08,812551
52.79,53.13,53.27,52.4001,1685031
53.21,53.69,54.38,52.96,2380754
54.34,54.62,54.695,54.09,2941960
54.89,54.36,55.22,53.9131,3969158
53.95,53.98,54.77,53.92,2727853
54.2,53.77,54.38,53.37,2688700
53.68,54.05,54.25,53.56,959070
54,54.05,54.58,53.46,1393704
54.05,55.55,55.77,53.98,3136546
54.92,55.18,55.37,54.2387,2158138
55.13,55.15,55.58,54.74,2314250
55.06,54.69,55.13,54.19,3140152
55,54.3,55.05,54.06,2719145
54.21,52.58,54.34,52.52,3631276
52.03,51.34,52.39,50.54,3686389
51.58,52.53,52.59,51.09,3614153
52.69,52.11,53.2,51.38,4750984
52.2,51.89,52.44,51.8,2614724
52.14,52.27,52.45,51.53,1666586
52.44,51.73,52.55,51.51,2388040
51.43,50.82,51.61,50.32,3859516
50.94,51.48,51.62,50.75,2186335
51.45,51.76,52.01,50.84,1687772
51.85,53.01,53.08,51.64,1601269
53.19,53.26,53.345,52.79,2093357
53.33,53.45,53.98,53.08,1682566
52.96,53.37,53.47,52.07,2344978
53.03,50.78,53.0641,50.46,3468896
50.94,50.98,51.49,50.61,2930967
50.62,50.23,50.69,49.74,3003668
50.43,50.49,51.01,50.08,1857003
50.37,50.56,50.78,50.05,1924573
50.555,51.12,51.515,50.555,1503528
52.37,53.26,53.67,52.29,3483638
53.16,52.53,53.22,52.3,1168541
52.39,51.72,52.5,51.46,1303732
51.74,51.56,52.1099,51.5,910308
51.6,52.42,52.72,51.55,1207713
52.42,52.61,52.78,52.27,1935292
52.57,52.69,53,51.99,1858197
52.43,51.85,52.71,51.78,1270024
51.89,51.67,52.04,51.42,837667
51.63,51.72,51.93,51.45,1187316
51.74,52.53,52.82,51.4,2004215
52.67,52.35,53.3,52.23,1540311
51.84,50.53,51.885,50.44,2321342
50.77,50.69,51.24,50.32,2911766
50.5,51.18,51.71,50.47,3701111
51.21,52.22,52.3581,51.025,3953117
52.26,52.34,52.62,51.14,3198420
52.24,52.53,52.785,51.43,2156849
52.49,51.17,52.6373,51.08,2505298
51.32,51.8,52.28,51.28,3750568
51.78,51.39,52.6,51.2373,2124130
51.48,50.72,51.72,50.35,3637086
50.69,50.11,50.72,49.57,3190161
49.9,49,49.99,48.98,2056604
49.24,48.88,49.3,48.71,2650102
49.19,47.91,49.57,47.555,3848289
47.76,47.06,47.825,46.76,3975556
47.01,46.69,47.39,46.6,4234436
47,47.17,47.415,46.78,4132141
47.18,46.75,48,46.74,7629789
46.45,46.25,47.74,45.37,10165393
46.04,44.69,46.04,44.54,6303461
44.5,44.8,45.13,43.66,8005107
44.63,45.45,45.62,44.53,3433126
45.54,44.32,45.81,44.29,3730535
44.39,43.73,44.98,43.7,3768840
43.6,43.31,44.25,43.2204,4607873
43.94,43.15,43.99,42.695,4897707
42.97,43.05,43.44,42.76,2445081
43.4,44.09,44.3126,43.16,4046997
43.23,43.08,43.36,42.49,4679734
42.59,42.41,43.34,42.33,2823696
42.5,40.82,42.52,40.55,3934263
41.1,39.37,41.21,39.29,4266749
38.97,40.7,41.37,38.94,7607366
40.62,38.85,41.78,38.79,5676296
39.39,40.19,40.7498,39.39,6847818
39.5,41.77,42.72,39.34,10525651
42.66,41.03,42.9476,40.59,4687931
40.91,43.03,43.11,40.37,5687062
43.53,42.97,43.69,42.38,6750132
43.05,44,44.73,42.69,4204266
44.52,43.26,44.56,42.66,3171812
43.23,44.38,44.42,43.06,2313533
44.49,43.98,44.54,43.79,2152186
44.45,42.975,44.475,42.29,4012868
41.47,41.89,42.705,40.9,4300189
41.73,41.9,42.56,41.56,4007337
41.41,40.68,42.044,40.57,3275982
40.85,41.26,41.81,40.85,3311195
41.7,41.61,42.3,41.09,3186523
40.55,39.525,40.952,38.225,8382737
