Open, Close, High, Low, Volume
158.42,157.55,158.89,156.63,1668079
157.4,155.805,158.5,155.21,2271928
154.48,154.01,156.4,152.44,2592563
156.01,153.11,157.48,153.03,3676826
152.7,148.3,153.41,148.2,1598288
148.75,152.73,152.77,145.95,2269418
152.05,156.3,156.3,150.6,1853351
157.1,156.16,158.56,155.04,1303330
156.23,155.28,157,153.94,1351346
153.53,157.19,158.16,153.52,1081545
154.06,152.62,154.35,151.93,1399511
153.83,156.8,157.62,153.36,1378135
155.78,156.49,158.04,152.74,1108493
156.09,158.11,158.56,155.2,1546636
156.73,158.385,159.53,156.33,1859074
158.7,161.88,161.93,158.35,1519674
160.56,160.05,160.76,159.37,1119789
158.37,157.96,159.5,157.7,1383425
156.84,157.21,157.87,156.54,1872501
157.53,157.21,158.42,157.08,998576
156.4,157.26,157.65,156.21,1669992
158.76,160.45,161.45,158.01,2196300
161.61,160.4,161.78,159.69,1370476
160.57,158.95,161.09,157.46,1392890
157.61,157.38,157.91,156.43,2208635
158.69,158.83,160.11,158.64,931765
157.78,158.07,158.39,156.88,1249478
159.57,160.85,162,159.35,1123718
161.79,162.93,163.75,161.16,843696
161.18,163.06,163.42,159.63,1125229
163.91,165.78,165.82,163.46,1077181
165.48,163.87,165.69,163.22,1560913
165.26,164.7,165.99,163.8,1625757
163.95,163.36,164.62,163.04,846829
161.75,160.645,162.24,159.4304,1105592
160.07,161.115,161.61,159.081,929536
161.06,161.18,161.62,160.63,705574
164.13,167.39,167.55,163.89,1363976
167.09,167.28,168.49,166.995,1055012
166.65,166.61,167.6,165.93,905227
170.54,168.39,170.71,167.77,1951661
168,167.83,168.78,167.56,1963234
167.59,170.29,171.005,167.59,2288822
170.98,171.41,172.3,170.54,1466479
172.24,173.46,173.74,171.55,860925
173.89,174.62,175.01,173.39,1279759
173.79,173.92,174.89,173.45,1290390
173.4,174.5,175.12,172.63,1208843
174.81,173.29,174.93,173.1,1178749
176.36,168.39,176.73,167.86,2513070
168.35,168.71,168.91,166.07,1521833
168.35,168.47,169.94,168.345,967393
168.84,169.13,169.68,168.21,830448
169.36,167.44,169.36,166.82,1078749
168.75,169.44,169.52,167.76,952537
169.48,171.24,171.31,169.415,809408
171.78,172.4,172.9,171.3901,1024467
174.01,174.42,175.51,173.64,1212906
174.25,174.21,174.44,173.17,761468
176.007,176.4,176.76,174.43,1316169
174.75,174.51,174.95,173.43,906275
175.63,173.72,175.68,172.62,727613
175.35,176.62,176.87,174.36,1309422
174.34,175.1,175.83,173.7,958614
172.1,169.9,172.76,169.19,1107984
170.97,170,171.92,169.56,1250169
170.89,171,171.3,169.69,1000969
169.46,169.47,170.05,168.69,1556660
170.96,173.7,173.85,170.73,1710793
175.35,175.91,176.1,173.88,1382404
176.84,176.63,178.1799,176.53,581288
177.33,177.99,178.18,176.69,958050
181.15,182.69,184.53,180.63,1998830
183.57,183.89,184.04,182.42,1240661
184.59,184.55,185.43,183.98,1144162
185.9,184.81,185.92,184.15,964284
185.05,182.99,185.05,182.75,1192278
183.39,181.11,183.59,179.82,2538506
181.68,179.83,181.81,179.77,1373039
180.8,180.34,181.13,180.14,1528614
180.14,180.15,180.43,179.14,1175021
180.08,180.62,180.68,178.8,1600583
180.64,179.85,181.86,179.4,1264218
180.12,180.45,180.785,179.67,1253147
179.85,178.92,180.8,178.83,900610
178.65,179.33,179.72,178.55,1590002
179.01,177.61,179.51,177.51,1451794
176.22,176.27,176.75,174.92,1615563
175.44,178.26,178.26,175.37,1013894
176.79,177.07,178.26,176.49,989721
177.87,180.19,180.56,177.39,966304
179.89,178.28,181.195,178.01,795627
177.93,180.44,180.48,177.27,1356312
179.68,180.94,181.47,179.24,1071212
177.83,178.64,179.33,177.81,1238358
176.58,174.52,176.87,172.91,1720838
174.43,176.54,177.53,174.24,1067218
173.2,173.35,174.71,171.6,1791345
174.63,181.69,182.22,174.27,2218125
179.74,180.67,181.01,177.8233,1923300
180.31,180.92,182.36,179.78,1398114
178.57,180.9,182.37,178.32,964638
185.09,187.68,188.9699,184.5,1630538
188.19,188.97,189.45,186.89,1411558
186,185.21,187.17,184.65,1107745
186.76,187.28,187.44,186.15,851878
187.87,188.25,189.72,187.18,1031918
185.89,185.09,187.04,184.47,1087868
187.37,188.03,188.15,185.845,797366
186.94,184.34,187.78,183.73,1077841
181.46,182.96,183.13,181.21,908937
182.92,183.39,184.21,182.77,776672
180.3,180.56,181.41,179.87,1413245
181.47,187.2,187.41,181.2,1870985
187.81,191.3,191.35,185.68,2047401
191.35,192.59,192.8,190.49,2476485
194.31,197.28,198.06,193.69,2214719
200.15,200.05,201.11,197.63,2993756
200.12,200.3,202,198.23,1009944
201.2,200.81,201.82,199.72,1323124
201.58,201.63,202.28,200.97,1698188
203.48,202.78,203.89,201.64,2584429
202.66,202.78,203.23,201.43,1300881
202.93,201.27,203.61,201.04,1556798
204.18,204.01,204.76,202.71,1675475
202.24,200.66,202.47,199.14,1622192
203.65,202.34,203.71,201.5,1310483
202.64,202.29,202.99,202.03,2027901
202.49,203.39,203.87,202.025,867856
204.32,202.72,204.32,202.71,877677
202.05,200.605,202.31,200.56,792785
198.7,199.475,199.95,198.46,1213112
199.69,200.8,201.72,199.12,1679760
203.02,202.98,203.19,201.51,898858
202.01,203.51,203.97,201.53,1018423
202,203.43,203.52,201.71,653281
201.1,202.43,203.165,200.095,719087
201.05,201.68,203.635,200.88,976185
