Open, Close, High, Low, Volume
24.56,24.54,25.01,24.23,3007955
24.78,24.54,25.08,24.24,2585387
24.59,24.32,25.34,24.01,3753353
24.28,23.85,24.3,23.46,3592520
23.86,23.56,24.2501,23.54,4914915
23.45,23.9,24.07,23.14,2700266
24.07,24.75,24.76,23.73,3715748
24.3,24.09,24.5,23.185,3222221
24.24,23.95,24.3475,23.78,2528547
24.12,23.64,24.25,23.315,2464519
23.36,23.68,24.0079,23.11,3243754
23.64,22.92,23.71,22.74,4613243
23.28,23.825,24.2,23.16,2675207
23.74,24.17,24.38,23.65,2840300
24.48,24.815,24.83,24.28,2958743
25.04,25.75,25.76,24.84,3136676
25.47,26.19,26.19,25.13,4051037
26.01,26.305,26.47,25.73,3322926
26.15,26.65,26.82,26.03,2625711
26.7,26.665,26.86,26.41,2808411
26.63,26.83,26.96,26.47,1865265
26.71,26.9,27.275,26.59,2548767
26.35,26.24,26.55,25.59,5145277
26.06,25.84,26.25,25.74,2384422
26.05,25.81,26.21,25.44,2987989
25.75,26.235,26.265,25.75,3336570
26.5,26.075,26.59,26.02,1576604
25.88,26.3,26.31,25.7,2179707
26.3,26.25,26.42,25.995,1497244
26.45,26.56,26.65,26.02,1583241
26.5,26.235,26.67,26.09,1371613
26.17,26.42,26.5,25.98,1924670
26.43,27.16,27.16,26.18,2595930
27.19,27.16,27.46,26.955,1819727
27.18,27.025,27.28,26.95,1862440
26.94,26.245,27,26.17,1142406
26.17,26.18,26.37,25.97,1340599
26.36,26.43,26.47,26.14,981638
26.51,26.7,26.76,26.47,1971060
26.84,26.75,26.995,26.525,1967459
26.61,26.49,26.71,26.44,1650174
26.71,27.155,27.16,26.37,2755504
27.04,27.02,27.121,26.88,1648922
27.06,26.98,27.17,26.835,2086738
26.98,27.335,27.45,26.92,1555540
27.38,27.34,27.52,27.09,1805461
27.62,27.52,27.84,27.47,1852452
27.53,27.26,27.66,27.25,1871184
27.28,27.26,27.44,27.02,3566045
27.07,27.71,28.41,25.92,5743192
27.92,27.82,28.18,27.29,3643829
28.45,28.1,29,27.65,3034071
28.17,27.79,28.31,27.73,3395667
28.35,28.47,28.665,27.93,3551776
28.33,27.79,28.57,27.57,2090557
27.54,27.34,27.635,27.24,2183586
27.43,27.31,27.58,27.22,2142568
27.27,26.86,27.39,26.84,3111659
26.93,27.34,27.5,26.86,4050856
27.31,27.88,27.91,27.15,3198725
27.89,27.86,28.04,27.58,3539064
27.94,28.31,28.33,27.64,1627771
28.39,28.64,28.975,28.35,2274732
28.66,28.7,29,28.3,2718510
28.63,29.02,29.16,28.6,1204845
28.85,28.36,28.94,28.35,1510738
28.3,28.33,28.7067,28.22,1418307
28.44,28.32,28.59,28.0825,1896464
28.41,28.22,28.56,28.09,1461414
28.32,28.2,28.43,28.03,1867396
28.42,28.37,28.54,28.2025,2835987
28.63,29.21,29.23,28.63,1157467
29.21,29.19,29.47,29,1326824
29.4,29.63,29.94,29.29,1991804
29.58,29.74,29.82,29.53,2250748
29.88,30.06,30.07,29.76,2007863
30.06,30.18,30.32,29.97,1708319
30.13,30.05,30.14,29.94,1421536
30.12,30.33,30.34,29.95,1019296
30.38,30.4,30.44,30.26,853989
30.86,30.82,30.92,30.38,1184027
30.88,31.04,31.07,30.63,1070718
31.17,31.12,31.22,30.97,1197756
31.33,31.12,31.38,31.01,1407745
31.15,30.78,31.15,30.605,1913428
30.66,30.61,30.66,30.23,2088849
30.69,31.35,31.45,30.61,2252355
31.21,31.46,31.675,31.21,2458210
31.1,29.65,31.1,29.29,4551620
29.79,30.04,30.06,29.73,2351315
30.13,30.075,30.41,29.95,3431967
30.12,30.1,30.36,30.01,2212563
30.09,29.61,30.18,29.59,2603421
29.66,29.04,29.82,29.03,3144312
29.28,28.79,29.32,28.6,2984179
28.28,28.5,28.6,28.18,1694415
28.28,27.97,28.4803,27.72,1926706
27.85,27.83,28.09,27.76,1659827
27.61,27.41,27.75,27.38,2306621
27.35,27.32,27.37,26.7,6904717
26.84,26.78,26.985,26.52,3129980
26.8,27.02,27.27,26.8,2628923
26.91,27.09,27.155,26.62,2468019
27.16,27.45,27.53,27,4298347
27.25,27.09,27.49,27.07,1567469
26.94,26.87,26.985,26.73,1759083
26.93,27.16,27.25,26.93,1098690
27.09,27.01,27.26,26.89,2011552
26.84,26.47,26.89,26.365,2446361
26.63,26.54,26.72,26.43,2122645
26.79,26.31,26.79,26.21,1861190
26.19,26.05,26.275,25.93,1484869
26.04,25.83,26.34,25.72,1930309
25.5,25.62,25.78,25.39,1484765
25.93,26.38,26.47,25.85,2017167
26.41,26.37,26.59,26.08,1662090
26.39,25.94,26.54,25.77,2494036
26.09,26.54,26.63,26.03,2140409
26.67,26.74,27.09,26.65,1875760
26.99,26.74,26.99,26.53,2075221
26.61,26.19,26.61,26.03,2188491
26.34,26.36,26.545,26.19,3606824
26.33,26.24,26.385,25.985,1830193
26.26,26.16,26.706,26.06,822055
26.29,26.325,26.61,26.26,1199197
26.39,26.52,26.6,26.21,1622242
26.79,26.66,26.84,26.4842,1098457
26.65,26.62,27.16,26.51,2272461
26.57,26.21,26.71,26.2,1269370
26.19,26.27,26.42,26.125,1619573
26.41,26.17,26.47,26.17,1020022
26.22,26.26,26.51,26,3599195
26.34,26.6,26.68,26.2661,2881938
26.95,27.04,27.16,26.7,1808880
27.09,26.56,27.14,26.505,1859167
26.65,26.68,26.86,26.45,1092262
26.61,26.64,26.72,26.42,1434941
26.5,26.14,26.64,26.13,1548059
26.05,26.03,26.19,25.72,1850828
26.21,26.17,26.31,26.09,1077912
26.17,26.24,26.335,26.08,1299681
26.39,26.81,26.865,26.31,1719345
26.63,26.9,27,26.59,1461905
26.84,27,27.28,26.71,1988847
26.95,26.02,26.95,25.93,1986663
26,25.67,26.2,25.57,3757123
25.78,24.92,25.87,24.89,3949720
24.89,25.03,25.17,24.56,3158838
25.25,25.86,25.93,25.19,2061143
25.87,26.24,26.335,25.81,1914873
25.9,27.59,27.87,25.2875,3516125
27.25,27.74,28.17,27.1,2846827
27.7,27.35,27.71,27.05,2015522
27.24,26.91,27.3,26.6,2331975
26.94,26.93,27.21,26.71,2015900
26.93,26.16,27.14,25.79,2649283
26.05,25.56,26.05,25.34,1218440
25.11,25.08,25.34,24.765,2583072
25.24,25.54,25.585,25.15,1704684
25.16,25.57,25.66,24.96,2631377
25.83,25.95,26.07,25.62,1508661
25.88,25.45,25.88,25.28,1253460
25.24,25.04,25.24,24.99,944527
25.03,25.36,25.72,24.87,1677553
24.95,24.76,25.15,24.57,2029221
24.81,24.58,24.97,24.44,2183307
24.8,25.56,25.69,24.64,2137435
26.62,26.31,26.83,25.675,2368873
26.14,26.07,26.32,25.92,1722310
26.36,26,26.45,25.96,1799006
26.04,25.94,26.34,25.7713,2227796
25.82,25.48,25.82,25.32,3022101
25.82,25.4,26.01,25.19,2522497
25.53,25.02,25.64,24.88,2505105
24.95,25.64,25.71,24.79,1790654
25.86,26.19,26.34,25.86,1424663
26.42,26.27,26.69,26.22,1326081
26.04,25.99,26.09,25.45,1800522
26.3,26.4,26.455,26.15,1327134
26.76,26.92,27.1,26.6,1773643
27,26.9,27.23,26.61,1710244
27.04,27.41,27.44,26.93,1442260
27.49,28.67,29.5,27.395,3575771
29.13,29.06,29.16,28.1,2503232
30.68,32.55,32.83,30.61,6511088
32.98,32.74,33.17,32.59,3223182
32.36,32.05,32.79,31.99,2565535
32.09,32.23,32.315,31.68,1980202
32.28,31.97,32.3,31.75,1775014
31.96,31.87,32.25,31.83,3297579
32.07,31.78,32.07,31.49,2559863
31.68,31.89,31.975,31.38,1857789
31.95,31.615,32.08,31.375,1682424
31.61,31.61,31.91,31.205,1529941
31.48,31.43,31.71,31.285,1506892
