Open, Close, High, Low, Volume
55.28,54.42,55.41,53.99,2081304
53.59,53.52,54.97,53.26,2329754
53.09,52.55,53.95,52.2101,2574789
52.9,52.15,53.71,51.79,2426876
52.05,51.59,53.23,51.14,3735911
51.06,50.95,51.94,50.67,3068622
50.33,49.33,51.21,49.23,4063844
48.77,48.8,49.77,48.56,1544061
49.16,50.61,50.63,48.07,2998768
49.55,51.15,51.16,49.48,2614215
51.49,51.01,51.6392,50.765,2191267
51.37,50.99,51.81,50.65,1717387
50.12,51.48,51.805,49.7,2425665
51.2,50.96,51.8,50.71,2358169
52.22,53.78,53.81,51.85,3172354
53.33,53.99,54.535,52.7916,1950026
54.8,53.6,54.92,53.37,2424745
53.45,54.47,54.705,53.3,2152630
54.27,54.97,55.32,54.233,1994801
54.46,55.195,55.56,54.26,1467084
54.44,55.8,56.16,54.44,1842066
55.46,55.75,56.005,55.03,1884220
56.43,57.39,57.69,56.17,2307075
56.86,57.99,58.14,56.64,1492028
58.57,59.09,59.215,57.905,1845389
58.76,58.04,59.13,58.01,1444747
58.66,57.775,58.66,57.41,1668836
57.57,58.54,58.74,57.57,1295419
59.31,59.54,59.87,58.87,1069387
59.06,59.07,59.47,58.41,987670
59.09,58.11,59.14,58.1,1525701
58.21,57.91,58.36,57.16,2861196
57.45,58.58,58.625,57.45,1443122
58.72,58.61,59.06,58.4,1373353
58.63,58.885,59,58.48,1035047
59.02,58.74,59.14,58.28,1791760
58.69,58.97,59.37,58.57,1384489
58.29,59.155,60.54,58.11,2607032
58.31,58.24,59,57.19,1698005
58.75,59.09,59.27,58.4,1288262
59.93,60.465,61.03,59.81,1365923
60.81,60.655,61.61,60.63,1220135
59.91,59.93,60.4,59.5,1167731
60.7,61.59,61.65,60.5,1015145
62.13,62.64,62.785,61.83,1165643
62.66,62.54,63.2,62.32,1190460
62.79,62.81,63.36,62.47,1197748
63.5,63.34,64.04,63.25,1067764
63,63.18,63.82,62.95,1048294
63.16,63.01,63.65,62.93,1112199
63.07,62.52,63.14,62.46,1143339
64.19,62.89,64.19,62.63,1098039
63.01,62.74,63.81,62.06,1477373
62.82,62.7,62.95,61.78,1230873
62.51,62.04,63.19,61.76,1354333
61.61,60.38,61.61,59.99,2375871
59.62,60.17,60.24,59.39,1832185
60.56,60.94,61.17,60.43,1171372
61.19,61.26,61.57,60.99,1299210
61.73,61.79,62.23,61.28,980551
61.64,61.73,62.16,61.43,1313938
61.62,62.71,62.81,61.58,1418383
62.97,63.24,63.92,62.86,1509647
63.93,62.63,64.19,62.565,1115554
62.45,60.11,62.78,60,2237168
59.65,60.47,60.66,59.14,1941110
59.63,57.68,60.14,57.46,2460284
57.79,57.43,58.29,57.15,2226957
57.8,58.07,58.62,57.6,1683809
58.1,57.99,58.45,57.64,1374344
58.16,58.32,58.58,57.65,1420756
58.99,58.69,59.3361,58.49,1168577
59.74,61.92,62.02,59.46,1319874
61.88,61.12,62.14,61.06,1429126
62.02,62.08,62.705,61.77,1384410
62.01,62.66,63.2,62.01,1020536
62.92,63.4,63.63,62.62,974471
63.28,63.47,63.79,63.19,836336
62.84,61.89,62.92,61.73,1021733
62,62.97,63.06,61.61,957807
63.31,63.9,64.44,63.27,1201552
64.88,64.92,66.15,64.68,1151956
65.06,64.5,65.365,64.28,1020035
64.93,66.12,66.13,64.69,885807
66.48,66.16,67.15,65.91,1197087
65.96,66.19,66.5,65.88,858419
65.86,65.72,66.23,65.58,635659
65.56,66.14,66.52,65.56,868152
65.97,65.51,65.97,65.15,707385
65.07,65.13,65.85,64.66,622339
65.14,66.03,66.05,64.79,879702
66.27,66.81,67.07,66.27,656089
66.98,66.71,67.15,65.83,854550
66.38,65.97,67.17,65.8,1398789
65.86,66.37,67.39,64.63,1661317
66.54,67.17,67.52,66.13,1255514
65.58,66.82,67.21,65.34,1220895
65.96,65.38,66.51,64.85,1805843
65.09,65.09,65.92,64.86,1407354
64.18,65.02,65.14,63.67,1760283
64.75,65.34,65.57,64.04,1453014
63.96,62.09,64.2,61.92,1631084
62.22,64.15,64.75,62.22,2099494
63.36,63.78,64.07,62.89,1426606
64.26,64.84,65.5,64.26,1043875
63.96,63.97,64.76,63.81,771635
63.7,64.03,64.56,63.68,718755
64.51,64.99,65.14,64.51,959949
64.58,64.31,64.79,64.21,860201
63.27,62.33,63.34,61.9,1304188
62.93,63.51,63.65,62.86,957074
63.2,61.93,63.53,61.88,1329705
61.39,61.8,61.93,60.9,1176285
62.2,61.74,62.84,61.29,911371
60.58,59.45,60.675,59.16,1262953
61.83,63.48,63.535,61.72,1904043
63.46,63.01,63.555,62.14,1299235
63.08,63.68,64.01,62.8,1153111
63.42,62.77,63.88,62.67,1292701
63.59,63.73,64.57,63.4416,1098469
64.46,64.12,64.825,63.91,929970
63.82,62.95,64.21,62.87,951931
63.05,63.43,63.67,62.88,1017732
63.5,63.47,63.62,62.52,653754
63.34,62.44,63.67,62.27,666144
62.22,63.41,63.89,62.22,1026476
63.8,62.7,64.37,62.44,940205
63.44,63.91,64.05,62.4,1039772
63.91,62.92,64.21,62.88,879445
62.95,62.9,63.56,62.74,794555
63.84,62,63.84,61.635,2230174
62.34,62.81,62.98,61.77,1535369
63.09,63.02,63.83,62.905,924910
63.9,64.43,64.48,63.38,1101104
65.4,65.51,66.22,64.91,1382214
65.53,64.85,65.6,64.28,824584
65.22,65.71,65.79,65.02,532660
66,66.22,66.42,65.57,603497
65.54,65.84,66.23,64.85,893337
64.87,65.41,65.53,64.84,764759
65.4,65.01,66.03,64.62,844658
65.14,66.11,66.14,64.92,1341934
66.48,66.87,67,65.77,979783
67,66.41,67,66.07,674021
66.94,66.81,67.165,66.32,871151
66.54,65.61,66.68,65.475,636741
65.48,66.11,66.27,65.465,888347
66.23,65.89,67.04,65.84,761892
65.8,65.46,66.225,65.11,720063
65.72,66.04,66.27,65.31,1275107
65.84,66.77,66.87,65.68,958685
66.63,66.22,66.86,65.8,778038
66.21,66.64,66.91,65.82,1567710
66.41,66.06,66.926,65.83,912065
65.48,66.17,66.22,65.2592,787694
66.2,65.25,66.4433,65.08,1233802
64.63,59.81,65.1035,59.22,3043311
59.47,58.66,59.47,58.03,1656857
57.84,56.47,58.36,56.04,2024924
56.95,57.33,57.5,56.13,2029989
55.77,55.41,55.93,54.2,2553801
56.27,57.22,57.27,55.76,1570425
56.83,56.09,56.83,55.64,1337828
55.2,53.77,55.3075,53.56,1126609
53.44,54.5,55.52,53.11,1789128
52.55,51.9,53.19,51.67,1621561
52.25,51.7,52.6,51.49,1484493
52.51,53.5,53.97,52.34,1579936
54.7,54.32,54.88,54.04,1473241
53.73,53.19,54.09,53.07,1346017
53.88,53.98,54.3,53.49,785945
54.47,54.27,54.71,53.96,1090972
53.6,52.29,54.52,52,1425778
52.64,52.46,53.01,52.16,1070067
52.85,51.4,53.1423,50.815,1410519
50.9,51.69,52,50.9,998763
52.44,52.76,53.09,52.384,743730
53.33,52.89,53.65,52.71,637117
52.15,52.06,52.34,51.456,1205871
52.91,52.71,52.91,52.4,773174
53.77,54.83,55.33,53.76,1197069
54.79,55.2,55.67,54.31,813226
55.75,57.5,57.835,55.33,1412914
57.88,59.58,59.58,57.86,1778911
59.39,60.08,60.13,58.62,1557389
59.42,60.32,60.71,58.59,1023931
61.21,61.68,62.46,61.03,1019913
60.53,61.25,61.83,60.31,851129
60.82,60.82,61.01,60.13,814865
60.47,61.14,61.2,59.9,1045756
60.93,60.87,61.85,60.78,878100
61.14,60.73,61.89,60.73,1234633
59.96,60.92,61.21,59.62,714679
61,59.83,61.17,59.46,1233396
59.83,60.32,60.51,59.37,1032429
60.13,60.18,60.48,59.85,847582
60.83,60.92,61.46,60.5,979016
61.34,60.32,61.48,60.17,636722
61.01,57.75,61.02,57.75,1257213
56.97,55.88,57.35,55.62,978530
55.52,55.57,55.705,54.05,1005249
55.45,56.52,56.58,55.26,710861
56.51,55.91,56.68,55.91,548932
54.63,53.9,54.7,53.88,907663
54.2,54.34,54.6027,53.74,941902
54.9,56.08,56.16,54.76,1093482
57.68,58.38,59.25,57.28,1643248
57.72,58.62,58.75,57.4592,776998
58.91,59.03,59.97,58.535,692997
59.03,58.51,59.62,58.42,755413
59.11,59,59.545,58.6,801853
59.07,59.57,59.75,58.69,997395
60.43,60.88,61.175,60.35,895086
60.63,61.34,61.86,59.93,828073
60.78,61.8,61.85,60.78,913806
61.95,61.05,62.35,60.59,1339079
60.86,61.57,61.71,60.765,927992
61.88,62.2,62.95,61.78,877633
61.88,61.94,62.58,61.77,1079024
61.55,61.63,61.68,60.91,1317925
55.67,56.47,57.32,55.09,3174812
56.65,58.02,58.44,56.63,2359647
58.91,59.6,59.68,58.33,2206838
60,61.09,61.71,59.7,2337390
60.86,60.36,61.13,59.79,1636166
61.23,61.12,62.435,61,1834951
60.79,60.38,60.99,59.51,2023714
59.4,60.17,60.72,59.4,1192031
60.28,60.78,60.86,59.95,1173581
60.1,59.48,60.15,59.12,1209388
59.21,58.94,59.61,58.87,1233365
59.5,58.76,59.69,58.43,1210093
58.47,58.01,58.65,57.21,1330552
58.44,57.84,58.61,57.645,940919
57.37,57.02,57.49,56.38,1286266
57.31,57.27,57.31,56.42,1595392
57.47,58.17,58.2,57.35,982341
58.21,58.69,58.78,57.72,1036532
58.62,58.8,58.92,58.28,905426
59.16,59.47,59.56,58.74,801246
59.39,59.04,59.525,59.01,342654
59.37,58.58,59.695,58.51,869424
57.27,56.16,57.55,55.71,1735605
56.53,56.64,57.3,56.28,1207461
57.12,56.76,57.27,56.55,756565
57.83,57.77,58.38,57.56,867357
57.52,57.91,58.07,57.27,654511
57.65,57.87,58.2212,57.55,796962
57.81,57.71,58.1,57.49,904167
58,60.16,60.32,57.74,1195343
60.51,59.72,61.03,59.48,885921
60.47,60.42,60.84,60.09,1080351
60.26,61,61.2,60.23,1085162
61.2,60.69,61.51,60.68,784657
60.77,60.14,60.77,59.98,671597
60.66,60.02,60.81,60,1335329
60,59.46,60.15,59.18,720442
59.61,59.04,59.625,58.985,276158
59.25,59.52,59.778,59.21,1110364
59.51,58.73,59.63,58.655,967170
59.07,58.67,59.17,58.45,566537
58.63,59.02,59.24,58.38,742393
59.4,59.76,59.85,58.9,2034005
58.74,57.96,58.87,57.62,1398479
57.25,57.48,57.79,56.83,1284631
58,58.11,58.25,57.6,1468367
58.36,59.02,59.87,58.14,2009738
