Open, Close, High, Low, Volume
45.43,44.14,45.47,43.97,2669790
44.43,43.9,44.71,43.73,2356699
44.03,43.72,44.27,43.52,2169710
43.71,43.81,44.43,43.25,2312803
43.84,43.45,44.88,43.41,2563423
43.59,41.24,43.59,41.18,1127436
41.26,41.69,41.76,40.68,2332430
41.62,41.99,41.99,40.88,2078019
42.1,42.07,42.43,41.76,1692443
42.56,42.16,43.12,41.64,918900
42.16,41.12,42.19,40.89,1980249
41.16,41.295,41.65,40.94,1894124
41,41.705,41.76,41,1367257
42.3,41.45,42.3,41.12,1045468
41.49,42.085,42.1,41.29,977654
42.06,41.66,42.18,41.58,941525
41.7,42.52,42.56,41.51,1322046
42.44,41.96,42.54,41.89,1220376
41.7,41.255,41.8,40.75,1827940
41.26,41.99,42.07,41.05,1768907
42.07,42.38,42.54,41.6129,1560810
42.42,42.5,42.6,42.28,966341
42.6,42.9,42.93,42.45,1529625
43.16,43.11,43.44,42.57,1490065
43,43.605,43.615,43,1183621
43.54,43.955,43.97,43.16,1240989
43.65,43.08,43.97,43.04,1473535
43.23,42.94,43.35,42.68,779998
43.15,43.04,43.36,42.93,690000
42.88,43.335,43.56,42.51,1620448
43.73,44.54,44.55,43.2,2030287
44.35,44.155,44.5,43.57,1344309
44,44.235,44.25,43.12,938529
44.15,44.36,44.45,43.95,782411
44.18,44.24,44.435,43.95,817088
44.08,44.695,44.76,44.0467,1083301
44.75,44.97,45.06,44.41,987214
44.97,44.92,45.16,44.75,848376
45.16,44.95,45.245,44.64,1024454
44.95,44.9,44.99,44.59,957538
44.99,44.89,45.205,44.65,1357614
45.21,44.96,45.21,44.68,1641210
44.88,45.155,45.28,44.72,1108522
45.13,45.18,45.36,44.86,1116556
45.13,45.63,45.76,44.785,1207958
44.77,45.69,45.8,44.77,1448942
45.75,45.34,45.8051,45.09,1163591
45.52,45.46,45.65,45.23,1204354
45.45,45.44,45.55,45.18,1065328
45.5,45.88,45.99,45.39,1173325
46,45.88,46.18,45.37,1557677
45.85,46.28,46.34,45.77,1489035
46.25,45.9,46.28,45.7989,1040073
45.97,46.02,46.17,45.68,1047849
