Open, Close, High, Low, Volume
183.29,186.48,187.455,181.81,2197785
187.65,189.24,190.81,186.7,2177316
188.13,186.19,189.42,185.65,1338649
190.89,188.79,191.84,187.3,2304175
188.79,185.64,189.15,184.75,1995729
185.25,186.7,187.99,184.1,1089350
184.26,184.34,185,182.31,1246231
184.78,185.35,187.03,184,1093438
185.94,185.52,187,184.9,841322
185.58,184.12,186.72,184.02,979081
185.25,189.26,189.52,183.87,1428040
190.68,192.41,193.82,189.62,1898240
195,193.37,196.85,193.15,1591224
194.9,196.35,197.18,194.45,1164590
196.33,197.84,199.49,196.25,1385455
198.22,197.57,199.75,193.37,2210547
194.34,191.66,195.23,190.29,2404330
192.06,189.11,192.7,188.41,1999790
189.12,188.49,191.3835,188.3,2053198
192.18,190.34,195.82,188.4,3126391
194.53,205.07,205.66,193.75,4527150
203,205.43,206.35,199.76,3110675
205.85,207.53,207.55,203.1001,1853141
208.4,209.19,209.84,207.2,1939026
211.03,215.05,215.14,210,3060646
214.19,209.82,214.19,206.5628,3616452
216,199.25,218.479,199,6553505
201.95,202.4962,206.42,200.28,3688766
201.24,195.97,202.28,193.28,2940747
192.1,191.07,195.29,189.25,2740472
192.91,191.52,193.83,190.25,1878123
190,189.06,194.13,188.1998,2268045
186.82,179.05,186.82,178.37,3918846
175.42,170.36,182.9,170.32,4378816
168.5,178.34,179,167.32,4352494
175.83,171.63,179.43,171.6,2555399
172.66,162.24,173.0749,162.21,3683078
165.82,165.75,167.29,156.83,4690829
168.08,172.96,174.48,167.27,3192127
171.57,172.6,172.73,168.12,2314235
171.4,183,183.09,171,4736085
182.97,185.72,185.78,179.12,3379416
185.45,187.91,191.205,184.6501,3397552
186.93,193.5,196.05,186.41,2476855
194.55,189.23,195,189.2,2493088
190.16,188.36,190.44,186.9325,1177059
190.24,193.0517,193.67,188.61,1557920
194.48,198.43,198.97,193.15,1724819
198.15,193.47,199.79,193.37,1869699
194.44,191.87,196.67,191.33,2648928
192.49,190.02,195.64,188.12,2272638
185.05,194.53,194.89,182.1629,2048193
193.06,198.69,200.02,191.2388,2457596
200.14,207.93,209.5,199.51,5378854
205.83,211.73,212.36,204.14,4361710
214.01,212.74,214.94,210.95,2801918
214.28,224.95,226.08,213.94,5115331
