Open, Close, High, Low, Volume
49.84,49.4,50.105,48.53,4795839
49.89,49.59,50.15,49.35,2965990
49.37,48.77,49.98,48.35,3650594
48.52,47.05,48.88,46.4068,4179530
47.07,45.95,47.81,45.765,5281426
45.56,44.44,45.69,44.35,3562569
44.75,46.73,46.76,44.28,3497421
46.27,46.81,46.81,45.11,2439867
47,46.75,47.5,46.59,2793939
46.94,46.305,47.14,46.055,3050258
46.05,47.1001,47.17,45.47,3017677
46.48,45.63,46.57,44.61,3659576
45.99,47.815,48.0601,45.99,3377368
47.84,47.89,48.26,47.1696,3615194
48.5,47.48,48.59,47.21,3784961
47.63,49.085,49.265,47.57,2957053
47.49,48.96,49.03,46.9,4278672
48.65,48.44,48.86,47.85,3165295
48.18,48.78,49.29,47.7,3371388
49.01,49.65,50.02,48.86,3749190
50.36,49.815,50.73,49.81,3285880
49.74,50.56,50.9328,49.62,2789533
50.91,51.47,51.58,50.6,2669086
51.25,50.33,51.535,50.24,3251892
50.88,50.885,51.31,50.06,3848100
53.75,54.345,54.87,52.72,9371180
55,55.075,55.69,54.05,6703320
54.89,55.47,55.955,54.89,4445375
55.65,56.29,56.54,55.38,4421452
56.66,57.455,57.815,56.58,6029420
57.49,56.82,57.64,56.405,3058626
56.99,57.175,58,56.91,2920995
57.2,58.31,58.31,57.145,3418438
58.5,57.955,58.77,57.53,3796124
57.55,57.555,57.72,56.64,4390685
57.17,57.45,57.67,57.12,2594953
56.97,57.6,57.62,56.81,2444193
58.07,58.375,58.38,57.6,3018718
58.28,57.645,58.74,57.51,3043213
57.97,58.03,58.57,57.805,3090443
57.61,57.9985,58.49,57.15,3380219
58.5,57.6601,58.6,57.66,4283146
57.35,57.675,58.16,56.66,5149914
55.04,54.42,55.39,54.18,10935690
54.2,54.3,54.75,54.05,4387711
54.13,53.63,54.39,53.47,4145292
53.91,53.97,54.2,53.6,4008664
53.96,53.71,54.63,53.665,3607460
53.49,53.84,54.2,53.31,4922428
53.89,56.02,56.96,53.68,14383463
56.28,54.35,56.58,54.05,7760799
54.22,53.83,54.56,53.26,3962756
54,53.3912,54.395,53.32,4121600
53.5,53.05,53.78,52.76,3845827
52.83,52.42,53.18,51.9597,4595085
52.01,51.77,52.01,51.32,4165418
49.9,51.61,51.64,49.82,5365890
51.38,50.4,51.43,49.91,7973973
50.89,50.61,51.78,48.58,11785892
50.78,51.15,51.59,50.61,5636449
51.27,51.37,51.72,51.075,4166589
51.34,51.08,51.5323,51,3702297
51.43,50.73,51.51,50.475,3104501
50.5,49.69,50.7,49.405,5144520
49.7,50.74,51.025,49.7,5111766
50.42,49.32,50.515,49.3,4324288
49.26,48.7,49.54,48.53,4106373
48.85,48.75,49.48,48.58,3568762
48.5,49.84,50.25,48.5,7413766
49.8,50.44,50.72,49.72,6765574
50.58,51.91,52.1,50.45,5716527
52.27,52.43,53.05,52.02,3716293
53.17,52.71,53.43,52.1529,4035159
52.95,52.89,53.52,52.82,2785619
53.25,53.18,53.3,52.21,2613001
53.25,53.26,53.73,53.055,1921664
52.26,51.94,52.5,51.67,5343582
51.63,51.89,52.075,51.38,2756799
52.57,52.62,52.76,51.72,3376489
52.75,53,53.51,52.69,2908566
53.27,53.14,53.64,52.71,2398366
53.06,52.3,53.06,52.28,2038209
52.26,52.78,52.965,51.98,2638165
53.39,52.76,53.63,52.47,2259543
52.66,52.19,52.77,51.895,3063845
51.86,51.71,52.065,51.46,2558476
51.78,52.8,52.92,51.56,3066243
52.91,52.92,53.04,52.39,3688018
53.12,53.36,54.855,52.6368,6588931
53.25,52.98,53.55,52.94,3211953
52.99,53.83,54.07,52.74,3449823
53.93,54.22,54.56,53.52,3372604
54.6,53.89,54.61,53.855,2233117
53.99,53.37,54.49,53.36,2574984
53.52,53.62,53.93,53.285,2265592
52.81,53.48,53.61,52.72,2046704
53.04,52.2,53.12,51.45,4151356
51.89,52.43,52.885,51.61,2981792
51.9,52.46,52.52,51.8,2197431
52.15,52.75,52.88,51.18,2282681
