Open, Close, High, Low, Volume
53.01,52.96,53.8,52.02,3528987
53.25,51.219,53.43,50.635,5108301
50.57,50.34,51.6406,49.39,3849510
50.39,48.54,51.02,48.18,5014949
47.89,48.49,49.35,47.39,2225482
48.72,51.43,51.55,48.02,3598215
50.6,51.14,51.23,49.09,2688233
51.2,50.87,52,50.36,2521331
51.33,51.925,52.185,50.98,3776939
50.97,54.1,54.72,50.89,3783492
53.52,52.21,53.8779,52.06,3784217
53.65,55.225,55.35,53.5,3508598
55.24,55.52,56.06,54.08,2954610
56.04,56.7,56.73,55.37,2868635
56.875,56.965,57.64,56.69,3062824
56.46,56.78,57.5,56.01,2215413
56.48,56.985,57.04,55.53,1954821
56.1,55.84,56.1,55.08,2311637
56.22,56.51,56.85,55.826,2811031
56.82,56.64,57.89,56.61,2325467
56.33,57.065,57.42,55.98,3196892
57.6,57.72,58.21,56.47,6884295
57.48,56.81,57.5,55.82,3807920
57.35,56.99,57.66,56.78,3864521
55.63,56.225,57.64,55.25,6761617
56.9,56.95,57.5,56.36,3807130
56.39,56.285,57.39,55.81,2735944
56.3,56.28,56.8645,56.13,1873815
56.98,59.115,59.13,56.64,4185981
59.54,58.41,59.6499,58.09,4828352
58.34,59.925,59.94,58.34,3526765
59.8,59.045,59.96,58.83,1553056
59.11,59.65,59.7,59.01,2102433
59.75,60.86,61.21,59.75,3330860
60.39,59.45,60.7,59.045,2868669
59.04,59,59.79,58.42,1951592
59.52,59.585,59.95,58.72,2153359
60,60.125,61.09,59.85,2442108
60.62,60.405,60.96,60.02,1952994
59.43,59.385,59.795,57.46,4166463
59.5,60.32,60.4,58.78,2385022
60.57,61.14,61.84,60.57,2891928
61.18,61.36,61.83,60.33,3386875
61.31,61.48,61.82,60.77,2057274
61.79,61.61,62.23,61.11,1942076
62.05,61.08,62.15,61.04,2508850
61,61.8,62.56,60.91,2749985
61.78,61.43,62,60.965,2433968
61.16,61.43,62.05,60.9,3462271
61.98,60.4,61.98,60.23,3243220
60.45,59.67,60.65,59.22,3589930
59.9,59.595,60.1,59.52,1822706
60,60.75,62.03,60,4354846
60.38,60,60.44,59.22,3596638
59.1,60.24,60.335,59.04,2309525
60.35,60.15,60.61,59.89,1830293
60.4,59.16,60.41,59.03,2632846
59.46,59.35,59.86,59.11,1895887
59.37,59.4,59.41,58.28,2999836
60.25,59.75,60.5,59.465,1498790
60.03,60.08,60.22,59.31,3125276
59.7,59.33,59.93,59.01,2618430
59.23,59.14,59.59,58.58,2340253
59.2,61.2,61.25,58.9,3720515
60.64,59.58,60.81,59.32,3096960
59.43,59.29,59.9,58.56,2283151
59.35,60.09,60.37,59.35,2263044
60.1,59.05,60.24,58.89,2490534
59.03,60.34,60.495,59.03,2989459
60.49,60.98,61.12,59.93,3958808
62.45,63.34,63.475,62.28,1816237
63.43,64.85,64.98,63.08,5500508
65,64.21,66.05,64.04,4161345
64.33,65.65,65.68,64.01,3765614
65.73,65.91,65.97,65.3957,2692113
66.31,66.04,66.47,65.6,1814902
65.52,65.54,65.64,65.07,2158369
65.93,65.86,66.2,65.56,1644380
66.01,66.08,66.205,65.64,2055289
66.5,66.87,67.14,66.38,2507118
67.19,66.54,67.33,66.01,2403361
66.8,68.14,68.21,66.7,2620366
68.22,67.89,68.24,67.52,3658964
69.04,68.15,69.6,66.81,6160459
