Open, Close, High, Low, Volume
76.35,77.69,77.87,76.19,1184763
77.47,75.83,77.72,75.5,1084295
75.7,75.43,76.7,75.205,1472759
75.96,75.63,76.495,75.03,1095235
75.99,74.99,77.36,74.72,1152424
74.75,73.42,75.4,72.71,1149912
73.75,73.61,75.21,73.29,1332299
73.58,71.57,74.43,70.91,446200
71.9,73.37,73.65,71.66,1622224
72.79,73.74,73.74,71.57,934040
74.07,73.605,74.49,72.93,693519
73.61,73.37,73.75,72.6995,639137
73.23,73.52,74.09,72.17,938064
73.14,73.11,73.88,72.77,1456637
75.1,75.67,76.88,74.66,2242804
75.59,70.65,75.59,69.85,2604810
70.61,70.91,71.61,69.81,1987506
71.16,69.74,71.21,69.67,1401933
69.72,69.82,69.89,68.9,894855
69.86,69.45,69.86,69,833383
69.46,67.65,69.46,65.87,1304490
67.65,68.91,69.14,67.43,1594813
69.22,70.12,71.11,69.21,1755877
70,70.875,71.25,69.92,1269763
71.13,70.83,71.76,70.68,957261
70.89,70.7,71.47,70.33,810342
71.94,72.695,73.6,71.58,1574848
71.99,71.33,72.5,70.8401,1035347
71.77,71.1,72,70.5,998640
70.63,71.36,71.52,70.13,863946
71.33,72.38,72.76,71.33,972217
72.71,72.65,73,72.26,746573
72.14,72.39,72.45,71.07,959314
72.48,72.32,72.55,71.605,836717
72.16,71.32,72.33,70.84,622626
71.39,71.77,72.01,71.18,674868
71.48,71.325,71.63,70.74,619687
70.95,70.57,71.37,70.23,1040026
70.29,70.49,70.49,70.01,769626
70.86,70.39,71,69.81,1084973
70.34,69.11,70.77,69.05,1081589
69.22,68.52,69.49,68.37,1361968
68.33,68.92,69.52,67.92,1636736
69.52,69.455,69.89,69,918649
70,70.98,70.99,69.9,805727
70.05,70.51,70.86,69.65,842653
70.8,69.49,70.96,69.27,887693
69.77,68.99,70.05,68.93,696232
68.84,69.1,69.115,67.84,1013079
69.2,69.3,69.66,68.64,801976
69.69,70.95,70.97,69.12,1010747
70.93,70.78,70.94,70.01,1543222
70.73,71.16,71.16,70.4331,1084857
71.25,70.53,71.75,70.41,1079434
70.55,70.5,71.205,70.18,1439542
70.46,70,70.46,69.795,877036
69.96,70.2,70.46,69.6,1118484
70.43,69.66,70.475,69.6,954234
69.71,69.83,70.01,69.4,860363
69.98,68.15,69.98,68.13,1432842
68.35,69.5,69.57,67.96,2128609
69.38,69.91,70.37,69.24,1237000
69.98,69.72,70.24,69.495,554276
69.86,69.37,70.155,68.88,748144
69.55,71,71,69.2,853479
71.27,71.66,72.03,70.83,1075765
71.57,72.81,73.28,71.5,1560588
72.86,72.99,73.18,72.23,1152560
73.11,72.25,73.37,72.11,1238156
72.49,73.94,74.345,72.19,1821419
74.18,74.95,75.24,73.32,2130748
74.79,73.97,75.43,73.92,712089
79,74.36,79.1,73.12,5740196
74.54,73.09,75.43,73.08,2581670
73.08,70.32,73.15,70.3,2168431
70.19,71.62,71.66,69.64,2118480
71.92,72.86,73.2,71.72,1300174
72.67,72.91,72.94,71.95,931090
73.08,72.41,73.53,72.245,950958
72.33,71.63,72.58,71.27,773984
71.49,71.11,71.55,70.58,755450
71.14,71.22,71.65,70.93,530113
71.22,69.67,71.63,69.63,917483
69.75,68.62,69.96,68.59,1000513
68.62,67.63,68.62,67.08,2093039
67.73,68.9,68.93,67.19,1030365
68.75,69.47,69.81,68.75,981531
69.66,69.29,69.81,68.82,1069149
68.72,69.22,69.67,68.66,657103
69.41,69.69,70.2,68.68,822121
69.47,68.53,69.51,68,1116970
68.57,70.04,70.17,68.07,1166865
69.94,70.09,70.65,69.9,1124896
69.77,66.37,69.77,65.23,3318931
66.53,67.08,67.16,65.46,1454627
66.51,67.51,67.69,66.29,932692
68.61,68.26,68.83,66.83,2662894
68.15,68.35,68.63,67.89,1452101
68.18,68.62,68.73,67.93,1154358
68.46,67.43,68.46,67.22,1114481
66.99,66.53,67.21,65.43,1930634
66.76,67.03,67.835,66.58,1581808
67.08,67.07,68.12,66.66,1927524
67.25,66.9,68.05,66.85,1389219
66.83,67.63,67.83,65.95,1281466
67.63,67.54,68.42,67.46,1030833
67.57,65.37,67.955,65.22,2038306
65.36,63.655,65.95,63.57,1751507
63.29,63.08,63.49,62.46,1611616
63.18,62.14,63.45,61.92,1244687
62.13,60.77,62.3185,60.08,2133639
60.6,59.94,60.74,59.64,1528042
59.91,60.05,60.425,59.61,1007523
59.84,59.26,59.925,59.16,1017836
60.36,61.19,61.26,60.06,2118227
61.59,62.37,62.42,61.04,1376455
62.14,62.39,62.57,61.52,1138381
62.58,60.99,62.75,60.66,1317187
60.9,61.42,61.605,60.49,793397
61.42,61.92,62.35,61.42,790054
62.14,61.36,62.6062,61.24,531424
61.43,61.21,61.51,60.65,730904
61.33,61.71,61.91,61.21,822420
61.44,59.84,61.52,59.605,901624
59.99,58.97,60.18,58.83,869387
60.76,61.29,61.44,59.15,1367043
61.44,61.35,62.15,61.13,708576
61.33,60.86,61.89,60.452,942570
60.79,60.73,61.42,60.44,795470
60.83,62.54,62.81,60.54,1531555
62.12,63.02,63.29,62.07,1836270
62.74,61.69,62.74,61.11,848066
62.02,63.34,63.38,61.7,935548
63.53,62.55,63.63,62.28,883796
62.84,62.63,63.55,62.54,785897
62.65,63.73,63.96,62.65,500906
63.54,64.34,64.38,63.3,584779
64.43,64.4,64.78,63.96,694101
64.37,65.09,65.35,63.64,1752146
65,66.21,66.89,64.77,2321188
66.29,67.58,67.755,66.25,2319407
67.6,65.95,67.76,65.89,1768755
66,66.39,66.81,65.41,828605
66.63,66.77,67.015,66.35,1127572
66.71,67.06,67.14,66.47,690008
67.2,67.95,68.06,66.67,699774
68.05,68.57,68.85,67.94,1483445
68.64,67.58,68.77,67.5,1727734
65.63,63.66,65.63,63.13,3523201
63.19,63.49,64.12,62.03,2225572
63.1,64.79,64.9,63.01,1300431
65.12,64.68,65.2,64.08,1082880
64.86,65.56,65.7399,64.48,793883
65.71,67.54,67.75,65.33,1400383
67.7,67.13,67.7,66.405,1275512
67.26,66.56,67.78,66.53,877530
66.7,67.06,67.38,66.27,867599
66.63,65.35,66.81,64.55,752142
65.41,64.94,66.1,64.78,930564
64.83,65.61,65.78,63.69,802365
65.08,66.83,67.26,65.08,1015183
67.07,67.06,67.2,66.22,439618
66.86,67.9,68.01,66.6472,424001
67.91,67.32,68.38,67.13,736556
67.23,66.78,67.72,66.47,874017
66.94,67.9,68.2,66.77,647542
68.19,68.78,69.18,67.45,689113
69.04,70.16,70.38,68.99,831855
69.84,68.25,69.84,67.92,892343
68.51,68.43,69.14,68.23,644679
68.63,69.54,69.96,68.47,574448
69.42,68.42,69.95,68.1,405364
68.83,68.89,69.12,68.47,425384
68.88,68.46,69.2599,67.94,446013
68.56,68.78,69.16,68.17,360250
69.2,69.92,70.01,68.88,337167
70.28,70.37,70.77,70.11,561444
70.1,71.36,71.4,69.81,499495
71.59,72.38,72.48,71.285,648199
72.76,71.79,72.83,71.63,744801
71.97,71.28,72.44,71.14,576608
71.3,71.05,71.48,70.34,421701
70.77,70.57,70.78,69.76,597131
70.6,71.58,71.77,70.02,562769
71.85,71.96,72.22,71.6,420484
71.83,72.05,73,71.35,403741
72.26,73.12,73.65,71.94,767014
72.88,74,74.01,72.6509,959197
74.12,73.75,74.28,72.94,770815
73.73,73.62,74.01,73.475,806665
74,73.53,74.22,72.81,1063446
73.68,74.14,74.44,73.22,746346
74.28,73.83,74.81,73.66,732527
73.64,73.86,74.33,73.16,859427
74.13,73.6,74.49,73.56,760790
73.84,73.35,73.84,72.67,543235
73.34,72.7,73.49,72.26,1410767
72.82,73.54,74.745,72.82,1856920
73.6,73.39,74.67,72.51,2660553
73.54,77.85,77.88,73.47,2083932
78,77.77,79.39,76.99,1211474
77.54,75.91,77.7156,75.7,946488
75.76,76.56,76.97,75.23,1095802
76.57,75.96,76.98,75.73,388600
75.79,76.42,76.92,75.43,757820
76.55,76.09,76.88,76.03,424218
76.19,75.84,76.33,75.52,401758
75.94,75.5,76.2,75.16,630668
75.7,76.22,76.23,74.95,587175
76.41,77.07,77.53,76.22,582512
77.13,76.98,77.32,76.62,553970
76.97,76.83,77.18,76.59,498880
77.18,75.34,77.18,75.18,598093
75.33,74.8,75.54,74.17,998724
74.81,74.6,74.81,73.75,670974
74.88,75.02,75.31,74.22,662987
75.15,76.03,76.42,75.15,588615
75.99,77.02,77.165,75.705,547908
77.14,77.75,78.1,76.7,509228
76.76,78.04,78.22,76.62,587302
78.34,77.56,78.52,77.395,746940
77.44,77.22,77.99,76.76,780624
77.04,76.9,77.49,76.62,551969
76.95,79.08,79.23,76.95,745356
79.21,78.95,79.42,78.29,591434
78.93,78.92,79,78.39,386357
78.72,80.49,80.49,78.6958,605327
80.41,80.13,80.81,79.71,792523
79.99,81.01,81.3,79.77,673678
81.07,81.04,81.47,80.29,556975
81.2,82.92,82.94,81.05,1172957
82.7,83.39,84.33,82.47,1909516
83.53,83.71,84.25,83.18,725080
83.71,83.49,84.225,83.165,679477
83.24,82.82,83.46,82.23,793542
83.07,82.91,83.32,82.58,585017
83.27,83.43,83.75,83.12,691719
83.7,83.85,84.11,83.17,885774
83.85,84.03,84.25,83.6,796182
83.97,83.96,84.38,83.6,281972
83.81,84.02,84.18,82.82,1526229
83.95,84.4,84.78,83.6,801461
84.22,84.13,84.99,83.73,822792
84.35,84.42,84.8,84.1,455553
84.4,84.24,84.96,84.14,563482
84.26,84.13,84.355,83.92,485630
84.29,84.03,84.5,83.945,530333
84.27,84.39,84.86,83.97,386341
84.36,84.12,85.08,83.52,730890
83.89,84.12,84.56,83.3,1259504
84.05,83.97,84.585,83.4578,962553
84.03,84.11,84.78,83.965,533260
84.31,84.18,84.31,83.43,765501
84.39,84.19,84.91,83.89,796862
84.86,85.83,86.24,84.215,1180408
86.23,85.49,86.23,85.45,390912
85.56,85.15,85.82,85.14,377444
85.18,86.15,86.16,85.15,303745
86.22,86.07,86.59,85.84,336106
85.96,85.45,86.05,85.23,314143
85.52,86.02,86.07,84.87,737384
85.77,84.08,86.07,83.9472,1318203
87.15,93.6,94.46,86.19,3593834
92.45,90.69,92.51,90.48,1530604
90.55,91.22,91.92,90.2,1499633
91.2,91.25,92.25,91.03,1274694
91.95,90.74,91.99,90.58,638721
90.83,90.48,91.27,90.21,796362
90.27,91.23,91.91,90.27,1277228
91.06,90.67,91.59,90.37,516951
90.73,90.88,92.02,90.67,681122
90.94,91,91.69,90.59,494275
