Open, Close, High, Low, Volume
42.86,42.8,43.29,42.75,920409
42.85,42.65,43.07,42.6,1256397
42.74,43.545,43.63,42.63,1139505
43.61,44.06,44.19,43.44,838248
44.16,43.35,44.27,43.22,1086666
43.18,43.1,43.815,43.05,580407
42.29,42.05,42.83,41.99,1045782
41.87,42.405,42.52,41.87,430850
42.46,42.41,42.5,42.13,308892
42.64,42.61,42.78,42.23,475382
42.59,42.57,42.86,42.361,373614
42.73,42.67,42.8,42.31,673538
42.84,42.5,42.84,42.28,817328
42.62,42.26,42.76,42.125,885268
42.37,43.32,43.4,42.1,905216
43.24,43.04,43.32,42.65,751404
43.11,43.72,43.87,43.11,628590
44,43.59,44,43.35,749810
43.65,43.78,44,43.61,1057823
43.9,44.435,44.62,43.55,481688
44.53,43.66,44.76,43.55,1197127
43.48,42.08,44.02,41.95,1565858
42.07,43.19,44.05,41.98,1845649
43.36,43.69,43.72,43.16,881507
43.6,43.455,43.74,43.08,865819
43.55,44,44.03,43.33,675682
44.4,44.99,45.07,44.13,1221415
45.29,45.16,45.4,44.66,1408654
45.29,45.41,45.44,44.97,724704
45.25,45.04,45.55,45.02,1104461
44.7,45.33,45.57,44.551,812066
45.57,45.04,45.57,44.74,789206
44.65,45.98,46.08,44.5,650163
45.9,44.74,46,44.73,780123
44.28,43.7,45,43.61,837032
43.46,43.93,44.04,42.71,1269217
44.2,44.24,44.84,43.87,908431
44.45,43.1,44.69,43.02,1424358
43.35,42.74,43.49,41.54,1362808
43.07,43.42,43.83,42.99,673715
43.38,44.16,44.38,43.18,952838
43.74,45.32,45.39,43.6,1216229
45.51,46.93,47.05,45.19,1487710
46.92,46.95,47.2499,46.48,666527
46.86,46.87,47.6,46.54,968385
47.14,47.34,48.36,47.09,1370587
47.46,47.82,48.93,47.39,1411707
47.9,48.26,48.44,47.42,1117249
48.4,48.58,49.11,48.4,1570278
48.48,47.75,48.73,47.5,1548355
47.02,44.85,47.6,44.8,2701653
44.82,42.08,44.93,41.935,2503207
41.91,43.87,43.98,41.57,2645366
43.75,44.01,44.17,43.42,1711061
44.04,44.12,44.23,43.36,1408274
43.67,43.91,44.15,43.41,1118280
44.05,44.49,44.51,43.48,842377
44.82,45.05,45.42,44.67,854092
45.14,45.48,45.62,45.08,476011
45.69,45.16,45.93,45.06,583793
