Open, Close, High, Low, Volume
101.56,97.1,102.075,96.82,608301
97.58,98.33,98.91,97.33,376067
98.45,98.07,99.57,97.52,534545
97.87,97.32,98.95,96.67,645981
97.39,97.22,100.22,97.15,779710
97.26,92.31,97.26,92.25,256760
92.4,95.25,95.25,91.21,449960
94.42,95.47,95.47,92.4,449192
96.2,95.16,96.73,94.05,465628
95.15,95.41,95.66,93.79,250056
94.93,92.58,94.93,92.19,441899
92.64,93.375,94.79,92.57,369273
93.82,93.32,94.69,93.29,447356
93.57,93.22,94.52,92.7,607221
93.97,95.11,95.58,93.51,629429
95.47,94.94,95.47,94.07,454156
94.6,96.56,96.91,94.5,313482
96.34,97.16,97.3,96.1,503566
96.36,96.59,97.06,95.8,488866
96.8,97.92,98.23,96.77,603180
97.84,99.34,99.68,97.52,440654
99.33,99.99,100.13,99.28,342686
100.15,100.05,100.47,99.1,366021
100.11,99.63,100.4,99,447000
99.84,99.43,99.99,98.94,634958
99.45,100.01,100.52,99.045,266822
100.19,101,101.34,100.04,338079
100.9,102.35,102.54,100.644,348960
102.48,103.3,103.3,101.76,399041
103.04,104.115,104.52,102.86,408646
102.95,101.13,103.5,100.35,1723791
101.4,100.62,101.84,99.3,713419
100.63,102.63,102.66,100.44,684531
102.6,102.78,103.05,101.46,652912
102.62,102.64,102.88,102,422534
102.41,103.4,103.66,101.99,688210
103.22,103.77,104.01,103,465896
103.8,103.84,104.7,103.605,385442
104.12,102.97,104.12,102.8,580398
102.88,104.03,104.07,102.54,406063
104.2,103.55,104.28,103.15,461068
104.02,104.06,104.24,103.42,313884
103.89,103.23,103.89,101.59,617441
102.76,104.32,104.42,102.24,402530
104.36,104.5,105,104.08,241839
104.76,103.71,104.76,103.54,262079
104.01,104.01,104.14,103.25,373321
103.52,103.2,103.7,102.36,286451
103.17,103.55,105.01,102.994,527643
103.48,103.11,103.48,101.815,436737
103.55,104.08,104.4291,102.87,591612
103.9,104.38,104.75,103.9,331520
104.62,104.48,105.09,104.3,387787
104.74,104.98,106.035,104.4952,468918
105,105.4,106.06,104.84,554358
105.84,106.79,106.8,105.765,557155
107.04,107.42,107.68,107,465650
107.51,107.46,108.135,107.23,374207
107.64,108.25,108.29,107.08,373767
108.06,107.67,108.15,107.46,304287
107.87,106.59,108.14,105.82,308163
106.29,106.2,106.66,105.67,294207
106.22,106.4,107.1,105.47,273176
106.31,107.78,108.2,105.77,401963
108.12,107.93,109.19,107.795,281299
109.02,108.5,109.02,107.585,549202
108.58,109.26,109.32,108.29,285762
109.3,108.73,109.455,108.46,232135
109.14,109.58,109.66,108.3841,217938
109.55,109.37,109.72,108.86,373981
109.48,108.83,109.48,107.66,156619
108.91,109.94,110.09,108.12,269814
110.03,109.9,110.29,108.98,304986
108.57,109.37,109.39,108.2565,301754
109.34,109.85,109.92,108.72,262338
109.77,109.27,109.86,108.45,285862
109.36,109.32,109.61,108.89,299522
109.66,110.17,110.44,109.2,380556
110.2,110.65,111.1,109.8,314785
109.84,110.15,110.19,108.725,295577
110.27,109.93,110.6,109.48,368562
109.91,106.59,110,106.3,317981
106.71,104.91,106.797,104.52,481381
105,106.58,106.74,104.92,394803
106.14,105.16,106.38,103.55,354102
105.58,106.54,107.01,105.26,313327
107,107.96,108.07,106.51,235337
107.47,108,108.23,106.99,179007
108.5,108.95,109.11,107.76,318636
108.85,107.56,109.18,107.47,244516
107.69,109.38,109.53,107.13,433290
109.51,109.2,110.58,108.94,393877
109.71,109.57,110.615,108.55,491265
109.62,109.83,110.46,108.935,354982
109.49,109.83,110.15,108.75,229267
109.74,107.99,109.77,107.4,292671
109.16,109.03,109.77,108.43,466596
108.95,109.65,110.02,108.365,595148
109.74,111.03,111.23,109.17,253695
110.06,111.08,111.65,110.06,480161
111.24,111.5,112.04,110.9675,577900
111.53,112.64,112.74,111.29,290652
112.58,113.5,113.8,112.34,301193
113.02,115.04,115.15,112.56,653055
115.45,113.62,115.79,113.11,306305
114.02,114.01,114.78,113.83,267738
114.06,114.45,114.8,113.63,312426
114.27,114.94,114.98,114,272107
115.22,114.82,115.69,114.66,266877
115.27,113.29,115.9,113.28,364212
113.42,112.47,113.6,111.97,495299
112.61,113.35,113.72,112.295,290951
113.26,114.18,114.966,112.85,247265
114.38,114.68,114.92,113.69,320443
114.52,113.66,114.65,112.43,377810
114.35,116.94,117.03,113.61,247582
117.01,117.55,117.7,116.34,241456
117.89,117.35,118.69,117.33,241381
117.24,117.09,117.29,115.87,172829
117.28,117.06,117.43,115.8949,325338
117.19,117.46,118.08,116.765,278646
117.59,118.03,118.04,117.3301,306325
118.35,117.81,118.58,117.25,365494
118.39,118.78,119.37,117.95,264686
119.41,117.79,119.41,117.4,335344
117.9,119.23,119.73,117.19,239771
119.62,119.99,120.16,119.47,532952
119.5,119.04,119.5,116.8,785794
119.57,118.79,120,118.26,382931
118.98,117.45,120.39,117.3,450267
117.43,115.38,117.43,114.34,509419
115.85,116.29,117.09,115.85,367997
116.46,117.74,118.7,116.45,505526
118.52,118.53,118.98,116.4,578700
118.91,120.56,121.35,118.71,606685
120.9,121.51,122.27,120.73,190977
120.77,121.26,121.56,119.08,194540
121.25,122.15,122.38,121.04,286333
121.68,122.46,122.7,121.39,260298
122.88,123.56,123.88,121.85,403155
123.68,121.98,123.74,121.31,483585
121.3,120.7,121.48,120.43,332426
120.93,120.96,121.95,120.36,288958
120.82,121.04,121.19,119.92,265785
121.2,120.8,121.73,119.82,276887
120.66,121.44,121.73,119.67,213316
121.74,119.06,121.93,118.96,389538
