Open, Close, High, Low, Volume
29.68,29.63,30.02,29.61,2202951
29.85,29.535,30.05,29.29,3368887
29.16,29.55,29.78,29.09,3038490
29.44,28.89,29.72,28.74,2774979
29.11,28.89,29.52,28.78,3095467
28.9,29.23,30.1,28.87,5884471
28.89,28.98,29.52,28.57,6262019
29.14,28.5,29.85,28.29,5136659
28.23,27.55,28.46,27.53,1754440
27.57,28.57,28.57,27.03,2824070
28.14,29.14,29.14,28.01,2826460
29.28,28.9,29.75,28.785,2739688
29.04,29.12,29.42,28.71,2301899
28.74,29.495,29.7,28.62,2332502
29.32,29.1,29.51,28.66,3301368
29.76,30.715,30.78,29.54,3885229
31.33,31.595,31.875,30.68,4162881
31.88,31.9127,32.06,31.325,4187730
31.95,32.745,32.99,31.47,4304969
32.43,32.815,32.89,32.18,4271807
32.51,32.55,32.695,32.17,2249011
32.37,32.45,32.695,32.18,2629244
31.55,31.45,31.79,30.89,5933712
31.34,30.765,31.71,30.68,5079680
30.55,31.605,31.71,30.48,3552572
31.84,32.18,32.55,31.81,3414491
31.8,30.895,31.84,30.78,4556232
31.31,30.94,31.43,30.475,2521010
30.88,31.475,31.58,30.87,3108804
31.91,31.615,32.675,31.6,2122933
31.28,32.115,32.1339,31.14,2486743
31.96,32.25,32.41,31.58,3549599
32.22,32.14,32.29,31.65,2918304
32,32.48,32.72,31.9,4447838
32.5,33.035,33.36,32.4162,4922949
33.05,33.385,33.44,32.95,2146582
33.38,33.145,33.53,32.98,2775522
33.18,33.24,33.595,33.1,4256797
34.75,35.53,35.81,34.39,7618331
35.73,35.89,35.98,35.205,7091075
36,36.23,36.335,35.92,4226522
36.6,36.79,37.06,36.41,4638613
36.93,37.22,37.305,36.83,3019962
36.78,37.28,37.455,36.78,2282967
37.5,37.435,37.625,37.225,2341889
37.19,37.905,38.06,37.14,2600227
37.79,37.57,37.88,37.46,3271879
37.47,37.71,37.9,37.4401,2102693
37.89,37.8145,38.195,37.62,2178037
38.09,37.885,38.64,37.87,3569263
37.76,37.75,38.1,37.48,3565949
37.63,37.88,38.02,37.477,2518014
37.89,37.56,38.015,37.44,3322957
40.51,40.01,41,39.31,8244033
39.99,39.96,40.34,39.62,5145333
39.96,39.56,40.05,39.51,3471102
39.48,39.37,39.89,39.34,3101662
39.19,38.96,39.3,38.67,2947754
38.74,39.24,39.25,38.5,2239747
39.25,39.33,39.475,38.94,2798376
39.34,39.27,39.48,39.11,2286483
39.43,38.96,39.55,38.745,3220117
39.01,38.92,39.22,38.67,2486429
38.88,38.98,39.04,38.815,1800205
39.06,39.15,39.32,38.87,2994764
39.37,38.97,39.43,38.87,1832910
38.87,38.54,38.99,38.04,2465231
38.54,39.11,39.58,38.45,2349268
38.83,38.24,38.89,38.205,2388455
38.32,38.72,38.92,38.1238,1986685
38.75,38.8,39.08,38.44,2280999
38.82,38.58,39.12,38.39,2434429
38.63,39.12,39.16,38.57,1986072
39.4,39.32,39.55,39.08,2622358
39.53,39.31,39.7499,39.1,2074707
39.34,39.58,39.66,39.13,2521991
39.74,39.59,39.94,39.43,2685251
39.62,40.13,40.3,39.62,1782014
40.2,40.74,40.825,40.185,2771994
40.64,40.84,40.93,40.37,1597039
40.59,40.25,40.62,40.23,1341966
40.29,40.41,40.42,40.14,1882898
40.28,40.31,40.4,40.0975,2285837
40.51,40.48,40.7175,40.23,1983032
40.63,40.53,40.66,40.36,2026804
40.67,40.48,40.72,40.33,2766656
40.67,39.99,40.7,39.94,2656026
40.03,40.05,40.16,39.77,3064816
39.96,39.7,39.96,39.38,2700038
39.64,40,40.24,39.64,3837082
39.93,39.99,40.51,39.85,3390774
39.12,37.5,39.15,37.5,7966978
38.21,38.49,39.18,38.06,6867457
38.72,39.33,39.44,38.6,4896191
39.33,39.04,39.33,38.56,3603145
39.13,39.31,39.85,39.02,3321694
39.33,39.74,39.79,39.3,2695074
39.85,40.44,40.49,39.85,2035717
39.64,40.1,40.12,39.23,3121153
39.77,38.9,39.99,38.7,4004086
38.8,38.27,38.93,38.21,4304672
37.93,37.83,38.105,37.2,5653188
37.63,37.93,38.01,37.13,4693226
37.16,36.99,37.36,36.7102,4144159
37.08,37.35,37.645,36.94,3008823
37,37.86,37.97,36.93,4324883
37.86,38.16,38.49,37.86,3161402
37.96,37.55,38.165,37.54,2545976
37.39,37.66,37.89,37.3386,2113104
37.84,38.08,38.34,37.7474,2155788
37.6,37.93,38.18,37.59,1818500
37.45,36.91,37.49,36.86,4133651
37.19,37.28,37.305,36.95,2179062
37.23,36.46,37.3,36.415,1820136
36.3,35.92,36.565,35.79,3372255
36.02,35.84,36.22,35.65,2327229
35.48,34.92,35.48,34.79,2340866
36.01,37.19,37.23,36.01,2943901
37.39,37.22,37.43,36.89,1786840
37.13,37.43,37.49,36.73,1465951
37.66,37.95,38.16,37.515,2028556
38.14,37.87,38.52,37.79,1793149
38.2,37.94,38.4191,37.7,1867505
37.97,38.18,38.35,37.745,1520794
38.37,39.05,39.18,38.28,3175936
38.82,38.28,39.01,38.055,2965081
38.33,37.93,38.49,37.86,2358064
38.08,37.85,38.78,37.5,4976888
38,37.56,38.02,37.15,2563370
38.09,38.64,38.775,37.835,3000806
38.48,38.1,38.49,37.975,2472690
38.1,38.86,38.96,38.08,2976264
38.96,38.41,39.14,38.14,2610937
38.4,38.89,39.025,38.14,2601158
39.01,39.01,39.2,38.53,1781536
39.01,39.24,39.48,39,3125455
39.75,39.57,40.12,39.13,2468895
39.41,39.69,39.72,39.04,2005663
39.89,39.91,40.16,39.74,1502668
39.7,39.83,39.87,39.14,1222344
39.63,39.535,39.94,39.41,1514606
39.36,39.3,39.38,38.91,1716521
39.22,38.42,39.41,38.24,2532381
38.21,38.11,38.44,37.85,2684844
38.23,38.76,38.865,38.14,2755601
38.79,38.94,39.06,38.56,1851388
39.14,39.4,39.4475,39.03,2227717
39.34,38.62,39.34,38.61,1794880
38.36,38.21,38.42,37.67,3721608
38.39,37.85,38.565,37.83,2696272
37.85,37.56,37.975,37.34,3130820
37.85,38.6,38.66,37.78,2325192
38.31,39.21,39.5,38.1,4569717
41,42.38,42.58,40.45,6438374
41.17,41.51,42.19,41.17,3110970
41.5,40.78,41.625,40.63,1893783
40.38,41.565,41.57,40.1925,1998347
41.54,40.76,41.69,40.28,2302843
40.8,39.14,41.265,39.1,3736876
39.09,39.97,40.08,38.85,2744336
39.37,38.71,39.7,38.18,2590181
38.93,39.51,39.55,38.51,2113832
38.85,39.14,39.26,38.48,2575312
39.39,39.84,39.955,39.38,2020676
39.52,39.16,39.57,38.95,1593647
38.91,38.84,39.15,38.74,1351187
38.92,39.17,40.01,38.81,1494320
38.66,37.92,38.73,37.615,1912851
38.15,38,38.54,37.7,1342657
38.27,38.47,38.57,38.09,1346922
39.1,38.8,39.21,38.79,1784915
38.8,39.64,39.99,38.67,3548745
40.77,40.93,41.31,40.47,4388622
40.95,40.55,41.15,40.38,2569122
40.25,38.66,40.29,38.44,2263668
38.92,39.42,39.46,38.68,1762275
39.69,39.33,39.72,38.675,2510173
39.1,40.02,40.2,38.68,2119806
40.57,41.08,41.18,40.42,2210524
41.36,40.71,41.445,40.71,1383410
40.4,39.84,40.64,39.34,2167836
40.29,40.655,40.71,40.26,1992318
41,41.25,41.74,41,2119703
41.44,41.745,42.275,41.44,2352052
42,42.05,42.18,41.72,1924632
41.98,42.38,42.45,41.67,2329389
42.5,43.1,43.1,42,2466405
43.44,43.19,43.5,42.7,2746271
43.5,43.19,43.59,43.09,1871873
42.97,42.72,43.27,42.65,2244349
43.25,41.29,43.25,40.31,6345127
40.9175,41.47,41.63,40.46,3702250
41.33,41.03,41.58,40.81,3318032
41.18,40.63,41.36,40.56,2565649
40.33,40.51,41.025,40.22,1910960
40.75,40.24,40.96,40.18,2390841
40.35,40.69,40.83,40.135,3975306
40.69,41.46,41.68,40.69,2435593
41.64,41.7,41.82,41.1,2428217
41.8,41.68,41.98,41.34,1572709
42.3,42.03,43.16,42.01,3362729
41.71,40.91,41.75,40.4744,2895532
40.65,41.49,41.58,40.07,2830769
41.52,42.5,42.55,41.37,1820293
42.21,42.29,42.65,42,2691090
41.8,41.44,42.14,41.38,2116975
41.93,41.99,42.115,41.55,1517992
41.78,41.85,42.24,41.6,2307502
42.3,42.82,43.22,42.3,2639024
42.54,42.52,42.68,42.36,1480331
42.62,43.12,43.345,42.59,1814990
43.06,43.68,44.06,42.91,2950910
43.95,43.65,45.9,43.59,1848506
43.66,43.85,44.12,43.49,1781695
44.13,44.13,44.35,43.7,1936755
44.26,44.27,44.515,44.02,1983211
44.28,44.01,44.4,43.88,1617355
44.19,44.17,44.37,43.7,1593833
44.21,44.62,45.06,44.09,1550193
44.81,44.56,44.91,44.03,3153005
44.39,44.63,44.98,44.33,3674742
45,46.23,46.47,44.93,4602029
45.78,46.25,46.26,45.765,2056022
46.5,46.65,46.66,46.14,1850177
46.9,46.17,46.95,45.9,2795413
46.18,46.58,46.85,46.18,2381676
46.42,46.13,46.62,45.52,2065253
46.37,46.25,46.65,46.11,1236061
46.15,46.305,46.31,45.95,1000313
45.98,46.16,46.385,45.98,834233
46.22,46.63,46.67,45.89,1945689
46.37,46.66,46.69,46.26,1416007
46.47,46.08,46.76,45.73,1755436
46.38,45.62,46.44,45.45,3452479
45.58,45.7,45.86,45.5,1504316
45.54,45.61,45.87,45.34,2366071
