Open, Close, High, Low, Volume
86.23,86.75,87.25,85.36,1329176
87.29,88.97,89.39,87.29,1622125
89.22,89.6,89.84,88.42,1304022
90.06,90.2,90.89,89.47,1132481
90.32,89.47,90.65,89.38,976375
89.33,88.93,89.61,88.12,533543
88.19,88.63,88.69,87.77,304724
89.02,88.41,89.12,88.29,399957
88.87,88.61,89,88.18,642333
88.7,87.89,89,87.83,503742
88.51,90.4,90.54,88.26,1022200
90.51,91.76,92.18,90.38,1844652
92.23,91.99,92.85,91.44,1019348
92.58,92.23,92.88,91.57,869067
91.94,92.58,92.87,91.34,554429
92.73,92.51,93.03,91.68,1183075
91.95,90.93,92.2614,90.08,1379394
91.18,92.11,92.34,90.72,564139
92.33,93.4,93.65,91.79,826646
94.03,93.35,94.37,92.675,1024444
94.38,96.02,96.375,93.92,1661710
96.02,97.27,97.6,95.87,1331556
97.85,97.47,98.14,96.94,1007925
97.61,98.7,98.71,97.23,1020982
98.69,98.52,99.17,98.07,1066157
96.86,95.36,97.8,94.885,2350071
96.31,92.48,96.35,92.25,2063345
93.92,96.86,97.07,93.48,1923827
96.14,96.88,97.29,95.375,1297554
96.35,95.01,96.51,94.89,1261622
95.79,95.22,96.21,94.52,1266004
94.91,94.54,95.89,94.1142,1329921
94,93.32,94.94,93.24,1283460
93.1,89.51,94.05,89.47,2353160
88.14,91.92,91.92,87.9,3850852
87.55,82.91,89,82.81,10571860
83,79.9,83.21,79.24,6381787
80.71,81.04,81.98,78.33,4311824
81.51,83.03,83.51,81.51,2684828
82.11,80.8,82.71,80.13,2862992
80.04,82.21,82.38,80.04,2593822
83.11,82.48,83.28,81,2864346
82.23,83.4,83.819,82.23,2572892
82.64,84.87,86.52,82.64,2816231
85.23,84.15,85.84,83.6,1796225
84.18,83.95,85.63,83.25,1461135
84.81,85.16,85.22,83.67,1117186
85.45,86.38,86.46,85.25,1385621
87.76,88.51,92.27,87.61,4750432
89.42,88.94,90.51,88.7,2858120
89.02,89,90,87.56,2681879
92.39,91.29,93.75,89,6624989
91.73,94.461,94.91,91.09,3049107
94.99,96.57,96.76,93.74,4012017
95.08,95.58,96.0842,94.22,2259716
97,95.34,97.16,94.56,1840629
96.91,98.96,99.13,96.45,3295488
99.53,100.24,100.5,99.3,2191282
100.99,98.03,101.48,97.48,2749822
98.53,97.26,98.695,96.76,1607558
97.44,97.53,97.82,96.86,1199464
97.6,98.17,98.8,97.24,1360244
97.24,96.98,97.46,94.89,1864136
97.33,98.54,98.91,97.01,1757470
98.06,99.22,100.27,98.045,1868580
97.65,96.56,98.83,96.5,1571541
96.71,94.02,97,94.02,1861788
95.99,97.99,98.08,94.61,1036174
98.67,94.39,99.09,93.73,1856725
94.07,91.16,94.39,90.93,2926446
91.93,91.35,92.61,90.45,2825745
90.99,87.65,91.5,87.23,3366079
88.39,89.03,89.2,87.35,1731625
87.16,90.18,90.41,86.91,1592812
90.62,89.62,90.92,88.44,1440578
88.39,86.27,89.71,85.88,1529265
87.13,86.19,89.0299,86.12,1526020
88.06,88.73,89.24,86.96,1678667
87.62,88.49,90,87.47,1398376
89.16,89.06,89.91,88.54,1918370
89.53,87.33,89.68,87,1847569
88.2,86.24,88.2,85.96,2976466
86.84,89.07,89.63,86.75,2311275
88.67,88,89.252,87.5,1525386
86.3,85.14,86.72,84.47,2179443
86.5,85.68,87.6,84.45,2819586
85.83,84.4,86.61,84.33,2581727
85.34,82.45,85.5108,81.28,3450817
82.66,82.98,84.09,81.55,1905241
83.9,84.9,85.36,83.32,1831578
85.58,84.65,86.048,83.53,860849
84.75,83.66,85.325,83.415,980434
83.19,85.01,85.11,83,948870
85.16,84.78,85.635,84.03,1608607
83.98,86.15,86.31,82.64,2400203
85.47,87.52,87.76,85.47,1495827
88.51,88.73,89.71,87.65,2985091
89.9,90.63,90.96,86.52,3376421
91,91.84,91.92,89.1,1926354
91.635,93.199,93.25,91.635,1163931
93.5,92.95,94.22,92.51,1027463
94.1,93.46,94.7,93.19,1126826
94.69,93.36,94.73,92.35,2387547
93.09,93.52,93.97,93.06,1021683
93.21,93.35,94,92.64,1227455
92.44,92.79,93.56,91.93,883230
93.92,93.79,94.63,92.98,761507
93.55,94.34,95,93.41,1162150
93.24,94.12,94.14,92.73,996785
93.98,94.87,94.97,93.445,865148
94.81,95.81,95.94,94.79,1009483
94.95,95.18,95.9762,94.35,1200951
96.64,97.54,99.09,95.29,2156065
97.23,97.39,98.74,97.02,1421036
98.36,101.08,101.09,97.66,2207132
101.05,101.41,101.73,100.39,1683628
102.75,102.16,102.7999,101.4079,1300924
102.28,103.31,103.37,101.69,1134682
103.02,102.22,103.42,101.27,1266774
101.37,102.14,104.2,100.79,1058621
102.05,102.4,102.93,101.72,822748
102.52,102.68,103.02,101.83,1397757
102.84,102.08,103.0873,101.76,1507935
102.64,102.57,103.27,102.08,1153761
102.53,102.02,102.53,100.83,1407528
101.24,101.63,101.88,100.5,1055755
100.1,100.39,101.41,99.54,1238802
101.23,101.23,101.58,100.35,903748
101.69,98.72,101.69,98.63,1031998
98.98,96.92,99.4,96.37,1794064
95.69,93.26,96.3,92.72,2237737
93.59,93.14,94.255,92.7,1117046
93.32,90.27,94.32,90.18,2014642
89.93,90.43,91.26,89.93,1858126
90.73,90.96,91.96,90.41,2414461
90.22,91.49,91.53,89.2009,1118919
91.82,90.12,91.82,89.93,793949
91.14,92.13,92.34,90.83,1110568
91.69,93.42,93.87,91.39,1086810
93.75,93.37,94.01,92.36,905802
93.76,94.6,94.76,93.24,1103785
93.22,92.02,94.205,91.59,1753113
92.77,94.28,94.37,92.24,1661626
94.34,94.04,94.53,93.64,1102521
94,94.12,94.83,93.8453,747689
93.26,95.06,95.13,93.131,903480
94.72,95.76,95.96,94.72,681739
95.64,94.8,95.87,94.17,663955
94.82,94.39,95.07,93.74,1000051
93.89,94.25,94.6,92.74,768954
94.87,93.27,95.62,93.08,883934
92.93,92.96,93.78,90.84,2187610
93.46,94.67,94.73,92.95,1374335
95.59,95.32,96.91,94.87,1761650
95.32,93.2,95.6,92.81,1525369
93.89,93.42,94.98,93.31,1152319
93.42,93.59,94.39,93.08,734082
92.7,94.6,94.95,92.58,727332
94.58,95.1,95.16,94,1241700
94.54,95.62,96.13,94.465,2327585
96.06,97.28,97.48,95.51,1724207
97.39,97.75,97.91,96.82,1459281
96.95,98.08,98.26,96.58,2348234
88.95,87.405,89.8712,84.77,17018908
87.68,87.03,88.6,86.863,4253190
87.02,84.08,87.8,83.5,4172680
83.9,82.34,84.8,81.35,3740213
83.11,81.79,84.25,81.57,2935359
81.5,83,83.22,79.76,3680122
82.87,82.51,83.196,81.42,3512554
83.12,85.01,86.01,83.12,3357144
84.23,85.42,85.46,83.4,2158163
85.51,85.67,87.13,85.29,2336319
86.42,86.96,87.1,85.84,1890280
87.51,88.36,88.84,87.26,1878888
89,87.49,89,87.1,2020614
86.95,86.82,87.47,86.13,2112676
86.42,85.55,87.48,85.23,2298690
85.67,86.01,86.2,85.04,1504638
85.16,86.09,86.16,84.87,1588577
85.84,85.15,86.09,84.87,1658028
84.81,83.9,84.9999,82.61,3511361
83.6,83.05,85.03,82.67,2710637
83.67,84.03,84.07,82.7,1295322
83.55,83.23,83.93,82.325,2922913
82.06,83.48,83.66,81.03,4418361
84.3,83.78,85.41,83.245,2872596
84.29,83.6,85.22,83.45,2566502
81.45,80.88,82.8,80.86,2630594
81.03,80.39,81.96,80.38,1959359
80.78,81.37,81.59,80.47,1643659
82.3,83.38,83.95,81.72,2092401
83.32,82.74,83.71,82.37,1687633
82.01,82.31,82.6,81.32,1067636
80.72,78.77,81.09,78.58,4270511
78.64,78.8,79.74,78.6308,2975169
78.76,78.61,79.34,78.354,1919569
78.42,78.91,79.12,77.87,3546526
79.3,77.16,79.7,77.14,4086723
77.8,77.65,78.69,77.36,3352525
77.47,75.11,77.65,75.025,4240087
75.06,71.43,75.29,70.63,6669320
71.45,69.28,71.83,68.6,4768852
68.62,67.7,69.59,66.82,3730930
67.3,67.38,67.8658,66.26,5480408
66.38,66.44,66.65,65.13,7998994
67.33,67.7,69.37,66.52,5874685
69.83,68.28,70.22,67.28,4146740
67.74,68.23,68.71,67.1101,3419644
69.02,69.15,69.58,68.3101,2104948
69.56,69.05,69.78,68.4001,2370021
68.65,67.55,68.7,67.15,3371910
67.46,67.03,68.7,66.84,2257229
67.73,66.84,68,66.51,1378560
65.43,67.19,67.6,64.7,2117225
65.89,61.29,66.49,61.27,4718176
62.21,62.49,64.26,62.11,6880279
61.15,62.3,63.45,60.7,4927725
63.68,62.31,64.59,61.23,2352990
62.43,64.86,64.95,62.01,1912630
66,65.76,66.26,65.08,3558443
66.25,70.38,70.97,65.67,4169509
70.93,69.74,71,68.51,2429629
69.48,69.34,69.82,67.8,2742744
68.87,70.03,70.38,68.77,1955469
70.61,70.31,70.98,69.06,3127297
71,74.49,76,70.3,5840503
73.43,72.13,73.86,71.28,3311624
71.3,69.66,71.58,69.53,2039248
70.22,70.88,72.8,70.18,2400286
71.96,72,72.49,71.1,3233148
71.64,75.36,75.37,71.51,4577228
74.55,75.63,76.2,74.26,4561764
75.54,73.89,75.84,73.41,2381034
72.93,72.99,74,71.45,2713518
74.22,73,74.55,72.92,2576872
72.06,74.37,74.94,72.03,1427257
75.48,75.75,75.81,74.69,1955961
74.82,73.74,75.36,73.16,2256490
74.51,75.9,75.93,72.9338,4967575
75.1,74.39,76.36,74.38,2429174
