Open, Close, High, Low, Volume
154.28,155.26,157.04,153.75,955403
156.63,157.23,161.25,156.2,1943330
158.14,162.58,164.29,157.56,2105277
158.36,160.28,160.81,156.76,1808591
160.04,159.97,161.92,159.66,1386010
160.72,160.64,161.89,159.66,757197
160.66,159.41,161.59,159.07,744662
160.1,158.46,160.1,157.48,853251
158.54,158.91,160.13,157.24,738265
159,158.03,159.14,157.09,443249
157.84,157.72,158.81,156.37,463792
158.28,155.97,158.345,155.85,353548
156.91,158.99,159.08,156.66,561042
157.81,156.74,158.6,155.03,1144402
156.79,155.03,158.14,152.5,1480843
156.24,157.13,157.23,154.76,662995
157.3,159.19,159.88,156.14,877030
158.57,160.61,161.42,157.69,1341594
159.72,160.65,160.72,157.71,903988
161,162.31,162.79,159.19,990132
163.37,166.27,166.31,162.3001,1377386
166.9,170.65,171.83,166.5,1890050
171.16,172.84,173.84,170.76,1222351
171.91,171.82,172,169.37,1005553
171.7,170.34,173.12,169.22,1644516
170.68,172.95,173.88,170.41,795591
172.93,170.61,173.03,170.26,1267839
173.14,174.62,177.97,172.37,1507078
174.09,175.18,175.44,171.98,690853
175.62,176.72,178,175.525,992018
176.5,176.38,178.86,175.77,1061572
170.81,171.73,172.3,167.21,2165044
173.47,168.93,174.02,168.1523,1800879
164.39,166.03,168,160.42,2039290
164.91,159.16,165.05,158.56,1329691
158.58,152.55,159.64,152.54,1571150
150.29,152.52,155.335,148.06,1951165
151.61,152.79,156.29,151.29,1049275
152.62,150.24,155.68,150.13,2115422
152.15,148.86,152.21,144.85,1558012
149.62,149,151.46,147.91,675547
145,146.17,147.4,143.08,2033243
145.36,148.8,150.09,145.01,1082426
149.28,148.68,149.62,146.21,1011399
148.23,150.5,152.04,148.06,1248915
150,148.82,150.67,147.92,613517
148.72,149.6,151.41,148.65,739061
149.59,150.12,152.82,149.36,1164937
150.72,152.67,153.065,150.3,890066
152.51,154.53,155.27,152.22,907529
155,153.66,155.38,151.85,1422248
153.75,149.23,153.9,149.09,1145949
149.25,146.47,150.3375,145.75,1429762
145.8,149.84,150.15,144.81,1158148
149.28,151.31,152.13,147.955,740651
151.71,151.12,151.91,149.98,661127
150,151.74,152.22,149.935,453038
151.76,153.98,154.05,151.75,865287
154.8,155.78,156.26,154.095,792708
156.11,157.8,158.29,155.755,857742
158.47,157.7,160.87,157.37,1108309
158.04,155.47,158.78,154,1354336
155.44,154.01,156.89,153.6,1351607
154.08,152.34,154.225,151.75,1467688
151.92,147.68,152.5,147.5,1822946
148,141.81,148.73,140.72,2443230
141.6,142.92,144.5,141.22,966905
142,141.69,143.77,141.17,1285136
142.36,139.05,142.87,138.85,1436829
140.82,139.3,141.07,137.1021,1042696
139.62,138.74,140.86,137.92,1095771
139.34,140.66,142.5,139.34,1204763
141.09,140.88,141.96,140.19,1183538
140.26,139.81,142.42,137.54,1511224
140.8,140.54,141.34,138,914565
139.72,141.35,142.15,138.81,1322463
142.27,142.59,143.8,140.77,937172
141.46,139.72,142.09,139.13,1047080
140.22,139.99,141.99,138.75,538188
141.59,143.22,144.27,141.12,969196
141.47,143.11,144.209,141.2,523908
143.69,143.95,144.56,142.6,836205
144.39,142.86,144.81,141.6,876912
143.7,147.88,150.7,141.89,2428769
148.94,149.52,150.7599,148.05,1510429
149.32,149.31,150.835,148.8,1101281
148.47,147.1,148.75,146.2,842460
147.62,146.28,147.62,145.1,699018
146.48,148.33,148.88,146.48,872727
149.48,148.9,151.14,147.895,966378
147.98,151.71,152.16,147.89,1043217
153,153.96,154.2,150.17,1443488
153.8,158.15,158.66,152.98,1367682
158.22,156.22,160.84,156.19,1434219
155.61,154.21,156.9,152.96,1017048
153.83,154.63,158.25,153.49,983652
150.44,146.61,151,145.63,3102288
146.32,146.82,148.1,145.321,1294649
146.85,144.15,148.475,143.49,1663687
145.43,144,145.74,142.57,1133340
144.44,144.72,145.83,143.59,950517
145.5,147.26,149.12,145.41,970995
147.08,149.2,150.5,145.74,1306125
150.05,151.05,151.74,150.05,613299
150.63,149.57,151.76,148.78,664930
150.15,150.15,151.18,149.01,540730
150.55,150.98,151.86,149.41,482411
151.08,148.94,151.53,148.8501,706871
149.07,146.5,149.48,146.13,1097766
146.67,146.47,147.74,145.82,1425581
146.46,146.84,147.43,145.91,1455587
143.99,144.02,145.29,138.76,3014782
142.7,145.79,146.68,142.7,1636688
144.9,141.17,144.9,140.13,1635720
142,144.42,145.09,141.48,1482508
143.78,141.96,143.78,141.24,1238987
142.95,142.23,143.16,141.43,707288
142,142.8,143.91,141.55,1184039
142.75,143.69,143.88,142.43,1096462
144.63,145.65,146.35,143.9,1636803
144.15,145.6,146.37,143.8,803572
146.01,145.33,146.16,143.89,791664
145.29,145.22,146.38,144.36,902891
145.67,145.6,145.91,143.77,1033397
146.34,149.45,150.34,146.09,2522645
150,150,151.24,148.795,1396020
149.73,150,151.075,149.2,1973393
149.43,146.01,149.43,145.66,961116
