Open, Close, High, Low, Volume
152.73,150.18,152.92,150.13,468833
150.23,149.53,150.79,149.47,296518
150.68,150.57,151.22,149.77,888447
151.39,150.44,151.84,149.83,753820
150.97,150.16,151.66,149.87,428924
150.19,148.45,150.5047,148.13,356272
148.84,147.48,149.15,147.37,343279
148,146.99,148,146.43,284426
146.62,145.865,146.97,145.3,354015
146.22,146.63,147.33,145.121,275875
146.94,147.83,148.04,146.32,339645
147.93,147.66,148.99,147.62,198561
147.96,146.18,148.34,145.66,381002
145.55,148.7,148.96,145.5,739981
149.25,151.61,152.76,149.25,552624
151.97,154.12,154.28,151.7,902515
154.39,155.06,155.44,153.78,409652
155.2,156.1,156.325,154.97,360980
156.13,154.79,156.43,154.35,411219
155.57,155.73,155.79,154.6,329983
156.56,157.24,157.56,155.72,356107
157.81,155.53,158.51,154.96,259061
156.91,157.37,158.04,155.81,476257
156.87,157.58,157.92,156.36,532527
158.29,159.2,160.13,157.8533,555815
159.59,160.47,160.48,157.2,342682
160.22,160.83,161.11,159.06,331800
161.52,162.21,163.415,161.14,313670
162.83,162.78,163.7,162.1,205149
163.72,167.18,167.2299,163.07,566969
166.14,161.75,166.64,161.72,670862
161.05,161.65,162.7,160.13,512220
161.62,161.82,162.77,160.63,390833
161.67,163.59,164.1,160.82,317307
162.08,158.51,162.84,158.24,497722
157.87,151.26,158.71,151.08,830128
150.87,157.94,157.97,147.34,1337409
157.02,158.03,161.25,156.43,687701
157.95,152.25,160.12,151.85,1218729
154.05,154.64,158.55,149.295,1868324
156.8,159.21,161.38,155.72,863915
157.67,161.5,161.77,156.72,474867
160.94,163.58,164.22,159.8,643041
165.05,166.97,166.98,163.25,695493
166.26,168.21,169.1,165.93,437593
167.44,168.13,169.51,166.35,391355
168.06,167.08,170.62,166.872,550124
167.88,167.13,168.75,166.34,370214
167.22,169.27,169.3,166.37,451640
170.4,170.17,170.8,168.615,503487
169.9,168.42,171.65,168.41,422318
169.4,166.88,171.07,166.86,516911
166.72,166.46,168.83,164.8,517826
164.59,166.86,167.21,162.94,543603
161.11,167.52,168.31,160.79,641104
168,166.06,168.5,164.24,811388
164,166.77,167.35,163.81,549272
167.15,168.38,168.79,166.71,557991
169.77,170.09,171.68,168.17,574069
170.01,169.82,170.795,168.89,382859
170.73,169.1,171.05,168.69,359359
169.47,166.76,169.47,166.16,449753
167.15,166.49,167.49,165.43,382388
166.62,167.29,168.31,165.54,407876
167,165.43,167.66,164.28,276284
166.02,167.49,168.38,165.3,280778
167.72,167.26,169.43,167.15,307812
165.59,160.91,166.31,160.7,491812
161.16,158.44,162.63,158.39,651474
161.54,163.31,163.64,159.91,339715
164.13,159.55,164.13,158.43,530290
159.94,158.94,160.74,156.32,529860
159.8,161.25,162.48,158.49,431930
160.96,158.62,161.25,156.24,643674
159.88,160.9,161.08,158.11,519149
159.01,162.23,162.74,157.77,499005
163.22,162.22,163.22,161.34,311973
160.28,158.94,161.75,157.23,473629
160.41,159.46,162.67,159.29,323115
161.82,162.64,163.85,160.43,465804
161.41,162.43,163.15,160.15,420513
164.03,163.97,165.2799,162.9769,393705
164.03,162.94,165.4,161.83,271580
164.22,164.43,165.31,163.05,276181
165.32,165.92,166.5,164.6,426237
166.2,166.45,166.89,165.025,317998
166,165.69,166.2,164.51,399509
165.61,164.07,166.63,163.36,443937
164,162.51,164.32,161.86,446225
163.17,160.48,163.62,159.12,547862
161,162.54,163.37,159.675,752931
163.09,164.65,165.78,161.22,1558621
164.9,163.03,164.9,162.46,874332
164.02,162.18,164.8,162.18,453803
161.48,164.1,164.39,160.68,575700
163.59,162.69,164.37,162.39,525956
162.24,163.12,163.555,160.4486,466232
162.33,166.27,167.4,161.29,396631
166.62,167.39,168.12,166.06,306631
166.89,167.86,168.25,166.15,337463
168.19,170.53,171.06,167.17,407382
170.72,173.75,174.13,170.36,548045
173.65,174.06,174.75,172.86,618119
174.6,172.02,174.8,170.95,424759
171.21,170.81,171.61,169.85,356726
171.17,172.21,173.07,170.73,484463
172.15,171.51,172.66,170.565,308789
171.3,172.54,172.87,170.41,411274
173.36,175.09,175.58,173.35,529601
175.21,174.35,175.6,173.63,433305
173.12,174.03,174.07,171.98,490196
173.85,173.99,174.41,171.44,427364
173.46,174.03,174.305,172.545,370638
172.48,170.81,173.31,169.04,585160
172.05,173.41,173.64,170.88,497163
173.42,170.58,173.715,170.49,516709
171.78,172.95,173.71,171.66,375562
173.84,175.22,175.24,172.92,334443
175.27,176.16,176.67,175.01,341682
176.72,178.3,178.32,176.11,315257
178.62,177.74,178.72,176.4196,319600
177.76,179.2,179.29,177.37,284464
179.1,177.81,179.85,177.41,409532
177.35,178.03,178.18,176.2001,332836
178.32,176.88,179,176.82,312365
177.5,175.92,178.5,175.435,446918
175.58,176.82,176.99,174.68,470578
175.83,175.17,175.83,174.72,406990
173.35,173.25,174.1,172.51,559003
174,173.4,174.85,173.25,286127
173.7,172.45,173.9,172.19,344182
173.43,172.42,173.61,172.18,370026
171.67,169.57,172.17,168.45,483252
170,169.45,171.88,169.21,402267
169.77,168.46,170.55,168.44,470998
168.47,170.57,171.15,168.39,490081
171.52,170.58,172.1,170.53,549899
169.71,170.93,171.2,169.31,597895
171.84,169.81,172.1,169.62,316054
170.5,171.04,172.09,169.51,340399
171.27,172.8,175.05,171.13,439344
173.4,175.48,175.59,173.37,395483
175.35,176.69,176.93,174.88,561921
175.97,178.03,178.49,174.5,565111
178.98,181.5,181.8,177.84,881200
181.64,181.95,182.31,180.62,417046
181.76,182.32,183.08,181.72,278476
181.8,182.7,182.92,180.72,331247
183.08,184.52,184.96,183.06,535645
183.58,182.34,184.36,182.03,378084
182.23,185.42,185.65,182.23,514048
185.62,186.12,187.55,185.2,431232
186.5,185.62,186.92,185.24,394618
185.54,187.03,187.11,185.02,448361
187.62,185.65,187.975,184.66,554553
182,176.6,183.82,176.12,1534033
176.38,170.83,176.38,169.87,1150649
171.49,171.11,171.64,168.3,1043052
171.18,171.15,173.87,170.69,624400
169.73,171.94,172.33,169.55,556476
173,172.68,173.52,171.36,507560
172.09,171.57,172.55,171.48,518580
172.09,173.25,174.135,171.65,567468
173.14,172.62,173.63,172.27,220703
173.42,172.05,173.61,171.82,374062
170.97,170.98,171.88,169.59,526970
171.12,169.36,171.85,169.305,435303
169.98,170.92,171.3,169.84,354055
170,169.47,170.54,168.64,378926
170.53,171.57,172.47,170.38,569637
171.7,171.48,172.41,170.84,360056
171.75,171.21,172.482,170.77,263863
171.2,171.91,172.435,171.17,756371
171.6,171.82,172.82,171.24,497645
171.93,171.31,172.52,171.13,311433
172.23,173.22,173.67,171.675,262536
173.2,175.39,175.51,173.13,528323
175.86,176.26,177.76,175.86,563085
176.08,176.32,176.65,175.2075,439022
176.22,176.75,177.225,175.97,456582
176.03,178,178.24,176.03,341843
177.91,178.13,178.62,177.24,532283
177.97,176.12,178.57,175.28,447045
176.41,176.65,177.16,176.1,273041
176.25,176.82,178.635,176.2457,271320
178.05,177.17,178.97,176.82,246241
176.59,177.73,178.17,176.03,511379
177.91,178.91,179.43,177.01,309019
178.8,179.26,179.8,178.2697,201548
179.84,181.55,181.69,177.51,351895
181.87,176.94,181.97,176.59,753367
177.08,177.84,178.3,176.68,608618
177.91,177.8,178.35,176.76,372146
178.87,178.78,179.26,176.9025,429958
178.44,174.59,178.49,173.57,1407566
173.8,175.54,175.86,172.78,533107
175.54,172.91,175.91,172.23,510733
173.1,172.81,174.51,172.315,482384
173.36,173.45,174.89,173.01,280973
172.26,167.2,173.38,167.09,770362
168.12,169.56,169.92,167.96,575881
167.28,166.57,168.53,166.56,516184
167.78,166.24,168.47,166.17,431730
166,163.03,166.18,161.51,973171
162.74,161.36,163.34,159.84,714248
160.48,161.68,161.8,159.11,750356
161.23,161.66,162.64,159.07,481153
161.19,156.06,162.45,155.88,896898
155.2,153.33,158.34,152.6,1016504
156.63,155.95,158.72,154.06,1161507
155.54,156.52,157.53,154.8,968571
157.38,159.69,159.97,157.16,566086
159.07,161.92,162.39,158.28,601000
161.67,158.27,162.35,157.32,878385
158.83,159.77,161.22,158.595,701872
160.87,159.44,161.6,159.11,502220
156.59,157.23,158,154.28,689076
157.64,154.09,159,153.74,614859
153.63,155.21,156.69,151.3,1400449
148,141.51,148,140.84,2496112
142.81,141.26,147.335,139.36,1574909
141.98,141.14,142.55,139.11,1177089
142.89,145.48,147.105,142.89,1416790
145.48,149.95,150.38,145.475,1088714
151.39,149.47,151.57,148.63,780464
150,150.99,151.42,149.2625,772763
150.29,150.67,152.26,149.84,824671
151.83,153.39,154.365,151.36,849341
154.09,155.38,155.42,152.88,820740
154.82,153.54,155.96,152.53,1280852
