Open, Close, High, Low, Volume
42.88,42.95,43.13,42.68,7730019
42.89,42.79,42.99,42.74,7528518
42.89,43.37,43.52,42.52,10851931
43.44,43.11,43.98,42.84,9182170
43.32,43.25,43.65,43.15,5857181
43.38,42.96,43.47,42.89,5784650
43.12,43.1,43.29,42.97,5455335
43.2,43.37,43.47,43.135,5371219
43.42,43.42,43.73,43.25,5842578
43.38,43.25,43.5901,43.145,4099786
43.13,43.05,43.27,42.9,4159391
42.96,42.8,43.24,42.77,3248197
43.22,42.42,43.22,42.4,5038949
42.5,42.56,42.77,42.36,7335089
42.72,42.67,43.05,42.48,7299867
42.82,43.24,43.37,42.7,7108797
43.1,43,43.46,42.98,4025664
43.14,42.99,43.14,42.89,3181033
42.76,42.63,43.05,42.455,4020353
42.68,42.51,42.8,42.29,5598882
42.65,42.46,42.7,42.34,4406836
42.52,42.98,43.2,42.5,7435419
43.27,43.87,44.18,43.13,9373231
43.78,43.68,44.05,43.235,5028241
43.67,44.13,44.18,43.67,6486305
43.69,44.28,44.41,43.69,5522889
44.07,44.5,44.59,43.93,4539094
44.59,44.6,44.76,44.46,5215498
44.72,44.47,45,44.2,6068492
44.61,44.42,44.61,44.12,4106620
44.82,44.53,45.01,44.31,7790717
44.58,44.35,45.06,44.25,5902712
44.33,44.51,44.77,44.17,10818223
44.36,45.87,46.54,44.285,13362013
45.84,45.49,46.13,45.44,9141824
45.34,43.95,46.2,43.935,11731032
43.64,44.55,44.57,43.27,9831625
44.29,44.06,44.78,43.85,6889775
44.17,42.68,44.335,42.67,10898558
42.83,42.02,43.13,41.8234,11820190
42.37,42.51,42.88,42.1,10858214
42.26,42.79,43.02,42,7647342
42.43,42.97,43.31,42.04,8618771
43.17,44.09,44.09,42.78,7450239
44.05,44.14,44.29,43.71,5844838
44.09,43.76,44.29,43.62,3795211
43.91,43.61,44.19,43.57,6963168
43.74,43.52,44.02,43.42,7442454
43.79,43.75,43.95,43.31,7591596
44.16,44.77,45.18,43.79,10715390
44.39,44.01,44.6,43.9,7766803
44.24,43.91,44.46,43.9,4666728
43.97,43.62,44.17,43.15,5847221
43.44,44.42,44.58,43.3,7555362
44.08,45.08,45.15,44.04,5346367
45,45.56,45.71,44.81,7405186
43.48,43.58,43.97,43.325,16999292
43.79,43.99,44.145,43.45,7095888
44.44,44.26,44.44,43.87,7662010
44.46,44.38,44.65,44.33,5021375
44.7,44.03,44.83,43.96,5903485
44.27,43.88,44.41,43.62,5104527
43.77,43.4,43.935,43.19,4242279
43.56,43.17,43.82,43.12,6020013
43.08,42.37,43.22,42.22,10985021
42.39,42.35,42.67,42.19,5031089
41.68,42,42.26,41.1,12002549
41.63,41.06,41.8717,40.97,7404543
41.14,40.52,41.54,40.51,7361356
41.06,41.34,41.4,40.68,5277953
41.71,40.92,41.72,40.69,5344146
40.77,40.58,41.38,40.56,7799123
40.99,41.73,42.09,40.86,8666232
41.57,40.71,41.67,40.52,7168838
41.05,41.19,41.5,40.83,6206229
40.78,42.07,42.31,40.72,7581203
42.24,42.2,42.46,42.05,4951080
42.06,41.47,42.38,41.235,5180397
41.61,41.68,42.13,41.56,5426489
42.1,41.75,42.31,41.56,5717998
41.57,41.83,42.14,41.5,6599110
41.85,42.02,42.19,41.85,4404375
42.21,42.09,42.27,41.91,4586353
42.1,42.22,42.3,42.04,3903764
42.38,41.9,42.39,41.79,3749178
42.04,42,42.0524,41.78,4789615
41.75,41.01,42,40.9,5660898
41.04,40.12,41.38,39.835,9267835
40.24,40.35,40.4,40.01,6245699
40.54,39.77,40.59,39.505,6601071
39.77,39.68,39.92,39.475,5395134
39.81,39.77,40.04,39.375,8376559
39.8,39.93,40.21,39.77,5366778
40.09,39.49,40.105,39.39,11033003
39.47,38.99,39.62,38.55,8009618
39.09,37.89,39.49,37.42,14496708
37.9,37.57,38.12,37.505,7401548
37.5,38.9,39.3,37.48,14163206
39.03,38.68,39.41,38.61,6125870
38.61,38.58,38.7,38.315,6914252
38.68,38.76,38.95,38.51,6299926
38.84,39.11,39.1711,38.78,4985006
39.21,39.23,39.36,38.96,5794597
39.27,39.22,39.48,39.13,4390527
39.1,39.42,39.72,39.1,7601979
39.52,39.53,39.71,39.3,4212719
39.56,39.51,39.83,39.35,4414537
39.51,39.66,39.68,38.94,7064163
39.72,39.33,39.91,39.24,5204125
39.4,39.43,39.77,39.34,4258870
39.29,39.46,39.63,39.19,4160443
39.44,39.56,39.63,39.17,4582692
39.5,39.58,39.81,39.365,3955732
39.1,39.33,39.38,38.985,6594424
39.42,39.68,39.945,39.33,4837552
39.67,39.28,39.77,39.02,5968995
39.38,39.56,39.86,39.23,8594798
39.67,39.77,39.86,39.51,5822855
39.72,39.26,39.8,39.13,5977946
39.37,39.5,39.53,38.94,6196856
39.24,39.33,39.58,39.11,4552314
39.35,39.78,39.84,39.3,5581067
39.77,40.23,40.35,39.71,5260032
40.24,40.46,40.515,39.93,6681881
40.33,40.14,40.51,39.96,6428948
40.07,40.39,40.58,39.89,5239407
40.3,40.84,40.98,40.07,8479087
40.7,40.18,40.8,39.98,5426838
40.01,40.34,40.58,39.9,4023545
40.38,40.76,40.81,40.04,6484160
40.78,40.74,40.83,40.45,7160518
40.79,41.3,41.4,40.73,5463255
41.29,41.46,41.7,41.035,6021435
41.42,41.19,41.57,41.01,3874795
41.09,41,41.49,40.735,5119892
40.88,40.9,41.25,40.63,4619185
40.73,41.02,41.36,40.71,4480101
40.97,40.85,41.03,40.52,3601908
41.08,40.81,41.2,40.75,2093370
40.98,41.89,41.89,40.75,5178245
41.87,42.355,42.59,41.86,6627550
42.39,42.17,42.505,42.03,2936725
42.23,42.09,42.32,41.97,3569821
41.98,42.26,42.28,41.8601,3524956
42.39,42.45,42.5956,42.19,4336732
42.46,42.835,42.85,42.37,3558772
42.86,42.31,42.86,42.13,5904072
42.06,42.84,42.95,42.06,5622983
42.7,42.12,42.78,42.07,6232981
42.08,42.24,42.51,41.9,4795348
42.34,42.45,42.56,42.09,5096165
42.37,41.67,42.37,41.5,5392850
41.58,41.52,41.79,41.08,6860835
41.5,41.41,41.76,41,8155220
