Open, Close, High, Low, Volume
228.54,229.33,231.33,225.28,212069
228.47,226.3,229.385,224.99,232992
225.88,219.55,226.14,218.68,207710
219.87,213.37,220.36,212.91,262552
213.25,213,220.68,211.03,231592
211.82,209.23,214.69,208.89,324619
210.31,204.91,213.16,204.6,366803
204.08,199.36,204.63,199.24,141163
199.59,204.38,204.73,199.04,195655
203.25,205.84,206.66,200.25,159471
206.22,207.26,211.6663,205.2,111425
208.63,210.82,210.83,206.62,94909
209.27,208.92,212.28,207.57,176049
208.58,208.01,210.79,206.91,152228
210.1,214.41,214.855,208.08,337896
214.5,217.165,219.39,209.51,320701
218.08,216.68,219.73,215.695,309160
217.95,213.13,218.8,212.72,207767
212.33,212.65,214.505,210.06,336232
212.01,212.42,214.15,210.76,205094
211.18,207.635,212.9,206.79,217641
208.4,211.28,213.17,207.12,350903
211.82,216.16,217.26,211.82,214692
216.01,215.94,219.33,215.24,295145
216.86,219.11,220.99,214.4414,126852
218.68,218.15,221.3,216.52,224120
219.23,219.69,221.41,218,119625
219.75,218.62,222.4,218.3,185831
219.47,219.38,221.81,218.46,151849
218.69,218.11,220.11,217.32,127571
218.35,213.65,218.46,213.14,262989
212.02,210.18,216.96,207.155,398685
209.61,214.78,215.08,209.61,204645
218.39,213.61,218.39,212.31,203840
212.54,216.45,217.67,209.16,176072
215.62,218.65,218.66,214.79,159104
218.09,218.87,220.68,217.35,138753
217.89,220.305,221.04,216.24,186488
220.51,220.59,222.59,216.1055,179625
221.02,223.63,224.58,220.75,167611
224.13,225.22,226.055,219.41,200684
226.59,228.28,228.76,226.1,168143
227.26,226.54,228,222.23,171723
227.42,229.54,229.895,224.87,211331
232.66,233.71,234.42,230.68,171584
233.86,235.19,235.49,231.37,153180
235.03,238.9,239.51,233.98,199130
239.72,241.46,242.19,239.03,147616
240.72,240.39,242.49,239.835,234966
240.47,244.5,246.03,239.9455,261227
244.93,244,246.14,242.61,284869
236.45,243.11,244.55,236.06,360312
