Open, Close, High, Low, Volume
52.64,51.27,52.74,50.885,2662225
51.78,51.24,52.1,50.63,2881996
51.28,49.44,51.71,49.18,2772584
49.45,49.23,49.75,48.6,2862440
49.34,48.24,50.18,48.16,4659916
48.25,47.95,48.78,47.76,1823278
48.11,49.11,49.11,47.74,3122207
48.54,49.45,49.45,47.81,1965778
49.52,49,49.78,48.4405,2489719
49.13,48.99,49.38,48.79,1625967
48.56,48.73,48.86,48.17,1951404
48.4,48.05,49.11,47.84,3491290
48.51,49.79,49.835,48.44,1960100
49.4,49.76,50.07,49.17,2734097
51.74,52.755,53.0499,51.4,5494231
53.07,53.32,54.02,52.8,5673224
53.25,53.26,53.3,51.88,5556480
53.27,54.37,54.395,52.85,3322283
53.82,54.1899,54.43,53.46,2190606
54.19,54.74,54.96,54.05,1747778
54.41,53.825,54.76,53.51,2443922
53.9,54.26,54.67,53.89,1867087
54.85,55.505,55.8,54.52,3554403
55.35,55.35,55.45,54.52,1981935
55.38,55.165,55.76,54.85,1892336
55.1,55.365,55.62,54.93,1893471
55.77,55.78,56.25,55.69,1435702
55.54,55.54,55.81,55.06,1636446
55.73,55.46,55.89,55.19,1181913
55.55,56.195,56.38,55.35,1725513
56.24,57.33,57.33,56.12,2160391
57.38,57.965,57.97,57.13,1690653
58.01,58.145,58.2,57.47,983898
58.34,57.61,58.58,57.41,2629463
57.43,57.34,57.66,57.27,1982774
57.15,57.39,57.76,56.93,1302058
57.18,57.785,57.82,57.12,1164320
57.94,57.95,58.32,57.8,944624
57.98,58.865,59.115,57.98,1652702
59.01,59.315,59.39,58.95,1338445
58.81,58.66,59.18,58,1772621
59,58.705,59.22,58.58,2324206
58.5,58.21,58.65,57.93,2965421
58.38,58.7,59.1,58.21,2212250
58.46,58.87,59.73,58.3,2276055
58.8,58.44,59.19,58.21,2020583
59.08,58.54,59.14,58.27,2119638
58.61,58.75,59.05,58.42,1530700
58.33,58.73,58.8296,57.91,4636427
63.22,63.87,66.38,63.22,7885600
64.37,64.75,64.98,63.25,3394882
64.77,65.03,65.57,64.29,3015478
64.5,62.61,64.5,62.505,3454639
62.73,61.74,63.1,61.51,3955591
62,61.6,62.6,61.23,3587795
61.23,60.6,61.48,60.08,2545653
60.5,61.17,61.32,60.45,3633702
60.74,60.23,60.99,59.465,4403834
60.11,59.77,60.58,59.39,3454799
