Open, Close, High, Low, Volume
52.36,50.89,52.44,50.69,9408264
51.18,51.405,52.29,50.68,15296984
50.49,50.43,50.65,49.29,26169083
48.97,49.05,49.56,48.63,23845889
47.76,47.58,48.26,47.5,8580288
47.48,48.42,48.43,46.11,12107623
48.08,48.71,48.71,47.17,9953047
49.4,48.92,49.57,48.6,9909053
49.07,49.185,49.33,48.6,7401228
48.91,49.26,49.52,47.945,8279378
48.8,49.06,49.5,48.67,8303169
49.49,50.26,50.31,49.35,8531215
49.68,48.8299,49.69,48.525,10009707
49.26,49.06,49.87,49.05,9541640
49.19,49.68,50.05,49.1,8889959
49.83,48.9,49.96,48.9,13382401
49,48.995,49.45,48.5515,9549628
48.96,48.22,48.97,48.07,7983694
48.1,47.93,48.35,47.695,9414877
47.84,47.18,47.93,47.13,12234230
47,47.085,47.395,46.66,10856423
47.52,48.21,48.5098,47.16,10629096
47.36,44.85,47.49,44.57,20982360
45.01,44.72,45.22,44.51,12707252
44.56,43.19,44.56,42.4,21717541
43.72,44.25,44.6,43.6,12261521
44.58,45.28,45.5,43.97,13030289
45.69,45.8278,46.06,44.22,13557774
46.17,47.53,47.575,45.605,17366932
49.17,49.54,49.665,47.6,19913792
49.53,49.18,49.63,48.8,13258982
48.9,49.01,49.2,48.63,9516081
49.12,48.985,49.15,48.62,14586328
49.16,49.295,49.37,44.26,7430856
49.16,48.72,49.39,48.28,7690270
48.59,48.74,48.78,47.83,7456112
48.92,48.87,48.98,48.34,5893042
48.97,49.555,49.67,48.95,6788853
49.77,48.9743,49.84,48.8255,6672808
48.99,49.2,49.4373,48.74,5725464
49.29,48.81,49.4,46.49,6528256
48.82,48.965,49.375,48.36,7479156
49.23,50.52,50.96,49.15,9002367
50.39,50.38,50.8,50.01,6042917
50.65,51.51,51.54,50.4,7166292
52.05,51.81,52.32,51.51,11867828
51.92,52.09,52.31,48.66,7084752
52.4,52.32,52.6,48.66,6832256
52.41,52.43,52.65,51.87,6980924
52.67,52.75,52.94,52.13,5165338
52.95,52.46,53.25,48.55,6172986
52.31,52.88,53.9,51.96,8226437
53.25,54.69,54.75,52.98,12207298
54.88,54.74,54.88,48.74,18292678
54.73,55.36,55.545,54.68,12116289
55.32,56.03,56.17,55.3,9820190
56.11,55.73,56.37,55.09,14378490
55.66,56.14,56.29,55.34,8907325
56.08,56.39,56.49,55.77,10179686
56.9,56.74,56.95,56.01,9492841
56.83,57.3,57.44,56.58,6465406
57.065,56.02,57.68,55.16,12130280
55.99,55.74,56.44,49.05,13629933
55.51,56.94,57.2,52.53,8118249
56.02,55.92,56.57,55.905,7004406
55.67,56.56,56.63,55.56,6684813
56.85,57.04,57.28,56.04,5507003
56.79,56.29,57.16,56.19,5958422
56.32,56.7,57.23,55.7,7553833
56.83,57.41,57.5,56.77,5434366
57.38,57.72,57.79,56.86,3612864
57.85,56.69,57.88,56.61,7747082
55.73,53.97,56.32,53.43,15999475
54.34,54.61,54.92,54.25,7648328
54.5,54.76,54.91,54.02,6505619
54.77,55.29,55.39,54.6,5008883
55.14,55.12,55.59,54.85,5237823
55.26,55.44,55.53,54.91,4925216
55.64,55.97,56.04,55.51,4388959
56.04,56.58,56.6,55.73,3925394
56.68,56.95,57.11,56.5136,3600588
56.7,56.43,56.8023,55.78,4508060
56.75,56.18,56.76,56.07,4504100
56.16,54.37,56.31,53.28,14387491
54.03,54.61,54.9513,53.71,6701150
54.7,54.81,54.99,53.9,7221029
54.5601,54.72,55.03,54.36,7500171
52.09,51.4,52.75,50.66,14960348
51.54,52.79,52.94,51.5,6980568
52.9,53.54,53.64,52.72,5610644
53.82,54.33,54.99,53.36,12023223
54.52,53.37,54.74,53.36,6181745
53.06,53.17,53.55,52.94,5056841
53.45,53.75,53.91,53.2032,4149102
53.11,53.53,54,53.1,5940409
53.27,52.95,53.44,52.5,5710184
52.59,51.97,52.84,51.95,7691704
51.77,51.97,52.27,51.18,6175130
51.5,52.13,52.23,50.79,6438105
51.74,51.44,51.95,51.03,5375542
51.28,51.9,52.3778,51.19,3899954
51.75,52.14,52.38,51.48,4146444
52.01,52.05,52.76,51.88,4549143
51.76,52.34,52.52,51.46,5091056
52.15,52.33,53.09,52.06,5936237
52.6,51.89,52.6,51.83,5544395
51.93,52.83,53.02,51.75,5568179
52.51,52.81,52.88,52.1705,5690645
52.97,52.41,53.11,51.6,5111903
52.03,49.82,52.03,49.75,8481221
49.2,50.19,50.45,48.7,7957072
50.32,50.2024,50.49,49.93,3746552
49.92,49.06,49.95,48.94,4580905
49.25,50.09,50.15,49.13,5083736
50.78,50.41,50.81,50.25,4534295
50.59,49.69,50.67,48.97,7124855
49.91,50.78,51.17,49.89,5850644
51.19,51.38,51.7222,51.12,4024421
51.5,51.21,51.7,50.98,4268558
51.35,52.15,52.455,51.31,5714074
51.44,51.61,52.04,51.12,5239463
51.14,51.22,51.43,50.68,3241387
51.11,50.8557,51.48,50.48,3268723
50.39,50.86,51.19,50.384,3764508
51.07,50.11,51.25,50.01,5247017
50.11,49.89,50.25,49.5965,6901503
50.24,50.26,50.41,49.9,7705775
50.06,48,50.34,47.91,16287671
48.11,48.5,49.03,47.91,7503966
48.67,48.78,48.94,48.1,5673430
48.12,47.95,48.35,47.62,6283864
47.9,47.9,48.28,47.56,4174226
47.84,47.36,48.06,47.31,6921828
47.73,47.7,48.41,47.505,5752865
47.86,48.6,48.62,47.62,4819707
48.97,49.17,49.35,48.43,3015783
49.07,48.75,49.25,48.27,4014027
48.93,49.09,49.52,48.6,5116697
48.82,48.36,48.94,48.21,4459639
48.22,49,49.5,48.19,5204267
49,49.26,49.73,48.88,5179441
50.05,49.5,50.17,49.44,4989310
49.8,49.54,49.94,49.4,3459720
49.31,49.41,49.621,49.03,4659843
49.41,49.44,49.62,49.01,3747560
50.04,50.53,51.115,49.73,8527487
50.86,50.52,50.9,50.42,4118586
50.52,49.66,50.52,49.54,4150409
49.86,50.02,50.295,49.71,4555654
49.98,49.77,50.1,49.62,3107030
49.77,49.6,50.45,49.46,3526203
49.52,49.87,50.12,49.04,4528194
49.95,50.31,50.58,49.92,5115300
49.6,48.52,49.67,47.35,11887134
48.31,47.04,48.55,46.72,9539672
47.5,47.89,48.66,47.4,7949775
48.2,47.94,48.44,47.795,5158699
47.54,46.66,47.7,46.1749,6484685
46.91,46.17,46.92,45.93,6044253
45.91,46.25,46.44,45.245,8726499
46.22,46.51,46.66,45.11,7056341
46.48,46.17,46.6,45.63,6372370
46.03,45.98,46.332,45.7,3630735
45.78,46.8,46.925,45.73,4609622
46.4,45.88,46.49,45.85,5690645
45.88,45.49,46.18,45.215,5603300
45.7,46.48,46.73,45.69,5569745
46.83,46.68,47.19,46.64,3823806
46.62,46.04,46.715,45.58,4548237
46.33,46.26,46.53,45.93,4545465
46,46.59,46.8975,45.99,4959143
46.91,46.42,47.18,46.15,8965511
46.97,47.14,47.6121,46.495,11203415
51.17,45.26,52.45,44.83,52859506
45.17,45.85,46.69,44.67,18581965
46.17,44.23,46.2999,43.85,17084224
44.06,43.705,44.58,43.57,11428193
43.7,44.045,44.14,43.07,7377259
44.26,44.3,44.5,43.41,7096183
44.55,43.86,44.6,43.81,7277203
44.02,43.86,44.32,43.66,9013975
44,44.05,44.28,43.62,9043242
43.51,44.24,44.24,43.47,9762069
44.3,44.71,44.97,43.65,14624870
44.9,44.46,44.92,44,8361607
43.44,42.02,43.51,41.9738,18945044
41.49,41.42,42.08,41.27,15066890
41.5,41.31,41.8,41.24,10403650
41.08,40.85,41.38,40.75,10374149
40.86,40.11,41.042,39.301,19219491
40.43,40.79,41.32,39.95,22216364
40.63,40.88,41.6056,40.52,9205380
40.9163,40.73,41.2,40.58,9704947
41.48,40.56,41.65,39.44,22734078
39.76,40.68,40.79,39.72,11176827
40.66,40.15,40.73,39.79,7885764
40.25,40.9,41.09,40.2,7221325
41.03,41.14,41.18,40.71,6801947
40.97,40.22,40.98,40.0092,8563727
40.2,40.84,40.9,40.13,7623776
40.56,41.63,41.66,40.55,7648319
41.96,42.05,42.555,41.85,11138982
