Open, Close, High, Low, Volume
30.6,30.92,31.295,30.55,3113119
30.81,30.06,31.325,29.88,3506703
30.35,30.32,30.75,30.1,2664594
30.41,29.58,31.065,29.465,4177533
29.62,28.79,29.955,28.2101,5278995
28.51,28.55,29.34,28.32,5005021
28,27.66,28.54,27.64,1859910
27.87,29.29,29.29,27.52,2520318
28.88,29.57,29.57,28.505,2173642
29.7,28.84,29.77,28.75,2350167
28.99,29.015,29.33,28.84,1579521
28.79,29.195,29.39,28.59,2857997
29.03,28.48,29.19,28.39,3276556
29.09,30.42,30.55,29.0703,3451975
30.42,30.61,31.09,30.07,2734873
31.02,31.37,31.48,30.81,2619908
31.59,31.285,31.72,31.09,2624062
31,31.55,31.56,30.7,1915938
31.38,31.62,31.65,30.745,3232356
31.1,31.365,31.68,30.855,1933382
31.35,31.385,31.59,30.92,2029342
31.36,31.49,31.965,31.1,2240784
31.38,31.97,32.3,31.36,1984815
32.12,32.16,32.56,31.81,3467769
31.91,30.84,32.015,30.825,2872014
30.97,31.14,31.39,30.54,3081655
31.1,31.045,31.43,30.92,2190553
31.75,31.9,32.38,31.57,2973395
31.45,31.555,31.71,30.9,3375656
31.79,31.76,32.1765,31.525,2035059
31.98,31.91,32.051,31.32,1689767
31.61,32.285,32.31,31.23,2196227
32.33,32.59,32.67,32.14,2400992
32.49,31.965,32.56,31.76,3663936
31.97,32.18,32.21,31.77,2684965
31.94,32.45,32.5,31.865,2295850
32.08,31.415,32.12,31.01,3552716
31.04,31.155,31.44,30.65,3719898
31.31,30.925,31.41,30.33,3831008
31.31,31.86,32.12,31.16,4345196
32,32.12,32.615,32,3224393
31.9,31.99,32.565,31.7166,2593896
32.31,32.085,32.37,31.715,3942123
31.75,32.285,32.49,31.25,2847412
32.3,33.49,33.73,32.3,3526105
33.87,33.16,33.89,33,2781265
32.75,32.3,32.92,32.14,4571001
32.84,32.77,33.23,32.5,5378512
33.02,31.46,33.91,31.015,9630766
31.39,32.16,32.485,31.25,5595922
32.01,31.26,32.09,30.96,4458273
31.41,31,31.62,30.79,4522665
31.11,30.82,31.25,30.27,4346356
30.76,29.9,31.105,29.82,5927152
29.85,29.24,30.01,29.155,3789766
28.77,27.93,28.8,27.805,7430028
27.66,28.01,28.365,27.54,4925027
28.22,28.71,28.74,28.09,3445849
28.74,28.67,29.07,28.64,2933146
28.97,28.76,29.16,28.66,3206251
28.6,28.385,28.72,28.21,3305109
28.9,28.73,28.98,28.5,2944357
28.82,28.66,28.98,28.515,2777590
28.95,28.55,28.975,28.47,2100674
28.38,28.18,28.49,27.98,2858248
28.09,28.3,28.61,28.08,2815614
27.96,26.85,28.12,26.805,3412811
26.74,26.93,27.18,26.63,2328033
27.1,26.425,27.26,25.95,5478986
26.52,26.61,26.88,26.52,3047661
27.03,27.16,27.7,26.91,5370597
27.38,27.32,27.68,27.1136,3317738
27.4,27.83,27.87,27.33,1632087
27.82,27.505,27.96,27.4,2440704
27.79,27.36,27.97,27.245,3163157
27.29,27.72,27.73,27.13,2047482
27.77,27.91,28.01,27.585,2725927
27.93,27.84,27.94,27.56,1844164
27.69,27.44,27.89,27.36,2003364
27.5,27.36,27.62,27.215,3924577
27.29,27.01,27.37,26.86,2489883
26.81,26.82,27.1,26.42,4132253
26.85,26.61,27.23,26.61,3220662
26.67,26.84,26.93,26.67,2707350
26.97,26.89,27.19,26.81,3057571
26.81,27.07,27.17,26.58,3367232
26.99,27.165,27.36,26.865,2970870
27.02,26.82,27.22,26.21,4384559
26.79,26.32,26.9,26.18,4570384
26.23,26.07,26.575,26.03,3670889
26.03,26.15,26.65,25.87,8087547
26.03,26.15,26.295,25.91,3496477
26.14,26.11,26.26,25.9,2813876
26.12,25.81,26.2634,25.805,2518511
25.28,25.24,25.74,24.87,3979106
25.44,25.625,25.7099,25.203,2347573
24.79,25.27,25.62,24.77,3254559
24.75,23.25,25.03,22.835,10655173
24.08,23.94,24.62,23.81,7863203
23.47,23.64,23.795,23.08,4532331
23.74,23.9,24.09,23.42,5332071
23.44,22.91,23.4518,22.7,3551518
23.02,22.8,23.12,22.66,3617026
22.59,22.8,23.16,22.55,2835955
22.96,23.1601,23.95,22.74,10327519
23,22.8,23.28,22.78,3107497
22.73,22.47,22.85,22.45,3352123
22.63,22.85,22.85,22.55,2456835
22.6,22.34,22.71,22.33,2634478
21.94,21.62,21.95,21.51,2807416
21.89,21.62,22,21.45,2743076
21.77,21.32,21.93,21.29,3120146
21.08,21.39,21.58,20.81,3902351
21.37,21.28,21.58,21.1301,2568765
20.93,21.48,21.58,20.83,5122908
21.5,22.02,22.29,21.45,4802321
22.33,22.7,22.71,22.24,4344614
23.08,22.23,23.21,21.8448,4502211
22.17,22.45,22.46,21.99,4643362
22.58,22.15,22.58,21.85,3751369
22.35,22.25,22.525,22.01,5253991
22.48,22.39,22.575,22.27,4637367
22.29,22.68,22.845,22.16,3993300
22.78,22.84,23.02,22.6,3040317
22.7,22.36,22.81,22.36,3930011
22.97,23.27,23.49,22.71,6366770
23.41,24.06,24.22,23.35,8604991
24.1,23.47,24.24,23.41,4755261
23.89,23.63,23.915,23.35,2517334
23.68,23.42,23.77,23.4,2745692
23.43,23.42,23.635,23.23,2316374
24.04,24.17,24.26,23.545,6997580
24.2,24.14,24.49,23.81,5946470
24.31,24.41,24.82,24.18,5906006
24.77,25.04,25.06,24.5,5586556
25.41,25.27,25.49,25.05,9160357
25.11,24.64,25.125,24.51,4985859
24.61,24.755,24.775,24.38,1598458
24.61,24.81,24.87,24.42,2478266
24.68,24.06,24.74,24,3337444
23.53,23.33,23.71,23.08,5447283
23.48,23.08,23.56,23,2638714
23.02,22.49,23.09,22.39,4265810
22.57,23,23.07,22.51,3513778
23,23.37,23.375,22.8299,2909022
23.41,23.71,24.07,23.22,4900684
23.62,23.85,24.05,23.35,5520456
23.67,23.83,23.875,23.4212,2153043
23.83,24.22,24.37,23.79,2355700
24.41,24.25,24.45,24.03,1605204
24.45,24.795,25.02,24.39,2857730
24.72,24.83,25.04,24.355,2535007
24.74,24.26,24.74,24.17,1712001
24.25,24.31,24.4,24.025,2042646
24.19,23.83,24.25,23.83,1944554
23.6,25.24,25.26,23.48,4709272
25.56,25.18,25.705,24.89,4604866
25.09,25.07,25.56,24.77,6711837
24.86,24.39,24.89,24.15,2640257
23.94,23.6,24.03,23.165,3799445
24.53,22.02,24.54,20.05,21232140
21.85,22.72,22.8,21.72,8990557
22.79,23.08,23.21,22.41,6176044
22.71,22.59,22.8,22.26,4274785
22.4,20.755,22.45,20.75,4534983
20.7,20.6,21.46,20.33,6311628
20.26,19.64,20.3,19.575,5256226
19.77,19.28,19.81,19.19,3968794
19.41,19.74,19.855,19.12,2978764
19.95,19.97,20.13,19.81,2035613
19.86,19.37,19.94,19.29,2866396
19.56,19.08,19.59,19.05,3211497
19.12,19.07,19.49,18.99,3415843
19.15,18.02,19.15,17.95,6345218
18.19,17.95,18.24,17.77,6533260
18,17.65,18.15,17.65,4145703
17.67,17.84,18.06,17.36,3987562
18.14,18.37,18.83,18.14,3802432
18.46,18.38,18.63,18.25,2921053
18.1,17.925,18.12,17.72,3336170
18.14,18.16,18.326,17.895,2589264
18.46,19.39,19.57,18.45,4177504
19.38,19.53,19.64,19.165,3219445
19.63,20.19,20.28,19.5162,4020130
20.44,21.39,21.505,20.4,6927501
21.26,21.99,22.027,20.62,7166371
22.07,21.975,22.33,21.515,5135261
22.13,22.65,23.16,21.89,5123957
22.68,22.96,23.18,22.53,3914625
22.59,21.82,22.81,21.775,5985323
