Open, Close, High, Low, Volume
62.27,62.05,63.37,62.02,4626365
62.2,62.08,62.65,61.58,4255468
61.56,59.869,62.69,59.55,6635037
59.51,58.85,60.36,58.13,6869753
59.05,58.96,60.54,58.67,11295700
59.19,58.63,61.15,58.18,8825441
57.88,57.42,60,57.09,8215357
57.21,56.76,58.73,56.49,8656394
55.31,54.34,56.41,54.29,3800327
54.63,58.34,58.38,54.44,4741148
57.02,59.11,59.11,56.55,4387875
59.46,58.18,59.9182,57.8,3591368
58.51,58.61,59.22,57.9094,3509833
58.17,59.62,60.28,57.79,5890947
59.71,58.83,60.04,58.04,5339809
59.92,61.665,61.72,59.25,5153527
61.87,62.32,63.07,61.16,5842623
62.61,62.88,63.64,61.89,5325109
63.16,64.165,65.26,62.62,6431681
64.15,63.65,64.5,62.5,6232165
63.45,64.83,66.14,63.22,6381070
64.29,64.905,65.4492,64.29,3113509
65.48,64.34,65.55,60.68,3795719
64,64.3499,64.5685,63.65,4284993
63.8,65.785,65.82,63.47,3384483
66.32,66.15,66.4201,64.865,4763865
65.67,64.8,66.53,64.71,3498119
65,64.86,65.84,63.98,3811665
64.87,63.15,65.075,62.95,6590396
63.68,63.99,64.86,63.02,6792059
63.63,63.74,64.42,63.11,9849255
63.57,64.12,64.38,63,4815666
64.77,65.35,65.82,64.19,4081649
66.13,66.34,67.11,65.65,5712774
66.68,65.43,67.2,65.34,4403836
65.4,65.89,66.17,65.21,4729940
66,67.1,67.16,65.8625,4619288
66.9,66.93,67.7861,66.69,4505127
66.84,63.72,68.74,63.06,8767030
63.39,62.58,64.1012,61.92,5900580
62.44,61.655,63.44,61.22,8813980
62.31,61.835,62.89,61.71,6002410
62.05,63.64,63.81,61.85,3585368
63.35,64.08,64.72,63.04,4201350
64.9,65.0901,65.46,64.54,4121347
64.99,65.12,65.95,64.48,4460541
65.01,64.67,65.98,64.47,3690291
65.28,64.99,65.861,64.77,3193497
64.97,64.74,65.23,64.45,2977119
64.78,64.58,65.31,64.54,2408341
64.65,63.42,64.86,63.33,4564099
63.38,62.01,63.44,61.64,5558201
62.12,62.6995,63.1999,62.12,4242422
62.88,62,62.88,60.34,5572106
61.79,60.81,61.89,60.31,6176009
60.39,59.93,60.74,59.6,7257910
59.94,58.85,60.16,58.685,4975205
57.82,57.51,57.94,56.88,6889245
57.89,59.19,59.22,57.73,6285162
59.16,58.86,60,58.86,4934944
59.01,59.56,59.59,58.93,5094151
59.65,59.67,59.93,58.9,4936833
60.8,60.47,60.8116,60.2356,3444203
60.81,62.08,62.2,60.8,6233936
62.88,62.03,62.91,61.79,4389075
61.79,62.21,62.74,60.82,6482142
62.03,62.77,63.345,61.71,4608953
62.12,61.31,62.4967,60.63,4040324
61.13,61.18,61.44,60.36,3942284
61.82,61.97,62.83,61.24,3811158
61.7,62.18,62.51,61.38,4231068
61.79,60.95,62.28,60.6,4433740
61.4,59.85,61.53,59.71,6353596
60.46,61.03,61.21,59.72,3808433
60.69,59.92,60.88,59.3749,6599627
60.38,60.38,61.16,60.13,5458851
60.43,61.38,61.88,60.21,5367057
61.39,63.47,63.5,61.39,6861052
63.58,63.34,63.67,62.64,6558802
63.03,62.18,63.4,61.88,5401109
62.35,63.61,63.99,62.05,7281565
63.85,63.11,64.53,63.055,4942476
63.82,61.6,63.95,61.4,8605429
61.49,60.54,61.78,60.29,6259593
60.49,60.03,60.6,59.49,7156502
60.7,60.25,61.14,60.18,4795873
60.25,59.82,60.815,59.69,4914697
60.36,61.14,61.395,60.27,5210981
61.29,61.02,61.515,60.39,4863534
61.05,59.51,61.35,59.46,5599510
59.76,60.64,61.47,59.55,5979017
60.29,60.39,61.17,60,5673628
60.5,60.97,61.37,60.27,4020031
61.48,60.83,62.2,60.82,4108578
61.1,59.97,61.73,59.96,3961343
60.03,58.7,60.6,58.18,6117959
59.26,59.97,60.18,59.22,4652569
59.25,59.5,59.67,58.4,5736956
58.75,59.4,59.5,57.53,9169605
57.88,55.27,58.14,54.96,14089588
55.17,52.96,55.72,52.5,14382188
52.99,53.18,53.72,52.03,9291344
52.31,50.71,52.87,50.6,6740808
51,51.3,51.66,50.69,6247366
50.67,51.21,51.45,50.19,6528301
51.3,52.88,53.25,51.3,8913170
52.36,51.94,52.61,51.77,5009345
51.7,52.1,52.31,51.34,4583513
52.59,53.27,53.78,52.48,6043458
52.93,51.91,53.08,51.74,4698105
51.08,50.16,51.16,49.71,7539890
50.37,50.3,50.77,49.77,3860134
50.59,48.97,50.75,48.95,5007401
48.25,48.99,49.1,48.02,5254191
48.74,47.09,48.89,46.95,7182212
46.21,46,46.4,45.47,10389058
46.11,47.12,47.25,46.02,7699215
47.49,48.49,48.66,47.14,6591505
48.86,47.69,48.86,47.02,7169311
47.65,48.09,48.2207,46.805,7513644
48.39,46.98,48.65,46.325,9342426
47.47,47.67,48.47,46.08,6693370
48.14,47.77,48.47,47.765,4934516
47.64,46.97,47.89,46.905,5993584
47.44,47.91,48.1,47.13,5279839
47.8,47.96,48,47.33,4527394
47.98,48.7,49,47.75,6322884
48.8,49.64,50.05,48.8,6682589
49.76,49.64,50.4,49.365,4857753
50.53,51.93,52.29,50.51,9262839
52.58,52.64,53.19,51.9,7880859
52.19,51.62,52.89,50.53,3821090
51.38,51.42,52.04,51.09,3293347
51.91,54.2475,54.28,51.91,7847929
54.25,54.38,55.315,53.83,6698781
54.555,55.89,55.95,54.16,6837474
56.9,55.12,57.1292,54.97,7221871
54.73,54.49,54.98,53.98,5395014
54.43,54.32,54.9197,54.1,2481948
54.05,54.87,55.13,53.94,3051021
54.7,54.34,55.06,54.21,3594504
54.01,54.63,54.97,53.8073,3238965
55.31,54.98,55.6,54.1262,3175819
55.26,55.45,55.63,54.82,3954316
55.47,55.47,55.8653,55.3,3504078
55.51,54.82,55.55,53.85,4448759
54.79,55.69,55.91,54.42,4136304
55.46,54.32,55.82,54.07,3525230
54.02,55.37,55.425,53.7,3139293
55.56,55.25,55.75,54.75,2824834
55.48,55.22,55.9431,54.66,2044937
55.2,55.71,55.83,55.19,2518277
55.54,57.61,57.81,55.4454,6011130
57.6,56.49,57.78,55.87,4520939
56.36,56.84,57.08,56.18,2388503
56.55,56.16,56.7799,55.62,3865382
56.16,57.04,57.26,55.37,2760551
57.03,56.41,57.61,55.505,4417805
57.92,55.35,58.6,54.84,7149300
55.1,53.61,55.4,53.48,3961300
52.6,50.66,52.66,49.94,6295976
51.27,49.6,51.57,49.14,6123787
48.8,48.13,48.91,47.4,7848038
48.32,49.53,49.54,48.06,6558484
49.44,48.39,49.56,48.37,3707812
47.76,46.42,47.99,46.09,5207484
46.23,47.15,48.04,45.64,4372174
46.55,44.63,46.62,44.27,7927262
44.51,45.41,45.55,43.96,5421292
45.85,46.23,46.38,45.54,4327092
47,47.8,48.1938,46.91,4714228
46.99,46.74,47.27,46.48,3960003
47.38,47.23,47.78,46.5,3135732
47.23,46.89,47.65,46.7,2721313
46.45,45.77,47.61,45.56,4951915
46.12,46.06,46.55,45.44,3109222
46.46,45.32,46.82,45.11,3333495
45.31,46.35,46.71,44.91,3334429
46.76,48.58,48.88,46.73,4741334
48.76,49.2,49.99,48.725,4870136
48.32,49.66,49.83,47.62,5301394
50.2,50.65,50.82,49.26,4064425
51.34,52.48,52.935,50.93,6281093
52.56,52.49,52.94,51.61,4770067
52.85,53.58,54,52.85,3927447
53.67,54.47,55.07,53.21,6272269
55,54.12,55.3499,53.605,5447710
53.22,53.19,53.71,52.54,6287748
53.37,53.27,54.19,52.98,5748034
53.64,52.38,53.7,51.28,8785990
51.99,53.41,53.799,51.3,5599901
53.19,53.75,53.8,52.73,2495802
54.11,53.89,54.305,53.63,3147839
54.13,55.09,55.86,54.12,6693849
54.35,55.78,56.31,54.35,4382208
55.73,55.51,55.94,54.9605,4755359
59.31,60.12,60.35,58.05,14851081
59.7,60.86,61.08,59.25,8603096
61.4,62.46,62.82,60.85,12167470
62.16,60.74,62.3,60.5157,5601484
61.26,60.37,61.56,60.33,4060762
59.53,59.23,60,58.66,4720309
58.78,60.06,60.07,58.24,3942523
60.25,60.75,60.99,59.72,3223376
61,60.38,61.48,60.26,3104041
59.89,59.83,60.5,59.56,3953145
60.3,60.57,61.215,60.24,4117661
60.8,61.95,62,60.78,3519133
62.91,63.42,64.1,62.285,6822328
62.73,63.14,63.73,62.45,3516002
62.95,64.05,64.56,62.32,3391087
63.75,62.68,64.16,62.61,3601365
63.29,64.1,65.41,63.0741,6608737
63.9,65.16,65.54,63.78,9549422
65.45,64.68,66.05,64.68,3812531
65.04,65.18,65.88,64.86,3034791
65.09,65.9,65.96,64.74,3792242
66.2,66.32,66.77,65.4,3804293
