Open, Close, High, Low, Volume
15.31,15.005,15.345,14.98,10873296
15.09,15.44,15.47,14.98,12348025
15.48,16.025,16.04,15.34,12769043
16.12,16.33,16.36,15.82,11557454
16.33,17.04,17.105,16.27,14557159
16.98,16.91,17.22,16.88,8537559
17.04,17.26,17.3473,16.96,8851787
17.18,17.01,17.22,16.93,6767790
17,17.07,17.1075,16.82,7132080
17.15,16.93,17.18,16.92,6052505
17.11,17.38,17.39,17.04,7222816
17.45,17.67,17.87,17.43,9518182
17.9,18.12,18.15,17.6238,12668222
17.96,17.89,17.96,17.63,10581652
17.86,17.96,17.98,17.65,6277202
18.01,18.05,18.13,17.855,9412216
18.08,17.91,18.15,17.85,6007372
18,18.61,18.81,17.94,11872296
18.68,18.82,18.9564,18.57,9168301
18.89,18.24,18.91,18.2231,12293702
18.35,18.835,19.04,18.07,17199185
18.76,18.69,18.92,18.46,8948877
18.54,18.58,18.59,18.26,6637773
18.65,19.27,19.28,18.65,10792199
19.34,19.215,19.52,18.92,11002252
19.34,19.29,19.48,19.01,9787347
19.44,18.685,19.45,18.65,8430509
18.65,18.84,19.04,18.46,7883742
18.63,18.61,19.07,18.51,6282478
18.45,18.065,18.49,17.71,11194004
18.06,18.18,18.3,17.97,7887129
18.25,18.425,18.52,18.16,8332466
18.14,17.52,18.23,17.4201,9704323
16.7,16.78,17.38,16.61,13362141
16.31,17.23,17.3267,16.14,13607313
17.16,16.33,17.645,16.32,16012567
16.38,15.69,16.7038,15.68,11088839
15.74,15.5,15.919,14.87,15640534
15.76,16.28,16.47,15.74,13892852
16.1,16.07,16.22,15.9,7323239
15.81,16.97,17.01,15.72,12528778
16.95,16.34,16.95,15.49,23108610
16.22,15.635,16.25,15.62,16035575
15.63,15.855,16.23,15.625,17348602
15.8,15.3,16.04,15.29,14122535
15.41,15.18,15.62,15.15,15820594
15.29,15.54,15.55,15.11,12478775
15.57,15.335,15.5986,15.2116,12552334
15.3,14.995,15.5,14.99,10952299
15.07,14.52,15.17,14.51,12590333
14.55,14.51,14.94,14.37,12324762
14.46,14.86,14.89,14.27,10102591
14.82,15.15,15.23,14.78,10547230
15.26,15.025,15.32,15,8096187
14.84,14.8,15.02,14.605,7178647
14.86,14.83,14.93,14.62,9120369
14.92,15.215,15.25,14.9,7294316
15.13,15.08,15.405,15.021,8092827
15.22,14.82,15.24,14.74,13156419
14.95,14.88,15.03,14.8,11075492
