Open, Close, High, Low, Volume
128.21,127.29,128.699,126.99,323085
127.03,127.63,128.07,126.925,221175
128.11,127.82,130.07,127.32,407155
128.46,127.28,128.87,126.46,555097
127.42,126.98,128.42,126.44,289824
127.95,128.18,129.46,127.03,269358
128.51,128.56,129.37,128.15,232982
128.52,128.35,128.52,126.65,145080
127.91,125.59,128.1,125.15,316594
125.74,125.49,126.47,124.94,438683
125.8,126.42,126.63,124.08,341049
126.73,126.54,127.54,126.36,199256
127.51,127.93,128.04,126.514,421571
128.1,129.47,129.72,128.1,314486
130.1,131.66,132.49,130.1,327667
131.79,133,133.09,131.545,263671
133.02,133.17,133.87,132.82,132685
133.58,134.07,134.33,132.89,193136
134.2,133.78,134.2,132.89,134718
134.02,134.77,135.235,133.76,366419
135.32,135.93,136.93,134.69,156056
135.74,134.33,136.77,134.145,184120
135.12,135.77,136.79,135.12,279760
136.08,136.82,137.705,135.21,214745
137.34,138.3,138.36,137.2,134717
138.27,139.2,139.315,137.3511,162135
139.43,140.11,140.365,138.02,151550
140.56,138.12,141,138.01,273889
139.05,137.81,139.05,137.19,281662
138.5,140.5,140.67,137.17,271246
140.15,138.05,141.95,138,301518
136.99,138.3,139.5,135.52,375318
138.88,139.2,139.82,137.29,463898
143.75,146.24,149.15,142,909965
146.98,142.51,148.54,142.32,420361
141.56,135.62,142.68,135.56,479601
132.93,138.89,139.66,131.99,1026233
138.5,139.77,141.23,137.24,643950
140.13,133.81,140.75,133.73,808208
135.9,136.45,137.48,131.26,664353
137.89,137.54,139.53,136.19,364614
137.24,140.6,141.3,136.44,351810
140.06,145.66,145.95,139.36,514670
146.41,148.26,149,144.1,633259
147.89,145,148.16,144.29,337353
143.76,144.33,145.57,143.55,212189
144.39,142.86,146.99,142.66,363587
143.78,142.89,144.67,142.5,248762
144.06,145.04,145.16,142.97,178304
145.71,144.43,146.4556,143.81,298848
144.68,142.85,145.42,142.8,336861
142.98,141.52,145.51,141.4,320753
141.89,142.62,143.88,141.09,334281
141.16,143.28,143.72,140.49,337791
142.19,145.9191,147.45,142.16,367984
146.36,148.99,149.03,145.58,360160
147.33,148.33,148.86,146.48,276462
149.18,150.49,150.56,148.34,185513
151.93,153.12,154.36,151.07,452765
153.34,154.04,154.47,152.235,261102
154.58,151.58,155.02,150.91,367184
152.59,154.46,154.99,151.62,530071
154.45,154.94,155.44,152.901,332660
155.47,154.96,155.94,154.27,417744
154.18,155.38,155.62,153.43,487621
155.53,158.02,158.54,155.0584,357479
158,158.25,159.33,155.8,1085933
156.88,156.16,159.47,155.93,958693
156.01,154.06,157.71,153.68,901796
156.89,158.68,159.725,156,860691
159.98,154.04,159.98,153.5,718665
154.04,150.52,154.265,150.5,673068
149.34,149.45,150.33,146.55,1681998
149.5,145.92,149.6,144.15,931852
146.32,145.41,146.845,142.83,2303727
144.25,146.8,148.16,144.051,1484892
147.73,146.51,147.95,146.28,698330
145.13,143.97,147.16,143.06,786774
145.11,146.58,148.8,145.01,657676
148.66,149.04,149.45,146.76,655132
147.95,148.23,149.45,147.345,627315
149.25,149.31,150.65,148.89,509281
150.42,147.61,150.69,146.83,653181
149.01,149.21,150.25,148.4775,443658
150.28,150.13,150.9,149.83,344996
150.52,150.4,151.2444,149.635,351281
150.18,150.01,150.83,149.785,344931
150.13,149.6,150.57,148.625,341908
150.07,150.01,150.63,149.35,360583
150.48,147.71,151.4145,147.16,314522
