Open, Close, High, Low, Volume
105.41,102.93,105.8,101.71,42274046
103.75,103.94,104.51,102.52,37008892
103.65,103.71,106.88,101.35,54251060
103.05,101.42,104.31,98.78,58498110
101.63,98.07,103,97.46,85771956
97.68,94.04,97.97,94,40122880
95.14,100.53,100.6,93.96,44729788
99.3,101.05,101.19,96.4,41666659
102.09,100.3487,102.41,99.52,33525337
101.29,100.83,102.4,100.44,24324186
99.55,101.01,101.75,98.94,26692255
100,97.5,100.185,97.4,34611003
99.72,101.775,102.51,98.93,35976325
101.64,102.15,103.2681,100.98,28570376
103.04,102.73,103.97,101.7134,25193769
103.86,104.25,104.88,103.2445,27578681
103.22,103.57,103.66,102.38,23141246
102.95,102.81,103.44,101.64,23708629
101.9,102.12,102.8716,101.26,19299980
102.51,104.78,105.05,101.88,26725036
105.26,105.39,106.255,104.96,24069834
105,106.1,106.625,104.76,22660985
107.46,107.6,107.9,105.92,34864877
106.75,105.315,107.1,104.86,23461439
106.2,106.54,107.04,105.34,21504900
106.86,106.23,107,105.34,20135205
107.24,106.95,107.88,106.59,24504900
106.26,105.015,106.48,104.66,25364435
104.88,102.89,104.97,102.17,27146195
104.62,106.28,106.36,104.33,33864443
103.8,104.4575,105.22,103.18,44935530
103.775,102.625,104.0999,102.35,26737879
102.87,105.62,105.77,102.77,23658120
106.06,107.11,107.27,105.96,20654191
107,106.06,107,105.53,16159849
105.185,105.19,105.59,104.29,21525386
104.39,105.42,105.43,104.2603,16338977
106.2,105.255,106.58,104.965,14633052
106.14,106.835,107.14,105.48,20510887
107.5,106.785,107.78,106.75,14473482
106.31,106.96,107.29,105.66,17159054
107.91,108.13,108.3,107.3624,25025029
107.79,108.13,108.66,107.78,15253556
107.86,107.2,107.94,106.29,17220710
106.9,109.44,109.48,106.87,25915604
110.05,110.965,111.2,109.82,23375592
111.76,111.59,112.18,111.26,20242749
111.26,112.36,113.24,111.17,18277715
111.69,112.19,112.36,110.88,17312510
112.04,112.05,112.88,111.73,19840129
112.89,112.52,113.02,111.665,17168519
113.02,112.28,113.25,110.8,22345599
112.25,111.68,112.39,111.23,13496616
111.87,111.74,112.66,111.43,15184072
111.4,110.38,111.55,109.865,18259392
109.16,110.52,110.71,108.8,18892798
110.99,112.83,112.95,110.98,19241941
112.86,113.64,113.99,112.6499,20681885
114.13,114.51,115,113.78,20619125
114.54,114.57,115.2,114.33,16713862
115.34,115.9,117.25,114.59,45882067
116.17,117.59,117.61,116.05,21942113
118.09,117.7,118.44,116.99,25475440
117.45,117.52,118.75,116.71,21986538
117.16,120.64,120.82,117.09,22893260
119.5,117.05,119.59,117.04,26750164
116.56,117.65,118.01,116.3224,22936587
118.62,117.93,118.705,116.85,22681905
117.875,116.77,118.21,115.5215,18543485
117.44,116.94,117.58,116.13,15494458
118.07,117.95,118.32,116.96,16128389
118.95,119.02,119.1085,118.1,10791439
119.06,119.18,119.48,118.52,13361925
119.86,119.97,120.43,119.15,17563298
120.1,119.33,120.23,118.38,17625872
119.39,119.88,120.23,119.37,13035577
119.81,119.89,120.02,118.64,12337365
118.63,119.31,119.54,118.58,14437011
119.76,120.22,120.35,119.54,12397296
120.54,120.33,120.85,119.92,12121919
120.64,120.96,120.98,120.37,15152387
120.94,121.06,121.58,120.57,12425436
121.64,120.79,121.65,120.1,12160306
121.24,121.75,121.85,120.54,16079497
122.22,123.37,123.52,121.3018,26027150
122.62,123.76,124,122.57,13019059
124.1,125.44,128.28,123.83,20090478
125.79,125.09,125.85,124.52,21670672
130.06,129.08,131.37,128.83,33687312
129.7,129.89,130.5152,129.02,19067688
129.9,129.74,130.18,129.35,13768507
129.81,130.58,130.7,129.3947,19549110
130.53,127.8768,130.65,127.7,23607029
127.98,126.2,128,125.52,24625810
127.36,128.89,129.43,127.25,21930200
126.39,128.16,128.56,126.11,19544222
126.46,125.57,127.18,124.22,29045897
125.44,125.44,126.37,124.75,20819937
124.29,125.51,125.79,123.57,23111514
124.91,127.19,127.93,123.82,26418546
124.11,123.31,125.55,123.04,28096397
123.87,124.72,125.88,123.7,20940204
124.26,126.05,126.71,123.7,21509877
126.75,128.95,129.38,126.46,24762656
128.305,128.07,130.46,127.92,23154739
126.52,126.2,127.5894,125.7607,18433566
127.43,126.9,127.5273,126.58,12132102
126.62,127.66,128.24,126.52,12781907
126.2,126.18,126.29,124.74,20026729
126.91,126.23,127.415,125.97,12380286
126.94,126.05,128,126.05,15677726
125.38,124.94,125.39,124.04,19094366
125.26,125.73,125.76,124.78,14940725
124.23,123.59,124.615,123.32,19067178
123.85,119.88,124.37,119.01,33076693
121.27,123.2,123.28,120.6522,23847973
124.95,125.83,125.87,124.21,20223894
126.44,127.9,127.97,125.6,17659237
129.19,131.4,132.25,128.26,28442880
132.4,132.6,134.08,132,23572989
133.88,132.1,134.24,131.2757,18628257
131.4,131.49,131.97,130.71,14627551
131.98,132.32,133,131.56,29605510
132.26,132.47,133.79,131.64,28380382
132.63,132.89,133.73,132.53,11190315
134.19,135.18,135.24,133.57,22259993
135,135.59,135.93,133.81,17422488
137.45,136.89,137.66,135.72,24413637
136.58,136.94,137.73,136.46,32605935
137.27,137.79,138.4,137,15409700
137.25,133.43,137.59,132.73,28861090
134.35,133.93,135.74,133.6,18589050
134.14,134.14,134.71,133.51,13350840
134.495,133.93,134.58,133.1558,15208650
136.63,135.69,136.7,134.97,18770923
136.12,136.57,136.59,135.34,12885055
136.79,137.45,137.74,136.295,10872526
135.94,137.07,137.33,135.72,14788455
136.4,136.97,137.1,135.3701,13660084
136,136.435,136.97,135.8,15894256
137.13,137.86,138.58,137.02,18238062
138.2,138.4,139.22,137.87,19376896
138.85,138.89,139.13,138.0099,14948951
139.59,138.94,139.59,138.46,13238147
138.96,137.08,139.05,136.52,19654715
137.7,136.22,137.93,136.22,16462100
135.55,136.28,136.62,134.67,23382478
140.22,136.62,140.67,136.45,43308021
137.41,138.43,139.19,137.33,20461856
139.76,139.29,139.99,138.03,15525070
138.9,140.72,140.74,138.85,16545564
140.43,140.19,140.61,139.3215,15828520
140.37,141.34,141.675,140.3,13850451
141.5,141.04,141.51,139.3663,12571394
140.18,140.37,141.2199,139.8005,13481272
140.33,136.21,140.49,135.08,31831950
137,138.06,140.9383,136.93,35896805
138.09,136.9,138.32,135.26,23579396
133.3,132.2,133.9298,130.78,35492393
133.8,134.66,135.68,133.21,25230023
133.8,135.28,135.65,131.8284,26194932
136.6,138.91,138.99,135.93,20703630
138.61,137.69,139.38,136.46,19270704
137.07,135.81,137.86,135.24,15264976
136.05,138.6,138.8,135,21855465
136.36,133.98,136.92,133.67,24545638
133.98,133.691,134.58,132.25,22783901
134.88,136.13,136.46,134.72,21414280
137.855,138.41,138.55,136.885,19420135
138.21,137.24,138.71,137.24,15455600
138.55,138.78,139.4935,138,12304264
138.66,137.77,139.2,136.29,15649907
137.1897,133.4,138.35,132.8,31330202
135.01,135.54,135.56,133.9,16264514
136.39,135.75,136.72,134.66,16302609
134.88,135.55,135.76,133.55,14545360
137.25,138.16,138.44,136.91,17138202
139.2,137.92,139.2,136.27,17470601
136.61,136.12,137.2,135.7,15851752
137.3,137.69,137.69,136.48,14888337
139.11,140.05,140.3837,138.76,21972890
140.03,139.13,140.18,138.2,17404946
139.59,137.58,139.75,136.46,22005895
136.8,136.15,136.8862,134.51,23250035
135.91,136.15,136.27,135.09,19779471
137.85,137.5414,138.42,136.87,20472917
137.78,137.21,138.06,136.57,16044045
135.83,136.4,136.7,135.66,11868175
136.96,137.39,137.52,136.425,13402758
137.36,138.53,138.67,136.5299,18376644
140.3,141.08,142.37,140.0736,31553797
141.01,139.28,141.65,138.25,40686698
139.23,139.09,139.63,138.44,13446243
140.37,137.38,140.69,136.88,23791214
137.5,139.36,139.958,136.04,17548071
139.44,139.57,140.18,138.44,14306302
140.15,137.75,140.36,136.645,17829702
138.05,139.03,139.215,137.78,12030081
139.66,137.06,140.25,137,16450762
136.25,134.63,136.37,133.5799,25150680
134.95,136.3,136.75,133.22,20921816
136.75,138.11,138.25,136.42,34698225
137.14,137.1,138.18,137.02,24802840
137.08,135.66,137.76,135.62,43365113
137.46,138.21,138.7,136.97,33135789
138.49,139.1,139.6699,138.25,30012614
140.12,139.61,141.03,139.5,43365185
139.69,139.54,140.29,139.52,20607871
140.06,141.57,141.79,139.81,33525781
140.71,140.48,140.99,139.53,34816708
140.95,139.67,141.42,139.02,35471777
139.76,137.34,140,136.56,58749783
138.05,138.43,138.5,137.01,14775463
138.97,136.39,140.01,136.26,24185213
136.88,137.25,137.45,135.61,25297689
139.39,139.95,140.42,138.67,33347707
139.5,140.73,141.14,139.2,19986717
144.4,144.2,145.67,143.51,31816013
144.08,142.81,144.5,142.65,17578197
143.52,144.56,145,142.79,16677432
144.9,143.39,144.93,142.99,17620140
144.26,143.72,144.42,142.965,23347548
144.8,144.52,145,144.16,14542918
144.97,144.46,145.02,143.905,14318658
144.37,144.06,144.52,143.2,12956028
143.84,144.28,144.88,143.77,14764862
143.98,145.96,145.99,143.76,14457573
145.34,146.12,146.42,144.73,13193003
146.28,147.08,147.57,146.06,15001797
146.74,147.34,147.4625,146.28,14272821
147.02,148.06,148.41,147,13433421
148.93,149.95,149.99,148.27,19846888
150.07,150.34,150.55,148.98,18280590
150.88,150.39,151.33,150.195,18879614
150.07,149.62,150.84,148.46,21902456
149.4,149.49,149.8,148.501,14384044
