Open, Close, High, Low, Volume
130,129.06,131.21,127.65,688314
127.85,126.64,128.5,125.39,486702
126.6,123.24,127.135,122.73,795277
123.61,121.87,124.325,120.41,985760
121.79,119.05,122.92,118.6,838813
118.73,115.42,119.62,113.77,989421
115.5,111.73,118.52,111.72,1793879
110.93,108.99,112.34,108.98,722400
109.51,112.19,112.31,108.25,1050167
110.67,112.39,112.42,108.43,609731
112.51,112.27,113.67,111.18,531154
113.03,114.53,114.79,112.63,789723
113.9,114.69,115.88,113.625,848586
113.63,110.915,114.395,110.76,780141
112.46,115.57,116.77,112.06,705767
115.5,116.195,116.81,114.66,739942
116.9,119.23,119.4,116.27,1053500
119.35,116.16,120.07,116.12,1252316
115.3,117.53,117.58,114.96,732709
116.9,115.97,117.76,115.92,1001305
115.53,115.1,116.37,114.92,947534
115.06,115.8,116.15,114.44,1079472
115.73,114.53,116.9,114.5,1041795
114.63,113.77,115.81,113.25,982993
114.24,115.51,116.18,114.1,962697
115.23,114.28,115.86,113.92,854291
115.22,114.25,115.6,113.91,583480
114.77,114.82,115.165,113.73,609381
115.84,116.14,116.81,115.5,504852
114.85,115.09,115.11,113.7,465951
115.17,115.7,116.12,114.54,724042
115.57,116.88,117.1839,115.54,813408
116.64,116.96,117.67,116.45,617767
117.41,118.42,119.19,116.86,1003016
118.25,120,120.25,117.87,1237749
120.08,119.38,120.34,118.86,799474
119.37,120.48,120.67,119.26,667581
119.79,118.52,119.81,117.79,878177
129.94,135,136.78,128.8,4057254
135.38,134.29,136.54,134.04,1679238
134.29,137.25,138.32,134.29,1505102
137.45,137.8725,137.92,136.37,934868
137.64,137.41,137.98,136.49,774781
138.34,138.81,138.92,137.54,657145
139.17,139.22,139.91,138.53,932474
139.38,138.39,139.65,138.11,767953
138.89,139.99,140.06,138.59,796565
140.55,141.2,141.47,140.05,582800
141.17,141.64,142.18,141.17,824171
141.38,142.98,143.02,141.38,612083
143.19,143.16,144.31,142.72,1069024
143.74,143.61,144.57,143.03,471842
144.84,142,144.94,141.04,916394
141.98,141.6,142.43,141.0516,650594
141.62,140.28,141.78,139.835,570090
140.52,139.51,140.64,138.6934,710250
137.91,138.85,138.94,135.97,569045
138.24,141.45,141.98,138.24,873521
141.77,140.21,142.26,140.04,811468
140.86,140.99,141.85,139.93,647772
141,140.11,141,139.565,979027
140.2124,140.63,141.62,140.17,393513
140.56,140.5,141.15,139.32,592382
140.38,140.49,141.21,139.98,442252
140.35,138.7,140.8,138.505,655210
138.96,140.66,141.25,138.815,583313
140.01,138.64,140.78,138.1886,481968
138.64,138.64,138.97,137.21,617665
139.87,140.4,140.49,139,891387
140.4,139.38,141.45,138.71,758361
139.47,139.18,140.5,138.67,758036
139.85,140.43,140.61,139.35,621350
141.51,141.27,142.46,140.49,363285
141.9,141.68,142.345,140.76,579399
142.43,142.28,143.61,141.64,823945
142.69,140.72,142.75,139.74,392714
141.33,140.63,141.45,140.29,760739
140.65,140.62,140.91,139.49,502232
140.53,140.8,141.5,139.71,610437
141,142.71,142.75,140.9,536853
143.22,143.11,143.52,142.14,680259
143.47,143.25,143.67,142.18,382820
143.03,143.57,143.7,142.435,395354
143.83,144.81,144.91,143.42,617861
145,143.62,145.76,143.45,426093
144.14,143.38,144.79,143.23,511254
143.11,144.14,144.62,142.51,456835
144.24,146.07,146.41,143.4144,708447
145.71,147.04,147.59,145.71,850276
146.31,145.55,146.31,143.72,758880
145.69,146.26,146.73,144.74,636250
145.9,145.22,146.07,144.72,609939
145.48,144.84,145.48,143.48,493009
144.96,142.75,145.21,142.71,945343
142.54,142.34,143.28,141.17,886436
143.21,143.52,148.43,140.65,1458668
