Open, Close, High, Low, Volume
147,146.34,149.16,145.695,636129
146.57,144.09,147.99,142.95,668107
143.88,141.6,145.59,140.495,842132
140.37,141.08,142.3,139.51,958467
140.25,138.62,143.5,137.92,1337888
138,135.75,138.79,135.69,522170
136.52,141.06,141.15,133.78,859293
139.4,140.6,140.63,136.26,570717
141.5,141.18,142.8937,140.26,601669
141.85,142.49,143.27,140.88,418949
141.11,144.82,145.01,141.11,513343
144.39,144.12,146.34,143.74,487145
146.4,148.23,148.7,145.59,651176
147.63,150.08,151.01,146.89,920701
150.67,150.765,151.27,149.35,1265711
151.82,152.25,152.98,150.715,581081
151.8,150.46,152.1,149.37,407246
149.56,150.755,151.82,148.99,356907
149.66,151.09,152.02,149.44,471994
151.31,151.36,151.645,149.23,607835
152.74,154.47,155.535,151.59,993368
158.87,163.2,163.5,158.87,1786177
164.53,165.53,166.93,162.8293,997368
164.87,166.2036,166.8,164.87,934589
167.68,167.345,168.11,165.88,829381
167.01,168.42,169.5,166.35,724133
169.1,168.21,169.81,167.83,574085
167.58,167.46,168.82,166.4,487008
167.73,168.05,168.82,167.4051,379600
167.7,166.02,168.365,165.815,558947
165.33,164.46,165.76,162.4878,901060
164.86,164.005,165.36,162.91,785792
164.18,163.555,164.28,162.63,623812
163.73,162.47,163.93,160.59,744138
161.84,161.62,163.35,160.77,698978
162.7,166.55,167.275,162.7,1127780
166,165.23,167.15,163.16,834642
165.93,168.36,168.4,165.81,974079
169.17,169.99,171.11,168.75,805098
170,170.66,171.8,169.8,526155
169.57,169.32,169.96,167.69,447662
170.62,172.03,172.25,170.23,581449
173.38,176.01,176.11,172.4,730308
174.61,173.055,175.37,172.58,656030
173.08,172.45,173.71,171.63,520662
173.54,172.44,173.94,172.16,566388
171.7,170.49,172.71,170.08,649423
170.77,172.5,172.7178,170.26,773147
172.84,173.05,174.09,172.11,578380
173.01,172.6,174.1,171.54,757431
172.64,172.82,175.22,171.63,789075
172.54,172.66,173.61,169.705,666211
172.4,169.92,173.015,169.88,830689
169.01,167.67,169.4,167.06,988814
166.36,167.86,168.31,166.22,705691
168.38,169.09,169.9,167.69,733727
169.71,170.4,171.27,169.5,694671
170.96,172.17,173.03,170.33,615821
172.32,173.32,173.84,171.77,733082
173.23,172.55,174.61,172.46,701798
173.24,174.75,175.42,173.03,509162
174.415,171.38,174.62,170.87,503561
170.85,163.74,171.36,163.72,831712
163.01,160.31,163.25,160.06,786379
159.25,153.78,159.25,153.12,941876
154,153.33,155.04,152.2501,622323
153.94,155.57,156.37,153.23,686591
155.15,155.31,156.08,153.89,560815
155.62,157.4,157.48,155.1,567826
158.46,157.03,158.94,156.65,558802
158.14,161.78,161.99,157.92,360342
161.24,161.74,163.23,160.44,498315
163.02,161.88,164.19,161.15,479198
161.77,163.32,164.04,160.95,546706
163.66,163.22,164.24,162.17,605186
163.11,164.07,164.23,162.36,323656
163.11,162.15,163.54,160.87,444457
162.56,163.07,163.3,160.78,510492
164.03,164.57,165.56,163.1329,456524
166.14,167.81,169.34,165.69,934996
166.47,163.7,168.55,161.95,1044061
164.1,168.32,168.82,163.3425,887851
168.43,168.49,169.04,166.87,477836
167.95,166.37,168.705,166.19,506973
165.95,166.49,166.9,165.13,407013
166.18,167.11,167.62,164.53,640650
166.5,166.56,167.06,164.91,468588
165.56,167.79,168.5,165.06,388981
167.81,168.98,169.12,167.05,344190
169.26,170.59,171.605,169.13,416640
171.11,170.03,171.4,169.09,436425
169.83,167.84,171.77,167.83,479289
167.87,169.435,169.87,167.34,509448
169.9,170.33,170.96,169.27,406012
167.76,169.79,170.69,167.545,457540
168.04,167.57,168.84,166.54,687342
167.07,167.3,169.13,166.23,825463
165.17,166.12,166.8,163.98,1149226
165.3,167.42,167.82,163.75,1031926
164.85,161.68,165.63,161.14,849361
161.64,162.69,164.65,161.49,633079
161.3,161.34,162.3,159.34,581825
162.53,163.85,164.89,162.44,526764
162.08,163.73,165.79,162.08,668923
163.67,165.52,166.23,163.29,407735
165.71,166.34,166.6,165.05,382423
166.02,165.64,166.6,164.765,388238
164.28,162.775,164.28,161.66,628343
163.17,165.01,165.43,162.79,492756
164.24,162.24,165.22,162.23,620855
161.44,164.75,165.23,161.29,787866
165.03,162.14,165.73,160.9,650916
159.75,159.56,161.06,158.75,670643
159.18,162.29,162.8,158.62,602648
164.16,167.25,167.29,164.11,516885
167.35,166.39,167.39,164.7,476717
165.93,166.93,167.62,165.25,331867
166.6,165.75,166.6,164.8,358989
166.96,167.55,168.97,166.37,362864
168.8,167.76,170.41,166.72,521648
167.95,165.5,168.49,165.25,473367
165.82,166.68,168.075,165.5,503999
167.04,167.9,168.23,165.635,244556
168.15,164.89,169.11,164.55,334898
164.85,166.97,167.94,164.33,337653
167.74,165.82,169.53,165.6,393249
166.36,165.79,166.734,162.46,466349
165.92,165.53,167.02,165.48,605226
165.21,165.49,167.85,164,392373
165.68,165.49,166.57,163.84,484139
166.29,166.01,167.22,165.4,380491
166.66,168.69,168.8,166.305,471680
168.43,170,170.35,167.325,760295
171.25,170.89,172.345,169.44,531743
170.5,170.13,171.795,169.03,339219
170.62,171.55,171.79,170.09,221027
172.6,174.04,174.93,172.25,521880
173.24,173.075,173.95,172.51,478617
172.2,174.24,174.55,171.62,572723
173.75,171.29,174.67,171.01,518459
171.91,173.71,173.96,170.9572,281549
173.55,174.06,174.21,172.38,504650
174.37,172.32,174.37,171.81,601509
172.71,171.09,172.71,170.22,744090
170.85,170.38,171.12,169.41,580553
166,162.76,167.79,160.62,1817846
163.58,162.86,164.13,161.35,837737
161.71,161.51,161.75,160.45,614584
161.54,162.63,162.83,160.78,713036
162.09,163.735,163.95,161.08,786867
164.5,163.32,165.35,162.99,860491
163.31,164.94,165.07,163.19,1240283
164.7,163.7,166.27,163.514,458763
162.88,164.46,164.52,162.6,424151
164.26,164.28,165.955,163.525,549219
163.89,155.79,164.55,155.5875,1076318
155.75,157.62,157.75,154.54,779519
154.69,153.98,155.31,152.765,912063
154.7,154.76,155.29,152.61,567669
151.34,150.6,152.62,148.84,983993
151.84,152.93,153.76,150.98,458295
152.47,153.03,154.185,151.835,422103
150.72,149.86,151.5,149.51,448774
150.03,151.31,153.03,148.82,487270
