Open, Close, High, Low, Volume
51.34,51.27,51.8,51.2,1005232
51.6,52.46,52.57,51.25,1344098
52.87,53.5,53.56,52.83,1844565
53.44,53.17,53.75,53.03,826282
53.65,53.391,53.88,52.93,1001367
53.56,53.03,54.07,52.98,1230133
53.02,53.14,53.285,52.71,486023
52.86,52.71,52.89,52.44,402375
52.75,52.43,52.89,52.3,1246162
52.77,52.83,52.89,52.55,798938
52.78,52.28,52.95,52.25,946222
52.63,52.98,53,52.35,2167230
53,53.68,53.76,52.92,2050568
53.88,54.38,54.59,53.665,1481701
54.47,53.25,54.59,53.14,2235752
53.23,54.03,54.17,52.94,1349082
54.07,53.82,54.37,53.79,1175591
53.37,53.61,53.84,53.03,1137328
53.78,54.59,54.7,53.63,1419172
54.6,55.035,55.35,54.35,1265045
55.34,54.32,55.38,54.07,1268372
54.84,55.72,55.9,54.63,1468043
55.68,55.8,56.5,55.37,1117216
55.81,56.58,56.63,55.53,1914893
56.53,57.39,57.43,56.23,1788652
57.51,58.02,58.04,56.96,3185043
57.11,56.35,57.45,56.295,4878967
56.89,55.13,57.26,54.97,4334148
57.5,59.01,59.1,55.76,5493848
58.87,66.22,74.94,58.41,9249613
61.48,61.76,63.68,60.88,6420483
62.15,61.02,62.755,60.45,4423543
60.12,61.15,62.075,60.026,1872262
60.82,60.55,61.69,60,2410208
59.75,58.51,61.34,58.47,2211489
57.73,59.49,59.87,56.97,2234945
58.77,56.8,59.3075,56.4,3050597
56.85,55.6,57.57,55.21,3008219
56.13,57.94,58.36,55.68,3476813
58.24,58.76,59.34,58.13,1787548
58.39,58.34,58.83,57.93,1012183
57.99,59.14,59.34,57.87,1317728
59.4,61.22,61.35,58.965,4225121
60.82,61.27,61.57,60.49,1971330
60.88,62.12,63.34,60.88,2490137
62.37,61.74,62.89,61.71,1119550
61.81,61.04,61.93,60.83,1700749
61.68,62.01,62.03,60.53,2127623
61.79,62.52,62.6,61.6,1150518
62.38,62.15,62.96,61.55,1830580
61.12,60.96,61.955,60.87,1388189
61,60.9,61.41,59.95,2377310
60.72,61.23,61.34,60.26,1184781
61.02,61.73,62.3762,60.54,908537
61.93,62.79,62.79,61.45,1199966
62.45,62.81,63.39,61.83,970539
63.08,62.16,63.08,61.9001,1046560
62.74,63.46,63.73,62.57,1146314
64,63.5,64.4,63.38,1448002
63.87,62.19,64.08,62.12,2005362
62.8,62.02,62.88,61.64,2572634
61.86,62.37,62.81,61.77,1659912
62.69,62.61,63.26,62.15,1570190
62.01,61.35,62.2,60.44,1523204
61.5,61.72,62.08,61.14,1245854
61.62,61.42,62.19,61.19,1077364
60.91,60.05,61.43,59.88,1206790
60.18,58.82,60.39,58.81,1454015
60.01,61.01,61.06,59.56,1631726
61.5,59.42,61.98,59.09,2571287
59.37,58.94,59.98,58.53,1675996
59.52,60.22,60.42,58.8,1977346
59.64,57.4,59.8093,56.89,3789012
58.04,58.89,59.27,57.91,2216901
57.56,59.2,59.36,57.56,1978385
59.75,57.87,59.76,57.33,1958975
57.33,56.8,58.32,56.7,2406553
57.15,56.86,58.62,56.84,1678994
57.96,57.97,58.67,57.31,1507250
57.39,57.74,58.36,57.28,858892
58.05,58.59,58.8105,57.88,1274677
58.71,57.73,58.84,57.54,1016097
57.73,58.1,58.4,57.53,1064968
58.68,58.98,59.19,58.35,1359626
58.63,58.57,59.115,58.27,1021456
57.48,56.14,57.785,56.11,2568720
55.91,54.39,56.135,54.18,3854993
54.88,53.81,54.9,53.66,3385815
54.37,53.79,54.63,53.49,3133405
53.95,54.39,54.61,53.44,2916523
54.89,55.26,55.57,54.49,3419575
54.96,54.48,55.26,53.46,3143824
54.69,54.5,55.13,53.79,3551226
54.26,55.28,55.35,53.82,2093287
55.27,54.81,55.28,54.49,2377925
54.46,55.32,55.53,54.06,2007109
54.94,56,56.1,54.4541,1574344
56.32,56.42,56.62,56.09,1326992
56.43,56.46,56.66,56,1222894
56.45,57.34,57.4,56.18,1451245
57.69,57.96,58,57.171,1178134
57.95,57.6,58.31,57.4317,791661
57.79,58.4,58.5,57.64,1144068
58.06,57.76,58.38,57.53,1780967
57.51,58.485,58.5793,57.51,1194806
58.5,58.02,58.79,57.48,965196
57.8,57.91,58.38,57.33,1093271
58.3,58.28,58.95,57.4656,903525
58.46,58.48,58.85,58.235,924566
57.98,58.93,58.95,57.64,1061196
58.95,58.84,59.18,58.22,2285004
58.85,59.17,59.23,58.64,4818847
58.78,58.86,59.68,58.65,2239404
59.11,58.7,59.48,58.66,921685
58.66,58.66,59.37,58.3,855773
59.21,60.12,60.15,59.01,954656
60.1,60.84,60.93,59.58,2274809
61,61.35,61.5,60.43,1844000
61.27,61.39,61.4,60.72,2362261
61.39,61.14,62.36,60.73,1715047
60.58,60.75,60.95,60.12,885558
60.56,60.75,60.91,60.5,713178
60.88,60.85,60.9856,60.11,1108727
61,60.56,61.4713,60.28,1592174
60.85,61.45,61.54,60.34,1078427
61.38,61.56,61.65,60.22,1629034
60.04,61.125,61.34,60.01,1080199
60.06,60.35,60.53,59.63,1445290
60.63,60.66,60.85,60.17,1104411
60.8,59.95,60.99,59.5899,1210269
60.5,60.39,60.5,59.55,1232921
59.47,58.56,59.47,57.925,2304602
58.57,59.44,59.53,58.36,1948910
59.47,58,59.83,57.97,1529321
57.79,58.27,58.58,57.63,1240299
58.62,58.66,59.53,58.215,1254307
58.01,59.13,59.14,57.74,952885
59.45,57.75,59.48,57.72,761887
58.27,60.14,60.15,58.17,1795885
59.93,60.52,60.58,59.44,1148079
60.99,60.66,60.99,60.08,822416
60.7,61.32,61.47,59.6438,997103
60.69,59.7,60.81,59.62,1033958
60.07,60.98,61.24,59.7773,1581148
61.2,60.66,61.21,60.37,1051469
60.67,60.67,61.41,60.53,976022
60.19,61.295,61.32,59.985,656371
61.48,61.82,61.905,60.0135,656386
61.56,61.46,61.89,60.98,1038163
61.36,61.46,61.78,60.87,999062
61.27,60.83,61.27,60.42,1206938
61.2,59.33,61.36,59.23,2056576
59.27,58.79,59.46,57.83,2669792
58.81,58.97,59.53,58.67,2377145
60.49,60.94,61.59,59.93,3248020
60.99,61,61.46,60.65,2246547
