Open, Close, High, Low, Volume
39.35,39.55,39.99,39.11,4566510
39.8,40.02,41.59,39.75,17344894
40.32,40.51,40.78,39.2146,8173335
40.57,41.67,42.09,40.51,7364891
41.47,41.24,41.98,41.2,4897640
41.36,41.22,41.78,41.17,4847701
41.17,41.97,42.18,41.05,3894137
41.92,42.06,42.2,41.73,2845044
42.12,42.28,42.53,42.03,1693340
42.15,41.99,42.24,41.84,1569309
41.98,41.86,42.14,41.59,1675246
42,42.33,42.53,41.86,3484922
42.33,43.11,43.765,42.28,5712134
42.85,43.14,43.47,42.67,5662762
43.34,44.31,44.855,42.92,6808105
44.59,44.53,44.97,44.21,4638658
44.5,44.57,45.005,44.12,4673366
44.6,44.28,45.6,44.21,5110215
44.42,44.38,44.79,43.44,3248438
44.91,46.72,46.76,44.91,8022482
46.7,46.9,47.19,46.24,4375047
46.7,46.63,47.25,46.6,3791644
46.45,46.78,47.04,46.37,3435765
46.33,46.51,46.63,45.69,5209540
46.59,46.72,46.96,45.05,6572363
46.72,47.65,47.69,46.6,3182774
47.47,46.85,47.82,46.83,3841524
46.97,46.13,47.17,45.6304,4737520
46.42,45.99,46.78,45.8,4767599
46.2,46.19,46.59,46.02,3974710
45.89,45.99,46.64,45.73,3232288
44.6,44.03,44.7001,43.88,5886214
43.88,42.86,44.19,42.51,5962263
42.64,43.05,43.5,42.35,3586539
42.63,42.08,43.01,41.85,3092253
41.54,40.33,41.84,39.9,5334904
39.7,40.99,41.59,39.55,5374609
40.52,40.45,41.08,39.95,3915752
40.67,39.25,41.34,39.22,5937638
39.27,39.28,39.7299,38.1,6239338
39.6,40.6,41.47,39.59,6255274
40.29,40.41,40.98,40.11,3666759
40.17,41.34,41.59,39.99,3302766
41.87,41.66,41.95,40.88,2639145
41.75,42.14,42.46,41.71,2647809
42.12,41.34,42.16,40.82,3743920
41.38,41.21,42.03,40.91,2675035
41.49,41.29,42.04,41.06,2397058
41.69,41.45,42,41.16,2017337
41.57,41.79,41.89,40.91,2663174
41.75,41.1,41.9599,40.87,2270992
41.43,40.32,41.43,40.3,3715845
41.6,40.7,43.04,40.32,9461379
40.35,40.96,41.2,39.55,6083567
40.55,41.55,41.78,40.17,3118100
43.09,43.22,44.18,42.5,6318001
42.94,42.49,43.21,42.31,4531285
42.54,42,42.88,41.78,3238423
42.43,42.5,42.56,41.8,4143691
42.76,42.78,43.08,42.365,3820346
43.04,42.36,43.32,42.21,2912767
42.52,42.025,42.69,41.57,2589780
42.18,41.66,42.32,41.59,1998717
41.79,41.73,42.4,41.65,2915488
41.55,40.81,41.7,40.38,3250138
40.82,40.42,41.08,40.02,2597189
40.42,41.16,41.48,40.14,2601616
40.62,39.88,41,39.79,2816754
39.92,38.88,40.065,38.8,2497508
39.54,39.87,39.96,38.58,3110512
40.13,39.54,40.25,39.36,2802106
40.01,40.505,40.71,39.76,4713382
40.58,41.17,41.45,40.27,3080086
40.86,39.54,40.87,39.15,3478150
39.93,40.4,40.61,39.39,2041411
39.91,40.8,40.95,39.7,2155349
40.93,40.44,40.99,40.26,1824014
40.28,39.51,40.61,39.07,2257891
39.79,39.86,40.68,39.35,3567356
40.42,41.53,41.94,40.4,4646011
41.13,40.39,41.88,39.47,5801071
40.79,41.25,41.56,40.55,3644081
41,40.63,41.01,39.735,4054469
41.02,40.71,41.3597,40.41,1584430
40.91,40.97,41.07,40.67,1554120
41.11,40.73,41.2286,40.41,1905041
40.82,40.81,41.24,40.34,2079476
40.72,40.73,40.99,40.43,2852166
