Open, Close, High, Low, Volume
53.14,54,54.3,52.58,2270472
54.51,54.99,55.355,54.5,1440466
55.37,55.58,56.05,55.02,1327811
55.64,54.81,56.41,54.74,1202835
55.07,54.14,55.31,54.01,1097724
53.75,54.03,54.47,53.72,828850
53.93,53.71,54.25,53.65,416439
53.95,53.99,54.19,53.7,619694
54.01,53.61,54.03,53.34,865420
53.45,53.25,53.96,53.23,616711
53.76,54.95,54.97,53.575,1229429
54.95,55.37,55.62,54.65,1091243
55.35,54.7,55.78,54.66,1105199
55.11,54.86,55.11,54.22,933959
54.92,54.66,55,54.38,751363
54.83,54.94,55.29,54.51,780276
55,55.59,55.82,54.9,1173236
55.81,56.15,56.5,55.76,1882806
56.38,57.84,58.04,56.25,1609511
58.15,57.4,58.45,57.13,1275033
58.535,59.27,59.3,57.73,2183571
59.04,58.86,59.14,58.45,1047615
58.88,59.44,59.69,58.74,1777351
59.45,59.38,59.459,58.38,1192103
59.49,58.34,59.49,58.29,1342273
58.71,59.78,60.61,58.32,3053368
60.01,59.61,60.39,58.91,1033894
60,60.93,60.96,59.55,1022149
60.61,60.56,61.03,60.111,728325
60.05,59.96,60.91,59.51,816350
60,60.75,61.05,60,1236630
60.77,60.56,61.07,60.08,896272
60.49,59,60.87,58.91,1139447
59.53,56.95,61.18,56.94,1735145
55.99,58.22,58.35,55.2001,2032229
57.93,57.74,59.01,57.53,1194330
57.75,56.01,58.04,56,1442584
56.57,56.22,57.04,54.25,1454587
56.84,57.46,57.86,56.44,1319718
57.24,57.49,57.67,56.87,1212996
56.95,58.88,58.94,56.88,1194760
59.28,59.37,59.64,58.77,1625515
59.01,59.09,59.5,58.61,681869
58.69,58.93,59.66,58.6,1162232
59.19,58.72,59.48,58.72,1422653
59.53,57.29,59.61,56.95,2169247
58.08,57.88,58.2,57.29,901984
58.35,57.94,58.5,57.25,1011272
57.94,56.26,58.44,56.17,1547997
56.26,56.83,58,56.08,9001277
57,56.74,57.5,56.09,2147646
56.13,56.44,56.78,55.53,2733602
56.28,55.58,56.39,54.86,1833333
55.76,56,56.14,55.42,1601256
55.4,55.49,56,54.99,1520548
55.8,55.42,56.08,55.25,1453495
55.78,57.14,57.2,55.58,2258276
57.2,56.58,57.43,56.38,1408154
56.93,56.62,57.24,56.49,1355253
56.75,55.96,57.03,55.67,1285459
56.06,55.33,56.09,55.26,1247983
55.24,56.1,56.24,55.23,1329051
56.12,55.41,56.27,55.1,1146662
55.73,55.72,56.31,55.345,1024899
55.75,54.14,55.93,54.09,1887091
54.27,52.69,55.03,52.55,2148227
52.88,51.39,53.1,51.3,1904923
52.21,52.42,52.465,51.31,1272989
52.52,52.85,54.16,52.32,2328119
52.87,52.48,53.3,51.74,2369381
52.7,52.98,53.4,52.26,1388236
53,51.96,53.24,51.37,1211712
52.22,52.4,52.63,51.81,1156244
51.65,53.06,53.17,51.39,1065106
53.29,54.38,54.68,52.9,2612111
54.04,53.19,54.35,52.73,1801661
