Open, Close, High, Low, Volume
158.68,158.43,159.04,157.23,1946624
158.62,156.4,159.165,156.11,1166646
156.5,154.11,156.99,154.04,1003703
154.1,153.64,155.34,153.49,944020
153.83,154.48,155.27,152.68,1280559
154.91,154.57,155.37,154.3,603560
154.7,154,155.35,153.99,428170
154.63,155.26,155.35,154.12,506365
155.2,156.34,156.42,155.15,525631
156.85,156.23,157.28,156.01,605669
156.43,155.11,156.67,154.42,704029
154.09,151.8,155.83,151.78,2163126
151.51,150.93,153.03,150.63,2251504
151.38,151.71,151.94,150.6,1693801
151.71,152.98,153.24,151.51,821530
153.55,151.89,153.55,151.305,1133693
150.89,150.59,151.61,150.16,1089958
150.5,150.48,151.1,149.77,1357941
150.13,150.29,151.47,149.26,933496
150.44,150.6,151.08,149.07,1256435
150.95,151.9,152.75,150.58,1021119
152.06,150.8,152.06,150.22,1227731
151.78,150.18,151.78,149.94,1414273
150.46,150.02,151.3,149.6,1175391
150,152.71,153.1,150,1743508
151.93,150.9,152.23,150.08,1325780
150.83,153.05,153.35,150.25,1765828
154.86,157.69,159.23,154.7,2508185
157.2,155.68,157.3,155.49,1425481
155.5,155.1,156.48,154.29,1402459
155.23,158.39,158.78,154.62,1878150
158.61,156.39,159.64,155.67,1204088
155.48,155.9,157.42,155.079,1539538
156.04,154.28,158.28,153.85,2066804
151.83,149.54,153.36,147.15,3136876
149.61,148.1,150.68,147.89,1996863
147.68,145.32,149.1135,145.27,1630778
145.98,148.09,149.15,145.1023,1576215
148.22,150.01,151.15,146.86,1319339
149.78,151.06,151.82,148.25,1070732
150.08,150.1,151.53,148.79,1005581
150.23,154.42,154.44,149.84,1523627
154.67,156.06,156.56,153.58,1140239
155.58,153.78,156.11,153.24,1252032
153.81,151.67,155.1863,151.6,1216332
152.51,152.3,153.49,151.32,809692
152.48,156.33,156.65,152.38,1019259
155.52,154.62,156.3247,154.13,1309208
154.72,151.69,155.47,151.68,1330015
152.33,152.15,153.51,151.76,1640927
152.7,153.2,154.38,151.98,1995245
153.2,152.8,154.58,151.34,1258842
152.7,155.01,155.23,152.07,1103881
154.58,153.26,155.58,152.85,1749575
152.74,153.08,153.69,152.06,1120029
153.57,154.27,154.675,152.935,945052
154.35,154.81,154.89,153.28,1105000
154.7,154.41,154.99,153.54,1367426
155.22,154.65,156.39,154.03,1097150
156.1,158.06,158.44,156.04,2351306
158,158.15,159.08,156.9,1708575
158.42,161.01,161.68,158.26,3043060
161.04,159.94,161.69,158.8,1611358
160.1,160.43,160.73,159.51,914573
160.42,160.1,161.96,159.67,897338
160.31,161.89,164.25,159.8,2413785
161.98,159.47,163.58,159.19,1595431
160.03,161.43,162.07,159.885,1146854
161.75,162.54,164.41,161,1392466
163.15,162.28,163.45,160.04,2423944
163.53,163.36,164.12,162.72,1147586
163.94,162.32,164.71,161.03,1347815
162.37,162.01,163.2,160.7301,1623016
161.7,162.3,162.7,160.45,1076620
162.27,164.01,164.43,160.75,948413
163.54,162.66,164.159,162.23,768047
162.3,162.18,163.42,161.36,1146769
160.93,161.78,162.74,160.93,1280589
161.3,161.04,161.74,160.2502,880887
161.03,159.08,161.7266,158.65,882372
159.67,160.21,160.89,159.5,951430
161.01,162.13,162.65,160.7206,1231571
162.24,163.2,163.61,161.15,862114
163.93,162.82,165.15,162.79,757676
162.68,162.53,163.12,161.06,1042160
162.72,160.78,163.42,160.14,1242769
161.17,161.08,161.48,160.3,1081379
162,162.2,163.85,159.61,2264431
161.56,160.33,162.77,159.9,1381243
160.84,163.2,163.879,160.59,1366367
162.71,164,164.41,162.318,826822
164.29,163.88,164.95,163.8,1315004
163.69,163.15,163.75,0,728576
163.46,163.44,164.16,162.85,2010619
162.83,163.07,164.1,161.52,1843441
163.2,164.1,165.13,163.07,1177144
164.28,163.35,164.34,162.8923,1328725
162.61,159.91,162.62,159.54,1297178
160.14,158.27,160.29,157.86,1478069
159.57,160.21,160.27,158.5,1182503
160.73,160.74,161.33,159.95,639228
161.05,160.19,161.13,159.37,661431
159.25,158.81,159.91,157.55,855073
158.61,157.17,159.039,156.66,946639
