Open, Close, High, Low, Volume
189,190.07,191.43,188.01,4785961
191.2,190.41,191.65,188.9,3861230
190.18,187.03,190.2981,185.75,4456896
187.94,188.82,189.11,185.26,2993487
189.44,188.62,190.95,187.58,2685318
188.33,189.95,190.95,186.8,2923085
189.78,187.76,189.8,186.4,2288349
187.97,186.23,188.1,185.22,2985217
187.18,192.71,194.49,186.85,8353359
192.51,192.06,193.95,191.22,3997320
195.92,201.09,201.65,195.42,8644684
202.05,205.05,206.21,201.5,6757139
206.11,205.63,207.05,204.0006,4556322
207.25,209.81,210.02,205.59,5372100
210.02,212.04,212.5,208.44,3956428
212.23,209.31,212.98,208.59,4129979
208.04,212.52,213.64,206.91,3913333
214.29,217.24,217.75,213.35,5417190
217.18,221.23,222.55,216,6184044
224.24,221.5,226.07,217.2,7361909
221,217.49,221.15,216.32,5834146
220.21,220.33,220.58,216.55,4796467
222.75,220.449,223.49,218.5,7033095
222,227.58,227.785,221.2,10235544
255.05,250.28,257.71,248,20145820
250.88,261.31,261.71,249.311,13412191
262.96,269.69,272.3,260.23,12189390
271.485,274.56,274.6,268.76,8564070
274.05,284.58,286.81,273.92,13268470
277,278.8,282.73,272.7,9227976
281.94,270.45,282.289,269.58,8613887
266.41,265.07,271.95,263.38,6691876
262.92,267.39,270.62,262.71,6922374
262,254.27,267.899,250.03,8815906
247.7,265.75,266.7,245,9141526
266.45,264.619,272.45,264.325,6326803
267.08,250.1,267.62,250,6647142
253.6,249.28,255.7999,236.11,13466991
252.46,257.96,259.15,249,6427392
256.86,258.3,261.41,254.7,5077997
260.34,266,269.88,260.33,7943174
270.03,280.31,280.5,267.63,8138495
278.85,278.52,281.96,275.69,6256324
277.74,278.54,285.812,276.25,5695590
282,280.91,286.64,280.01,6685154
283.9,278.14,284.5,274.45,6353513
281,285.93,286,277.81,5550673
288.75,294.2,295.6475,287.01,7786666
294.77,290.59,297.36,290.59,6787725
293.1,291.4,295.75,290.78,5544048
292.75,290.24,295.25,283.83,8738411
284.65,301.03,301.18,283.23,10143551
302.8,315,316.91,297.6,14187061
319.88,325.22,325.79,316.5,14580740
320,321.15,323.74,314.55,13264674
322.2,316.99,322.9176,314.13,8746416
321.11,331.4099,331.44,320.23,10903491
333.72,321.3,333.98,318.6,14515516
323.81,315.87,325.8409,313.278,9907499
318.16,321.549,323.88,317.7,7902331
323.17,321.11,323.4,318.14,3871792
321.42,318.45,324.11,318.37,4890724
315.8,313.48,317,307.34,6642500
313.31,317.5,319.5,312.8,4318120
316.35,316.43,319.4,314.511,3453103
312.99,306.63,314.12,305.66,5575022
307.55,300.94,310.73,300.36,6467855
309.36,320.42,321.03,302,8409217
322.59,300.76,322.9,297,8601331
298.39,285.82,298.8,281.61,14454321
287.15,294.89,295.19,275.9,14359699
291.94,280.22,292.87,275.05,9982209
285.45,283.78,291.25,278.01,9768372
274.48,288.91,290.31,271.2239,9336833
293.36,293.96,299.16,289.11,8198737
289.1,288.76,298.85,285.65,8310615
291.77,289.93,299.55,289.12,7310698
297.13,298.05,298.95,291.69,8285655
302.8847,303.68,311.64,301.82,11453107
309.7187,309.26,311.13,306.75,7522754
317.1,311.64,317.49,308.23,9186881
315.92,307.61,316.1,304,12080268
329.57,336.11,338.62,323.77,24312814
336.28,334.53,338.82,331.1,8700697
332.88,332.69,335.31,326.77,6513218
332.22,327.77,336.51,326,7155565
329.1499,318.67,331.22,317.08,6888173
319.2168,307.02,328.76,288.94,10846888
306.37,305.73,309.98,292.615,11593825
310.24,314,316.63,305.58,6957788
316.25,311.77,317.45,306.5,5441505
311.26,312.46,317.88,310.118,4490503
310.36,313.3,313.48,306.69,4406949
312.1,313.36,317.1,310.4034,3686886
312.59,311.62,312.59,305.73,4196871
308.94,320.09,320.98,307.67,5640410
322.04,326.21,329.0234,319.34,4783601
325.83,326.88,327.348,323.05,3106116
328.79,330.1,331.95,327.51,3810268
331.5,329.7,332.055,327.3438,3921826
329.65,326.37,331.26,324.87,2961414
327.25,328.52,330.5038,327.04,2666256
325.94,326.13,326.94,322.434,3211903
326.29,328.32,329.72,325.14,2488091
327.53,325.22,330.45,323.1734,3392596
324.89,324.18,326.42,322.8,2119594
327.11,331.82,331.88,325.45,4486863
334.05,331.63,336.63,331.15,4524138
329.04,344.72,345,328.09,7685384
344.34,349.3,354,341.12,10584232
349.95,351.31,354.36,348.83,5952805
351.5,349.73,356.1,346.71,7434744
352.37,353.54,354,349.26,4095219
353.53,351.63,355.53,350.21,4366340
353.88,359.93,359.99,352.82,5193409
362.6847,361.98,363,355.51,5772789
363.05,365.8,369.83,361.4124,6395869
367.7848,367.5,369.6799,363.33,4873402
368.7,361.4,368.7,357.8,6166519
357.88,360.56,362.39,356.25,3647237
361.7,361.45,365.67,360.91,3257968
363.6,363.93,365.98,362,2883035
367.4,379.91,384.2537,364.11,14209381
384.27,392.87,395.03,383.25,11294218
390.48,392,398.86,387.51,9732959
387.76,390.39,393.16,386.5,4974108
389.5,404.96,405.29,388.5,12674808
415.59,416.7,419.4675,409.6,12480577
421.19,415.43,423.2056,406.3701,13916781
419.99,411.09,420.5,409.651,7356487
404.69,384.49,405.99,378.75,16919785
393.2,399.42,404.78,389.05,11408186
407.56,390.3879,411.5865,390,12433954
395,395.4,396.9,387.1,8851303
398.93,391.32,401.3299,390.55,6448914
385.8,398.18,398.38,380,5476382
399.49,390.37,399.98,389.5,3794784
393.8003,398.45,399.24,390.86,6156618
397.45,408.36,408.6495,395.5225,6284463
415.96,418.94,419.12,411.1,8429031
417.07,415.61,419.44,413.08,6862597
411.15,418.66,419.77,410.6,7194585
415.1553,413.49,416.79,407.8,9522575
409.04,395.76,410,395.081,11316212
398.46,400.39,403.355,391.75,13714746
346.95,379.49,385,344,45895488
381.38,375.13,383.13,372.3552,15084559
371.06,364.1501,375.749,363,13411491
364.92,361.22,370.5,360.14,11562839
359.4,362.66,363.9,353.6,8983278
366.94,357.3,367.4,354.56,10324609
357.57,362.84,363.28,355.65,6209441
357.85,363.14,365.54,356.625,4968637
366.85,355.2,367,351.65,6626603
351.93,334.97,352.03,334.0201,13870944
331.53,337.43,342.5,328,10702607
335.85,338.41,344.41,334.02,5798530
337.23,344.5,345,334.71,5291303
347.75,343.09,347.86,338.4768,5878553
342.41,350.91,351.98,341.74,6128037
353.23,351.83,357.31,349.01,6057692
352.21,347.59,352.97,346.61,4007924
347.92,349.37,352.439,345.8157,3418917
346.85,345.79,349.1,344.4233,3050974
339.96,341.32,347.19,339.08,4919717
342.09,337.48,342.41,336.25,4177175
334.03,326.44,335.4962,321,8523569
329.9,322.44,331.17,321.2138,4856904
319.01,316.78,324.365,312.96,7899426
314.36,327.75,331.6,310.928,10428398
331,338.04,341.5,329.7,9599421
338.49,344.44,346.21,337.406,6962522
348.01,339.15,350.08,337.65,8284904
346,358.84,359.15,344.541,11095969
367,364.59,374.49,360,13131146
367.23,368.48,369.99,360.38,6986873
367.2,368.14,369.86,362.91,6019634
365.09,371.08,376.8085,363.54,8860323
370.66,367.73,376,367.0766,5686365
366.65,363.49,368.88,361.26,5924580
360.75,341.19,363.39,335.83,10050571
347.13,346.62,356,341.99,9890770
342.39,348.72,355.75,341.25,7171600
352.45,348.42,352.5,343.08,3994096
344.78,356.01,356.15,343.9001,4538019
359.08,369.95,370.43,356.24,7457713
372,368.17,374.09,366.84,5940969
368.55,364.54,371.09,363.46,3112547
364.22,350.38,367.33,349.57,5015178
353.67,367.65,368.15,351.56,7731494
373.95,366.893,377.61,359.17,8736252
370.06,365.35,370.26,363.17,4535687
366.47,360.98,372.22,360.74,6316681
359,369.59,373.64,354.33,6828043
370.1,369.3,371.34,364.492,4759607
373.59,378,382,370.88,9902716
379.97,380.69,383.2,376,5322378
379.24,374.35,380.8,373.73,4702286
375.85,381.43,386.11,375.54,5843796
384.46,377.19,386.7999,373.83,6343742
378.55,377.01,380.93,374.881,3757455
375.88,363.5,375.92,360.4,6448663
359.77,351.36,363.5,343,10073193
345.65,349.07,352.945,338.11,9577094
348.49,355.7,358.72,347.09,6528822
353.52,325.89,355.15,325.39,12982056
324.84,321.22,334.2,315.81,12024300
339.63,339.58,341.3,328.9,11113259
337.63,333.14,339.2057,326.93,8483113
337.24,346.59,347.95,330.555,11180427
378.19,364.71,380,356.5,24750326
360.673,346.7,362.2,346.05,14199648
351,332.55,355.8,332.2,11866474
332.73,329.53,335.8,320.34,12873502
318.28,333.1,336.58,316.77,11667442
332.56,301.775,333,300.73,14213860
307.3,312.89,319.94,305.25,9215227
300.64,299.85,313.99,292.3,14870683
305.26,285.2401,307.89,275.4,17368228
275.16,285.82,290.525,271.2093,18828972
297.52,301.79,311.5,295.05,15877182
304.59,317.35,318.45,296.67,11767406
318,309.09,321.88,308.33,10534308
311.1,315.22,317.53,303.74,9904103
314.76,310.58,320.22,305.3,9312474
312.9,327.5,328.64,311,12811841
328.44,317.89,332.0499,316.6103,8536060
311.07,303.46,312.98,298.01,10501760
300,294.21,302.49,290.63,8234067
295,294.4,303.55,289.1,9473196
300.4,286.7,301.84,278.2969,16430110
285.51,290.13,292.5,282.16,9428924
287.14,286.23,291.72,281,8755528
283.79,270.64,285.09,269.15,12089707
254.63,267.05,276.34,250,15704167
274.42,262.13,275.34,261.51,9966685
260.11,258.84,265.5,256.84,5132258
260.55,261.609,266.25,253.8,11642171
259.24,266.68,269.08,256.14,10691521
271.98,282.78,284,263.34,14317276
282.32,288.76,290.49,275.5,14607428
288,286.1,290.81,282.36,10234409
293.19,290.39,298.72,284.58,13352654
288.13,275.33,295.74,274.72,12204257
268.33,282.95,283.22,267.14,12179675
282.48,265.14,284.209,263.38,11999841
264.19,269.7,271.18,260.6094,9305497
274.08,265.45,274.5,262.76,9534720
267.66,274.88,281.7695,266.48,11033359
277.64,276.02,279.32,271.85,8177476
271.81,266.71,277.6665,265,9496063
266.51,262.96,272.98,261.075,14825237
263.3,270.96,275.75,263.29,9803580
269.96,266.68,280.87,263.77,13223958
264.64,260.58,269.9,251.88,16220609
263.83,246.2,264.5,241.29,18792685
242,234.15,250.65,233.68,9161444
233.92,253.54,254.5,231.23,13683008
250.11,255.5,255.5,240.1,11655163
257.94,255.97,261.9144,249.8,10727771
260.16,266.3142,270.1001,260,12633985
259.28,267.67,269.7499,256.58,10715228
270.2,271.91,275.79,264.43,13801524
281.88,297.47,297.8,278.54,18127036
302.1,316.63,316.8,301.65,17137501
319.98,320.39,320.51,308.01,14085038
317.71,320,323.3508,313.5,12574007
314.57,324.74,325.37,312.5,12476511
330.84,337.9254,341.09,328.52,18241211
334.24,332.67,335.48,329.13,9580536
349.6,354.32,357.22,347,19496381
354,350.7639,358.85,348.11,14108264
349.5,353.82,355.79,346.41,13413692
351.97,338.92,353,336.73,24643106
334.89,324.5401,336.88,321.03,16718058
328.25,321.59,331.75,318.6,12481519
320.6,326.8881,331.8,319,10475217
328.72,337.94,340,328.51,10469177
334.7,335.53,336.3,328.88,7732010
335.87,329.2,338.22,328.151,7075520
332.75,340.8901,341.78,330.8,7890146
339.68,339.57,345.99,338.0919,7470759
337,339.21,346.84,336.5,8504260
342.6,351,352,341.3,8180214
353.2,355.07,360,352.9,8431842
357,352.03,357.04,347.19,6325863
348.46,344.3599,348.75,339.02,7318278
338,347.4,348,338,7031801
350,345.84,352.87,344.81,4818110
348.09,359.62,359.69,346.52,9469281
357.3,351.67,359.6,350.28,9639751
351.75,359.66,360.45,348.33,8616853
358.47,356.5161,364.4,355.5,8575970
355.8,362.1,365,355.32,6739016
364.85,359.99,366.71,356.7,7655654
360.03,356.91,362.85,353.88,5954159
360.34,363.01,366.13,360.05,6615591
367.01,363.92,371.49,363.79,7085610
363,364.96,365.7,359.33,4556516
363.5,362.8,368.03,359.8,5299637
362.47,357.9,366.39,357.709,5355626
362.26,357.16,362.87,354.6915,5147012
359.72,351.2,362.25,348.0436,6442582
351.25,354.18,356.17,348.25,5570180
353.6,359.5,359.88,351.7,5851831
360.16,352.62,362.86,350.5,5733334
345.75,349.58,349.92,342.47,6355135
352,358.86,358.98,350.04,4648908
358.78,356.28,360.13,353.8,4415584
355.81,361.18,362.48,352.765,6065574
360.5,358.68,363.84,358.1008,4799192
362.12,361.78,364,359.54,5194515
362.47,363.44,370.9705,361.86,6544056
366.4,359.06,366.96,356.8,6678733
358.67,375.22,375.9,357.01,10287618
373.82,377.92,379,370.61,7744879
375.53,361.02,376.43,360.04,8083699
359,366.26,367.0399,357.44,7956675
367.87,360.1,368.38,358.02,6400989
361,353.28,362.47,350.37,7186983
354.485,354.61,355.94,349.2,4170523
357.16,356.56,358.25,353.71,4021938
359,366.96,367.8,358.51,2710737
366.25,367.72,368.42,362.22,4582529
369.26,369.58,373.4105,366.19,5030212
370.07,367.84,372.05,362.4,4417823
369,365.61,369.8,364.66,3589148
365.11,361.34,365.94,359.93,4175971
360.54,364.73,366.74,359,5040285
